fra002,"G.R. Neil, JLAB, Newport News","High Power FELs Driven by RF Superconducting Linacs",593 601,
mop007,"R. Parodi, INFN Genova, Genova","RF Superconductivity at INFN-Genoa",54 57,
mop008,"C. Pagani, INFN Milano, Milano","Superconducting RF Activities at INFN Milano-LASA",58 61,
mop010,"N. Ouchi, JAERI, Ibaraki","Superconducting RF Activities at JAERI",62 64,
mop012,"H.-D. Gräf, M. Brunken, S. Döbert, H. Genz, M. Gopych, S. Khodyachykh, S. Kostial, U. Laier, H. Loos, A. Richter, S. Richter, B. Schweizer, A. Stascheck, O. Titze, TU Darmstadt, Darmstadt; R. Eichhorn, GSI, Darmstadt","Operation of the S-DALINAC, Related Topics and Developments",65 69,
mop013,"R.L. Geng, J. Chen, J. Hao, S. Quan, Z. Shen, Y. Tang, L. Wang, D. Xie, B. Zhang, Kui Zhao, Kun Zhao, IHIP, Beijing","RD on the Niobium-Copper Superconducting Cavity at Peking University",70 73,
tha001,"V. Palmieri, INFN/LNL, Legnaro, Padova","Spinning of TESLA-Type Cavities: Status of Art",532 537,
tha002,"H. Kaiser, W. Singer, X. Singer, DESY, Hamburg; I. Gonin, I. Jelezov, T. Khabibuline, INR, Moscow","Advances at DESY in Hydroforming of TESLA Cavities",538 541,
tha003,"S. Bousson, IPN, Orsay","Advances in Superconducting RF Cavity Stiffening by Thermal Spraying",542 549,
tha004,"A.-M. Valente, C. Benvenuti, S. Calatroni, P. Darriulat, M.A. Peck, C.A. Van't Hof, CERN, Geneva","Study of the Residual Resistance of Superconducting Niobium Films at 1.5 GHz",550 554,
tha005,"C. Pagani, INFN Milano, Milano","Advances in Cryomodule Design and New Approches",555 559,
tha006,"E. Chojnacki, S. Belomestnykh, Cornell University, Ithaca, New York","RF Power Coupler Performance at CESR and Study of a Multipactor Inhibited Coupler",560 565,
tha008,"H.P. Kindermann, M. Stirbet, CERN, Geneva","The Variable Power Coupler for the LHC Superconducting Cavities",566 569,
tha009,"W.B. Haynes, K.C.D. Chan, D.C. Gautier, J.G. Gioia, F.L. Krawczyk, R.E. Lujan, M.A. Madrid, E.N. Schmierer, LANL, Los Alamos, New Mexico; B. Rusnak, LLNL, Livermore","Testing Status of the Superconducting RF Power Coupler for the APT Accelerator",570 576,
tha010,"W.-D. Möller, DESY, Hamburg","High Power Coupler for the TESLA Test Facility",577 581,
thp003,"D. Proch, DESY, Hamburg","Which Way to the Frontier? Novel Structures, Materials, and Fabrication Techniques",582 586,
tua001,"L. Lilje, D. Reschke, K. Twarowski, DESY, Hamburg; P. Schmüser, Universität Hamburg, Hamburg; D. Bloess, E. Chiaveri, E. Haebel, H. Preis, J.-M. Tessier, H. Wenninger, CERN, Geneva; J.P. Charrier, H. Safa, CEA-Saclay, Gif-sur-Yvette","Electropolishing and in-situ Baking of 1.3 GHz Niobium Cavities",74 76,
tua004,"J. Knobloch, R.L. Geng, H. Padamsee, Cornell University, Ithaca, New York; M. Liepe, DESY, Hamburg","High-Field Q Slope in Superconducting Cavities due to Magnetic Field Enhancement at Grain Boundaries",77 91,
tua005,"S.N. Simrock, DESY, Hamburg","Advances in RF Control for High Gradients",92 95,
tua006a,"B. Spaniol, U. Weitzel-Hoefler, W.C. Heraeus GmbH  Co, Hanau","Mass Production of High Purity Niobium",96 99,
tua006b,"F. Schoelz, W.C. Heraeus GmbH  Co, Hanau","How to Produce NbRRR600 on an Industrial Scale",100 102,
tua007,"W. Singer, A. Brinkmann, D. Hui, H. Kaiser, D. Proch, X. Singer, DESY, Hamburg","Quality Control and Purification Heat Treatment of Niobium for TTF",103 108,
tua008,"C.Z. Antoine, A. Aspart, J.P. Charrier, H. Safa, B. Visentin, CEA-Saclay, Gif-sur-Yvette","Alternative Approaches for Surface Treatment of Nb Superconducting Cavities",109 117,
tua010,"K. Saito, KEK, Ibaraki","Recent Developments in SRF Cavity Cleaning Techniques at KEK",118 123,
tup002,"N.R. Lobanov, D.C. Weisser, ANU, Canberra","Status Report on RFSC ANU",124 128,
tup003,"N.R. Lobanov, D.C. Weisser, ANU, Canberra","Lead Plating: ANU SLRs Upgrade",129 142,
tup005,"M. Ono, E. Kako, K. Saito, T. Shishido, S. Noguchi, T. Yokoi, KEK, Ibaraki","Magnetic Field Effects on Superconducting Cavity",143 152,
tup006,"V. Palmieri, F. Stivanello, INFN/LNL, Legnaro, Padova; M. Valentino, INFM, Napoli","Flux-Gate Magnetometry: The Possibility to Apply a Novel Tool to Monitor Niobium Chemistry",153 158,
tup007,"D. Reschke, DESY, Hamburg","New Aspects of Quality Control during Preparation of TTF 1.3 GHz Cavities",159 162,
tup008,"R. Parodi, R. Ballantini, A. Daccà, G. Gemme, INFN Genova, Genova","Analysis of the Losses of Superconducting Cavities as a Function of Field and Temperature",163 166,
tup009,"G. Gemme, R. Parodi, INFN Genova, Genova; Ph. Bernard, CERN, Geneva; E. Picasso, Scuola Normale Superiore, Pisa","Two Coupled Superconducting Cavities as a Gravitational Wave Detector: First Experimental Results",167 173,
tup010,"A.M. Porcellato, L. Badan, G. Bassato, A. Beltramin, L. Bertazzo, G. Bisoffi, L. Boscagli, S. Canella, D. Carlucci, S. Contran, T. Contran, A. Dainelli, M. De Lazzari, A. Facco, V. Palmieri, M. Poggi, F. Poletto, S.Y. Stark, F. Stivanello, V. Zviagintsev, INFN/LNL, Legnaro, Padova","On Line Performance and Upgrading of ALPI Resonators",174 178,
tup011,"E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, KEK, Ibaraki; H. Safa, CEA-Saclay, Gif-sur-Yvette; J. Knobloch, Cornell University, Ithaca, New York; L. Lilje, DESY, Hamburg","Improvement of Cavity Performance in the Saclay/Cornell/DESY's SC Cavities",179 186,
tup012,"A.L. Karuzskii, V.A. Dravin, Yu.F. Eltsev, V.N. Murzin, N.A. Osipova, A.V. Perestoronin, P.P. Sverbil, Lebedev Physical Institute, Moscow","Polariton-like Interaction between Microwaves and Electronic Subsystem of Metal Oxide Superconductor",187 189,
tup013,"A.L. Karuzskii, V.A. Dravin, A.E. Krapivka, N.A. Osipova, A.V. Perestoronin, Lebedev Physical Institute, Moscow","Measurements of the Effective Electrodynamical Parameters of Nb Microstrip Resonator",190 194,
tup014,"V.T. Toplosky, R.P. Walsh, National High Magnetic Field Laboratory, Tallahassee, Florida; R.C. Gentzlinger, R.R. Mitchell, LANL, Los Alamos, New Mexico","Low Temperature Tensile and Fracture Toughness Properties of SCRF Cavity Structural Materials",195 197,
tup015,"B. Visentin, J.P. Charrier, B. Coadou, D. Roudier, CEA-Saclay, Gif-sur-Yvette","Cavity Baking : A Cure for the High Accelerator Field Qo Drop",198 202,
tup016,"A. Facco, V. Zviagintsev, INFN/LNL, Legnaro, Padova","Completion of the LNL Bulk Niobium Low Beta Quarter Wave Resonators",203 206,
tup017,"W.-D. Möller, P.-D. Gall, A. Gössel, V. Gubarev, M. Pekeler, DESY, Hamburg","The Superconducting Cavity Database for the TESLA Test Facility",207 210,
tup018,"R. Parodi, R. Ballantini, A. Daccà, G. Gemme, INFN Genova, Genova; L. Mattera, INFM Genova, Genova","Improvement of the Maximum Field of Accelerating Cavities by Dry Oxidization",211 217,
tup019,"J.R. Delayen, JLAB, Newport News","Development of a Cryomodule for the CEBAF Upgrade",218 233,
tup020,"C. Thomas, G. Bienvenu, J. Le Duff, LAL, Orsay","Accelerating Field Measurement in 3GHz Pulsed Cavities",234 237,
tup021,"R.L. Geng, J. Knobloch, H. Padamsee, Cornell University, Ithaca, New York","Micro-Structures of RF Surfaces in the Electron-Beam-Weld Regions of Niobium",238 245,
tup022,"T. Shishido, T. Fujino, H. Inoue, E. Kako, S. Noguchi, M. Ono, K. Saito, KEK, Ibaraki; T. Higuchi, Nomura Plating Co. Ltd., Tochigi-ken","Test Results of the L-Band Superconducting Cavity made from Twice Melted Niobium",246 248,
tup023,"W. Weingarten, H. Nakai, CERN, Geneva","A Device to Measure the Resistivity of a Copper Cavity Surface at Low Temperature",249 253,
tup025,"T. Higuchi, S. Fukuda, T. Ikeda, S. Nomura, S. Ogushi, M. Shiratake, T. Suzuki, Nomura Plating Co. Ltd., Tochigi-ken; E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, KEK, Ibaraki","Development of Horizontal Chemical Polishing for Superconducting Niobium Cavities",254 257,
tup027,"G. Ellis, B.G. Smith, LANL, Los Alamos, New Mexico","Modal Survey of Medium Energy Superconducting Radio Frequency Cavity for Accelerator Production of Tritium Project",258 262,
tup028,"M. Fouaidy, S. Bousson, N. Hammoudi, T. Junquera, J.C. Le Scornet, J. Lesrel, IN2P3-CNRS, Orsay","Kapitza Conductance and Thermal Conductivity of Materials used for SRF Cavities Fabrication",263 266,
tup029,"H. Safa, M. Boloré, Y. Boudigou, S. Jaidane, R. Keller, P. Nardin, G. Szegedi, CEA-Saclay, Gif-sur-Yvette","Specific Resistance Measurement of a Single Grain Boundary in Pure Niobium",267 269,
tup030,"K. Saito, E. Kako, T. Shishido, S. Noguchi, M. Ono, Y. Yamazaki, KEK, Ibaraki","Long Term Air Exposure Effect on the Electropolished Surface of Niobium Superconducting RF Cavity",270 276,
tup031,"K. Saito, KEK, Ibaraki; P. Kneisel, JLAB, Newport News","Temperature Dependence of the Surface Resistance of Niobium at 1300 MHz - Comparison to BCS Theory -",277 282,
tup032,"K. Saito, E. Kako, S. Noguchi, M. Ono, T. Shishido, Y. Yamazaki, KEK, Ibaraki; T. Higuchi, Nomura Plating Co. Ltd., Tochigi-ken","Discovery of the Needless of Outgas Annealing after Horizontally Continuously Rotated Electropolishing with Niobium Superconducting RF Cavities",283 287,
tup033,"K. Saito, H. Inoue, E. Kako, S. Noguchi, M. Ono, T. Shishido, Y. Yamazaki, KEK, Ibaraki; T. Higuchi, Nomura Plating Co. Ltd., Tochigi-ken; M. Kawamoto, Pechiney Japon, Ltd., Tokyo; T. Ota, Toshiba Corporation, Yokohama; K. Nakanishi, MHI , Kobe Shipyard, Kobe; Y. Matsubara, Sumitimo Heavy Industries, Ltd., Tokyo; P. Kneisel, JLAB, Newport News; D. Proch, L. Lilje, DESY, Hamburg","High Gradient Performance by Electropolishing with 1300 MHz Single and Multi-cell Niobium Superconducting Cavities",288 291,
tup034,"Y. Kijima, H. Kitamura, Y. Murai, Mitsubishi Electric Corporation, Kobe; E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, KEK, Ibaraki","Effect of N2 Gas Exposure on the L-band Superconducting Cavity",292 294,
tup035,"C.Z. Antoine, A. Aspart, M. Berthelot, Y. Gasser, J.P. Poupeau, F. Valin, CEA-Saclay, Gif-sur-Yvette","Morphological and Chemical Studies of Nb Samples after Various Surface Treatment",295 303,
tup036,"I. Arfaoui, J. Cousty, H. Safa, CEA-Saclay, Gif-sur-Yvette","On Local High Electric Field-Induced Modifications of a Niobium Oxide Surface",304 308,
tup037,"A. Facco, INFN/LNL, Legnaro, Padova; K.W. Shepard, G.P. Zinkann, ANL, Argonne","A Vibration Damper for a Low Velocity Four Gap Accelerating Structure",309 311,
tup040,"W.R. Frisken, York University, Toronto; L.N. Hand, Cornell University, Ithaca","Non-uniformities in Hydrogen and Oxygen Concentration in Niobium Films",312 318,
tup042,"K. Mukugi, K. Ishio, K. Kikuchi, J. Kusano, M. Mizumoto, A. Naito, N. Ouchi, Y. Tsuchiya, JAERI, Ibaraki; K. Saito, KEK, Ibaraki","Fracture Toughness and Mechanical Properties of Pure Niobium and Welded Joints for Superconducting Cavities at 4K",319 323,
tup043,"H. Kaiser, DESY, Hamburg","New Approaches to Tuning of TESLA Resonators",324 327,
tup044,"P. Kneisel, JLAB, Newport News","Preliminary Experience with in-situ Baking of Niobium Cavities",328 335,
wea001,"T.P. Wangler, J.H. Billen, LANL, Los Alamos, New Mexico; K.R. Crandall, Tech Source, Santa Fe; J.P. Kelley, F.L. Krawczyk, S. Nath, LANL, Los Alamos, New Mexico; H. Padamsee, Cornell University, Ithaca, New York; D.L. Schrage, R. Valicenti, LANL, Los Alamos, New Mexico","Design of a Proton Superconducting Linac for a Neutron Spallation Source",336 344,
wea002,"K.W. Shepard, M. Kedzie, M.P. Kelly, J. Nolen, P. Ostroumov, M. Portillo, ANL, Argonne; J. Brawley, J.R. Delayen, C. Hovater, J. Mammosser, C. Piller, JLAB, Newport News; C.M. Lyneis, J.W. Staples, LBNL, Berkeley, California","SC Driver Linac for a Rare Isotope Facility",345 351,
wea003,"E. Chiaveri, CERN, Geneva","The CERN Nb/Cu Programme for the LHC and Reduced- Superconducting Cavities",352 356,
wea005,"H. Safa, CEA-Saclay, Gif-sur-Yvette","Superconducting Proton Linac for Waste Transmutation",357 361,
wea006,"H.T. Edwards, Fermilab, Batavia","A Report on Fermilab SRF Activities and Proposals",362 366,
wep001,"G. Bisoffi, V. Andreev, G.P. Bezzon, F. Chiurlotto, A. Lombardi, V. Palmieri, A.M. Porcellato, S.Y. Stark, INFN/LNL, Legnaro, Padova; E. Chiaveri, CERN, Geneva","Completion of the First Superconducting RFQ at INFN-LNL",367 371,
wep002,"T. Fujino, KEK, Ibaraki; V. Palmieri, INFN/LNL, Legnaro, Padova; K. Saito, H. Inoue, N. Hitomi, S. Noguchi, M. Ono, E. Kako, T. Shishido, Y. Yamazaki, KEK, Ibaraki","Promising Performance of the Nb/Cu Clad Seamless Superconducting RF Cavities",372 375,
wep003,"M. Matsuoka, K. Nakanishi, K. Okubo, K. Sennyu, T. Yamanaka, MHI, Yokohama, Kanagawa-ken; N. Akaoka, J. Kusano, M. Mizumoto, N. Ouchi, JAERI, Ibaraki; S. Noguchi, KEK, Ibaraki","HOM Coupler Developments for the SC Linac of JAERI/KEK Joint Project",376 379,
wep004,"P. Pierini, D. Barni, A. Bosotti, G. Ciovati, C. Pagani, INFN Milano, Milano","Cavity Design Tools and Applications to the TRASCO Project",380 383,
wep005,"J.L. Biarrotte, H. Safa, J.P. Charrier, S. Jaidane, CEA-Saclay, Gif-sur-Yvette; H. Gassot, T. Junquera, J. Lesrel, IN2P3-CNRS, Orsay; G. Ciovati, P. Pierini, D. Barni, C. Pagani, INFN Milano, Milano","704 MHz Superconducting Cavities for a High-Intensity Proton Accelerator",384 389,
wep008,"S. Humphries, University of New Mexico, Albuquerque; J. Petillo, SAIC, Burlington, Massachusetts; N. Dionne, Raytheon Corporation, Sudbury, Massachusetts","Modeling Secondary Emission in a Finite-Element Multipactor Code",390 396,
wep009,"P. Bosland, P. Brédy, S. Chel, M. Juillard, M. Maurier, A. Mosnier, F. Orsini, CEA-Saclay, Gif-sur-Yvette; D. Boussard, S. Calatroni, E. Chiaveri, R. Losito, CERN, Geneva","Completion of the SOLEIL Cryomodule",397 400,
wep012,"N. Kakutani, H. Hatakeyama, T. Kuriyama, Y. Oonishi, T. Ota, M. Takahashi, O. Takeda, Y. Tanabe, A. Yamashita, T. Yoshiyuki, Toshiba Corporation, Yokohama; E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, Y. Yamazaki, KEK, Ibaraki","Development of a 1.8K Level Cooling System and Cryostat for a Superconducting Cavity",401 404,
wep013,"R.R. Mitchell, M. Cola, G. Ellis, R.C. Gentzlinger, LANL, Los Alamos, New Mexico","Structural Analysis of the APT Superconducting Cavities",405 421,
wep014,"D. Barni, C. Gesmundo, C. Pagani, G. Varisco, INFN Milano, Milano","Beta Tunable 700 MHz Insert with Natural Convection Precooling",422 426,
wep015,"C. Travier, S. Chel, M. Desmons, G. Devanz, CEA-Saclay, Gif-sur-Yvette; P. Lepercq, T. Garvey, IN2P3-CNRS, Orsay","Design and Test of a 1.3 GHz Travelling Wave Window",427 436,
wep016,"H. Vogel, S. Bauer, W. Diete, B. Griep, M. Peiniger, P. vom Stein, ACCEL, Bergisch Gladbach; S. Calatroni, E. Chiaveri, R. Losito, CERN, Geneva","Production of Nb/Cu Sputtered Superconducting Cavities for LHC",437 439,
wep017,"H. Vogel, S. Bauer, W. Diete, B. Griep, M. Peiniger, M. Pekeler, J. Schwellenbach, P. vom Stein, ACCEL, Bergisch Gladbach","Production of Superconducting 9-cell Cavities for the TESLA Test Facility, Stanford University and Forschungszentrum Rossendorf",440 442,
wep018,"H. Vogel, S. Bauer, W. Diete, B. Griep, M. Peiniger, M. Pekeler, P. vom Stein, ACCEL, Bergisch Gladbach; W. Bräutigam, FZJ, Jülich; E. Chiaveri, R. Losito, CERN, Geneva","Engineering and Fabrication of a Low  Prototype Superconducting Accelerator Module for Forschungszentrum Jülich",443 445,
wep019,"P. Kneisel, JLAB, Newport News; V. Palmieri, INFN/LNL, Legnaro, Padova; K. Saito, KEK, Ibaraki","Development of Seamless Niobium Cavities for Accelerator Application",446 449,
wep020,"N. Ouchi, N. Akaoka, E. Chishiro, K. Hasegawa, M. Mizumoto, J. Kusano, JAERI, Ibaraki; H. Inoue, E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, KEK, Ibaraki; K. Mukugi, C. Tsukishima, MELCO, Kobe; O. Takeda, Toshiba Corporation, Yokohama; M. Matsuoka, MHI, Yokohama, Kanagawa-ken","Superconducting Cavity Development for High Intensity Proton Linac in JAERI",450 458,
wep021,"E. Newman, B. Campbell, K.C.D. Chan, R. Valicenti, LANL, Los Alamos, New Mexico","APT Cryomodule Assembly and the Usefulness of the Mockup Model",459 461,
wep022,"R. Eichhorn, U. Ratzinger, GSI, Darmstadt","Development of a Superconducting H-mode Cavity for the Low-Beta Regime",462 464,
wep023,"K.C.D. Chan, LANL, Los Alamos, New Mexico; H. Safa, CEA-Saclay, Gif-sur-Yvette; C. Pagani, INFN Milano, Milano; M. Mizumoto, JAERI, Ibaraki","Review of Superconducting RF Technology for High-Power Proton Linacs",465 471,
wep024,"H. Gassot, A. Caruette, T. Junquera, J.L. Borne, L. Grandsire, A. Thiébault, IN2P3-CNRS, Orsay; C. Verdy, C. Coddet, Université de Technologie de Belfort-Montéliard, Belfort; M. Jeandin, V. Guipont, Ecole Nationale Supérieure des Mines de Paris, Paris","Mechanical Stiffening of SRF Niobium Cavities by Thermal Sprayed Coating",472 477,
wep025,"H. Saugnac, P. Blache, C. Commeaux, G. Guillier, T. Junquera, D. Braud, H. Safa, IN2P3-CNRS, Orsay; P. Sahuquet, CEA-Saclay, Gif-sur-Yvette","CRYHOLAB, A New Horizontal Test Cryostat for SCRF Cavities",478 480,
wep027,"H. Hattori, M. Inoue, K. Ohkubo, K. Sennyu, T. Yamanaka, MHI, Hyogo-ku, Kobe; Y. Taura, MHI, Nishi-ku, Hiroshima; T. Ohta, MHI, Arai-cho, Takasago; K. Hosoyama, T. Nakai, KEK, Ibaraki","Manufacturing Techniques of Full Scale Crab Cavities and a Simplified Co-Axial Coupler for KEKB",481 483,
wep028,"C. Joshi, B. Bent, Energen Inc, Billerica, Massachusetts; M. Drury, J. Preble, V. Nguyen, JLAB, Newport News","High Force, Precision Positioning Using Magnetic Smart Materials",484 489,
wep029,"R. Bandelmann, H. Kaiser, G. Kreps, M. Liepe, C. Martens, A. Matheisen, DESY, Hamburg; C. Pagani, INFN Milano, Milano; H-B. Peters, D. Proch, J. Sekutowicz, W. Singer, DESY, Hamburg","Nb Prototype of the Superstructure for the TESLA Linear Collider",490 493,
wep030,"M. Liepe, H. Chen, G. Kreps, V. Puntus, J. Sekutowicz, DESY, Hamburg; M. Ferrario, INFN/LNF, Frascati (Roma)","RF Measurements on Cu Model of the Superstructure for the TESLA Linear Collider",494 498,
wep031,"G. Kreps, D. Proch, J. Sekutowicz, DESY, Hamburg","Half-cell and Dumb-bell Frequency Testing for the Correction of the TESLA Cavity Length",499 504,
wep032,"S. Mitsunobu, T. Furuya, T. Tajima, KEK, Ibaraki; T. Kijima, Mitsubishi Electric Corporation, Kobe; T. Tanaka, Furukawa Electric Co, Tokyo","High Power Input Coupler for KEKB SC Cavity",505 507,
wep033,"M. Cola, R.M. Dickerson, R.C. Gentzlinger, D.F. Teter, LANL, Los Alamos, New Mexico","Dissimilar Welds for the APT Superconducting Cavity's Cryogenic Plumbing System",508 511,
wep034,"R. Parodi, A. Daccà, G. Gemme, INFN Genova, Genova; E. Chiaveri, R. Losito, S. Calatroni, CERN, Geneva; D. Barni, A. Bosotti, C. Pagani, G. Varisco, INFN Milano, Milano","Production and Test of the Prototype =0.85 Five Cell Cavity for the TRASCO Project",512 515,
wep036,"E. Zaplatin, FZJ, Jülich","A Spoke RF Cavity Simulation with MAFIA",516 519,
wep037,"S.S. Kurennoy, LANL, Los Alamos, New Mexico","Beam Energy Loss versus Velocity in SC Cavities for SNS Linac",520 523,
wep038,"C.E. Reece, B.D. Madre, L.R. Doolittle, J.R. Delayen, JLAB, Newport News","Dealing with a Large Installation of SRF Cavities: Characterizing Limitations and Exploiting Operational Flexibility",524 527,
wep042,"H. Kaiser, W. Singer, X. Singer, DESY, Hamburg; I. Gonin, I. Jelezov, T. Khabibuline, INR, Moscow; H.-G. Brokmeier, R. Schnieber, Institut für Werkstofforschung, Geesthacht","Hydroforming of Back Extruded Niobium Tubes",528 531,
