moao01,"C.M. Lyneis [LBNL, Berkeley, California, USA] ","Scaling Laws in Electron Cyclotron Resonance Ion Sources",99 98,
tuao05,"T. Thuillier, J. Angot, L. Bonny, J. Jacob, T. Lamy, P. Sole [LPSC, Grenoble Cedex, France] J.L. Flambard, L. Maunoury [GANIL, Caen, France] T. Kalvas [JYFL, Jyvaskyla, Finland] C. Peaucelle [IN2P3 IPNL, Villeurbanne, France] ","First Plasma of the PHOENIX V3 ECR Ion Source",48 49,
weao01,"V. Toivanen, G. Bellodi, C. Fichera, D. Kuchler (D. Küchler), A.M. Lombardi, M. Maintrot, A.I. Michet, M. O'Neil, S. Sadovich, F.J.C. Wenander [CERN, Geneva, Switzerland] O.A. Tarvainen [JYFL, Jyvaskyla, Finland] ","Recent Developments with the GTS-LHC ECR Ion Source at CERN",50 54,
weao03,"A. Kitagawa [NIRS, Chiba-shi, Japan] S. Biri, R. Rácz [ATOMKI, Debrecen, Hungary] Y. Kato [Osaka University, Graduate School of Engineering, Osaka, Japan] M. Muramatsu [National Institute of Radiological Sciences, Chiba, Japan] W. Takasugi [AEC, Chiba, Japan] ","Practical Comparison of Two-Frequency Heating Phenomena in Different ECR Ion Sources",55 58,
webo01,"M. Kreller, C. Baumgart, G. Zschornack [DREEBIT, Dresden, Germany] K. Czerski, M. Kaczmarski, N. Targosz-Ślęczka (N. Targosz-Ślęczka) [University of Szczecin, Institute of Physics, Szczecin, Poland] A. Huke, G. Ruprecht, D. Weißbach [IFK Berlin, Berlin, Germany] G. Zschornack [Technische Universität Dresden, Institut für Angewandte Physik, Dresden, Germany] ","An ECRIS Facility for Investigating Nuclear Reactions in Astrophysical Plasmas",59 63,
webo02,"M. Muramatsu, Y. Iwata, A. Kitagawa, E. Noda, M. Sekiguchi [NIRS, Chiba-shi, Japan] K. Fukushima, T. Sasano, T. Suzuki, K. Takahashi [AEC, Chiba, Japan] H. Murata, T. Takahashi [SHI, Kanagawa, Japan] ","Design of Compact ECR Ion Source for C5+ Production",64 66,
weco01,"B. Bolzon, N. Chauvin, R. Gobin, F. Senee (F. Senée) [CEA/IRFU, Gif-sur-Yvette, France] P.-Y. Beauvais, H. Dzitko [F4E, Germany] L. Bellan, M. Comunian, E. Fagotti, A. Pisent [INFN/LNL, Legnaro (PD), Italy] L. Bellan [Univ. degli Studi di Padova, Padova, Italy] P. Cara, R. Heidinger [Fusion for Energy, Garching, Germany] F. Harrault [CEA/DSM/IRFU, France] R. Ichimiya, A. Ihara, A. Kasugai, T. Kitano, M. Komata, K. Kondo, K. Sakamoto, T. Shinya, M. Sugimoto [QST, Aomori, Japan] J. Knaster, A. Marqueta, K. Nishiyama, Y. Okumura, G. Pruneri, F. Scantamburlo [IFMIF/EVEDA, Rokkasho, Japan] ","Intermediate Commissioning Results of the Required 140 mA/100 keV CW D+ ECR Injector of LIPAc, IFMIF's Prototype",67 72,
weco02,"O. Delferriere (O. Delferrière), Y. Gauthier, R. Gobin, O. Tuske [CEA/IRFU, Gif-sur-Yvette, France] F. Harrault [CEA/DRF/IRFU, Gif-sur-Yvette, France] ","Development of a Compact High Intensity Ion Source for Light Ions at CEA-Saclay",73 75,
weco03,"Y. Yang, Y. Liu, L.T. Sun, Y.J. Yuan, H.W. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Transverse Coupling of Ion Beams From an RCR Ion Source",76 82,
wepp01,"R. Gobin, D. Bogard, O. Delferriere (O. Delferrière), M. Desmons, Y. Gauthier, F. Harrault, F. Peauger, G. Perreu, B. Pottin, Y. Sauce, J. Schwindling, F. Senee (F. Senée), O. Tuske, D. Uriot, T.V. Vacher [CEA/DRF/IRFU, Gif-sur-Yvette, France] ","High Intensity Beam Production at CEA/Saclay For The IPHI Project",83 85,
wepp02,"O. Tuske, N. Chauvin, O. Delferriere (O. Delferrière), Y. Gauthier, P. Girardot, N. Misiara, Y. Sauce, F. Senee (F. Senée), C. Simon [CEA/IRFU, Gif-sur-Yvette, France] F. Ameil, R. Berezov, J. Fils, R. Hollinger [GSI, Darmstadt, Germany] T.V. Vacher [CEA/DSM/IRFU, France] ","Commissioning of the High Intensity Proton Injector of the Facility for Anti Proton and Ion Research at CEA-Saclay",86 88,
wepp03,"D. Kuchler (D. Küchler), A.I. Michet, J.A.F. Somoza, V. Toivanen [CERN, Geneva, Switzerland] ","Never Run Your ECR Ion Source with Argon in Afterglow for 6 Months!",89 91,
wepp05,"C. Barue, O. Bajeat, J.L. Flambard, R. Frigot, P. Jardin, N. Lechartier, F. Lemagnen, L. Maunoury, V. Metayer, O. Osmond [GANIL, Caen, France] C. Peaucelle [IN2P3 IPNL, Villeurbanne, France] P. Sole, T. Thuillier [LPSC, Grenoble Cedex, France] ","Status Report on Metallic Beam Production at GANIL/SPIRAL 2",92 97,
wepp08,"Y. Fuwa, Y. Iwashita, H. Tongu [Kyoto ICR, Uji, Kyoto, Japan] M. Ichikawa [QST, Tokai, Japan] N. Miyawaki [QST/Takasaki, Takasaki, Japan] ","Development of Compact H+ ECR Ion Source with Pulse Gas Valve",98 100,
wepp09,"J. Angot, L. Bonny, J. Jacob, T. Lamy, P. Sole, T. Thuillier, F. Villa [LPSC, Grenoble Cedex, France] P. Sortais [Polygon Physics, Grenoble, France] ","Development of a New Compact 5.8 GHz ECR Ion Source",101 104,
wepp14,"R.H. Scott, C. Dickerson, R.C. Pardo, R.C. Vondrasek [ANL, Argonne, Illinois, USA] ","A New ECRIS Installation at the Argonne Tandem Linac Accelerator System",105 107,
wepp15,"L. Celona, G. Castro, F. Chines, G. Ciavola, G. Costa, S. Gammino, O. Leonardi, S. Marletta, D. Mascali, F. Noto, G. Pastore, G. Torrisi, S. Vinciguerra [INFN/LNS, Catania, Italy] ","Design, Construction and Commissioning of the New Superconducting Ion Source AISHa",108 110,
wepp18,"G. Gallo, L. Allegra, L. Celona, S. Gammino, D. Mascali, L. Neri, G. Torrisi [INFN/LNS, Catania, Italy] ","Innovative Mechanical Solutions for the Design of the High Intensity Proton Injector for the European Spallation Source",111 113,
wepp22,"F. Maimone, M. Endermann, R. Lang, J. Maeder (J. Mäder), P.T. Patchakui, P. Spaedtke (P. Spädtke), K. Tinschert [GSI, Darmstadt, Germany] ","Versatile High Power Microwave System for Frequency Tuning of the CAPRICE ECRIS",114 116,
wepp32,"C. Mallick, M. Bandyopadhyay, R.K. Kumar, S.V. Tewari [Institute for Plasma Research, Bhat, Gandhinagar, India] ","Magnetic Field Design for 2.45 GHz Negative Hydrogen PMECRIS Chamber using FEM Simulation",117 120,
wepp34,"H. Jin, I.S. Hong, J.-H. Jang [IBS, Daejeon, Republic of Korea] ","Recent Beam Dynamics Studies for the SCL Demo of RISP",121 123,
wepp35,"T. Nagatomo, O. Kamigaito, M. Kase, T. Nakagawa [RIKEN Nishina Center, Wako, Japan] J.W. Stetson [NSCL, East Lansing, Michigan, USA] V. Tzoganis [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Four-Dimension Transverse Phase-Space Distribution Measured by a Pepper-Pot Emittance Meter",124 127,
wepp40,"D.E. Neben, J. Fogleman, A.N. Pham, S. Renteria, L. Tobos [NSCL, East Lansing, Michigan, USA] D. Leitner [LBNL, Berkeley, California, USA] G. Machicoane [FRIB, East Lansing, Michigan, USA] G. Parsey [MSU, East Lansing, Michigan, USA] J.P. Verboncoeur [Michigan State University, East Lansing, Michigan, USA] ","Fast Sputtering Measurement Studies using Uranium with the NSCL ECR Ion Sources",128 132,
wepp41,"J. Orpana, T. Kalvas, H. A. Koivisto, R.J. Kronholm, J.P. Laulainen, O.A. Tarvainen [JYFL, Jyvaskyla, Finland] I. Izotov, D. Mansfeld, V. Skalyga [IAP/RAS, Nizhny Novgorod, Russia] ","Measurement of Microwave Frequencies Emitted by Instabilities of ECRIS Plasma with Waveguide Filters and Microwave Sensitive Diodes",133 136,
wepp42,"C. Mallick, M. Bandyopadhyay, R.K. Kumar, S.V. Tewari [Institute for Plasma Research, Bhat, Gandhinagar, India] ","Investigation of 2.45 GHz Microwave Radiated Argon Plasma under Magnetized Condition",137 140,
