fr101,"R.D. Ruth, SLAC, Stanford, California, USA","Beam Dynamics in Linear Colliders",787 791,
mo424,"T.G. Jurgens, H.W. Miller, A. Moretti, P. Zhou, Fermilab, Batavia, Illinois, USA","The Determination of the 805 MHz Side Couple Cavity Dimensions for the Fermilab Linac Upgrade",108 110,
mo425,"H.W. Miller, T.G. Jurgens, Q.A. Kerns, R. Padilla, Z. Qian, Fermilab, Batavia, Illinois, USA","Tuning Methods for the 805 MHz Side-Coupled Cavities in the Fermilab Linac Upgrade",111 113,
mo426,"P.S. Prieto, J. Crisp, T.G. Jurgens, T. Savord, Fermilab, Batavia, Illinois, USA","Side Coupled Accelerating Structure Automated Measurement System",114 116,
mo427,"L.V. Kravchuk, G.V. Romanov, INR, Moscow, USSR","Stability of Field Distribution in Coupled Cavity Structures",117 119,
mo428,"Y.V. Bylinsky, I.V. Gonin, L.V. Kravchuk, P.N. Ostroumov, V.V. Paramonov, V.A. Puntus, INR, Moscow, USSR","A Systematic Errors Study for the Bead Pull Measurements",120 122,
mo429,"Y. Iino, T. Adachi, T. Kawasumi, M. Ozaki, MHI, Hiroshima-ken, Japan; T. Kato, F. Naito, E. Takasaki, Y. Yamazaki, KEK, Ibaraki, Japan","Fabrication Technique of Drift Tube with Permanent Quadrupole Magnet for the Linac of the JHP",123 125,
mo430,"K. Yamasu, M. Hamaoka, T. Iwata, MHI, Hiroshima-ken, Japan; T. Kageyama, Y. Morozumi, Y. Yamazaki, K. Yoshino, KEK, Ibaraki, Japan","Fabrication Technique of ACS Cavity for the JHP",126 128,
mo431,"B. Rusnak, G.O. Bolme, N.K. Bultman, E.L. Kemp, A. Klapetzky, J. Rose, G. Spalek, J.E. Stovall, LANL, Los Alamos, New Mexico, USA","Evaluation of RF Seals for Resonant Cavity Applications",129 131,
mo432,"H. Deruyter, Z.D. Farkas, H.A. Hoag, K. Ko, N.M. Kroll, G.A. Loew, R.H. Miller, R.B. Palmer, J.M. Paterson, K.A. Thompson, J.W. Wang, P.B. Wilson, SLAC, Stanford, California, USA","Damped and Detuned Accelerator Structures",132 134,
mo433,"J.W. Wang, G.A. Loew, SLAC, Stanford, California, USA","HEM11 Modes Revisited",135 137,
mo434,"P. Hahne, N.K. Holtkamp, R. Klatt, T. Weiland, TH Darmstadt, Darmstadt, Germany","Structure Design for a 500 GeV S-Band Linear Collider",138 140,
mo435,"M. Promé, B. Aune, S. Bühler, L. Cardman, J.M. Cavedon, J. Fagot, J. Gastebois, J.F. Gournay, J.M. Hisleur, M. Jablonka, M. Juillard, T. Junquera, E. Klein, Ph. Leconte, A. Mosnier, A. Veyssière, CEN-Saclay, Gif-sur-Yvette, France","MACSE: Accelerating Electrons at Saclay with Superconducting Cavities",141 143,
mo436,"S.R. Takeda, M. Akemoto, H. Hayano, T. Naito, H. Matsumoto, KEK, Ibaraki, Japan","High Gradient Experiment by Accelerator Tests Facility for Japan Linear Collider",144 146,
mo437,"T. Higo, K. Kubo, M. Suetake, M. Takao, K. Takata, KEK, Ibaraki, Japan","X-Band Accelerating Structure for Japan Linear Collider",147 149,
mo438,"T. Kageyama, Y. Morozumi, Y. Yamazaki, K. Yoshino, KEK, Ibaraki, Japan","A High-Power Moder of the ACS Cavity",150 152,
mo439,"Y. Morozumi, T. Kageyama, Y. Yamazaki, KEK, Ibaraki, Japan","Multi-Cavity Bridge Coupler",153 155,
mo440,"F. Naito, T. Kato, Y. Morozumi, E. Takasaki, Y. Takeuchi, Y. Yamazaki, KEK, Ibaraki, Japan","Design Features of the Input Coupler for the DTL",156 158,
mo441,"S.R. Ohsawa, I. Abe, S. Anami, A. Asami, Y. Ogawa, I. Sato, M. Yokota, KEK, Ibaraki, Japan","High-Power Hybrid Attenuator  Phase-Shifter Systems",159 161,
mo442,"T. Shidara, M. Akemoto, K. Takata, S.R. Takeda, M. Yoshida, KEK, Ibaraki, Japan","RD on an X-Band Klystron Modulator for Japan Linear Collider",162 164,
mo443,"T. Shidara, S. Anami, A. Asami, H. Honma, K. Nakao, KEK, Ibaraki, Japan","Microwave Source Upgrade of the KEK 2.5-GeV Linac Relevant to B-Factory Project",165 167,
mo444,"H. Mizuno, M. Akemoto, T. Higo, J. Odagiri, H. Sakai, KEK, Ibaraki, Japan","X-Band Klystron for Japan Linear Collider",168 170,
mo445,"M. Akemoto, H. Hayano, T. Kawamoto, T. Shidara, S.R. Takeda, J. Urakawa, KEK, Ibaraki, Japan","Klystron Modulators with HV Common-Bus for the JLC",171 173,
mo446,"S. Anami, M. Kawamura, T. Kubo, K. Kudo, M. Ono, T. Takanaka, T. Takanaka, KEK, Ibaraki, Japan; S. Koseki, S. Ogawa, Hitachi Works, Ibaraki-ken, Japan","A Long-Pulse Thyristor-Switched Modulator for the JHP Proton Linac",174 176,
mo447,"R.D. Ryne, S.S. Yu, LLNL, Livermore, California, USA","Relativistic Klystron Simulations Using RKTW2D",177 179,
mo448,"R.D. Ryne, S.S. Yu, LLNL, Livermore, California, USA","Using Traveling Wave Structures to Extract Power from Relativistic Klystrons",180 182,
mo449,"I. Sato, Y.L. Wang, KEK, Ibaraki, Japan","Study of High Efficiency Linear Accelerator Structure",183 185,
mo450,"W.W. MacKay, F.R. Huson, C. Kronke, D. Sun, J. Zeigler, Texas AM University  Texas Accelerator Center, The Woodlands, Texas, USA","Operation of a 473MHz Pulsed Klystrode Power Source",186 188,
mo451,"J. Calame, V.L. Granatstein, P.E. Latham, W. Lawson, W. Main, S.M. Miller, C.D. Striffler, S. Tantawi, University of Maryland, College Park, Maryland, USA","Mode Competition in High Power Gyroklystron Amplifiers",189 191,
mo452,"G.A. Westenskow, D.P. Aalberts, J.K. Boyd, G.A. Deis, T.L. Houck, T.J. Orzechowski, R.D. Ryne, S.S. Yu, LLNL, Livermore, California, USA; J. Haimson, B. Mecklenburg, Haimson Research Corporation, Palo Alto, California, USA; D.B. Hopkins, A.M. Sessler, LBL, Berkeley, California, USA; M.A. Allen, R.S. Callin, H. Deruyter, K.R. Eppely, K.S. Fant, W.R. Fowkes, H.A. Hoag, R.F. Koontz, T.L. Lavine, G.A. Loew, R.H. Miller, R.D. Ruth, A.E. Vlieks, J.W. Wang, SLAC, Stanford, California, USA","Relativistic Klystrons for High-Gradient Accelerators",192 194,
mo453,"W. Lawson, J. Calame, V.L. Granatstein, B. Hogan, P.E. Latham, M. Naiman, M. Reiser, M. Skopec, C.D. Striffler, D. Welsh, University of Maryland, College Park, Maryland, USA; M.E. Read, Physical Sciences Inc., Alexandria, Virginia, USA","Operating Characteristics of a Two-Cavity X-Band Gyroklystron Experiment",195 197,
mo454,"R.M. Stringfield, B.E. Carlsten, W.W. Destler, R. Faehl, M.V. Fazio, R.F. Hoeberling, J. Kinross-Wright, T.J.T. Kwan, A.L. Peratt, D.G. Rickel, F.W. van Haaften, L.B. Warner, LANL, Los Alamos, New Mexico, USA","High Power RF Amplifiers for Accelerator Applications: The Large Orbit Gyrotron and the High Current, Space Charge Enhanced Relativistic Klystron",198 200,
mo455,"R. Nelson, J.A. Fugitt, R. Killion, CEBAF, Newport News, Virginia, USA","L-Band High Power Amplifiers for CEBAF Linac",201 203,
mo456,"P.B. Wilson, Z.D. Farkas, R.D. Ruth, SLAC, Stanford, California, USA","SLED II: A New Method of RF Pulse Compression",204 206,
mo457,"S. Shibuya, KEK, Ibaraki, Japan; S. Arai, A. Imanishi, T. Morimoto, E. Tojyo, N. Tokuda, University of Tokyo, Tanashi, Tokyo, Japan","RF Tests on the INS 25.5-MHz Split Coaxial RFQ",207 209,
mo458,"W.J. Hoffert, S.R. Schmidt, D.A. Swenson, Science Applications International Corporation, San Diego, California, USA","Close-Coupled RF Power Systems for Linacs",210 212,
mo459,"G.O. Bolme, G.P. Boicourt, L.L. Booth, N.K. Bultman, E. Foley, D. Liska, R.A. Lohsen, J.B. Niesen, J. Rose, B. Rusnak, G. Spalek, N.G. Wilson, LANL, Los Alamos, New Mexico, USA","Measurement of RF Surface Efficiency at Cryogenic Temperatures Using a Coaxial Resonant Cavity",213 215,
mo460,"D. Sun, F.R. Huson, W.W. MacKay, Texas AM University  Texas Accelerator Center, The Woodlands, Texas, USA","Voltage Breakdown Test at 473 MHz",216 218,
mo461,"G.O. Bolme, G.P. Boicourt, K.F. Johnson, R.A. Lohsen, O.R. Sander, L.S. Walling, LANL, Los Alamos, New Mexico, USA","Measurement of RF Accelerator Cavity Field Levels at High Power from X-Ray Emissions",219 222,
mo462,"T.P. Hughes, R.E. Clark, T.C. Genoni, Mission Research Corporation, Albuquerque, New Mexico, USA","Theory and 3-D Simulations of an RF Accelerating Cavity with Asymmetric Power Feed",223 225,
mo463,"S.K. Brown, E.A. Wadlinger, LANL, Los Alamos, New Mexico, USA","The Use of a Spredsheet in the Design of Accelerator Components",226 228,
mo464,"W.J.D. Johnson, W.E. Stein, LANL, Los Alamos, New Mexico, USA","Dual Klystron Modulator",229 231,
mo465,"C. Leemann, C.G. Yao, CEBAF, Newport News, Virginia, USA","A Highly Effective Deflecting Structure",232 234,
mo466,"H. Honma, S. Anami, A. Asami, T. Shidara, KEK, Ibaraki, Japan; H. Sakaguchi, Nichikon Co. Ltd, Kusatsu, Shiga-ken, Japan","Improvements to the PFN Capacitors for the Klystron Modulators of the KEK 2.5 GeV Linac",235 237,
mo467,"N.M. Kroll, X. Lin, SLAC, Stanford, California, USA","Computer Determinations of the Properties of Waveguide Loaded cavities",238 240,
mo468,"H. Fujisawa, Nissin Electric Company Ltd, Minamiku, Kyoto, Japan; M. Inoue, Y. Iwashita, H. Takekoshi, Accelerator Laboratory Kyoto University, Uji, Kyoto, Japan","Design Study of a Heavy Ion RF Linac for MeV Implanter",241 243,
mo469,"J. Haimson, B. Mecklenburg, Haimson Research Corporation, Palo Alto, California, USA","Use of TW Output Structures for High Peak Power RF Generators",244 246,
mo470,"J. Gao, LAL, Orsay, France","The Precise Measurement of Electric and Magnetic Fields in a Resonant Cavity",247 249,
mo471,"J.G. Bannenberg, W.H. Urbanus, R.G.C. Wojke, FOM-Institute for Atomic and Molecular Physics, Amsterdam, The Netherlands; H. Klein, A. Schempp, R.W. Thomae, T. Weis, IAP, Frankfurt am Main, Germany; P.W. van Amersfoort, FOM-Institute for Plasma Physics, Nieuwegein, The Netherlands","MEQALAC: A 1 MeV Multichannel RF Accelerator for Nitrogen Ions",250 252,
mo472,"B. Aune, B. Bonin, J.M. Cavedon, M. Juillard, A. Godin, C. Henriot, Ph. Leconte, H. Safa, A. Veyssière, C. Zylberajch, CEN-Saclay, Gif-sur-Yvette, France","Degradation of Niobium Superconducting RF Cavities During Cooling Time",253 255,
th101,"Y. Yamazaki, M. Kihara, KEK, Ibaraki, Japan","Development of the High-Intensity Proton Linac for the Japanese Hadron Project",543 547,
th102,"T.P. Wangler, G.P. Lawrence, T.S. Bhatia, J.H. Billen, K.C.D. Chan, R.W. Garnett, F.W. Guy, D. Liska, S. Nath, G.H. Neuschaefer, M. Shubaly, LANL, Los Alamos, New Mexico, USA","Linear Accelerator for Production of Tritium: Physics Design Challenges",548 552,
th103,"G.P. Lawrence, LANL, Los Alamos, New Mexico, USA","New Applications for High-Power Proton Linacs",553 557,
th104,"R.W. Hamm, AccSys Technology Inc., Pleasanton, California, USA","Commercial Applications of Linacs",558 562,
th201,"R.K. Cooper, K.C.D. Chan, LANL, Los Alamos, New Mexico, USA","Summary of 1990 Code Conference",565 567,
th202,"H. Haseroth, CERN, Geneva, Switzerland","A Heavy Ion Injector at CERN",568 572,
th203,"S.P. Jachim, LANL, Los Alamos, New Mexico, USA","Some New Methods of RF Control",573 577,
th401,"G.I. Batskikh, A.P. Fedotov, B.P. Murin, Radiotechnical Institute, Moscow, USSR","Linear Accelerator for Burner-Reactor",581 583,
th402,"B.P. Murin, A.P. Durkin, O.Yu. Shlygin, I.V. Shumakov, Radiotechnical Institute, Moscow, USSR","Super High-Power RF Regotron-Type Generator for Linear Accelerator with High Mean Currents",584 586,
th403,"J. Ungrin, S.B. Alexander, S.T. Craig, G. Frketich, V.A. Mason, I.L. McIntyre, M.P. Simpson, D.L. Smyth, R.J. West, B.F. White, Atomic Energy of Canada, Chalk River, Ontario, Canada","Operating Experience with the IMPELA-10/50 Industrial Linac",587 589,
th404,"G.T. Konrad, Siemens Medical Laboratories, Inc., Concord, California, USA","An Electron Linac for Intraoperative Radiation Therapy",590 592,
th405,"S. Yamada, A. Itano, M. Kanazawa, A. Kitagawa, T. Kohno, O. Morishita, K. Noda, H. Ogawa, K. Sato, Y. Sato, M. Sudou, E. Takada, T. Yamada, Y. Hirao, National Institute of Radiological Sciences (NIRS), Chiba-shi, Japan; Y. Miyazawa, RIKEN, Saitama, Japan; K. Sawada, Sumitomo Heavy Industries Ltd., Ehime, Japan; T. Hattori, Tokyo Institute of Technology, Meguro-ku, Tokyo, Japan","Injector System of HIMAC",593 595,
th406,"H. Kobayashi, A. Asami, A. Enomoto, K. Furukawa, H. Honma, N. Kamikubota, T. Kurihara, K. Nakamura, S. Ohsawa, T. Oogoe, T. Urano, Y. Yamazaki, KEK, Ibaraki, Japan","Test Linac Facility at Photon Factory, KEK",596 598,
th407,"P. Liger, G.A. Krafft, CEBAF, Newport News, Virginia, USA","Numerical Modelling of the CEBAF Electron Gun with EGUN",599 601,
th408,"C. Travier, J. Gao, H. Liu, LAL, Orsay, France","LAL (Orsay) RF Gun Simulations and Model Cavity Design",602 604,
th409,"M.G. Mazarakis, L.F. Bennett, W.R. Olson, J.W. Poukey, D.L. Smith, B.N. Turman, Sandia National Laboratories, Albuquerque, New Mexico, USA","Electron Diodes and Cavity Design for the New 4-MeV Injector of the Recirculating Linear Accelerator (RLA)",605 607,
th410,"J.W. Poukey, M.G. Mazarakis, Sandia National Laboratories, Albuquerque, New Mexico, USA","Numerical Models of Injectors for High-Current Electron Linacs",608 610,
th411,"A. Nassiri, G. Mavrogenes, W. Wesolowski, ANL, Argonne, Illinois, USA","The Linac Injector for the ANL 7 GeV Advanced Photon Source",611 613,
th412,"R. Bossart, J.P. Delahaye, J.C. Godot, J.H.B. Madsen, P. Pearce, A.J. Riche, L. Rinolfi, CERN, Geneva, Switzerland","The LEP Injector Linac",614 616,
th413,"H. Yoshikawa, M. Iizuka, T. Ishida, K. Mashiko, A. Mizuno, N. Nakamura, H. Suzuki, K. Yamada, H. Yokomizo, JAERI, Ibaraki, Japan","The Injector Linac for SPring-8",617 619,
th414,"A. Asami, KEK, Ibaraki, Japan","KEK 2.5-GeV Electron/Positron Linac Status and Research Activities",620 622,
th415,"A. Enomoto, A. Asami, K. Kakihara, T. Kamitani, S. Ohsawa, T. Oogoe, I. Sato, KEK, Ibaraki, Japan","Present Status and Reinforcement Plan of the KEK Positron Generator",623 625,
th416,"K. Alrutz-Ziemssen, D. Flasche, H.-D. Gräf, V. Huck, K.D. Hummel, G. Kalisch, C. Lüttge, J. Pinkow, A. Richter, T. Rietdorf, P. Schardt, E. Spamer, A. Stascheck, A. Stiller, O. Titze, H. Weise, W. Ziegler, TH Darmstadt, Darmstadt, Germany","First Operation of the Superconducting 130 MeV CW-Electron-Accelerator at Darmstadt",626 628,
th417,"H. Matsumoto, M. Akemoto, H. Hayano, T. Naito, S.R. Takeda, KEK, Ibaraki, Japan","High-Gradient Experiment of the S-Band Electron Linac",629 631,
th418,"A. Aragona, C. Biscari, R. Boni, M. Castellano, V. Chimenti, G. Di Pirro, A. Gallo, A. Ghigo, P. Patteri, B. Spataro, F. Tazzioli, M. Vescovi, INFN-LNF, Frascati (Roma), Italy; N. Cavallo, F. Cevenini, F. Giacco, INFN-Napoli, Napoli, Italy; S. Kulinski, Institute for Nuclear Studies, Swierk, Poland","The Injector of the Superconducting Linac LISA",632 634,
th419,"A. Aragona, S. Bartalucci, C. Biscari, R. Boni, M. Castellano, V. Chimenti, G. Di Pirro, S. Faini, A. Gallo, U. Gambardella, A. Ghigo, C. Marchetti, C. Milardi, P. Patteri, C. Sanelli, M. Serio, B. Spataro, S. Tazzari, F. Tazzioli, L. Trasatti, M. Vescovi, INFN-LNF, Frascati (Roma), Italy; N. Cavallo, F. Cevenini, INFN-Napoli, Napoli, Italy; S. Kulinski, Institute for Nuclear Studies, Swierk, Poland; L. Palumbo, University of Rome La Sapienza, Rome, Italy","The Linear Superconducting Accelerator (LISA) Project at Frascati INFN Laboratories",635 637,
th420,"N. Nakamura, M. Iizuka, T. Ishida, K. Mashiko, A. Mizuno, H. Suzuki, K. Yamada, H. Yokomizo, H. Yoshikawa, JAERI, Ibaraki, Japan","Design of a Bunching System for a High-Current Electron Linac",638 640,
th421,"B.E. Carlsten, G.R. Magelssen, B.D. McVey, L.M. Young, LANL, Los Alamos, New Mexico, USA; E.M. Svaton, Rockwell International, Rocketdyne Division, Kirtland, New Mexico, USA","Magnetic Bunchers for the Generation of High Peak Current, Low Emittance Electron Pulses at Medium Energy",641 643,
th422,"M. Akemoto, H. Akiyama, H. Hayano, H. Kobayashi, T. Naito, H. Matsumoto, Y. Otake, S.R. Takeda, KEK, Ibaraki, Japan","Electron Gun of the Accelerator Test Facility for the JLC",644 646,
th423,"Y. Kurihara, K. Itoga, T. Omori, Y. Takeuchi, M. Yoshioka, KEK, Ibaraki, Japan; H. Aoyagi, T. Nakanishi, M. Tsubata, Nagoya University, Nagoya, Japan; T. Baba, M. Mizuta, Fundamental Research Laboratories, NEC Corp., Tsukuba, Japan","Development of Polarized Electron Source Using GaAs-AlGaAs Superlattice",647 649,
th424,"A. Cucchetti, L.M. Young, LANL, Los Alamos, New Mexico, USA","Design of a 10-MeV Photoinjector Accelerator for ELFA",650 652,
th425,"M. Newton, D. Barrett, C. Ollis, D. Pendleton, LLNL, Livermore, California, USA","Energy Flow and High Repetition Rate Issues for the ETA-II Magnetic Modulator System",653 655,
th426,"W.M. Sharp, LLNL, Livermore, California, USA; A.M. Sessler, D.H. Whittum, LBL, Berkeley, California, USA; J.S. Wurtele, MIT-Bates, Cambridge, Massachusetts, USA","Simulation of a Standing-Wave Free-Electron Laser",656 658,
th427,"B. Aune, J.L. Belmont, J.P. Didelez, G. Leleux, J.M. Loiseaux, M. Gouttefangeas, M. Promé, A. Tkatchenko, CEN-Saclay, Gif-sur-Yvette, France","Towards a 12 GeV Electron Accelerator for Nuclear Physics with a 100% Duty Cycle",659 661,
th428,"I. Hsu, M. Browne, T. Himel, R. Humphrey, R.K. Jobe, J.-L. Pellegrin, M. Ross, J.T. Seeman, SLAC, Stanford, California, USA","The Energy Stabilization for the SLC Scavenger Beam",662 664,
th429,"Yu.P. Vakhrushin, Yu.A. Svistunov, M.F. Vorogushin, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, Leningrad, USSR","The Problems of Ion Beams Modeling in Injectors and RFQ Linacs",665 667,
th430,"J.G. Wang, D. Kehne, M. Reiser, D.X. Wang, University of Maryland, College Park, Maryland, USA; T. Shea, BNL, Upton, New York, USA; E. Boggasch, GSI, Darmstadt, Germany","Induction Acceleration Module for Maryland Pulse Compression Experiment",668 670,
th431,"J.G. Alessi, K. Prelac, BNL, Upton, New York, USA","Status of the BNL Toroidal Volume H- Source",671 673,
th432,"J.G. Alessi, J.M. Brennan, A. Kponou, V. LoDestro, P.A. Montemurro, BNL, Upton, New York, USA","The BNL 200 MeV H- Linac - Performance and Upgrades",674 676,
th433,"G.M. Arbique, B.G. Chidley, M.S. de Jong, G.E. McMichael, J.Y. Sheikh, Atomic Energy of Canada, Chalk River, Ontario, Canada","Beam Performance and Measurements on the RFQ1 Accelerator",677 679,
th434,"Y. Mori, T. Okuyama, A. Takagi, KEK, Ibaraki, Japan; D. Yuan, TRIUMF, Vancouver, Canada","Cesium Effect on Volume H- Ion Source",680 682,
th435,"A. Schempp, H. Deitinghoff, IAP, Frankfurt am Main, Germany; M. de Saint Simon, C. Thibault, CSNSM, Orsay, France; F. Botlo-Pilat, CERN, Geneva, Switzerland","Deceleration of Antiprotons with a RFQ",683 685,
th436,"E. Tanke, M.J. Vretenar, M. Weiss, CERN, Geneva, Switzerland","Performance of the CERN High-Intensity RFQ",686 688,
th437,"J. Urakawa, K. Egawa, T. Higo, T. Ieiri, K. Kanazawa, M. Kikuchi, H. Kitamura, K. Kubo, S. Kuroda, Y. Mizumachi, H. Nakayama, K. Oide, Y. Sakamoto, S. Sakanaka, M. Takao, S.R. Takeda, Y. Takeuchi, M. Tejima, N. Yamamoto, S. Yamamoto, K. Yokoya, M. Yoshioka, KEK, Ibaraki, Japan","Preliminary Designs of 1.54 GeV Damping Ring and Bunch Compressor for the JLC",689 691,
th438,"B. Feinberg, G. Behrsing, B. Gavin, S. Ryce, K. Sihler, D. Syversrud, LBL, Berkeley, California, USA","Ion Source and Injector Improvements at the SuperHILAC",692 694,
th439,"F. Naito, T. Kato, E. Takasaki, Y. Yamazaki, KEK, Ibaraki, Japan","Development of the DTL for the JHP",695 697,
th440,"R. Kazimi, F.R. Huson, W.W. MacKay, Texas AM University  Texas Accelerator Center, The Woodlands, Texas, USA","Test of a 473 MHz Four-Rod RFQ",698 700,
th441,"K.F. Johnson, G.O. Bolme, J.D. Gilpatrick, F.W. Guy, J.H. Marquardt, O.R. Sander, D. Sandoval, V. Yuan, LANL, Los Alamos, New Mexico, USA; K. Saadatmand, Grumman Corporate Research Center, Princeton, New Jersey, USA","The Single-Beam Funnel Demonstration: Experiment and Simulation",701 703,
th442,"L.S. Walling, P. Allison, A.H. Shapiro, LANL, Los Alamos, New Mexico, USA","Transverse Coupling Impedance Measurement Studies of Low-Q Cavities",704 706,
th443,"B.P. Murin, V.M. Pirozhenko, O.V. Plink, Radiotechnical Institute, Moscow, USSR","High-Current, Low-Energy RF Ion Accelerator",707 709,
th444,"C.R. Meitzler, P. Datte, F.R. Huson, P. Tompkins, Texas AM University  Texas Accelerator Center, The Woodlands, Texas, USA; D. Raparia, SSCL, Dallas, Texas, USA","Progress on the TAC Ion Source and LEBT",710 712,
th445,"U. Ratzinger, N. Angert, W. Bleuel, B. Wolf, GSI, Darmstadt, Germany; R. Geller, CEN-Grenoble, Grenoble, France","Proposal of a Pulsed ECR-Source for Synchrotron Injection",713 715,
th446,"E.P. Lee, L. Smith, LBL, Berkeley, California, USA","Asymptotic Analysis of the Longitudinal Instability of a Heavy Ion Induction Linac",716 718,
th447,"W. Barry, P. Kloeppel, R. Rossmanith, CEBAF, Newport News, Virginia, USA","Technique of Measuring Bunch Length by Phasing an RF Cavity",719 720,
