FR101,"H. Hayano, KEK, Ibaraki","Overview of Linear Collider Test Facilities and Results",
MOP03,"J. Alessi, J. Beebe Wang, D. Raparia, W.-T. Weng, BNL, Upton, Long Island, New York","Proposal for Reduction of Transverse Emittance of BNL 200 MeV Linac",
MOP05,"L. Dahl, W. Barth, T. Beier, GSI, Darmstadt; C. A. Kitegi, U. Ratzinger, A. Schempp, IAP, Frankfurt-am-Main; W. Vinzenz, GSI, Darmstadt","The HITRAP-Decelerator for Heavy Highly-Charged Ions",
MOP06,"L. Groening, W. Barth, L. Dahl, GSI, Darmstadt; B. Hofmann, IAP, Frankfurt-am-Main; R. Hollinger, GSI, Darmstadt; Z. Li, U. Ratzinger, A. Schempp, IAP, Frankfurt-am-Main; P. Spädtke, GSI, Darmstadt; R. Tiede, IAP, Frankfurt-am-Main; W. Vinzenz, S. Yaramishev, GSI, Darmstadt","A Dedicated 70 MeV Proton Linac for the Antiproton Physics Program of the Future Facility for Antiproton and Ion Research (FAIR) at Darmstadt",
MOP07,"S. Richter, W. Barth, L. Dahl, J. Glatz, L. Groening, S. Yaramishev, GSI, Darmstadt","High Current Beam Transport to SIS18",
MOP08,"S. Yaramishev, W. Barth, L. Dahl, L. Groening, S. Richter, GSI, Darmstadt","Investigation of the Beam Matching to the GSI-Alvarez DTL under Space Charge Conditions",
MOP09,"B. Schlitt, GSI, Darmstadt; A. Bechtold, IAP, Frankfurt-am-Main; K. Dermati, G. Hutter, F. Klos, GSI, Darmstadt; Y.R. Lu, PKU/IHIP, Beijing; C. Mühle, GSI, Darmstadt; U. Ratzinger, A. Schempp, IAP, Frankfurt-am-Main; W. Vinzenz, C. Will, O. Zurkan, GSI, Darmstadt","Status of the 7 MeV/u, 217 MHz Injector Linac for the Heidelberg Cancer Therapy Facility",
MOP10,"C. A. Kitegi, IAP, Frankfurt-am-Main; S. Minaev, ITEP, Moscow; U. Ratzinger, IAP, Frankfurt-am-Main","The IH Cavity for HITRAP",
MOP11,"Y.R. Lu, Y.R. Lu, GSI, Darmstadt; S. Minaev, ITEP, Moscow; U. Ratzinger, IAP, Frankfurt-am-Main; B. Schlitt, GSI, Darmstadt; R. Tiede, IAP, Frankfurt-am-Main","The Compact 20 MV IH-DTL for the Heidelberg Cancer Therapy Facility",
MOP12,"R. Tiede, IAP, Frankfurt-am-Main; W. Barth, GSI, Darmstadt; G. Clemente, IAP, Frankfurt-am-Main; L. Groening, GSI, Darmstadt; Z. Li, IMP, Lanzhou; S. Minaev, ITEP, Moscow; H. Podlech, U. Ratzinger, IAP, Frankfurt-am-Main","KONUS Beam Dynamics Design of a 70 mA, 70 MeV Proton CH-DTL for GSI-SIS12",
MOP14,"S. Fu, IHEP Beijing, Beijing; B. Cui, CIAE, Beijing; J. Fang, PKU/IHIP, Beijing; S.X. Fang, IHEP Beijing, Beijing; X. Guan, CIAE, Beijing; Z.Y. Guo, PKU/IHIP, Beijing; H. Ouyang, S. Zhao, IHEP Beijing, Beijing","Development of Intense Beam Proton Linac in China",
MOP15,"P. Posocco, M. Comunian, INFN/LNL, Legnaro, Padova; E. Fagotti, INFN Milano, Milano; A. Pisent, INFN/LNL, Legnaro, Padova","TRASCO-RFQ as Injector for the SPES-1 Project",
MOP16,"A. Pisent, M. Comunian, J. Esposito, INFN/LNL, Legnaro, Padova; E. Fagotti, INFN Milano, Milano; G. Lamanna, CINEL, Vigonza (PD); M. S. Mathot, CERN, Geneva; A. Palmieri, INFN/LNL, Legnaro, Padova","The TRASCO-SPES RFQ",
MOP17,"E. Fagotti, INFN Milano, Milano; M. Comunian, A. Pisent, INFN/LNL, Legnaro, Padova","Design of the SPES-1 LEBT",
MOP18,"H. Ao, H. Akikawa, JAERI/LINAC, Ibaraki-ken; K. Hasegawa, JAERI, Ibaraki-ken; N. Hayashizaki, TIT, Tokyo; M. Ikegami, S. Noguchi, KEK, Ibaraki; V.V. Paramonov, RAS/INR, Moscow; A. Ueno, JAERI, Ibaraki-ken; Y. Yamazaki, J-PARC, Ibaraki-ken","Cold-Model Tests and Fabrication Status for J-PARC ACS",
MOP19,"Y. Kondo, JAERI, Ibaraki-ken; K. Ikegami, M. Ikegami, KEK, Ibaraki; A. Ueno, JAERI, Ibaraki-ken","Particle Distributions at the Exit of the J-PARC RFQ",
MOP20,"Z. Li, IMP, Lanzhou; W. Barth, GSI, Darmstadt; G. Clemente, IAP, Frankfurt-am-Main; K. Dermati, L. Groening, GSI, Darmstadt; H. Podlech, U. Ratzinger, R. Tiede, IAP, Frankfurt-am-Main","Design of the R.T. CH-Cavity and Perspectives for a New GSI Proton Linac",
MOP21,"C. Christou, DIAMOND, Chilton, Didcot, Oxon; K. Dunkel, ACCEL, Bergisch Gladbach; V. Kempson, DIAMOND, Chilton, Didcot, Oxon; C. Piel, ACCEL, Bergisch Gladbach","The Pre-Injector Linac for the Diamond Light Source",
MOP24,"L. Donley, J.C. Dooling, G.E. McMichael, V. F. Stipp, ANL, Argonne, Illinois","Using a Solid State Switch for a 60kV Bouncer to Control Energy Spread during the Beam Pulse*",
MOP25,"K. Hayakawa, Y. Hayakawa, K. Ishiwata, K. Kanno, K. Nakao, T. Sakai, I. Sato, T. Tanaka, LEBRA, Funabashi; K. Yokoyama, KEK, Ibaraki","The LEBRA 125 MeV Electron Linac for FEL And PXR Generation",
MOP26,"D.J. Holder, C.K.M. Gerth, F.E. Hannon, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; R.J. Smith, CLRC, Daresbury, Warrington, Cheshire","ERLP Gun Commissioning Beamline Design",
MOP27,"Q. Jin, TSINGHUA, Beijing; B. Chen, BIEVT, Beijing 100016; Y. Lin, TSINGHUA, Beijing; B. Sun, BIEVT, Beijing 100016; X. Sun, X. Tao, D. Tong, TSINGHUA, Beijing; Y. Zou, BIEVT, Beijing 100016","Commissioning of a 6 MeV X-Band SW Accelerating Guide",
MOP28,"R.M. Jones, SLAC/ARDA, Menlo Park, California","A Study of Higher-Band Dipole Wakefields in X-Band Accelerating Structures for the G/NLC",
MOP29,"J. Kewisch, I. Ben-Zvi, R. Calaga, X.Y. Chang, A. Jain, V. Litvinenko, C. Montag, V. Yakimenko, BNL, Upton, Long Island, New York","RHIC Electron Cooler",
MOP30,"V.V. Kobets, N. Balalykin, I.N. Meshkov, I.A. Seleznev, G. Shirkov, JINR, Dubna, Moscow Region","Linear Accelerator LINAC-800 of the DELSY Project",
MOP31,"S. Ohsawa, M. Ikeda, K. Kakihara, T. Kamitani, T. Oogoe, T. Sugimura, S. Yamaguchi, K. Yokoyama, KEK, Ibaraki","Development of a C-band Accelerating Module for SUPERKEKB",
MOP34,"S.H. Wang, IHEP Beijing, Beijing","Injector Linac Upgrade for the BEPCII Project",
MOP35,"X. Yang, H. Chen, Y. Chen, X. Jin, M. Li, H. Lu, Z. Xu, CAEP/IAP, Mianyang, Sichuan","The Research of a Novel SW Accelerating Structure with Small Beam Spot",
MOP36,"N. Baboi, DESY, Hamburg; G. Devanz, CEA/DAPNIA-SACM, Gif-sur-Yvette Cedex; G. Kreps, DESY, Hamburg; O. Napoly, CEA/DSM/DAPNIA, Gif-sur-Yvette; R. Paparella, CEA/DAPNIA-SACM, Gif-sur-Yvette Cedex; M. Wendt, DESY, Hamburg","Preliminary Study on HOM-Based Beam Alignment in the TESLA Test Facility",
MOP37,"Y.K. Batygin, SLAC, Stanford","Optimization of Positron Capture in NLC",
MOP38,"Y.K. Batygin, SLAC, Stanford","Background from Undulator in the Proposed Experiment with Polarized Positrons",
MOP39,"Y.K. Batygin, SLAC, Stanford","Positron Transmission and Polarization in E-166 Experiment",
MOP40,"R.M. Jones, V.A. Dolgashev, SLAC/ARDA, Menlo Park, California; Z. Li, SLAC, Menlo Park, California; J. Wang, SLAC/ARDB, Menlo Park, California","A Study Of Coupler-Trapped Modes In X-Band Linacs for the GLC/NLC",
MOP41,"N. Baboi, DESY, Hamburg; R.M. Jones, SLAC/ARDA, Menlo Park, California","Emittance-Imposed Alignment and Frequency Tolerances for the TESLA Linear Collider",
MOP42,"R.M. Jones, SLAC/ARDA, Menlo Park, California","Linac Alignment and Frequency Tolerances from the Perspective of Contained Emittances for the G/NLC",
MOP43,"D. Schulte, E. J. N. Wilson, F. Zimmermann, CERN, Geneva","The Impact of Longitudinal Drive Beam Jitter on the CLIC Luminosity",
MOP44,"D. Schulte, A. Grudiev, CERN, Geneva; K. Oide, KEK, Ibaraki; F. Zimmermann, CERN, Geneva","Electron-Cloud Effects in the Positron Linacs of Future Linear Colliders",
MOP45,"D. Schulte, CERN, Geneva","A Potential Signal for Luminosity Optimisation in CLIC",
MOP46,"R. Tikhoplav, Rochester University, Rochester, New York; N. Barov, Northern Illinois University, DeKalb, Illinois; A.C. Melissinos, Rochester University, Rochester, New York; D. Mihalcea, Northern Illinois University, DeKalb, Illinois; P. Piot, FNAL, Batavia, Illinois","Experimental Investigation of the Longitudinal Beam Dynamics in a Photo-Injector using a Two-Macroparticle Bunch",
MOP47,"Y.-E. Sun, K.-J. Kim, Chicago University, Chicago, Illinois; P. Piot, FNAL, Batavia, Illinois","Limiting Effects in the Round-To-Flat Beam Transformation",
MOP48,"J. Lemaire, CEA/DAM, Bruyères-le-Châtel","Gamma and X-rays Production for Experiments at ELSA Facility",
MOP49,"W.-D. Möller, D. Kostin, DESY, Hamburg","Status And Operating Experience of The TTF Coupler",
MOP62,"P. Craievich, R.J. Bakker, G. D'Auria, S.D. Di Mitri, Sincrotrone Trieste S.C.p.A., Basovizza, Trieste","Energy Spread in BTW Accelerating Structures at ELETTRA",
MOP63,"B. Doliwa, T. Weiland, TU Darmstadt, Darmstadt","Numerical Calculation of Coupling Impedances in Kicker Modules for Non-Relativistic Particle Beams",
MOP64,"N. Baboi, DESY, Hamburg; G. Bowden, V.A. Dolgashev, R.M. Jones, J. Lewandowski, S.G. Tantawi, J. Wang, SLAC/ARDA, Menlo Park, California","Wire Measurement of Impedance of an X-Band Accelerating Structure",
MOP65,"S. Kuzikov, IAP, Nizhniy Novgorod","Simple Theory of Thermal Fatigue Caused by RF Pulse Heating",
MOP66,"K. Rothemund, D. Hecht, U. van Rienen, Rostock University, Faculty of Engineering, Rostock","Calculation of RF Properties of the Third Harmonic Cavity",
MOP67,"D. Kostin, M. Dohlus, W.-D. Möller, DESY, Hamburg","TESLA RF Power Coupler Thermal Calculations",
MOP68,"E.S. Masunov, S.M. Polozov, MEPhI, Moscow","Ribbon Ion Beam Dynamics in Undulator Linear Accelerator",
MOP69,"A. Hofler, TJNAF, Newport News, Virginia; V. Ayvazyan, A. Brandt, DESY, Hamburg; T. Czarski, WUT, Warsaw; J. R. Delayen, TJNAF, Newport News, Virginia; T. Matsumoto, KEK, Ibaraki; S. Simrock, DESY, Hamburg","RF Control Modelling Issues for Future Superconducting Accelerators",
MOP70,"X. Tao, D. Tong, TSINGHUA, Beijing","A Pass Band Performance Simulation Code of Coupled Cavities",
MOP71,"T.P. Wangler, LANL, Los Alamos, New Mexico; N. Aseev, ANL/Phys, Argonne, Illinois; R. Crandall, TechSource, Santa Fe, NM; R. Garnett, LANL, Los Alamos, New Mexico; D. Gorelov, NSCL, East Lansing, Michigan; P.N. Ostroumov, ANL/Phys, Argonne, Illinois; J. Qiang, R. Ryne, LBNL, Berkeley, California; R.C. York, NSCL, East Lansing, Michigan","Advanced Beam-Dynamics Simulation Tools for RIA",
MOP72,"P.B. Wilson, SLAC, Menlo Park, California","RF Breakdown in Accelerator Structures: From Plasma Spots to Surface Melting",
MOP73,"R. Gobin, CEA/DAPNIA-SACM, Gif-sur-Yvette Cedex; P.-Y. Beauvais, CEA/DSM/DAPNIA, Gif-sur-Yvette; N. Comte, CEA/Saclay, Gif-sur-Yvette; G. Charruau, CEA/DSM/DAPNIA, Gif-sur-Yvette; D.D. De Menezes, O. Delferriere, R. Ferdinand, CEA/DAPNIA-SACM, Gif-sur-Yvette Cedex; Y. Gauthier, CEA/DSM/DAPNIA, Gif-sur-Yvette; F. Harrault, CEA/DAPNIA-SACM, Gif-sur-Yvette Cedex; P. Lehérissier, J.Y. Pacquet, GANIL, Caen","Development of a Permanent Magnet ECR Source to Produce a 5 mA Deuteron Beam at CEA/Saclay",
MOP74,"R. Gobin, K. Benmeziane, O. Delferriere, R. Ferdinand, CEA/DAPNIA-SACM, Gif-sur-Yvette Cedex; A. Girard, CEA DSM Grenoble, Grenoble; F. Harrault, CEA/DAPNIA-SACM, Gif-sur-Yvette Cedex","Recent Results of the 2.45 GHz ECR Source Producing H- Ions at CEA/Saclay",
MOP75,"J. Peters, DESY, Hamburg","Hminus Distribution in the HERA RF-Volume Source",
MOP76,"T. Nakanishi, F. Furuta, DOP Nagoya, Nagoya; H. Kobayakawa, DOE Nagoya, Nagoya-City; M. Kuriki, KEK, Ibaraki; M. Kuwahara, DOP Nagoya, Nagoya; H. Matsumoto, KEK, Ibaraki; K. Naniwa, S. Okumi, DOP Nagoya, Nagoya; Y. Takashima, DOE Nagoya, Nagoya-City; M. Yamamoto, N. Yamamoto, K. Yasui, DOP Nagoya, Nagoya; M. Yoshioka, KEK, Ibaraki","Ultra-High-Vacuum Problem for 200 keV Polarized Electron Gun with NEA-GaAs Photocathode",
MOP77,"V.V. Paramonov, N.I. Brusova, RAS/INR, Moscow; A. Donat, DESY Zeuthen, Zeuthen; K. Flöttmann, DESY, Hamburg; M. Krasilnikov, DESY Zeuthen, Zeuthen; A.I. Kvasha, A. Menshov, RAS/INR, Moscow; A. Oppelt, DESY Zeuthen, Zeuthen; O.D. Pronin, A.K. Skasyrskaya, A.A. Stepanov, RAS/INR, Moscow; F. Stephan, DESY Zeuthen, Zeuthen","Design Parameters of the Normal Conducting Booster Cavity for the PITZ-2 Test Stand",
MOP80,"H. Tomizawa, T. Asaka, H. Dewa, H. Hanaki, T. Kobayashi, JASRI-SPring-8, Hyogo; F. Matsui, FKLAB, Fukui City; A. Mizuno, S. Suzuki, T. Taniuchi, K. Yanagida, JASRI-SPring-8, Hyogo","Development of Adaptive Feedback Control System of Both Spatial and Temporal Beam Shaping for UV-Laser Light Source for RF Gun",
MOP81,"J. R. Delayen, J. Mammosser, O. Ozelis, Jefferson Lab, Newport News, Virginia","Analysis of the Qualification-Tests Performance of the Superconducting Cavities for the SNS Linac",
MOP82,"N. Khabiboulline, P. Bauer, L. Bellantoni, T. Berenc, C. Boffo, R. Carcagno, C. Chapman, H. Edwards, L. Elementi, M. Foley, FNAL, Batavia, Illinois; A. Gurevich, UW-Madison/ASC, Madison, Wisconsin; E. Hahn, D. Hicks, FNAL, Batavia, Illinois; M. Jewell, D. C. Larbalestier, P. Lee, UW-Madison/ASC, Madison, Wisconsin; D. Mitchell, FNAL, Batavia, Illinois; A. Polyanskii, UW-Madison/ASC, Madison, Wisconsin; A. Rowe, N. Solyak, FNAL, Batavia, Illinois; A. Squitieri, UW-Madison/ASC, Madison, Wisconsin; I. Terechkine, FNAL, Batavia, Illinois","SRF Cavity and Materials Ramp;D at Fermilab",
MOP84,"P. Kneisel, G. Ciovati, Jefferson Lab, Newport News, Virginia; J. Halbritter, FZ Karlsruhe, Karlsruhe; G. Myneni, Jefferson Lab, Newport News, Virginia; J. Sekutowicz, DESY, Hamburg; G. Wu, Jefferson Lab, Newport News, Virginia","First Cryogenic Tests with JLab's new Upgrade Cavities*",
MOP85,"P. Kneisel, Jefferson Lab, Newport News, Virginia; T. Carneiro, RMC, Bridgeville; M. Imagumbai, CBMM, Tokyo; Chr. Klinkenberg, NPC, Düsseldorf; G. Myneni, Jefferson Lab, Newport News, Virginia; D. Proch, W. Singer, X. Singer, DESY, Hamburg","Influence of Ta Content in High Purity Niobium on Cavity Performance: Preliminary Results*",
MOP86,"R.E. Laxdal, Y. Bylinskii, G.S. Clark, K. Fong, A.K. Mitra, R. L. Poirier, B. Rawnsley, T. Ries, I. Sekatchev, G. Stanford, V. Zvyagintsev, TRIUMF, Vancouver","Cold Test Results of the ISAC-II Medium Beta High Gradient Cryomodule",
MOP87,"B. Petersen, H. Lierl, A. Zolotov, DESY, Hamburg","Conceptual Layout of the European X-FEL Linear Accelerator Cryogenic Supply",
MOP88,"R. L. Poirier, K. Fong, P. Harmer, R.E. Laxdal, A.K. Mitra, I. Sekatchev, B. Waraich, V. Zvyagintsev, TRIUMF, Vancouver","RF Coupler Design for the TRIUMF ISAC-II Superconducting Quarter Wave Resonator",
MOP89,"B. Rawnsley, Y. Bylinskii, G. Dutto, K. Fong, TRIUMF, Vancouver; D. Giove, INFN/LASA, Segrate (MI); R.E. Laxdal, T. Ries, TRIUMF, Vancouver","A Wire Position Monitor System for the ISAC-II Cryomodule Components Alignment",
MOP92,"V. Zvyagintsev, TRIUMF, Vancouver","Simulation of the RF Coupler for TRIUMF ISAC-II Superconducting Quarter Wave Resonators",
TH101,"Y. Yamazaki, JAERI/LINAC, Ibaraki-ken","Status of the J-PARC Linac, Initial Results and Upgrade Plan",
TH102,"M. Vretenar, R. Garoby, CERN, Geneva","Overview of High Intensity Linac Programs in Europe",
TH103,"J. Norem, ANL, Argonne, Illinois","Summary of the Argonne Workshop on High Gradient RF",
TH104,"M. Peiniger, ACCEL, Bergisch Gladbach","Industrial RF Linac Experiences and Laboratory Interactions",
TH201,"H.P. Bohlen, CPI, Palo Alto, California; Y. Li, R.N. Tornoe, CPI/EIMAC, San Carlos, California","IOT RF Power Sources for Pulsed and CW Linacs",
TH202,"F. Caspers, CERN, Geneva","Review of Fast Beam Chopping",
TH203,"H. Kirk, BNL, Upton, Long Island, New York","High Power Targets",
TH204,"P.N. Ostroumov, ANL/Phys, Argonne, Illinois","End-to-End Beam Dynamics Simulations for the ANL-RIA Driver Linac",
TH301,"J. R. Delayen, Jefferson Lab, Newport News, Virginia","Intermediate-Velocity Superconducting Accelerating Structures",
TH302,"X. Wu, M. Doleans, D. Gorelov, T.L. Grimm, F. Marti, R.C. York, Q. Zhao, NSCL, East Lansing, Michigan","End-to-End Beam Simulations for the MSU RIA Driver Linac",
THP03,"Q. Zhao, V. Andreev, M. Doleans, D. Gorelov, T.L. Grimm, W. Hartung, F. Marti, S.O. Schriber, X. Wu, R.C. York, NSCL, East Lansing, Michigan","DESIGN IMPROVEMENT OF THE RIA 80.5 MHZ RFQ",
THP04,"M. Pekeler, S. Bauer, J. Schwellenbach, M. Tradt, H. Vogel, P. vom Stein, ACCEL, Bergisch Gladbach","Fabrication of Superconducting Cavities for SNS",
THP05,"M. Kelly, ANL, Argonne, Illinois; Z.A. Conway, J.D. Fuerst, M. Kedzie, K.W. Shepard, ANL/Phys, Argonne, Illinois","Superconducting beta=0.15 Quarter-Wave Cavity for RIA",
THP06,"M. Kelly, ANL, Argonne, Illinois; J.D. Fuerst, M. Kedzie, K.W. Shepard, ANL/Phys, Argonne, Illinois","Cold Tests of a Superconducting Co-Axial Half-Wave Cavity for RIA",
THP07,"B. Visentin, CEA/DSM/DAPNIA, Gif-sur-Yvette; S. Bousson, IPN, Orsay; D. Braud, J.P. Charrier, B. Coadou, CEA/DSM/DAPNIA, Gif-sur-Yvette; G. Devanz, CEA/DAPNIA-SACM, Gif-sur-Yvette Cedex; Y. Gasser, CEA/DSM/DAPNIA, Gif-sur-Yvette; H. Gassot, IPN, Orsay; J.P. Poupeau, P. Sahuquet, CEA/DSM/DAPNIA, Gif-sur-Yvette; H. Saugnac, P. Szott, IPN, Orsay","Performance Improvement of the Multicell Cavity Prototype for Proton LINAC Projects",
THP08,"A. Schempp, U. Bartz, N. Müller, J. Thibus, H. Zimmermann, IAP, Frankfurt-am-Main","The Frankfurt Funneling Experiment",
THP10,"A. Schempp, L. Brendel, B. Hofmann, H. Liebermann, IAP, Frankfurt-am-Main","Tuner Design for High Power 4-Rod-RFQs",
THP11,"A. Schempp, L. Brendel, B. Hofmann, IAP, Frankfurt-am-Main","Design of A 352 MHz-Proton-RFQ for GSI",
THP12,"G. Bisoffi, G. Bassato, G. Bezzon, A. Calore, S. Canella, F. Chiurlotto, A. Lombardi, P. Modanese, A.M. Porcellato, S. Stark, INFN/LNL, Legnaro, Padova","Superconducting RFQs in the PIAVE Injector",
THP13,"A. Facco, INFN/LNL, Legnaro, Padova; C. Compton, T.L. Grimm, W. Hartung, F. Marti, R.C. York, NSCL, East Lansing, Michigan; V. Zvyagintsev, TRIUMF, Vancouver","Construction of a 161 MHz, =0.16 Superconducting Quarter Wave Resonator with Steering Correction for RIA",
THP14,"R.E. Laxdal, TRIUMF, Vancouver; Z.H. Peng, CIAE, Beijing; V. Zvyagintsev, TRIUMF, Vancouver","High Beta Cavity Optimization for ISAC-II",
THP16,"G. Stanford, Y. Bylinskii, R.E. Laxdal, B. Rawnsley, T. Ries, I. Sekatchev, TRIUMF, Vancouver","Engineering and Cryogenic Testing of the ISAC-II Medium Beta Cryomodule",
THP17,"L. Picardi, ENEA C.R. Frascati, Frascati (Roma); S. Frullani, ISS, Rome; C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma)","Progress in the Development of the TOP Linac",
THP18,"K. Yamamoto, RIKEN, Saitama; T. Hattori, TIT, Tokyo; M. Okamura, RIKEN, Saitama; S. Yamada, NIRS, Chiba-shi","The Acceleration Test of the APF-IH-LINAC",
THP21,"A.P. Sumbaev, V. Alexandrov, N.Y. Kazarinov, V.F. Shevtsov, JINR, Dubna, Moscow Region","Calculation of Electron Beam Dynamics of the LUE-200 Accelerator",
THP22,"E.S. Masunov, S.M. Polozov, MEPhI, Moscow","3D Beam Dynamics Simulation in Undulator Linac",
THP23,"T. Nakanishi, F. Furuta, T. Gotou, M. Kuwahara, DOP Nagoya, Nagoya; H. Matsumoto, KEK, Ibaraki; K. Naniwa, S. Okumi, DOP Nagoya, Nagoya; K. Togawa, RIKEN Spring-8 Harima, Hyogo; M. Yamamoto, N. Yamamoto, K. Yasui, DOP Nagoya, Nagoya; M. Yoshioka, KEK, Ibaraki","An Electrode With Molybdenum-Cathode and Titanium-Anode to Minimize Field Emission Dark Currents",
THP24,"T. Nakanishi, F. Furuta, DOP Nagoya, Nagoya; H. Horinaka, OPU, Osaka; H. Kobayakawa, DOE Nagoya, Nagoya-City; M. Kuwahara, DOP Nagoya, Nagoya; T. Matsuyama, OPU, Osaka; K. Naniwa, T. Nishitani, S. Okumi, DOP Nagoya, Nagoya; Y. Takashima, Y. Takeda, O. Watanabe, DOE Nagoya, Nagoya-City; N. Yamamoto, K. Yasui, DOP Nagoya, Nagoya","Highly Polarized Electrons from GaAs-GaAsP and InGaAs-AlGaAs Strained Layer Superlattice Photocathodes",
THP25,"Y. Hozumi, GUAS/AS, Ibaraki; M. Ikeda, S. Ohsawa, T. Sugimura, KEK, Ibaraki","Development of Field-Emission Electron Gun from Carbon Nanotubes",
THP26,"N. Pichoff, CEA/DAM, Bruyères-le-Châtel; F. Bombardier, M. Caron, E. Merle, CEA, Pontfaverger-Moronvilliers; D.C. Moir, LANL, Los Alamos, New Mexico; C. Noël, O. Pierret, CEA, Pontfaverger-Moronvilliers; A. Piquemal, CEA/PTN, Bruyères-le-Châtel; R. Rosol, C. Vermare, CEA, Pontfaverger-Moronvilliers","Comparison of 2 Cathode Geometries for High Current (2 kA) Diodes",
THP27,"R. Ganter, PSI, Villigen; A. Candel, ETH, Zürich; M. Dehler, J. Gobrecht, C. Gough, G. Ingold, S. Leemann, PSI, Villigen; K. Li, ETH, Zürich; M. Paraliev, M. Pedrozzi, J.-Y. Raguin, L. Rivkin, V. Schlott, A. Streun, A. Wrulich, PSI, Villigen","Ultra Low Emittance Electron Gun Project for FEL Application",
THP28,"S. Kuzikov, Y.Y. Danilov, G. G. Denisov, V. G. Paveliev, D. Yu. Shegol'kov, IAP, Nizhniy Novgorod; I. Syratchev, CERN, Geneva; A. A. Vikharev, IAP, Nizhniy Novgorod","Multi-Mode SLED-II Pulse Compressors",
THP29,"T. Kamitani, N. Delerue, KEK, Ibaraki; Y. Hozumi, GUAS/AS, Ibaraki; M. Ikeda, K. Kakihara, S. Ohsawa, T. Oogoe, T. Sugimura, T. Takatomi, S. Yamaguchi, K. Yokoyama, KEK, Ibaraki","Development of C-band Accelerating Section for SuperKEKB",
THP30,"C. Piel, K. Dunkel, H. Vogel, P. vom Stein, ACCEL, Bergisch Gladbach","Production of S-band Accelerating Structures",
THP31,"G. Wu, R.A. Rimmer, Jefferson Lab, Newport News, Virginia; J. Sekutowicz, DESY, Hamburg; A. Sun, ORNL/SNS, Oak Ridge, Tennessee; H. Wang, Jefferson Lab, Newport News, Virginia","A Four-Cell Periodically HOM-Damped RF Cavity for High Current Accelerators",
THP32,"D. Kostin, DESY, Hamburg","New Accelerating Modules RF Test at TTF",
