A-01,"F.G. Resmini, INFN-Milano, Milan, Italy","Summary Talk on Cyclotrons (Invited paper)",19 26,
c-15,"E.D. Hudson, J.K. Bair, L.N. Howell, F. Irwin, J.W. Johnson, R.S. Lord, J.A. Martin, G.S. McNeilly, S.W. Mosko, L.L. Riedinger, ORNL, Oak Ridge, Tennessee, USA; M.A. Barre, M.P. Bourgarel, T.T. Luong, M. Ohayon, GANIL, Orsay, France","Magnet Model Studies for Separated-Sector Heavy-Ion Cyclotrons",197 200,
c-16,"E.D. Hudson, F. Irwin, M.L. Mallory, J.A. Martin, F.E. McDaniel, ORNL, Oak Ridge, Tennessee, USA","Magnetic-Field Trimming Studies for a Separated-Sector Cyclotron",201 204,
c-17,"Yu.P. Buzulokov, E.M. Hodakov, Yu.L. Jupinov, N.A. Putjatin, N.I. Venikov, Kurchatov Institute of Atomic Energy, Moscow, USSR","Magnetic Field Design and Measurement for the Kurchatov Institute Cyclotron",205 206,
d-01,"W. Joho, SIN, Villigen, Switzerland","Beam Transfer Between Accelerators at Cyclotron Facilities (Invited paper)",209 218,
d-02,"C.-A. Wiedner, Max-Planck-Institut für Kernphysik, Heidelberg, Federal Republic of Germany","Novelties in Spectrometers (Invited paper)",219 225,
d-03,"S. Lindbäck, H. Lindqvist, Scanditronix, Uppsala, Sweden","Injection in the VICKSI Cyclotron",226 230,
d-04,"The Synchro-Cyclotron Transformation Group, Institut de Physique Nucléaire, Orsay, France","The Beam Transport System for the Modified Orsay Synchro-Cyclotron",231 234,
d-05,"J. Reich, S. Martin, D. Proticacute;, G. Riepe, KFA, Jülich, Federal Republic of Germany","Improving the Energy Resolution of Particle Detection by Proper Beam Matching at JULIC",235 239,
d-06,"M.K. Craddock, University of British Columbia, Vancouver, British Columbia, Canada; E.W. Blackmore, G. Dutto, C.J. Kost, G.H. Mackenzie, J.R. Richardson, L.W. Root, P. Schmor, TRIUMF, Vancouver, British Columbia, Canada","Properties of the TRIUMF Cyclotron Beam",240 244,
d-07,"S. Chabert, T.T. Luong, M. Promé, GANIL, Orsay, France","Beam Dynamics in Separate-Sector Cyclotrons",245 248,
d-08,"J.A. Nolen, Jr., P.S. Miller, Michigan State University, East Lansing, Michigan, USA","Improved Energy Resolution with the MSU Cyclotron",249 253,
d-09,"W.A. van Kampen, J. Liedorp, Delft University, Delft, Netherlands","Precession Injection in the Delft Isochronous Cyclotron",254 259,
d-10,"J. Fermé, G. Gendreau, P. Yvon, GANIL, Orsay, France","Injection and Ejection Systems for the GANIL SSC",260 263,
d-11,"A. Jain, A.S. Divatia, Bhabha Atomic Research Centre, Trombay, Bombay, India","Comparison of Orbit Theories for Separated-Sectored Cyclotrons",264 267,
d-12,"D. Thouroude, University of Rennes, Rennes, France","Space Charge Effects in the Phase Plane During Injection in a Synchro-Cyclotron",268 270,
d-13,"G. Dutto, TRIUMF, Vancouver, British Columbia, Canada; M.K. Craddock, University of British Columbia, Vancouver, British Columbia, Canada","Focusing in RF Accelerating Gaps with Asymmetrically Curved Electric Equipotentials",271 274,
d-14,"D.T. Tran, A. Dupuis, J. Kervizic, B. Launé, G. Meyrand, D. Tronc, CGR-MeV, Orsay, France; G. Goin, CNRS, Orléans, France","Cyclotron Centre Region Study and Beam Diagnostic at Orléans' Cyclotron",275 278,
d-15,"J. Linz, J. Reich, P. Wucherer, KFA, Jülich, Federal Republic of Germany","Modification of the Centre Region for Better Beam Quality at JULIC",279 282,
d-16,"S. Adam, SIN, Villigen, Switzerland","The Isochronism in the SIN 590-MeV Ring Cyclotron",283 286,
d-17,"B.W. Allardyce, R. Giannini, B. Hedin, A. Susini, N. Vogt-Nilsen, CERN, Geneva, Switzerland; P. Mandrillon, GANIL, Orsay, France; S. Lindbäck, Scanditronix, Uppsala, Sweden","The Extraction System of the Improved CERN Synchro-Cyclotron",287 291,
d-18,"M. Olivo, SIN, Villigen, Switzerland","The Electrostatic Extractor Channel for the SIN 590-MeV Ring Cyclotron",292 296,
d-19,"R. Beck, GANIL, Orsay, France","Beam Transfer Problems on GANIL",297 298,
d-20,"M.M. Holland, S.E. Metelits, Nevis Laboratories, Columbia University, Irvington, New York, USA","Final Design and Initial Performance of the Nevis Secondary Beam Channel",299 305,
d-21,"J. Zichy, Ch. Markovits, L. Rezzonico, SIN, Villigen, Switzerland","The Design, Assembly and Performance of the SIN Beam Transfer Line",306 311,
d-22,"Y. Hirao, M. Fujita, T. Honma, H. Ogawa, Y. Sakurada, K. Sato, M. Sekiguchi, Y. Shida, I. Sugai, T. Tanabe, T. Yamada, N. Yamazaki, T. Yamazaki, M. Yasue, University of Tokyo, Tokyo, Japan","Beam Transport System for the INS 176-cm Sector-Focusing Cyclotron",312 314,
d-23,"R.E. Berg, University of Maryland, College Park, Maryland, USA","Rotating Wedge Cyclotron Beam Degrader",315 316,
d-24,"D. Calandroni, CGR-MeV, Orsay, France; Y. Hiramoto, NIRS, Chiba, Japan","A Simple Beam Chopper for TOF Experiments",317 319,
d-25,"W. Schulte, Hahn-Meitner-Institut, Berlin, Federal Republic of Germany; H.L. Hagedoorn, Eindhoven University of Technology, Eindhoven, Netherlands","On the Theory of the Coupling Between Radial Oscillations and HF Phase and Energy of Particles in Cyclotrons",320 323,
d-26,"L.A. Sarkisyan, Moscow State University, Moscow, USSR","Passage of Integral Resonances in a Cyclotron Kaon Facility",324 325,
d-27,"V.A. Belyakov, R.N. Litunovsky, O.A. Minyaev, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, Leningrad, USSR","Beam Extraction System in the Kiev 240-cm Isochronous Cyclotron",326 328,
e-01,"M. Olivo, SIN, Villigen, Switzerland","Beam Diagnostic Equipment for Cyclotrons (Invited paper)",331 340,
e-02,"J. Arianer, Institut de Physique Nucléaire, Orsay, France","New Developments in Heavy-Ion Sources (Invited paper)",341 348,
e-03,"J.-F.P. Marchand, Michigan State University, East Lansing, Michigan, USA","Beam Stabilization by External Beam-Phase Feedback",349 352,
e-04,"G.C.L. van Heusden, R. Reumers, N. van Schaik, Eindhoven University of Technology, Eindhoven, Netherlands","The HF Phase Measuring Equipment of the Eindhoven AVF Cyclotron",353 354,
e-05,"B.W. Allardyce, K. Gase, CERN, Geneva, Switzerland","Use of a Secondary Emission Monitor in the Extraction Channel of the CERN Synchro-Cyclotron",355 357,
e-06,"M. Daum, SIN, Villigen, Switzerland","Intensity Distribution Monitors for the SIN External Proton Beams",358 360,
e-07,"H. Appel, V. Böhmer, G. Büche, W. Kluge, H. Matthäy, Kernforschungszentrum, Karlsruhe, Federal Republic of Germany","<sup>-</sup> Beam Studies Using Time-of -Flight Methods",361 364,
e-08,"N.A. Konjachin, N.N. Krasnov, K.N. Lapin, V.N. Mironov, Power Physics Institute, Obninsk, USSR","Investigation of the Thermal Regime in a Cyclotron Target",365 367,
e-09,"A.K. Vaganov, V.I. Gordin, R.N. Litunovsky, V.S. Vasilyev, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, Leningrad, USSR","Measuring System of Phase Characteristics and Beam Stabilization of Cyclotrons",368 370,
e-10,"R. Galiana, R. Giannini, B. Hedin, N. Vogt-Nilsen, CERN, Geneva, Switzerland; R.A. Bell, SLAC, Stanford, California, USA","Ion Source and Central Region in the Improved CERN 600-MeV Synchro-Cyclotron",371 375,
e-11,"G. Haushahn, J. Möllenbeck, G. Schatz, F. Schulz, H. Schweickert, Kernforschungszentrum, Karlsruhe, Federal Republic of Germany","Status Report of the Axial Injection System at the Karlsruhe Isochronous Cyclotron",376 380,
e-12,"T.Y.T. Kuo, J.S. Laughlin, Sloan-Kettering Institute, New York, New York, USA","Initial Experience in Ion Production Using an Ultra-high Power Density Method",381 385,
e-13,"E. Acerbi, C. Birattari, M. Castiglioni, C. DeMartinis, F.G. Resmini, INFN-Milano, Milan, Italy","H<sup>-</sup> Beam Intensity Improvements at the Milan AVF Cyclotron",386 389,
e-14,"V. Bechtold, L. Friedrich, Kernforschungszentrum, Karlsruhe, Federal Republic of Germany; D. Finken, G. Strassner, P. Ziegler, University of Karlsruhe, Karlsruhe, Federal Republic of Germany","Polarized Deuterons of a Lambshift Ion Source Accelerated by the Karlsruhe Isochronous Cyclotron",390 393,
e-15,"A. McIlwain, S. Oh, University of Manitoba, Winnipeg, Canada","A Vertical Injection System for the University of Manitoba Cyclotron",394 396,
e-16,"A. Jain, A.S. Divatia, Bhabha Atomic Research Centre, Trombay, Bombay, India","An Ion Source for Obtaining Highly Stripped Heavy Ions",397 400,
f-01,"R. Wideröe, Brown-Boveri  Cie., retired, Nussbaumen, Switzerland; J.P. Blaser, SIN, Villigen, Switzerland; G. Burton, Hammersmith Hospital, London, UK; B. Larsson, University of Uppsala, Uppsala, Sweden; K.E. Scheer, Deutsches Krebsforschungszentrum, Heidelberg, Federal Republic of Germany","Panel Session: Accelerators for Hospitals",403 407,
f-02,"D.J. Silvester, Hammersmith Hospital, London, UK","Applications of Cyclotrons in Medical Diagnosis (Invited paper)",408 413,
f-03,"B. Larsson, University of Uppsala, Uppsala, Sweden","Proton and Heavy-Ion Therapy (Invited paper)",414 418,
f-04,"M.M. Kligerman, University of New Mexico, Albuquerque, New Mexico, USA","Meson Radiobiology and Therapy (Invited paper)",419 426,
f-05,"G.W. Barendsen, J.J. Broerse, Radiobiological Institute TNO, Rijswijk, Netherlands","Fast-Neutron Radiobiology and Radiotherapy",427 430,
f-06,"J.P. Meulders, A. Wambersie, Université Catholique de Louvain, Louvain-la-Neuve, Belgium","Survey of the ''Pretherapeutic'' Experiments with Fast Neutrons Produced with the 50-MeV Deuteron Beam of Cyclone",431 435,
f-07,"H. Liesem, U. Bertsche, Gesellschaft für Strahlen und Umweltforschung, Frankfurt, Federal Republic of Germany","Irradiation Experiments of Diploid Yeast with Heavy Particles",436 439,
f-08,"C. Crouzel, D. Comar, C. Kellershohn, R. Knipper, C. Le Poec, C. Sejourne, CEA, Orsay, France","Installation of a Compact Variable Energy Cyclotron in a Hospital and Preliminary Results Obtained",440 443,
f-09,"G. Wolber, G. Hartmann, F. Helus, K.-H. Höver, B.J. Lorenz, Deutsches Krebsforschungszentrum, Heidelberg, Federal Republic of Germany","Applications of the Compact Cyclotron of the German Cancer Researach Centre in Nuclear Medicine, Neutron Therapy and Radiation Biophysics",444 446,
f-10,"M.A. Chaudhri, University of Melbourne, Parkville, Victoria, Australia","The Potential and Application of Cyclotrons in Biomedical Fields",447 456,
f-11,"R. Weinreich, W. Bräutigam, H.-J. Machulla, H.-J. Probst, S.M. Quaim, G. Stöcklin, KFA, Jülich, Federal Republic of Germany","Production of Short-Lived Radioisotopes for Medical Applications Using High-Energy Reactions at JULIC",457 460,
f-12,"E. Acerbi, C. Birattari, M. Castiglioni, F.G. Resmini, INFN-Milano, Milan, Italy","Recent Developments in the Production of <sup>123</sup>I at the Milan AVF Cyclotron",461 464,
f-13,"Z.B. Alfassi, Ben Gurion University of the Negev, Beer Sheva, Israel","The Production of Short-Lived Radioisotopes by 14-MeV Neutrons",465 466,
f-14,"K.V. Ettinger, University of Aberdeen, Aberdeen, Scotland; O.J. Filkin, B.J. Thomas, University of Birmingham, Birmingham, UK","Transmission Detectors for Cyclotron in-vivo Irradiations with Neutrons",467 470,
f-15,"L. Dubal, SIN, Villigen, Switzerland","Non-Computerized, off-axial Tomography with 580-MeV Protons",471 473,
f-16,"F. Helus, W. Maier-Borst, Deutsches Krebsforschungszentrum, Heidelberg, Federal Republic of Germany; R.M. Lambrecht, A.P. Wolf, BNL, Upton, New York, USA","The Production of Radionuclides <sup>123</sup>I, <sup>77</sup>Br for Nuclear Medicine with High-Energetic <sup>4</sup>He Particles",474 477,
g-01,"C. Mayer-Böricke, KFA, Jülich, Federal Republic of Germany","Applications of Cyclotrons in Nuclear Physics (Invited paper)",481 487,
g-02,"F. Scheck, SIN, Villigen, Switzerland","Applications of Cyclotrons in Particle Physics (Invited paper)",488 495,
g-03,"A. Gervé, G. Schatz, Kernforschungszentrum, Karlsruhe, Federal Republic of Germany","Applications of Cyclotrons in Technical and Analytical Studies (Invited paper)",496 502,
g-04,"D. West, AERE Harwell, Didcot, Oxfordshire, UK","The Potential of Proton Radiography",503 506,
g-05,"J.L. Debrun, J.N. Barrandon, CNRS, Orléans, France","Activation Analysis with Particles from a Cyclotron: Determination of Trace Oxygen in Metals by <sup>3</sup><sub>2</sub>He Activation, Multi-Elemental Trace Analysis by Proton Activation",507 510,
g-06,"D.A. Dohan, K.G. Standing, University of Manitoba, Winnipeg, Canada","Analysis of Protein Content in Grain by Proton Activation",511 513,
g-07,"B. Herkert, Kernforschungszentrum, Karlsruhe, Federal Republic of Germany","Irradiation of Machine Parts with Regard to Applications in Mechanical Engineering",514 517,
g-08,"K.V. Ettinger, University of Aberdeen, Aberdeen, Scotland; J.H. Fremlin, University of Birmingham, Birmingham, UK; N.A. Askouri, Iraqi Atomic Energy Commission, Baghdad, Iraq","Measurement of Wear and Corrosion by Surface Irradiation with Charged Particle Beams",518 521,
g-09,"M.A. Chaudhri, J.L. Rouse, B.M. Spicer, University of Melbourne, Parkville, Victoria, Australia","Determination of Fluorine in Tea, Bones and Rocks Through the <sup>19</sup>F(p,) <sup>16</sup>O Reaction Using a Cyclotron",522 523,
g-10,"M.M. Lee, M.A. Chaudhri, J.L. Rouse, B.M. Spicer, University of Melbourne, Parkville, Victoria, Australia","Environment Studies with the Melbourne University Cyclotron",524 526,
h-01,"F. Schutte, Free University, Amsterdam, Netherlands; L. Besse, SIN, Villigen, Switzerland; D.P. Gurd, TRIUMF, Vancouver, British Columbia, Canada; G.C.L. van Heusden, Eindhoven University of Technology, Eindhoven, Netherlands; S.A. Lewis, Indiana University, Bloomington, Indiana, USA","Panel Session: Computer Control for Cyclotrons",529 537,
h-02,"W. Kappel, W. Karbstein, W. Kneis, J. Möllenbeck, D. Hartwig, G. Schatz, H. Schweickert, Kernforschungszentrum, Karlsruhe, Federal Republic of Germany","Computer-Controlled Beam Diagnostics at the Karlsruhe Isochronous Cyclotron",538 541,
h-03,"T.E. Zinneman, S.A. Lewis, Indiana University, Bloomington, Indiana, USA","Hardware Aspects of the IUCF Control System",542 544,
h-04,"L. Besse, P. Aeschimann, I. Jirousek, A. Jucker, SIN, Villigen, Switzerland","The SIN Control System",545 548,
h-05,"H. Beger, R. Cusack, A. Fiebig, H. Schroot, CERN, Geneva, Switzerland","The Data Acquisition System (DAS) for the Improved CERN SC",549 552,
h-06,"G.C.L. van Heusden, J. Halders, P. Kooy, R. Reumers, Eindhoven University of Technology, Eindhoven, Netherlands; F. Schutte, Free University, Amsterdam, Netherlands","The Automatic Control of the Eindhoven AVF-Cyclotron",553 556,
h-07,"W. Busse, H. Kluge, Hahn-Meitner-Institut, Berlin, Federal Republic of Germany","Concept and Status of the Control System for the VICKSI Accelerators at HMI Berlin",557 560,
h-08,"D.P. Gurd, D.R. Heywood, R.R. Johnson, TRIUMF, Vancouver, British Columbia, Canada","The Use of CAMAC with Small Computers in the TRIUMF Control System",561 564,
h-09,"V.N. Anosov, M. Chihak, Yu.N. Denisov, A.V. Kalmykov, A.N. Lubenko, JINR, Dubna, USSR","The System of Automatic Beam Phase Measuring and Control for the Isochronous Cyclotron",565 567,
i-01,"P.S. Fisher, University of Oxford, Oxford, UK","Heavy-Ion Research at Cyclotron Energies (Invited paper)",571 573,
i-02,"J.A. Martin, ORNL, Oak Ridge, Tennessee, USA","Accelerators for Heavy Ions (Invited paper)",574 583,
i-03,"H.G. Blosser, D.A. Johnson, R.J. Burleigh, Michigan State University, East Lansing, Michigan, USA; R.C. Niemann, J.R. Purcell, ANL, Argonne, Illinois, USA","Superconducting Cyclotrons (Invited paper)",584 594,
i-04,"J.H. Ormrod, C.B. Bigham, J.S. Fraser, E.A. Heighway, C.R. Hoffmann, J.A. Hulbert, H.R. Schneider, Q.A. Walker, AEC, Chalk River, Ontario, Canada","The Chalk River Superconducting Heavy-Ion Cyclotron",595 599,
i-05,"S.W. Mosko, E.D. Hudson, R.S. Lord, M.L. Mallory, J.E. Mann, J.A. Martin, G.S. McNeilly, J.B. Ball, K.N. Fischer, L.L. Riedinger, R.L. Robinson, ORNL, Oak Ridge, Tennessee, USA","A Separated-Sector Cyclotron Post-Accelerator for the Oak Ridge Heavy-Ion Laboratory",600 603,
i-06,"R.J. Burleigh, D.J. Clark, L.R. Glasgow, LBL, Berkeley, California, USA","Heavy-Ion Booster Cyclotron Design Studies at Berkeley",604 608,
i-07,"R. Giannini, CERN, Geneva, Switzerland; P. Mandrillon, GANIL, Orsay, France","On the Possibility of Accelerating Multiply Charged Ions in the CERN Synchro-Cyclotron",609 613,
i-08,"M. Lieuvin, J.L. Belmont, M. Bajard, Institut des Sciences Nucléaires, Grenoble, France","Preliminary Tests for the Axial Injection of Heavy Ions at the Grenoble Cyclotron",614 617,
i-09,"Y. Jongen, G. Ryckewaert, University of Louvain-la-Neuve, Louvain-la-Neuve, Belgium","The Louvain-la-Neuve Injector Cyclotron Project",618 621,
i-10,"R.S. Lord, J.B. Ball, R.M. Beckers, K.N. Fischer, E.D. Hudson, M.L. Mallory, J.A. Martin, G.S. McNeilly, S.W. Mosko, J.D. Rylander, R.D. Sayer, ORNL, Oak Ridge, Tennessee, USA","The Oak Ridge Isochronous Cyclotron as an Energy Booster for a 25-MV Tandem",622 625,
i-11,"G.S. McNeilly, E.D. Hudson, R.S. Lord, M.L. Mallory, J.E. Mann, J.B. Ball, J.A. Martin, ORNL, Oak Ridge, Tennessee, USA","Design Study for the Conversion of the Oak Ridge Isochronous Cyclotron from an Energy Constant of K=90 to K=300 MeV",626 629,
i-12,"A.A. Arzumanov, V.N. Batischev, V.I. Gerasimov, L.M. Nemenov, M.H. Nigmatov, Kazakhstan Academy of Sciences, Alma-Ata, USSR","Performance Report on the Kazakhstan Variable Energy Isochronous Cyclotron",630 633,
j-01,"M.S. Livingston, MIT, retired, Cambridge, Massachusetts, USA","The History of the Cyclotron",635 638,
