mocyb1,"K.B. Scheidt [ESRF, Grenoble, France] ","Non-Destructive Vertical Halo Monitor on the ESRF's 6GeV Electron Beam",2 6,
mopd08,"S. Wunderlich, E. Hass, B. Schmidt, M. Yan [DESY, Hamburg, Germany] ","A Double-Prism Spectrometer for the Longitudinal Diagnosis of Femtosecond Electron Bunches with Mid-Infrared Transition Radiation",157 160,
mopd09,"D. Malyutin, M. Gross (M. Groß), I.I. Isaev, M. Khojoyan, G. Kourkafas, M. Krasilnikov, B. Marchetti, F. Stephan, G. Vashchenko [DESY Zeuthen, Zeuthen, Germany] ","Longitudinal Phase Space Tomography Using a Booster Cavity at the Photo Injector Test Facility at DESY, Zeuthen Site (PITZ)",161 164,
mopd10,"M. Veronese, E. Allaria, P. Cinquegrana, E. Ferrari, F. Rossi, P. Sigalotti, C. Spezzani [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] E. Ferrari [Università degli Studi di Trieste, Trieste, Italy] ","New Results Of FERMI FEL1 EOS Diagnostics With Full Optical Synchronization",165 168,
mopd11,"M. Palm, E. Bravin, S. Mazzoni [CERN, Geneva, Switzerland] ","Near-Saturation Single-Photon Avalanche Diode Afterpulse and Sensitivity Correction Scheme for the LHC Longitudinal Density Monitor",169 173,
mopd12,"M. Titberidze, F.J. Gruener (F.J. Grüner), A.R. Maier [Uni HH, Hamburg, Germany] M. Felber, K. Floettmann (K. Flöttmann), T. Lamb, H. Schlarb, C. Sydlo [DESY, Hamburg, Germany] F.J. Gruener (F.J. Grüner), A.R. Maier, B. Zeitler [CFEL, Hamburg, Germany] E. Janas [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] ","Novel Femtosecond Level Synchronization of Titanium Sapphire Laser and Relativistic Electron Beams",174 178,
mopd15,"M. Kuntzsch, M. Gensch, B.W. Green, S. Kovalev, U. Lehnert, P. Michel, R. Schurig, J. Teichert [HZDR, Dresden, Germany] ","CW Beam Stability Analysis in Time and Frequency Domain",179 181,
mopd17,"N. Hiller, A. Borysenko, E. Hertle, V. Judin, B. Kehrer, A.-S. Mueller (A.-S. Müller), M.J. Nasse, M. Schuh, P. Schönfeldt, N.J. Smale, J.L. Steinmann [KIT, Karlsruhe, Germany] P. Peier, B. Steffen [DESY, Hamburg, Germany] V. Schlott [PSI, Villigen PSI, Switzerland] ","Single-Shot Electro-Optical Diagnostics at the ANKA Storage Ring",182 186,
mopd18,"J.M. Weber, C.A. Lionberger, W.E. Norum, G.J. Portmann, C. Serrano, E.C. Williams [LBNL, Berkeley, California, USA] ","ALS Timing System Upgrade",187 190,
mopd19,"J.H. Hong, J.H. Han, H.-S. Kang, C. Kim, H. Yang [PAL, Pohang, Kyungbuk, Republic of Korea] ","Bunch Arrival Time Monitor for PAL-XFEL",191 194,
mopd21,"W.J. Corbett, W.Y. Mok, K. Tian [SLAC, Menlo Park, California, USA] ","Bunch Pattern Measurement via Single Photon Counting at SPEAR3",195 198,
mopd23,"M. Liu, K.C. Chu, C.X. Yin, L.Y. Zhao [SINAP, Shanghai, People's Republic of China] ","Development Status of SINAP Timing System",199 201,
mopd24,"S. Khan, S. Hilbrich, H. Huck, M. Huck, M. Höner, C. Mai, A. Meyer auf der Heide, R. Molo, H. Rast, P. Ungelenk [DELTA, Dortmund, Germany] ","Diagnostics of and with Laser-Induced Energy Modulation at the DELTA Storage Ring",202 208,
mopd25,"A. Angelovski, R. Jakoby, A. Penirschke [TU Darmstadt, Darmstadt, Germany] M.K. Czwalinna, H. Schlarb, C. Sydlo [DESY, Hamburg, Germany] T. Weiland [TEMF, TU Darmstadt, Darmstadt, Germany] ","Time Domain Pickup Signal characterization for Low Charge Arrival-Time Measurements at FLASH",209 211,
mopd26,"J.L. Vignet, R.V. Revenko [GANIL, Caen, France] ","A Bunch Extension Monitor for the Spiral2 LINAC",212 215,
mopf02,"R. Connolly, W.C. Dawson, J.M. Fite, H. Huang, S.E. Jao, W. Meng, R.J. Michnoff, S. Tepikian [BNL, Upton, Long Island, New York, USA] ","RHIC-Style IPMs in the Brookhaven AGS",39 41,
mopf03,"A.J. Della Penna, M.A. Maggipinto, J. Mead, O. Singh, K. Vetter [BNL, Upton, Long Island, New York, USA] ","NSLSII Photon Beam Position Monitor ElectronicsTesting and Results",42 44,
mopf04,"J.Y. Huang [Duke University, Durham, North Carolina, USA] D.M. Gassner, M.G. Minty, S. Tepikian, P. Thieberger, N. Tsoupas, C.M. Zimmer [BNL, Upton, Long Island, New York, USA] ","RHIC Injection Transport Beam Emittance Measurements",45 48,
mopf05,"D.M. Gassner, A.V. Fedotov, R.L. Hulsart, D. Kayran, V. Litvinenko, R.J. Michnoff, T.A. Miller, M.G. Minty, I. Pinayev, M. Wilinski [BNL, Upton, Long Island, New York, USA] ","Instrumentation for the Proposed Low Energy RHIC Electron Cooling Project with Energy Recovery",49 54,
mopf07,"B.N. Kosciuk, A. Blednykh, S. Seletskiy [BNL, Upton, Long Island, New York, USA] ","Construction and Operational Performance of a Horizontally Adjustable Beam Profile Monitor at NSLS-II",55 58,
mopf08,"T.A. Miller, M.R. Costanzo, W. Fischer, B. Frak, D.M. Gassner, X. Gu, A.I. Pikin [BNL, Upton, Long Island, New York, USA] ","Beam Profile Measurements in the RHIC Electron Lens using a Pinhole Detector and YAG Screen",59 63,
mopf09,"M.G. Minty, R. Connolly, C. Liu, T. Summers, S. Tepikian [BNL, Upton, Long Island, New York, USA] ","Absolute Beam Emittance Measurements at RHIC Using Ionization Profile Monitors",64 68,
mopf10,"A.A. Nosych, U. Iriso [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","A Compact In-Air X-Ray Detector for Vertical Beam Size Measurement at ALBA",69 72,
mopf13,"T. Lensch, A. Delfs, V. Gharibyan, I. Krouptchenkov, D. Noelle (D. Nölle), M. Pelzer, H. Tiessen, M. Werner, K. Wittenburg [DESY, Hamburg, Germany] ","Wire Scanner Installation into the MicroTCA Environment for the European XFEL",73 76,
mopf14,"L.M. Bobb, T. Aumeyr, P. Karataev [JAI, Egham, Surrey, United Kingdom] T. Aumeyr, P. Karataev [Royal Holloway, University of London, Surrey, United Kingdom] M.G. Billing, J.V. Conway [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] L.M. Bobb [DLS, Oxfordshire, United Kingdom] E. Bravin, T. Lefevre (T. Lefèvre), S. Mazzoni, H. Schmickler [CERN, Geneva, Switzerland] ","Vertical Beam Size Measurement at CesrTA Using Diffraction Radiation",77 82,
mopf15,"T. Hofmann, E. Bravin, U. Raich, F. Roncarolo, F. Zocca [CERN, Geneva, Switzerland] G.E. Boorman, A. Bosco, S.M. Gibson, K.O. Kruchinin [Royal Holloway, University of London, Surrey, United Kingdom] E. Griesmayer [CIVIDEC Instrumentation, Wien, Austria] ","Status of and Future Plans for the CERN LINAC4 Emittance Meter based on Laser Electron-Detachment and a Diamond Strip-Detector",83 87,
mopf16,"E. Piselli, O.E. Berrig, F. Caspers, B. Dehning, J. Emery, M. Hamani, J. Kuczerowski, B. Salvant, R.S. Sautier, R. Veness, C. Vuitton, C. Zannini [CERN, Geneva, Switzerland] ","CERN-SPS Wire Scanner Impedence and Wire Heating Studies",88 92,
mopf17,"C. Roose, I. Dolenc Kittelmann, A. Jansson [ESS, Lund, Sweden] ","Methods for Measuring the Transverse Beam Profile in the ESS High Intensity Beam",93 96,
mopf19,"S. Rodriguez Esparza, G. Kiupel, I.N. Nesterenko [FRIB, East Lansing, Michigan, USA] ","Design of a Profile Monitor with 12 Inches of Actuation for FRIB",97 99,
mopf20,"Y. Hu, L.R. Dalesio, O. Singh, H. Xu [BNL, Upton, Long Island, New York, USA] ","Diagnosing NSLS-II: A New Advanced Synchrotron Light Source",100 102,
mopf22,"S. Ackermann, V. Ayvazyan, B. Faatz, E. Hass, K. Klose, S. Pfeiffer, M. Scholz, S. Schreiber [DESY, Hamburg, Germany] ","Simultaneous Operation of Two FEL Undulator Beamlines at FLASH",103 105,
mopf27,"P.N. Lu, A. Arnold, U. Lehnert, P. Murcek, J. Teichert, H. Vennekate, R. Xiang [HZDR, Dresden, Germany] ","Simulation and First Results of the ELBE SRF Gun II",106 109,
mopf28,"F. Miyahara, K. Furukawa, R. Ichimiya, N. Iida, M. Ikeno, H. Kaji, M. Satoh, M. Shoji, T. Suwada, M. Tanaka, Y. Yano [KEK, Ibaraki, Japan] T. Okazaki [EJIT, Hitachi, Ibaraki, Japan] ","Beam Diagnostics and Timing Monitoring for SuperKEKB Injector Linac",110 113,
mopf30,"K.T. Hsu, J. Chen, Y.-S. Cheng, P.C. Chiu, S.Y. Hsu, K.H. Hu, C.H. Huang, C.H. Kuo, D. Lee, C.Y. Liao, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Diagnostics of the TPS Booster Synchrotron for Beam Commissioning",114 118,
mopf31,"R. Ischebeck, R. Abela, F. Ardana-Lamas, V.R. Arsov, R. Baldinger, H.-H. Braun, M. Calvi, R. Ditter, C. Erny, F. Frei, R. Ganter, I. Gorgisyan, C.P. Hauri, S. Hunziker, P.N. Juranic, B. Keil, W. Koprek, R. Kramert, D. Llorente Sancho, F. Loehl (F. Löhl), F. Marcellini, G. Marinkovic, B. Monoszlai, G.L. Orlandi, C. Ozkan, L. Patthey, M. Pedrozzi, P. Pollet, M. Radovic, L. Rivkin, M. Roggli, M. Rohrer, V. Schlott, A.G. Stepanov, J. Stettler [PSI, Villigen PSI, Switzerland] F. Ardana-Lamas, I. Gorgisyan, C.P. Hauri, L. Rivkin [EPFL, Lausanne, Switzerland] P. Peier [DESY, Hamburg, Germany] ","Overview of Beam Instrumentation Activities for SwissFEL",119 123,
thcxb1,"J.P. Sikora, J.R. Calvey, J.A. Crittenden [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Cross-Calibration of Three Electron Cloud Density Detectors at CesrTA",722 726,
thcxb2,"K.G. Nakamura [Kyoto University, Kyoto, Japan] Y.H. Chin, T. Koseki, H. Kuboki, M. Okada, M. Tobiyama [KEK, Ibaraki, Japan] Y. Shobuda [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] T. Toyama [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Performance Evaluation of the Intra-Bunch Feedback System at J-PARC Main Ring",727 730,
thixb1,"N. Baboi, D. Noelle (D. Nölle) [DESY, Hamburg, Germany] ","Commissioning of the FLASH2 Electron Beam Diagnostics in Respect to its use at the European XFEL",712 721,
tucyb1,"L.Y. Lin [FRIB, East Lansing, Michigan, USA] ","Study of scintillation stability in KBr, YAG:Ce, CaF2:Eu and CsI:Tl Irradiated by Various-Energy Protons",250 253,
tucyb2,"A.A. Rawankar, N. Terunuma, J. Urakawa [Sokendai, Ibaraki, Japan] T. Akagi, A.S. Aryshev, Y. Honda, N. Terunuma, J. Urakawa [KEK, Ibaraki, Japan] D. Jehanno [LAL, Orsay, France] K. Sakaue [Waseda University, Tokyo, Japan] ","Pulsed Green Laser Wire System for Effective Inverse Compton Scattering",254 258,
tucyb3,"R. Ischebeck, E. Prat, V. Schlott, V.G. Thominet [PSI, Villigen PSI, Switzerland] P. Krejcik, H. Loos [SLAC, Menlo Park, California, USA] M. Yan [DESY, Hamburg, Germany] ","SwissFEL Beam Profile Monitor",259 262,
tuczb1,"M. Masaki, Y. Shimosaki, S. Takano, M. Takao [JASRI/SPring-8, Hyogo-ken, Japan] ","Novel Emittance Diagnostics for Diffraction Limited Light Sources Based on X-ray Fresnel Diffractometry",274 278,
tuczb2,"C. Bloomer, G. Rehm [DLS, Oxfordshire, United Kingdom] J.W. Flanagan [KEK, Ibaraki, Japan] ","Measurements of Small Vertical Beamsize using a Coded Aperture at Diamond Light Source",279 283,
tuczb3,"A. Jeff, E.B. Holzer, T. Lefevre (T. Lefèvre) [CERN, Geneva, Switzerland] A. Jeff, V. Tzoganis, C.P. Welsch, H.D. Zhang [The University of Liverpool, Liverpool, United Kingdom] V. Tzoganis, C.P. Welsch, H.D. Zhang [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","A Quantum Gas Jet for Non-Invasive Beam Profile Measurement",284 288,
tuixb1,"O.R. Jones [CERN, Geneva, Switzerland] ","The Beam Instrumentation and Diagnostic Challenges for LHC Operation at High Energy",216 223,
tuiyb1,"S.M. Lidia [FRIB, East Lansing, Michigan, USA] ","Diagnostics for High Power Accelerator Machine Protection Systems",239 249,
tuizb1,"G. Kube [DESY, Hamburg, Germany] ","Radiation Sources and Their Application for Beam Profile Diagnostics",263 273,
tupd01,"R.T.P. D'Arcy, B.M. Hanna, L.R. Prost, V.E. Scarpine, A.V. Shemyakin, J. Steimel [Fermilab, Batavia, Illinois, USA] ","Distinct Transverse Emittance Measurements of the PXIE LEBT",393 397,
tupd02,"R.M. Thurman-Keup, M.L. Alvarez, J. Fitzgerald, C.E. Lundberg, P.S. Prieto [Fermilab, Batavia, Illinois, USA] W. Blokland [ORNL, Oak Ridge, Tennessee, USA] ","Electron Beam Profiler for the Fermilab Main Injector",398 402,
tupd03,"R.M. Thurman-Keup, A.H. Lumpkin, J.C.T. Thangaraj [Fermilab, Batavia, Illinois, USA] ","Terahertz and Optical Measurement Apparatus for the Fermilab ASTA Injector",403 407,
tupd04,"J.R. Zagel, M.L. Alvarez, B.J. Fellenz, C.C. Jensen, C.E. Lundberg, E.S.M. McCrory, D. Slimmer, R.M. Thurman-Keup, D.G. Tinsley [Fermilab, Batavia, Illinois, USA] ","Third Generation Residual Gas Ionization Profile Monitors at Fermilab.",408 411,
tupd05,"C. Andre, P. Forck, R. Haseitl, A. Reiter, R. Singh, B. Walasek-Hoehne (B. Walasek-Höhne) [GSI, Darmstadt, Germany] ","Optimization of Beam Induced Fluorescence Monitors for Profile Measurements of High Current Heavy Ion Beams at GSI",412 416,
tupd06,"B. Walasek-Hoehne (B. Walasek-Höhne), C. Andre, A. Braeuning-Demian (A. Bräuning-Demian), H. Bräuning, R. Haseitl, T. Hoffmann, R. Lonsing, A. Reiter, C. Schmidt, M. Schwickert [GSI, Darmstadt, Germany] ","CUPID: New System for Scintillating Screen Based Diagnostics",417 420,
tupd07,"B. Zwicker, O.K. Kester [IAP, Frankfurt am Main, Germany] C. Dorn, P. Forck, O.K. Kester, P. Kowina, B. Zwicker [GSI, Darmstadt, Germany] ","Performance Demonstration of the Non-Invasive Bunch Shape Monitor at GSI High Current LINAC",421 425,
tupd08,"T. Naito, T.M. Mitsuhashi [KEK, Ibaraki, Japan] ","YAG:Ce Screen Monitor Using a Gated CCD Camera",426 429,
tupd09,"A. Miura, Y. Kawane, N. Ouchi [JAEA/J-PARC, Tokai-mura, Japan] T. Miyao [KEK, Ibaraki, Japan] ","Vacuum Improvement of Bunch Shape Monitor for J-PARC Linac",430 434,
tupd10,"L. Rota, C.M. Caselle, N. Hiller, A.-S. Mueller (A.-S. Müller), M. Weber [KIT, Eggenstein-Leopoldshafen, Germany] ","An Ultrafast Linear Array Detector for Single-Shot Electro-Optical Bunch Profile Measurements",435 437,
tupd11,"J.D. Sedillo, J.D. Gilpatrick, J.D. Nguyen [LANL, Los Alamos, New Mexico, USA] M.E. Gruchalla [URS, Albuquerque, New Mexico, USA] ","LANSCE 1L Harp Data Acquisition System Upgrade",438 441,
tupd12,"Y. Taira, R. Kuroda, M. Tanaka, H. Toyokawa [AIST, Tsukuba, Ibaraki, Japan] K. Sakaue [Waseda University, Tokyo, Japan] H. Tomizawa [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Development of Non-Invasive Electron Beam Position Monitor Based on Coherent Diffraction Radiation from a Slit",442 446,
tupd13,"W. Blokland [ORNL, Oak Ridge, Tennessee, USA] ","Experience with and Studies of the SNS Target Imaging System",447 451,
tupd16,"I.Y. Kim, J.Y. Choi, H. Heo, H.-S. Kang, C. Kim, G. Mun, B.G. Oh, S.J. Park [PAL, Pohang, Kyungbuk, Republic of Korea] ","Development of the Transverse Beam Profile Monitors for the PAL-XFEL",452 454,
tupd21,"Z. Liu, J.L. Crisp, S.M. Lidia [FRIB, East Lansing, Michigan, USA] ","AC Coupling Studies and Circuit Model for Loss Monitor Ring",455 458,
tupd22,"H. Ikeda, M. Arinaga, J.W. Flanagan, H. Fukuma, M. Tobiyama [KEK, Ibaraki, Japan] ","Beam Loss Monitor at SuperKEKB",459 462,
tupd23,"I. Chaikovska, N. Delerue, A. Variola [LAL, Orsay, France] ","Real-Time Display System for the Optical Fiber Beam Loss Monitor for the PHIL and ThomX Facilities",463 467,
tupd24,"L.E. Juergensen (L.E. Jürgensen), U. Bonnes, C. Burandt, M. Fischer, F. Hug, T. Kuerzeder (T. Kürzeder), N. Pietralla, R. Stegmann, M. Steinhorst [TU Darmstadt, Darmstadt, Germany] ","Installation of a Beam Loss Monitoring System at the S-DALINAC*",468 470,
tupd25,"M.R. Bartosik, B. Dehning, M. Sapinski [CERN, Geneva, Switzerland] V. Eremin, E. Verbitskaya [IOFFE, St. Petersburg, Russia] E. Griesmayer [CIVIDEC Instrumentation, Wien, Austria] C. Kurfuerst [EBG MedAustron, Wr. Neustadt, Austria] ","Cryogenic Beam Loss Monitors for the Superconducting Magnets of the LHC",471 474,
tupf01,"D. Padrazo, A. Caracappa, W.X. Cheng, C. Danneil, A.J. Della Penna, K. Ha, M.A. Maggipinto, J. Mead, O. Singh, K. Vetter [BNL, Upton, Long Island, New York, USA] ","NSLS-II RF Beam Position Monitor- System Test and Integration",289 293,
tupf02,"P. Thieberger, S.J. Brooks, K. Hamdi, R.L. Hulsart, G.J. Mahler, R.J. Michnoff, M.G. Minty, D. Trbojevic [BNL, Upton, Long Island, New York, USA] ","Proposed Pulse Stretching of BPM Signals for the Position Determination of Very Short and Closely Spaced Bunches",294 297,
tupf03,"A.A. Nosych, U. Iriso, A. Olmos [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] M. Wendt [CERN, Geneva, Switzerland] ","Overview of the Geometrical Non-Linear Effects of Button BPMs and Methodology for Their Efficient Suppression",298 302,
tupf04,"C.S. Simon [CEA/DSM/IRFU, France] M.H. Almalki, P. Forck, W. Kaufmann, T. Sieber [GSI, Darmstadt, Germany] V. Bellego [CEA/IRFU, Gif-sur-Yvette, France] ","Numerical Calculations for the FAIR Proton Linac BPMs",303 306,
tupf05,"C.S. Simon, P. Carbonnier, P. Contrepois, F. Eozénou (F. Éozénou), Y. Gasser, O. Napoly, J. Novo, C. Servouin [CEA/DSM/IRFU, France] C. Boulch, Y. Gasser [CEA/IRFU, Gif-sur-Yvette, France] P. Daniel-Thomas, F. Gouit [CEA, Gif-sur-Yvette, France] J. Kruse, D. Noelle (D. Nölle), M. Schalwat, S. Vilcins [DESY, Hamburg, Germany] N. Rouvière [IPN, Orsay, France] ","Production Process for the European XFEL Re-Entrant Cavity BPM",307 310,
tupf06,"N. Baboi, O. Hensler, L. Shi, T. Wamsat [DESY, Hamburg, Germany] N. Eddy, B.J. Fellenz [Fermilab, Batavia, Illinois, USA] P. Zhang [CERN, Geneva, Switzerland] ","Commissioning of the Electronics for HOM-based Beam Diagnostics at the 3.9 GHz Accelerating Module at FLASH",311 314,
tupf07,"D. Lipka, N. Baboi, D. Noelle (D. Nölle), G. Petrosyan, S. Vilcins [DESY, Hamburg, Germany] R. Baldinger, R. Ditter, B. Keil, W. Koprek, R. Kramert, G. Marinkovic, M. Roggli, M. Stadler [PSI, Villigen PSI, Switzerland] ","FLASH Undulator BPM Commissioning and Beam Characterization Results",315 319,
tupf08,"B. Lorbeer, N. Baboi, L.P. Petrosyan, F. Schmidt-Foehre (F. Schmidt-Föhre) [DESY, Hamburg, Germany] ","Design, Development and Commissioning of a MTCA-Based Button and Strip-Line BPM System for FLASH2",320 323,
tupf09,"U. Schneekloth, N. Goerrissen (N. Görrissen), G. Kube, J. Neugebauer, Ru. Neumann, F. Schmidt-Foehre (F. Schmidt-Föhre) [DESY, Hamburg, Germany] ","Calibration of OLYMPUS/DORIS Beam Position Monitors",324 326,
tupf10,"L. Shi, N. Baboi [DESY, Hamburg, Germany] R.M. Jones [UMAN, Manchester, United Kingdom] ","Stability Study of the Higher Order Mode Beam Position Monitors at the Accelerating Cavities at FLASH",327 331,
tupf11,"S. Vilcins, D. Lipka [DESY, Hamburg, Germany] ","Mechanical Design of Cryogenic Vacuum Feedthroughs for X-FEL Button BPMs",332 336,
tupf12,"T. Wamsat, N. Baboi [DESY, Hamburg, Germany] ","First Tests of a Micro-TCA-Based Downconverter Electronic for 5GHz Higher Order Modes in Third Harmonic Accelerating Cavities at the XFEL",337 341,
tupf13,"M. Antonelli, G. Cautero, D. Giuressi, S. Lizzit, R.H. Menk [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] A. De Sio, E. Pace [Università degli Studi di Firenze, Firenze, Italy] M. Di Fraia [Università degli Studi di Trieste, Trieste, Italy] ","Diamond-Based Photon BPMs for Fast Electron-Beam Diagnostics in Synchrotron Radiation Sources",342 345,
tupf14,"K.B. Scheidt [ESRF, Grenoble, France] ","Newly Developed 6mm Buttons for the BPMs in the ESRF Low-Emittance-Ring",346 350,
tupf15,"K.B. Scheidt [ESRF, Grenoble, France] ","First Results with the Prototypes of New BPM Electronics for the Booster of the ESRF",351 354,
tupf16,"O. Yair, J.L. Crisp, G. Kiupel, S.M. Lidia, R.C. Webber [FRIB, East Lansing, Michigan, USA] ","FRIB Beam Position Monitor Pick-Up Design",355 360,
tupf18,"A. Lunin, T.N. Khabiboulline, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] ","Development of a Button BPM for the LCLS-II project",361 364,
tupf19,"P. Stabile, J.S. Diamond, J. Fitzgerald, N. Liu, D.K. Morris, P.S. Prieto, J.P. Seraphin [Fermilab, Batavia, Illinois, USA] ","Beam Position Monitor Electronics Upgrade for Fermilab Switchyard",365 368,
tupf21,"W.X. Cheng, B. Bacha, Y. Hu, O. Singh, H. Xu [BNL, Upton, Long Island, New York, USA] ","NSLS2 Visible Synchrotron Light Monitor Diagnostic Beamline Commissioning",369 373,
tupf23,"L. Torino, U. Iriso [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] T.M. Mitsuhashi [KEK, Ibaraki, Japan] ","Beam Size Measurements using Synchrotron Radiation Interferometry at ALBA",374 379,
tupf25,"S. Ackermann, B. Faatz [DESY, Hamburg, Germany] V. Miltchev [Uni HH, Hamburg, Germany] ","Characterization of the Laser Beam for HHG Seeding",380 384,
tupf26,"K. Nanbu, H. Hama, F. Hinode, S. Kashiwagi, A. Lueangaramwong, T. Muto, I. Nagasawa, S. Nagasawa, Y. Shibasaki, K. Takahashi, C. Tokoku [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] ","Linear Focal Cherenkov-Ring Camera for Single Shot Observation of Longitudinal Phase Space Distribution for Non-Relativistic Electron Beam",385 388,
