fr101,"T. Inagaki, RIKEN/SPring-8, Hyogo","8-GeV C-Band Accelerator Construction for XFEL/SPring-8",1090 1094,
mop014,"J.L. Erickson, K.W. Jones, M.W. Strevell, LANL, Los Alamos, New Mexico","Status of the LANSCE Refurbishment Project",85 87,
mop015,"K.W. Jones, K. Schoenberg, LANL, Los Alamos, New Mexico","Operational Status and Future Plans for the Los Alamos Neutron Science Center (LANSCE)",88 90,
mop016,"A.V. Aleksandrov, ORNL, Oak Ridge, Tennessee","Operational Experience of the SNS Front End and Warm Linac",91 93,
mop017,"R.E. Laxdal, F. Ames, R.A. Baartman, M. Marchetto, M. Trinczek, F. Yan, V. Zvyagintsev, TRIUMF, Vancouver","The Proposed ISAC-III (ARIEL) Low-Energy Area and Accelerator Upgrades",94 96,
mop018,"R.E. Laxdal, R.J. Dawson, M. Marchetto, A.K. Mitra, W.R. Rawnsley, T.C. Ries, I. Sekachev, V. Zvyagintsev, TRIUMF, Vancouver","ISAC-II Superconducting Linac Upgrade - Design and Status",97 99,
mop019,"L.A. Dahl, W. Barth, P. Gerhard, F. Herfurth, GSI, Darmstadt; B. Hofmann, IAP, Frankfurt am Main; M. Kaiser, O.K. Kester, H.J. Kluge, S. Koszudowski, C. Kozhuharov, G. Maero, GSI, Darmstadt; J. Pfister, IAP, Frankfurt am Main; W. Quint, GSI, Darmstadt; U. Ratzinger, A.C. Sauer, A. Schempp, IAP, Frankfurt am Main; A. Sokolov, T. Stöhlker, W. Vinzenz, G. Vorobjev, D.F.A. Winters, GSI, Darmstadt","The HITRAP Decelerator Project at GSI - Status and Commissioning Report",100 102,
mop020,"A. Bandyopadhyay, A. Chakrabarti, T.K. Mandi, M. Mondal, H.K. Pandey, DAE/VECC, Calcutta","Post-Accelerator LINAC Development for the RIB Facility Project at VECC, Kolkata",103 105,
mop021,"V. Naik, A. Bandyopadhyay, D. Bhowmick, A. Chakrabarti, M. Chakrabarti, S. Dechoudhury, J.S. Kainth, P. Karmakar, T. Kundu Roy, T.K. Mandi, M. Mondal, H.K. Pandey, D. Sanyal, DAE/VECC, Calcutta","Towards the Development of Rare Isotope Beam Facility at VECC Kolkata",106 108,
mop022,"P.A. Posocco, G. Bisoffi, A. Pisent, INFN/LNL, Legnaro, Padova; P.A. Posocco, Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova","The ALPI Super-Conducting Accelerator Upgrade for the SPES Project",109 111,
mop023,"O. Kamigaito, M.K. Fujimaki, T. Fujinawa, N. Fukunishi, A. Goto, H. Haba, Y. Higurashi, E. Ikezawa, M. Kase, M. Kidera, M. Komiyama, R. Koyama, H. Kuboki, K. Kumagai, T. Maie, M. Nagase, T. Nakagawa, J. Ohnishi, H. Okuno, N.S. Sakamoto, Y. Sato, K. Suda, T. Watanabe, K. Yamada, Y. Yano, S. Yokouchi, RIKEN Nishina Center, Wako, Saitama","Present Status of RIKEN Heavy-Ion Linac",112 114,
mop024,"Y.R. Lu, J.E. Chen, J.X. Fang, S.L. Gao, Z.Y. Guo, K.X. Liu, Y.C. Nie, X.Q. Yan, K. Zhu, PKU/IHIP, Beijing","Low Energy Spread Beam Dynamics and RF Design of a Trapezoidal IH-RFQ",115 117,
mop025,"Y.R. Lu, J.E. Chen, J.X. Fang, S.L. Gao, Z.Y. Guo, M. Kang, S.X. Peng, Z. Wang, X.Q. Yan, M. Zhang, J. Zhao, K. Zhu, PKU/IHIP, Beijing","An Intermediate Structure SFRFQ Between RFQ and DTL",118 120,
mop027,"G.V. Trubnikov, JINR, Dubna, Moscow Region; O.K. Belyaev, Yu.A. Budanov, IHEP Protvino, Protvino, Moscow Region; E.D. Donets, E.E. Donets, A. Govorov, V. Kobets, JINR, Dubna, Moscow Region; A. Maltsev, IHEP Protvino, Protvino, Moscow Region; I.N. Meshkov, V. Monchinsky, A.O. Sidorin, JINR, Dubna, Moscow Region; I.A. Zvonarev, IHEP Protvino, Protvino, Moscow Region","Heavy Ion Injector for NICA/MPD Project",121 123,
mop028,"M. Pasini, S. Calatroni, N. Delruelle, CERN, Geneva; R.M. Jones, UMAN, Manchester; M. Lindroos, CERN, Geneva; P.A. McIntosh, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; V. Parma, T. Trilhe, D. Voulot, F.J.C. Wenander, CERN, Geneva","A SC Upgrade for the REX-ISOLDE Accelerator at CERN",124 126,
mop029,"M. Pasini, CERN, Geneva; M.A. Fraser, R.M. Jones, UMAN, Manchester; D. Voulot, CERN, Geneva","Beam Dynamics Studies for the SCREX-ISOLDE Linac at CERN",127 129,
mop030,"D. Gorelov, V. Andreev, S. Chouhan, X. Wu, R.C. York, NSCL, East Lansing, Michigan","Multiple User Beam Distribution System for FRIB Driver Linac",130 132,
mop031,"J.J. Barnard, LLNL, Livermore, California; J.E. Coleman, D. Ogata, P.A. Seidl, LBNL, Berkeley, California; D.R. Welch, Voss Scientific, Albuquerque, New Mexico","Estimates of Energy Fluence at the Focal Plane in Beams Undergoing Neutralized Drift Compression",133 135,
mop032,"A. Kolomiets, ITEP, Moscow; W. Barth, L.A. Dahl, GSI, Darmstadt; S. Minaev, ITEP, Moscow; H. Vormann, S. Yaramyshev, GSI, Darmstadt","Upgrade of the Unilac High Current Injector RFQ",136 138,
mop033,"M. Vossberg, IAP, Frankfurt am Main; J.G. Alessi, BNL, Upton, Long Island, New York; B. Hofmann, IAP, Frankfurt am Main; D. Raparia, BNL, Upton, Long Island, New York; A. Schempp, J.S. Schmidt, IAP, Frankfurt am Main; L. Snydstrup, BNL, Upton, Long Island, New York; C. Zhang, IAP, Frankfurt am Main","The New EBIS RFQ for BNL",139 141,
mop034,"S. Dechoudhury, A. Bandyopadhyay, D. Bhowmick, A. Chakrabarti, T. Kundu Roy, M. Mondal, V. Naik, H.K. Pandey, D. Sanyal, DAE/VECC, Calcutta","Heavy Ion Radio-Frequency Quadrupole LINAC for VEC-RIB Facility",142 144,
mop036,"M. Comunian, INFN/LNL, Legnaro, Padova; E. Fagotti, Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova; A. Pisent, INFN/LNL, Legnaro, Padova","The IFMIF-EVEDA RFQ: Beam Dynamics Design",145 147,
mop037,"F. Grespan, INFN/LNL, Legnaro, Padova; F. Grespan, Università degli Studi di Milano, Milano; A. Palmieri, A. Pisent, INFN/LNL, Legnaro, Padova","RF Design of the IFMIF-EVEDA RFQ",148 150,
mop038,"E. Fagotti, Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova; M. Comunian, E. Fagotti, F. Grespan, INFN/LNL, Legnaro, Padova; S.J. Mathot, CERN, Geneva; A. Palmieri, A. Pisent, C. Roncolato, INFN/LNL, Legnaro, Padova","Fabrication and Testing of TRASCO RFQ",151 153,
mop039,"T. Ishibashi, T. Hattori, N. Hayashizaki, RLNR, Tokyo","Design of a 2-Beam Type IH-RFQ Linac for High Intense Heavy Ion Beam Accelerations in Low Energy Region",154 156,
mop040,"C. Rossi, P. Bourquin, CERN, Geneva; S. Cazaux, O. Delferrière, M. Desmons, R.D. Duperrier, A. France, CEA, Gif-sur-Yvette; J.-B. Lallement, CERN, Geneva; D. Leboeuf, CEA, Gif-sur-Yvette; A.M. Lombardi, S.J. Mathot, CERN, Geneva; O. Piquet, CEA, Gif-sur-Yvette; M.A. Timmins, G. Vandoni, M. Vretenar, CERN, Geneva","The Radiofrequency Quadrupole Accelerator for the Linac4",157 159,
mop041,"G. Apollinari, B.M. Hanna, T.N. Khabiboulline, A. Lunin, A. Moretti, Fermilab, Batavia; P.N. Ostroumov, ANL, Argonne; T.M. Page, G.V. Romanov, J. Steimel, R.C. Webber, D. Wildman, Fermilab, Batavia","The Fabrication and Initial Testing of the HINS RFQ",160 162,
mop042,"G.V. Romanov, A. Lunin, Fermilab, Batavia","Complete RF Design of the HINS RFQ with CST MWS and HFSS",163 165,
mop043,"G.V. Romanov, Fermilab, Batavia","Simulation of Multipacting in HINS Accelerating Structures with CST Particle Studio",166 168,
mop044,"M. Okamura, BNL, Upton, Long Island, New York; T. Kanesue, Kyushu University, Department of Applied Quantum Physics and Nuclear Engineering, Fukuoka; J. Tamura, Department of Energy Sciences, Tokyo Institute of Technology, Yokohama","Status of DPIS Development in BNL",169 171,
mop045,"M. Okamura, BNL, Upton, Long Island, New York; K. Ishibashi, T. Kanesue, Kyushu University, Department of Applied Quantum Physics and Nuclear Engineering, Fukuoka; D. Raparia, BNL, Upton, Long Island, New York; Y. Yonemura, Kyushu University, Department of Applied Quantum Physics and Nuclear Engineering, Fukuoka","Design Study of a DPIS Injector for a Heavy Ion FFAG",172 174,
mop046,"W. Barth, L.A. Dahl, P. Gerhard, L. Groening, M. Kaiser, S. Mickat, GSI, Darmstadt","Commissioning of the New GSI-Charge State Separator System for High Current Heavy Ion Beams",175 177,
mop047,"Y. Cheng, S. Fu, K.Y. Gong, Z.R. Sun, X. Yin, IHEP Beijing, Beijing","Quadrupole Magnet Development for 132 MeV DTL of CSNS",178 180,
mop048,"Z.R. Sun, S. Fu, K.Y. Gong, J. Peng, X. Yin, IHEP Beijing, Beijing","DTL Tank Development of 132 MeV Linac for CSNS",181 183,
mop049,"S. Ramberger, N. Alharbi, P. Bourquin, Y. Cuvet, F. Gerigk, A.M. Lombardi, CERN, Geneva; A. Pisent, INFN/LNL, Legnaro, Padova; E.Zh. Sargsyan, M. Vretenar, CERN, Geneva","Drift Tube Linac Design and Prototyping for the CERN Linac4",184 186,
mop050,"A.P. Kobets, V.A. Bomko, O.F. Dyachenko, M.S. Lesnykh, K.V. Pavlij, Z.O. Ptukhina, V.N. Reshetnikov, S.S. Tishkin, A.M. Yegorov, A.V. Zabotin, B.V. Zajtsev, V.G. Zhuravlev, B.N. Zinchenko, NSC/KIPT, Kharkov","Development of Investigations on the MILAC Heavy Ion Linear Accelerator",187 189,
mop051,"L.J. Allen, Fermilab, Batavia","Linac Operations at Fermilab",190 192,
mop052,"M. Marchetto, R.E. Laxdal, F. Yan, TRIUMF, Vancouver","Re-phasing of the ISAC Superconducting Linac with Computed Values",193 195,
mop053,"R. Ferdinand, GANIL, Caen; P.-E. Bernaudin, P. Bosland, CEA, Gif-sur-Yvette; Y. Gómez-Martínez, LPSC, Grenoble; T. Junquera, G. Olry, H. Saugnac, IPN, Orsay","The SPIRAL 2 Superconducting Linac",196 198,
mop054,"P.A. Posocco, Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova; D. Carlucci, A. Pisent, M. Poggi, P.A. Posocco, INFN/LNL, Legnaro, Padova","Experience with Stripping Carbon Foils in ALPI Super-Conducting Accelerator",199 201,
mop055,"R. Garoby, O. Brunner, S. Calatroni, E. Ciapala, F. Gerigk, A.M. Lombardi, R. Losito, V. Parma, C. Rossi, J. Tuckmantel, M. Vretenar, W. Weingarten, CERN, Geneva","Plans for a Superconducting H- Linac (SPL) at CERN",202 204,
mop056,"X. Wu, S. Chouhan, C. Compton, M. Doleans, W. Hartung, D. Lawton, G. Machicoane, F. Marti, P.S. Miller, J. Ottarson, M. Portillo, R.C. York, A. Zeller, Q. Zhao, NSCL, East Lansing, Michigan","The Status of the MSU Re-Accelerator (ReA3)",205 207,
mop057,"M.T. Maier, W. Barth, GSI, Darmstadt; R. Cee, HIT, Heidelberg; A. Orzhekhovskaya, B. Schlitt, H. Vormann, S. Yaramyshev, GSI, Darmstadt","Linac Front-End Upgrade at the Cancer Therapy Facility HIT",208 210,
mop059,"T. Hattori, N. Hayashizaki, RLNR, Tokyo; D. Hollanda, U. Sapientia, Targu Mures; T. Ishibashi, T. Ito, RLNR, Tokyo; L. Kenez, U. Sapientia, Targu Mures; R. Kobori, L. Lu, RLNR, Tokyo; M. Okamura, BNL, Upton, Long Island, New York; J. Tamura, Department of Energy Sciences, Tokyo Institute of Technology, Yokohama","C6+ Ion Hybrid Single Cavity Linac with Direct Plasma Injection Scheme for Cancer Therapy",211 213,
mop060,"A. Noda, Kyoto ICR, Uji, Kyoto; H. Daido, M. Ikegami, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu; Y. Iwashita, Kyoto ICR, Uji, Kyoto; H. Kiriyama, M. Mori, M. Nishiuchi, K. Ogura, S. Orimo, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu; A. Pirozhkov, JAEA, Ibaraki-ken; A. Sagisaka, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu; T. Shirai, NIRS, Chiba-shi; H. Souda, H. Tongu, A. Wakita, Kyoto ICR, Uji, Kyoto; A. Yogo, JAEA/Kansai, Kizu-machi Souraku-gun Kyoto-fu","Quality Improvement of Laser-produced Protons by Phase Rotation and its Possible Extension to High Energies",214 216,
mop061,"Y.A. Svistunov, NIIEFA, St. Petersburg; I.V. Kudinovich, AN Krylov SRI, St. Petersburg; M.F. Vorogushin, NIIEFA, St. Petersburg","The Feasibility of Low-Energy Electronuclear Power Plant",217 219,
mop062,"D.A. Swenson, Linac Systems, LLC, Albuquerque, New Mexico","CW Proton Linac for the BNCT Application",220 222,
mop063,"C.A. Willis, D.A. Swenson, Linac Systems, LLC, Albuquerque, New Mexico","High-Power Lithium Target for Accelerator-Based BNCT",223 225,
mop064,"A. Kurup, Imperial College of Science and Technology, Department of Physics, London","Bent Solenoid Tuning Simulations for the COMET Beamline",226 228,
mop066,"D. Huang, IIT, Chicago, Illinois; D.M. Kaplan, Illinois Institute of Technology, Chicago, Illinois; M.S. Zisman, LBNL, Berkeley, California","Status of MICE: the International Muon Ionization Cooling Experiment",229 231,
mop067,"M.E. Conde, S.P. Antipov, F.J. Franchini, W. Gai, F. Gao, ANL, Argonne; C.-J. Jing, Euclid TechLabs, LLC, Solon, Ohio; R. Konecny, W. Liu, J.G. Power, Z.M. Yusof, ANL, Argonne","High Gradient Excitation and RF Power Generation Using Dielectric Loaded Wakefield Structures",232 234,
mop068,"P. Muggli, UCLA, Los Angeles, California; M. Babzien, BNL, Upton, Long Island, New York; M.J. Hogan, SLAC, Menlo Park, California; E. Kallos, USC, Los Angeles, California; K. Kusche, J.H. Park, V. Yakimenko, BNL, Upton, Long Island, New York","Trains of Sub-Picosecond Electron Bunches for High-Gradient Plasma Wakefield Acceleration",235 235,
mop069,"D. Guilhem, J.-L. Lemaire, S.J. Pichon, CEA, Bruyères-le-Chtâtel","Beam Dynamics Simulations for a 15 MeV Superconducting Electron Linac Coupled to a DC Photo-Injector",236 238,
mop070,"P. Bertrand, GANIL, Caen; J.-L. Biarrotte, L. Perrot, IPN, Orsay; D. Uriot, CEA, Gif-sur-Yvette","Beam Dynamics and Error Studies of the SPIRAL2 Driver Accelerator",239 241,
mop072,"N. Chauvin, O. Delferrière, R.D. Duperrier, R. Gobin, P.A.P. Nghiem, D. Uriot, CEA, Gif-sur-Yvette","Beam Dynamics Simulation of the Low Energy Beam Transport Line for IFMIF/EVEDA",242 244,
mop073,"P.A.P. Nghiem, N. Chauvin, CEA, Gif-sur-Yvette; M. Comunian, INFN/LNL, Legnaro, Padova; O. Delferrière, R.D. Duperrier, A. Mosnier, CEA, Gif-sur-Yvette; C. Oliver, CIEMAT, Madrid; D. Uriot, CEA, Gif-sur-Yvette","Parameter Design and Beam Dynamics Simulations for the IFMIF-EVEDA Accelerators",245 247,
mop074,"R. Roux, LAL, Orsay","Beam Dynamics Simulations of Sub-ps Electron Bunch Produced in a Photo-Injector",248 250,
mop075,"L. Groening, W. Barth, W.B. Bayer, G. Clemente, L.A. Dahl, P. Forck, P. Gerhard, I. Hofmann, GSI, Darmstadt; D. Jeon, ORNL, Oak Ridge, Tennessee; G.A. Riehl, GSI, Darmstadt; D. Uriot, CEA, Gif-sur-Yvette; S. Yaramyshev, GSI, Darmstadt","Benchmarking of Measurement and Simulation of Transverse RMS-Emittance Growth Along an Alvarez DTL",251 253,
mop076,"S. Franke, W. Ackermann, TEMF, TU Darmstadt, Darmstadt; J. Enders, C. Heßler, Y. Poltoratska, TU Darmstadt, Darmstadt; B. Steiner, T. Weiland, TEMF, TU Darmstadt, Darmstadt","Integration of Fringe Field Alpha Magnets into the V-Code Beam Dynamics Simulation Tool",254 256,
mop077,"A. Facco, A.I. Balabin, INFN/LNL, Legnaro, Padova; D. Berkovits, Soreq NRC, Yavne; J.-L. Biarrotte, S. Bousson, IPN, Orsay; R.D. Duperrier, CEA, Gif-sur-Yvette; R. Paparella, INFN/LNL, Legnaro, Padova; A. Ponton, IPN, Orsay; J. Rodnizki, Soreq NRC, Yavne; D. Uriot, CEA, Gif-sur-Yvette; D. Zenere, INFN/LNL, Legnaro, Padova; V. Zvyagintsev, TRIUMF, Vancouver","Beam Dynamics Studies on the EURISOL Driver Accelerator",257 259,
mop078,"H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; H. Akikawa, M. Ikegami, KEK, Ibaraki; Y. Kondo, T. Morishita, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; T. Ohkawa, JAEA, Ibaraki-ken; A. Ueno, KEK/JAEA, Ibaraki-Ken","Transverse Beam Matching and Orbit Corrections at J-PARC LINAC",260 262,
