frop01,"E. MÃ©tral, CERN, Geneva; G. Franchetti, GSI, Darmstadt","Summary of Working Group A on Beam Dynamics in High-Intensity Circular Machines",691 695,
mopd05,"M. Xiao, D.E. Johnson, L.G. Vorobiev, Fermilab, Batavia","Dynamic Aperture and Space Charge Effect Studies for the Recycler Ring for Project-X",45 48,
mopd06,"Y. Zhang, Y.S. Derbenev, G.A. Krafft, B.C. Yunn, JLAB, Newport News, Virginia","Achieving High Luminosity in an Electron-Ion Collider",49 53,
mopd07,"G.H. Rees, D.J. Kelliher, STFC/RAL/ASTeC, Chilton, Didcot, Oxon","New, High Power, Scaling, FFAG Driver Ring Designs",54 56,
mopd08,"N. Hayashi, H. Harada, S. Hatakeyama, H. Hotchi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; J. Takano, J-PARC, KEK & JAEA, Ibaraki-ken; M. Tejima, KEK, Ibaraki; T. Toyama, J-PARC, KEK & JAEA, Ibaraki-ken","Beam Based Alignment of Synchrotorn under Coupled Quadrupole Magnet Environment",57 61,
mopd09,"A.V. Fedotov, BNL, Upton, Long Island, New York; A.O. Sidorin, A.V. Smirnov, JINR, Dubna, Moscow Region","IBS for Non-Gaussian Distributions",62 66,
mopd10,"H. Bartosik, Y. Papaphilippou, CERN, Geneva","Linear and Non-Linear Optimization of the PS2 Negative Momentum Compaction Lattice",67 71,
mopd11,"S. Paret, O. Boine-Frankenheim, GSI, Darmstadt","Space-charge Effects during Multiturn Injection in SIS-18",72 76,
mopd12,"D. Raparia, J.G. Alessi, B. Briscoe, J.M. Fite, O. Gould, V. Lo Destro, M. Okamura, J. Ritter, A. Zelenski, BNL, Upton, Long Island, New York","Reducing Losses and Emittance in High Intensity Linac at BNL",77 81,
mopd14,"S.L. Sheehy, JAI, Oxford","The EMMA Accelerator and Implications for Hadron Non-Scaling FFAGs",82 85,
mopd15,"T. Argyropoulos, T. Bohl, T.P.R. Linnecar, E.N. Shaposhnikova, J. Tuckmantel, CERN, Geneva","Controlled Longitudinal Emittance Blow-up in Double Harmonic RF System at CERN SPS",86 90,
mopd16,"P. Puppel, GSI, Darmstadt; U. Ratzinger, IAP, Frankfurt am Main; P.J. Spiller, GSI, Darmstadt","Simulation of the Long Term Beam Intensity Performance of the NEG-coated SIS18",91 95,
mopd19,"S.J. Brooks, STFC/RAL/ASTeC, Chilton, Didcot, Oxon","Vertical Orbit Excursion FFAGs",96 100,
mopd21,"V. Kornilov, O. Boine-Frankenheim, GSI, Darmstadt","Transverse Decoherence in Bunches with Space Charge",101 105,
mopd23,"S. Sorge, GSI, Darmstadt","Study on Slow Extraction from SIS-100 with High Intensity",106 109,
mopd25,"V.B. Reva, V.V. Parkhomchuk, BINP SB RAS, Novosibirsk; X.D. Yang, IMP, Lanzhou","Using Electron Cooling for Obtaining Ion Beam with High Intensity and Brightness",110 114,
mopd26,"G. Clemente, W.A. Barth, GSI, Darmstadt; R. M. Brodhage, IAP, Frankfurt am Main; L. Groening, GSI, Darmstadt; U. Ratzinger, R. Tiede, IAP, Frankfurt am Main; S.G. Yaramyshev, GSI, Darmstadt","The FAIR Proton Linac: The First Linac based on Normal Conducting CH-DTL",115 119,
mopd27,"S.M. Polozov, E.S. Masunov, A.V. Voronkov, MEPhI, Moscow","Ion Beam Intensity Increasing in Undulator Linear Accelerators",120 122,
mopd28,"S.M. Polozov, T.V. Bondarenko, E.S. Masunov, V.I. Rashchikov, A.V. Voronkov, MEPhI, Moscow","Beam Loading Effect Simulation in Linacs",123 125,
mopd29,"Y. Zhang, S.M. Cousineau, Y. Liu, ORNL, Oak Ridge, Tennessee","Transverse Matching Progress of the SNS Superconducting Linac",126 129,
mopd31,"A. Orzhekhovskaya, W.A. Barth, I. Hofmann, S.G. Yaramyshev, GSI, Darmstadt","Beam Dynamics Simulations for the Laser Proton Injector Transport Line",130 133,
mopd34,"R. Pakter, Y. Levin, T.N. Teles, IF-UFRGS, Porto Alegre","Relaxation, Emittance Growth, and Halo Formation in the Transport of Initially Mismatched Beams",134 138,
mopd35,"V.S. Dyubkov, S.M. Polozov, MEPhI, Moscow","Self-consistent Beam Dynamics in RF Linacs with Non-synchronous Harmonics Focusing",139 141,
mopd36,"L. Celona, G. Ciavola, S. Gammino, INFN/LNS, Catania; D. Mascali, CSFNSM, Catania","Modelling of Electron and Ion Dynamics in the Electron Cyclotron Resonance Ion Source by Means of PIC-self consistent Numerical Simulations",142 143,
mopd37,"D. Fernandez-CaÃoto, ESS Bilbao, Bilbao; F.J. Bermejo, Bilbao, Faculty of Science and Technology, Bilbao; I. Bustinduy, ESS Bilbao, Bilbao; J. Feuchtwanger, J.L. Munoz, ESS-Bilbao, Zamudio; D. de Cos, ESS Bilbao, Bilbao","Electrode Design of the ESS-Bilbao Accelerator Proton Extraction System",144 148,
mopd39,"B. Goddard, M.J. Barnes, W. Bartmann, CERN, Geneva","Considerations on a New Fast Extraction Kicker Concept for SPS",149 152,
mopd40,"V.P. Nagaslaev, J.F. Amundson, J.A. Johnstone, L. Michelotti, C.S. Park, Fermilab, Batavia; M.J. Syphers, MSU, East Lansing, Michigan; S.J. Werkema, Fermilab, Batavia","Third Integer Resonance Slow Extraction Scheme for a mu->e Experiment at Fermilab",153 155,
mopd41,"S.M. Cousineau, J.A. Holmes, ORNL, Oak Ridge, Tennessee; W. Lu, ORNL RAD, Oak Ridge, Tennessee; M.A. Plum, ORNL, Oak Ridge, Tennessee","Impact of Uncaught Foil-Stripped Electrons in the Spallation Neutron Source Ring",156 158,
mopd42,"O. Heid, T.J.S. Hughes, Siemens AG, Healthcare Technology and Concepts, Erlangen","Compact Solid State Direct Drive RF LINAC Experimental Program",159 161,
mopd43,"D.E. Johnson, A.I. Drozhdin, Fermilab, Batavia; T.V. Gorlov, ORNL, Oak Ridge, Tennessee; I.L. Rakhno, Fermilab, Batavia; D. Raparia, BNL, Upton, Long Island, New York; L.G. Vorobiev, Fermilab, Batavia","Project X H- Injection Design History and Challenges",162 166,
mopd44,"T. Yokoi, OXFORDphysics, Oxford, Oxon; K.J. Peach, H. Witte, JAI, Oxford","Beam Extraction in PAMELA NS-FFAG",167 171,
mopd45,"D. Wollmann, R.W. Assmann, R. Bruce, S. Redaelli, A. Rossi, CERN, Geneva","Predicted Performance of Combined Cleaning with DS-Collimators in the LHC",172 175,
mopd48,"C. Bracco, R.W. Assmann, W. Bartmann, C. Boucly, R. Bruce, E. Carlier, B. Dehning, B. Goddard, E.B. Holzer, M. Meddahi, A. Nordt, S. Redaelli, A. Rossi, M. Sapinski, J.A. Uythoven, D. Wollmann, CERN, Geneva","Leakage from LHC Dump Protection System",176 179,
mopd49,"B. Goddard, R.W. Assmann, W. Bartmann, C. Bracco, E. Carlier, V. Kain, M. Meddahi, A. Nordt, S. Redaelli, J.A. Uythoven, J. Wenninger, CERN, Geneva","Protection of LHC Against Fast Failures During Injection and Beam Dump",180 184,
mopd50,"X. Zhang, Fermilab, Batavia; V. Kamerdzhiev, FZJ, JÃ¼lich; G.F. Kuznetsov, G.W. Saewert, V.D. Shiltsev, G. Stancari, A. Valishev, Fermilab, Batavia","Operations of the Tevatron Electron Lenses",185 187,
mopd51,"V. Kain, W. Bartmann, C. Bracco, B. Goddard, W. HÃ¶fle, D. Karadeniz, M. Meddahi, D. Valuch, J. Wenninger, CERN, Geneva","Emittance Preservation at Injection into LHC",188 192,
mopd52,"H. Damerau, S. Hancock, M. Schokker, CERN, Geneva","Longitudinal Performance with High-density Beams for the LHC in the CERN PS",193 197,
mopd53,"M. Sapinski, B. Dehning, E. Effinger, J. Emery, E.B. Holzer, C. Kurfuerst, A. Priebe, C. Zamantzas, CERN, Geneva","Quench Protection with LHC Beam Loss Monitors",198 201,
mopd54,"S. Redaelli, CERN, Geneva; X. Buffat, EPFL, Lausanne; M. Lamont, G.J. MÃ¼ller, R.J. Steinhagen, J. Wenninger, CERN, Geneva","Commissioning of Ramp and Squeeze at the LHC",202 206,
mopd55,"C. Wang, A. Adelmann, Y. Ineichen, PSI, Villigen","A Field Emission and Secondary Emission Model in OPAL",207 210,
mopd56,"A.P. Shishlo, ORNL, Oak Ridge, Tennessee","Simulations for the SNS Linac",211 215,
mopd57,"M.V. Maltseva, TENZOR, Dubna, Moscow region; A.A. Maltsev, JINR, Dubna, Moscow Region","A Scintillation-Solid State Detector for Non-Destroying Synchrotron Diagnostics for High Energy Proton Beams",216 217,
mopd58,"D. Reggiani, PSI, Villigen; C.K. Allen, ORNL, Oak Ridge, Tennessee; M. Seidel, PSI, Villigen","Transverse Phase-Space Beam Tomography at PSI and SNS Proton Accelerators",218 222,
mopd59,"T.G. Xu, IHEP Beijing, Beijing; C. Chen, Institute of High Energy Physics, Beijing; S. Fu, L.X. Han, T. Huang, W. Kang, F. Li, P. Li, H.C. Liu, H.F. Ouyang, J. Peng, Y.F. Ruan, J.L. Sun, J.M. Tian, A.X. Wang, B. Wang, S. Xiao, IHEP Beijing, Beijing; M.H. Xu, Institute of High Energy Physics, Beijing; Y.S. Zhu, IHEP Beijing, Beijing","The Study on Beam Loss Control Based on a High Intensity RFQ",223 225,
mopd60,"R. Singh, P. Forck, P. Kowina, P. Moritz, U. Rauch, GSI, Darmstadt; T. Weiland, TEMF, TU Darmstadt, Darmstadt","Observation of Space Charge Effects on Tune at SIS-18 with New Digital Base Band Tune Measurement System",226 230,
mopd61,"M. Sapinski, B. Dehning, A. Guerrero, T. Kroyer, M. Meyer, CERN, Geneva","Carbon Fiber Damage in Particle Beam",231 234,
mopd62,"R. DÃ¶lling, PSI, Villigen","Bunch Shape Measurements at Injector 2 and Ring Cyclotron",235 239,
mopd63,"A. Nordt, B. Dehning, E. Effinger, J. Emery, E.B. Holzer, D.K. Kramer, E. Lebbos, M. Sapinski, M. Stockner, C. Zamantzas, CERN, Geneva","Development, Characterisation and Performance of the LHC Beam Loss Monitoring System",240 244,
mopd64,"A. Strinning, S.R.A. Adam, P. Baumann, V. Gandel, D.C. Kiselev, Y. Lee, PSI, Villigen","Visual Inspection of a Copper Collimator Irradiated by 590 MeV Protons at PSI",245 249,
mopd65,"V. Chetvertkova, GSI, Darmstadt; V. Chetvertkova, IAP, Frankfurt am Main; L.N. Latysheva, RAS/INR, Moscow; E. Mustafin, GSI, Darmstadt; U. Ratzinger, IAP, Frankfurt am Main; N. Sobolevskiy, RAS/INR, Moscow; I. StrašÃk, IAP, Frankfurt am Main","Activation of Aluminium by Uranium",250 253,
mopd66,"J. Tang, J.F. Chen, Y. Zou, IHEP Beijing, Beijing","Momentum Collimation in a High-intensity Compact Rapid Cycling Proton Synchrotron",254 258,
mopd67,"J. Blanco, R. Schmidt, CERN, Geneva; N.A. Tahir, GSI, Darmstadt","An Experiment at SPS-HiRadMat as a Tool to Study Beam-Matter Interaction",259 262,
mopd68,"W. Scandale, R. Losito, CERN, Geneva; A.M. Taratin, JINR, Dubna, Moscow Region","Probability of Inelastic Nuclear Interactions of High-Energy Protons in Aligned Crystal",263 265,
tho1a01,"J. Rodnizki, A. Kreisel, Soreq NRC, Yavne","Beam Dynamics Simulation in SARAF Phase-I Proton/Deuteron 4 MeV Linac Commissioning",543 547,
tho1a02,"M. Ikegami, KEK, Ibaraki; A. Miura, H. Sako, G.H. Wei, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Beam Measurement and Simulation in J-PARC Linac",548 550,
tho1a03,"A.P. Shishlo, ORNL, Oak Ridge, Tennessee","Beam Measurement and Simulation at the SNS",551 555,
tho1a04,"S.G. Yaramyshev, W.A. Barth, G. Clemente, L.A. Dahl, L. Groening, GSI, Darmstadt; A. Kolomiets, ITEP, Moscow; S. Mickat, GSI, Darmstadt; S. Minaev, ITEP, Moscow; A. Orzhekhovskaya, GSI, Darmstadt; U. Ratzinger, R. Tiede, IAP, Frankfurt am Main; H. Vormann, GSI, Darmstadt","Advanced Beam Dynamics Simulations with the DYNAMION Code for the Upgrade and Optimization of the GSI-UNILAC",556 560,
tho1b01,"R.D. Duperrier, CEA, Gif-sur-Yvette","Review of Instability Mechanisms in Ion Linacs",576 579,
tho1b02,"M. Comunian, INFN/LNL, Legnaro (PD)","Loss Control and Reliability Issues in High Intensity Linacs",580 584,
tho1b03,"R. Pakter, A. Endler, IF-UFRGS, Porto Alegre; R.P. Nunes, UFPel, Pelotas; F.B. Rizzato, E.G. Souza, IF-UFRGS, Porto Alegre","Dynamics of Intense Inhomogeneous Charged Particle Beams",585 589,
tho1b04,"L. Perrot, IPN, Orsay; P. Bertrand, GANIL, Caen; J.-L. Biarrotte, IPN, Orsay; G. Normand, GANIL, Caen; E. Schibler, IN2P3 IPNL, Villeurbanne; D. Uriot, CEA, Gif-sur-Yvette","HEBT Lines for the SPIRAL2 Facility. What to do with Accelerated Beams?",590 594,
tho1b05,"I. Bustinduy, ESS Bilbao, Bilbao; J.J. Back, University of Warwick, Coventry; F.J. Bermejo, Bilbao, Faculty of Science and Technology, Bilbao; J.-P. Carneiro, Fermilab, Batavia; D.C. Faircloth, STFC/RAL/ISIS, Chilton, Didcot, Oxon; J. Feuchtwanger, ESS-Bilbao, Zamudio; S. Jolly, Imperial College of Science and Technology, Department of Physics, London; S.R. Lawrie, A.P. Letchford, STFC/RAL/ISIS, Chilton, Didcot, Oxon; J. Lucas, Elytt Energy, Madrid; J.L. Munoz, ESS-Bilbao, Zamudio; J.K. Pozimski, STFC/RAL, Chilton, Didcot, Oxon; P. Savage, Imperial College of Science and Technology, Department of Physics, London; D. de Cos, ESS Bilbao, Bilbao","First LEBT Simulations for the Bilbao Accelerator Ion Source Test Stand",595 599,
tho1c01,"T. Baer, B. Araujo Meleiro, CERN, Geneva; T. Baer, Uni HH, Hamburg; T.B. Bogey, J. Wenninger, CERN, Geneva","Tune Resonance Phenomena in the SPS and Related Machine Protection",624 628,
tho1c02,"B.L. Beaudoin, S. Bernal, M. Cornacchia, K. Fiuza, I. Haber, R.A. Kishek, T.W. Koeth, P.G. O'Shea, M. Reiser, D.F. Sutter, H.D. Zhang, UMD, College Park, Maryland","High Intensity Beam Physics at UMER",629 633,
tho1c03,"A.V. Fedotov, M. Blaskiewicz, W. Fischer, T. Satogata, S. Tepikian, BNL, Upton, Long Island, New York","Interplay of Space-charge and Beam-beam Effects in a Collider",634 638,
tho1c04,"S.-Y. Lee, IUCEEM, Bloomington, Indiana; K.Y. Ng, Fermilab, Batavia","Application of a Localized Chaos Generated by RF-phase Modulations in Phase-Space Dilution",639 643,
tho1c05,"V.A. Lebedev, Fermilab, Batavia","Optical Stochastic Cooing in Tevatron",644 648,
tho1c06,"Y. Senichev, R. Gebel, B. Lorentz, R. Maier, M. Nekipelov, D. Prasuhn, F. Rathmann, H. Stockhorst, FZJ, JÃ¼lich","Electron Cooled Beam Losses Phenomena in COSY",649 653,
tho1d01,"S. Nagaitsev, Fermilab, Batavia; V.V. Danilov, ORNL, Oak Ridge, Tennessee; A. Valishev, Fermilab, Batavia","Nonlinear Optics as a Path to High-Intensity Circular Machines",676 680,
tho1d02,"S. Aumon, EPFL, Lausanne; H. Damerau, M. Delrieux, P. Freyermuth, S.S. Gilardoni, E. MÃ©tral, G. Rumolo, B. Salvant, CERN, Geneva","Transverse Mode Coupling Instability Measurements at Transition Crossing in the CERN PS",681 685,
tho1d03,"O. Chorniy, O. Boine-Frankenheim, P. HÃ¼lsmann, P.J. Spiller, GSI, Darmstadt","Fast Compression of Intense Heavy-Ion Bunches in SIS-18",686 690,
tho2a01,"C.J. Densham, M. Baldwin, M.D. Fitton, STFC/RAL, Chilton, Didcot, Oxon; A. Ichikawa, Kyoto University, Kyoto; S. Koike, T. Nakadaira, KEK, Ibaraki; M.T. Rooney, M.L. Woodward, STFC/RAL, Chilton, Didcot, Oxon","Design of the T2K Target for a 0.75-MW Proton Beam",560 562,
tho2a02,"C.S. Gil, J.-H. Jang, D.H. Kim, J.H. Kim, KAERI, Daejon","Beam Dump Development for the Korean Proton Accelerator",563 566,
tho2a03,"Y. Lee, P. Baumann, V. Gandel, D.C. Kiselev, D. Reggiani, M. Seidel, A. Strinning, S. Teichmann, PSI, Villigen","New Design of a Collimator System at the PSI Proton Accelerator",567 571,
tho2a04,"N. Wang, N. Huang, Q. Qin, S. Wang, IHEP Beijing, Beijing","The Design of Beam Collimation System for CSNS/RCS",572 575,
tho2b01,"H. Okuno, N. Fukunishi, A. Goto, H. Hasebe, RIKEN Nishina Center, Wako; A. Hershcovitch, BNL, Upton, Long Island, New York; H. Imao, RIKEN Nishina Center for Accelerator-Based Science, Wako, Saitama; O. Kamigaito, M. Kase, H. Kuboki, Y. Yano, RIKEN Nishina Center, Wako","A New Possibility of Low-Z Gas Stripper for High-Power Uranium Beam Acceleration Alternative to C Foil",600 604,
tho2b02,"J. Barranco, Y. Papaphilippou, CERN, Geneva","Parametric Study of a Two-Stage Betatron Collimation System for the PS2",605 609,
tho2b03,"A.Y. Molodozhentsev, KEK, Ibaraki","Operation of the J-PARC Main Ring with the Moderate Beam Power: Predictions and Observations.",610 614,
tho2b04,"G. Franchetti, W.B. Bayer, F. Becker, O. Chorniy, P. Forck, T. Giacomini, I. Hofmann, M.M. Kirk, T.S. Mohite, C. Omet, A.S. Parfenova, P. SchÃ¼tt, GSI, Darmstadt","Long Term Simulations of the Space Charge and Beam Loss in the SIS18",615 618,
tho2b05,"C.M. Warsop, D.J. Adams, I.S.K. Gardner, B. Jones, R.J. Mathieson, S.J. Payne, B.G. Pine, STFC/RAL/ISIS, Chilton, Didcot, Oxon; C.R. Prior, G.H. Rees, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; A. Seville, H. V. Smith, J.W.G. Thomason, R.E. Williamson, STFC/RAL/ISIS, Chilton, Didcot, Oxon","High Intensity Studies on the ISIS Synchrotron, Including Key Factors for Upgrades and the Effects of Half Integer Resonance.",619 623,
tho2c01,"R. Losito, O. Aberle, A. Bertarelli, R. Catherall, F. Cerutti, A. Dallocchio, I. Efthymiopoulos, S. Evrard, B. Goddard, C. HeÃler, C. Maglioni, M. Meddahi, T. Stora, V. Vlachoudis, CERN, Geneva","Testing Material Properties with High Energy Beams in HiRadMat at CERN",654 658,
tho2c02,"N.A. Tahir, GSI, Darmstadt; J. Blanco, CERN, Geneva; R. Piriz, Universidad de Castilla-La Mancha, Ciudad Real; R. Schmidt, CERN, Geneva; A. Shutov, IPCP, Chernogolovka, Moscow region","Shock Impact of High Energy/Intensity Beams with Matter and High Energy Density Physics",659 661,
tho2c03,"R.M. Ronningen, T. Baumann, M. A. Kostin, NSCL, East Lansing, Michigan","Materials under Irradiation by Heavy Ions and Perspectives for FRIB",662 666,
tho2c04,"T. Seidl, W. Ensinger, Technical University Darmstadt, Darmstadt; E. Floch, GSI, Darmstadt; A. Golubev, ITEP, Moscow; R. Lopez, CERN, Geneva; E. Mustafin, A.B. Plotnikov, D. Severin, GSI, Darmstadt; A. Smolyakov, ITEP, Moscow; D. Tommasini, CERN, Geneva; C. Trautmann, GSI, Darmstadt","Radiation Hardness of Insulating Components for the New Heavy-ion Accelerator Facility",667 670,
tho2c05,"P. Hurh, Fermilab, Batavia; O. Caretta, T.R. Davenne, C.J. Densham, P. Loveridge, STFC/RAL, Chilton, Didcot, Oxon; N. Simos, BNL, Upton, Long Island, New York","High Power Target R&D for the LBNE Beamline: Status and Future Plans",671 675,
tuo1a01,"V. Kain, CERN, Geneva","Commissioning of the LHC with Beam",266 270,
tuo1a02,"M. Zerlauth, R. Schmidt, J. Wenninger, CERN, Geneva","Commissioning and Operation of the LHC Machine Protection System",271 275,
tuo1a03,"H. Hotchi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Operational Experience at J-PARC",276 280,
tuo1a04,"A.C. Mezger, M. Seidel, PSI, Villigen","Control and Protection Aspects of the Megawatt Proton Accelerator at PSI",281 285,
tuo1b01,"M. Eshraqi, M. Brandin, C.J. Carlile, M. Lindroos, S. Peggs, A. Ponton, K. Rathsman, J. Swiniarski, ESS, Lund","Beam Dynamics and Design of the ESS LINAC",300 303,
tuo1b02,"P.A. Posocco, CERN, Geneva; M. Eshraqi, ESS, Lund; A.M. Lombardi, CERN, Geneva","Beam Dynamics of SPL: Issues and Solutions",304 308,
tuo1b03,"P.A.P. Nghiem, N. Chauvin, CEA, Gif-sur-Yvette; M. Comunian, INFN/LNL, Legnaro (PD); O. DelferriÃ¨re, R.D. Duperrier, A. Mosnier, CEA, Gif-sur-Yvette; C. Oliver, CIEMAT, Madrid; D. Uriot, CEA, Gif-sur-Yvette","The IFMIF-EVEDA Challenges and their Treatment",309 313,
tuo1b04,"J.-F. Ostiguy, J.-P. Carneiro, N. Solyak, A. Vostrikov, Fermilab, Batavia","Overview of Beam Optics in Project-X Superconducting SC CW Linac",314 318,
tuo1b05,"R.C. York, M. Doleans, F. Marti, NSCL, East Lansing, Michigan; E. Pozdeyev, FRIB, East Lansing, Michigan; X. Wu, NSCL, East Lansing, Michigan; Q. Zhao, FRIB, East Lansing, Michigan","Beam Dynamics in the FRIB Linac",319 323,
tuo1c01,"Y. Shobuda, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; Y.H. Chin, K. Takata, KEK, Ibaraki","Coupling Impedances of a Short Insert in the Vacuum Chamber",348 352,
tuo1c02,"N. Mounet, EPFL, Lausanne; N. Mounet, E. MÃ©tral, CERN, Geneva","Impedances of Two Dimensional Multilayer Cylindrical and Flat Chambers in the Non-Ultrarelativistic Case",353 357,
tuo1c03,"A.V. Burov, Fermilab, Batavia","Van Kampen Modes for Bunch Longitudinal Motion",358 362,
tuo1c04,"E.N. Shaposhnikova, T. Bohl, T.P.R. Linnecar, CERN, Geneva","Longitudinal Peak Detected Schottky Spectrum",363 367,
tuo1c05,"S. Paret, O. Boine-Frankenheim, V. Kornilov, GSI, Darmstadt; T. Weiland, TEMF, TU Darmstadt, Darmstadt","Transverse Schottky and BTF Measurements and Simulations in Space-charge Affected Coasting Ion Beams",368 372,
tuo1c06,"V.V. Danilov, Z. Liu, ORNL, Oak Ridge, Tennessee","Studies of the Effect of 2nd Harmonic on the e-p Instability and RF Control of Instabilities",373 376,
tuo1d01,"J.-B. Lallement, G. Bellodi, M. Eshraqi, M.G. Garcia Tudela, A.M. Lombardi, P.A. Posocco, E. Sargsyan, J. Stovall, CERN, Geneva","Linac4 Commissioning Strategy",405 409,
tuo2a01,"V.H. Ranjbar, K. Amyx, P. Messmer, I.V. Pogorelov, Tech-X, Boulder, Colorado","Accelerated Particle Tracking Using GPULib",286 289,
tuo2a02,"A. Orzhekhovskaya, W.A. Barth, S.G. Yaramyshev, GSI, Darmstadt","An Effective Space Charge Solver for DYNAMION Code",290 294,
tuo2a03,"Y.J. Bi, Tsinghua University, Beijing; A. Adelmann, R. DÃ¶lling, J.M. Humbel, W. Joho, M. Seidel, PSI, Villigen; C.-X. Tang, TUB, Beijing; T.J. Zhang, CIAE, Beijing","Challenges in Simulating MW Beams in Cyclotrons",295 299,
tuo2b01,"P.K. Saha, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Operational Experience with J-PARC Injection and Extraction Systems",324 328,
tuo2b02,"C. Bracco, B. Balhan, J. Borburgh, C. Carli, E. Carlier, R. Chamizo, M. Chanel, T. Fowler, B. Goddard, M. Hourican, A.M. Lombardi, B. Mikulec, A. Newborough, D. Nisbet, R. Noulibos, U. Raich, F. Roncarolo, M. Scholz, L. Sermeus, W.J.M. Weterings, CERN, Geneva","Injection Painting and Associated HW for 160 MeV PSB H-.",329 333,
tuo2b03,"M.A. Plum, S.M. Cousineau, J. Galambos, S.-H. Kim, P. Ladd, ORNL, Oak Ridge, Tennessee; C.F. Luck, ORNL RAD, Oak Ridge, Tennessee; R.J. Macek, LANL, Los Alamos, New Mexico; C.C. Peters, ORNL RAD, Oak Ridge, Tennessee; Y. Polsky, ORNL, Oak Ridge, Tennessee; D. Raparia, BNL, Upton, Long Island, New York; R.W. Shaw, ORNL, Oak Ridge, Tennessee","SNS Injection Foil Experience",334 337,
tuo2b04,"Y. Liu, ORNL RAD, Oak Ridge, Tennessee","Advancements in Laser Technology and Applications to Accelerators",338 342,
tuo2b05,"W. Bartmann, S. Aumon, B. Balhan, J. Borburgh, S.S. Gilardoni, B. Goddard, M. Hourican, L. Sermeus, R.R. Steerenberg, CERN, Geneva","Feasibility of 2 GeV Injection into the CERN PS",343 347,
tuo2c01,"J. Galambos, ORNL, Oak Ridge, Tennessee","Spallation Neutron Source Operational Experience at 1 MW",377 380,
tuo2c02,"D.J.S. Findlay, STFC/RAL/ISIS, Chilton, Didcot, Oxon","High Power Operational Experience at ISIS",381 385,
tuo2c03,"L. Rybarcyk, LANL, Los Alamos, New Mexico","Recent Operational Experience at the LANSCE Facility",386 390,
tuo2c04,"B.C. Brown, G.H. Wu, Fermilab, Batavia","Measuring Correlations Between Beam Loss and Residual Radiation in the Fermilab Main Injector",391 394,
tuo2c05,"S. Redaelli, R.W. Assmann, R. Bruce, A. Rossi, D. Wollmann, CERN, Geneva","Operation Performance of the LHC Collimation",395 399,
tuo2c06,"K. Yamamoto, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Beam Loss and Residual Dose at 100kW User Operation in the J-PARC Accelerator",400 404,
weo1a01,"V. Balbekov, Fermilab, Batavia","Effect of Space Charge on Instabilities",410 414,
