moiotio01,"M.S. Zisman, LBNL, Berkeley, California","Future Accelerator Challenges in Support of High-Energy Physics",8 16,
tuptpf054,"F. Becker, GSI, Darmstadt; F.M. Bieniosek, LBNL, Berkeley, California; P. Forck, GSI, Darmstadt; D.H.H. Hoffmann, TU Darmstadt, Darmstadt; P.N. Ni, LBNL, Berkeley, California","Beam Induced Fluorescence (BIF) Monitor for Intense Heavy Ion Beams",236 240,
tuptpf055,"W. Blokland, C.D. Long, ORNL, Oak Ridge, Tennessee","A Software Upgrade for the SNS Wire-Scanner",241 243,
tuptpf056,"S. Cohen, S.R. Babel, Bira, Albuquerque, New Mexico; D.A. Bonal, National Instruments, Austin; J.D. Gilpatrick, LANL, Los Alamos, New Mexico; M.M. Ravindran, National Instruments, Austin; J.D. Sedillo, LANL, Los Alamos, New Mexico","Closed Loop Wire Scanner Actuator Control for LANSCE Accelerator Beam Profile Measurements",244 246,
tuptpf058,"P. Evtushenko, JLAB, Newport News, Virginia","Electron Beam Timing Jitter and Energy Modulation Measurements at the JLab FEL",247 250,
tuptpf059,"M.G. Fedurin, I. Pinayev, BNL, Upton, Long Island, New York","Coupling Correction in NSLS X-ray Ring",251 252,
tuptpf061,"A.H. Lumpkin, Fermilab, Batavia; M. Cestelli Guidi, E. Chiadroni, INFN/LNF, Frascati (Roma); A. Cianchi, Università di Roma II Tor Vergata, Roma; C. Yao, ANL, Argonne","Considerations on ODR Beam-Size Monitoring for Gamma=1000 Beams",253 257,
tuptpf062,"A.H. Lumpkin, J. Ruan, Fermilab, Batavia","Initial Synchroscan Streak Camera Imaging at the A0 Photoinjector",258 262,
tuptpf063,"A.H. Lumpkin, Fermilab, Batavia; M. Borland, Y.L. Li, K. Nemeth, S.J. Pasky, N. Sereno, ANL, Argonne","Observations of Enhanced OTR Signals from a Compressed Electron Beam",263 267,
tuptpf064,"J. Marroncle, P. Abbon, E. Delagnes, F. Jeanneau, J.-Ph. Mols, J. Pancin, CEA, Gif-sur-Yvette","Beam Transverse Profile Monitor Prototype for IFMIF-EVEDA Accelerator",268 269,
tuptpf065,"I. Pinayev, BNL, Upton, Long Island, New York","Evaluation of Pinhole Camera Resolution for NSLS-II Storage Ring",270 273,
tuptpf066,"M. Sapinski, T. Kroyer, CERN, Geneva","Operational Limits of Wire Scanners on LHC Beam",274 278,
tuptpf068,"C.A. Thomas, G. Rehm, Diamond, Oxfordshire","Fast Pinhole Camera for Optimisation of Top Up Injection",279 281,
tuptpf069,"J.R. Zagel, M. Hu, A. Jansson, R. Thurman-Keup, M.-J. Yang, Fermilab, Batavia","Complementary Methods of Transverse Emittance Measurement",282 286,
tuptpf074,"M.J. Chin, W. Barry, F. Sannibale, J.M. Weber, LBNL, Berkeley, California","Advanced Light Source FGPA-based Bunch Cleaning",287 289,
tuptpf075,"J.C. Dooling, L. Donley, M.K. Lien, C. Yao, ANL, Argonne","A Solid-State Pinger Tune Measurement System for the Intense Pulsed Neutron Source (IPNS) Rapid Cycling Synchrotron (RCS)",290 294,
tuptpf076,"M. Gasior, A. Boccardi, O.R. Jones, R.J. Steinhagen, CERN, Geneva","An Overview of the LHC Transverse Diagnostics Systems",295 299,
tuptpf077,"V. Kamerdzhiev, V.A. Lebedev, A. Semenov, Fermilab, Batavia","Progress with the Digital Tune Monitor at the Tevatron",300 302,
tuptpf078,"C. Yao, W.E. Norum, J. Wang, ANL, Argonne","An FPGA-based Tune Measurement System for the APS Booster Synchrotron",303 306,
tuttt01,"G.A. Blair, Royal Holloway, University of London, Surrey","Lasers in Beam Diagnostics",55 64,
wecotc01,"P. Evtushenko, A. Freyberger, JLAB, Newport News, Virginia; C. Liu, CASA, newport news; A.H. Lumpkin, Fermilab, Batavia","Near-field Optical Diffraction Radiation Measurements at CEBAF",332 336,
wecotc02,"N. Hubert, L. Cassinari, J. Denard, J.-M. Filhol, A. Nadji, L.S. Nadolski, D. Pédeau, SOLEIL, Gif-sur-Yvette","Commissioning of SOLEIL Fast Orbit Feedback system",337 341,
wecotc03,"A. Bocci, M. Cestelli Guidi, A. Clozza, INFN/LNF, Frascati (Roma); A. De Sio, Università degli Studi di Firenze, Firenze; A. Drago, INFN/LNF, Frascati (Roma); E.P. Emanuele, Università degli Studi di Firenze, Firenze; L. Gambicorti, INOA, Firenze; A.G. Grilli, A. Marcelli, M. Piccinini, INFN/LNF, Frascati (Roma); J.P. Piotrowski, VIGO System S.A., Ozarow Maz.; A.R. Raco, R.S. Sorchetti, INFN/LNF, Frascati (Roma)","Beam Diagnostics at DANE with Fast Uncooled IR Detectors",342 345,
weiotio01,"R.B. Fiorito, UMD, College Park, Maryland","Transition, Diffraction and Smith-Purcell Diagnostics for Charged Particle Beams",316 322,
weiotio02,"T. Lefèvre, CERN, Geneva","The CLIC Test Facility 3 Instrumentation",323 331,
wettt01,"T.G. Anderson, Fermilab, Batavia","Accelerator Vacuum 101, Made Easy???",307 315,
