fr101,"K. Ko, A.E. Candel, SLAC, Menlo Park, California","Advances in Parallel Electromagnetic Codes for Accelerator Science and Development",1028 1032,
mo302,"N. Ohuchi, KEK, Ibaraki; C. Adolphsen, SLAC, Menlo Park, California; M. Akemoto, KEK, Ibaraki; T.T. Arkan, S. Barbanotti, Fermilab, Batavia; A. Bosotti, INFN/LASA, Segrate (MI); H. Carter, M.S. Champion, Fermilab, Batavia; S. Fukuda, H. Hayano, N. Higashi, E. Kako, H. Katagiri, KEK, Ibaraki; R.D. Kephart, J.S. Kerby, Fermilab, Batavia; Y. Kojima, Y. Kondou, KEK, Ibaraki; D. Kostin, L. Lilje, A. Matheisen, DESY, Hamburg; T. Matsumoto, H. Matsushita, S. Michizono, KEK, Ibaraki; D.V. Mitchell, Fermilab, Batavia; T. Miura, KEK, Ibaraki; W.-D. Möller, DESY, Hamburg; H. Nakai, H. Nakajima, KEK, Ibaraki; C.D. Nantista, SLAC, Menlo Park, California; S. Noguchi, KEK, Ibaraki; Y. Orlov, Fermilab, Batavia; C. Pagani, R. Paparella, INFN/LASA, Segrate (MI); T.J. Peterson, Fermilab, Batavia; P. Pierini, INFN/LASA, Segrate (MI); M.C. Ross, Fermilab, Batavia; M. Satoh, T. Shidara, T. Shishido, T. Takenaka, A. Terashima, N. Toge, K. Tsuchiya, KEK, Ibaraki; N.J. Walker, DESY, Hamburg; K. Watanabe, KEK, Ibaraki; H. Weise, DESY, Hamburg; S. Yamaguchi, A. Yamamoto, Y. Yamamoto, K. Yokoya, M. Yoshida, KEK, Ibaraki","S1-Global Collaborative Efforts - 8-Cavity-Cryomodule: 2 FNAL, 2 DESY and 4 KEK",31 35,
mo303,"R.J.M.Y. Ruber, Uppsala University, Uppsala","CLIC Feasibility Demonstration at CTF3",36 40,
mo304,"H.T. Edwards, Fermilab, Batavia; C. Behrens, DESY, Hamburg; E.R. Harms, Fermilab, Batavia","3.9 GHz Cavity Module for Linear Bunch Compression at FLASH",41 45,
mop001,"W. Farabolini, D. Bogard, CEA, Gif-sur-Yvette; E. Chevallay, CERN, Geneva; A. Curtoni, CEA, Gif-sur-Yvette; M. Divall Csatari, CERN, Geneva; P. Girardot, CEA, Gif-sur-Yvette; N. Lebas, CERN, Geneva; A. Palaia, Uppsala University, Uppsala; F. Peauger, CEA, Gif-sur-Yvette; M. Petrarca, CERN, Geneva; R.J.M.Y. Ruber, Uppsala University, Uppsala; C.S. Simon, CEA, Gif-sur-Yvette; V.G. Ziemann, Uppsala University, Uppsala","CTF3 Probe Beam LINAC Commissioning and Operations",46 48,
mop002,"R.M. Jones, A. D'Elia, UMAN, Manchester; A. Grudiev, CERN, Geneva; V.F. Khan, UMAN, Manchester; W. Wuensch, R. Zennaro, CERN, Geneva","A High Phase Advance Damped and Detuned Structure for the Main Linacs of CLIC",49 51,
mop003,"Y.A. Kot, DESY, Hamburg","Injector Operation with Low Charge Bunches",52 54,
mop004,"M. Hüning, DESY, Hamburg; C. Liebig, Uni HH, Hamburg; M. Schmitz, DESY, Hamburg","An Electron Linac Injector With a Hybrid Buncher Structure",55 57,
mop005,"F.V. Hartemann, LLNL, Livermore, California; C. Adolphsen, SLAC, Menlo Park, California; F. Albert, S.G. Anderson, C.P.J. Barty, A.J. Bayramian, R.E. Bonnanno, LLNL, Livermore, California; A.E. Candel, SLAC, Menlo Park, California; T.S. Chu, R.R. Cross, C.A. Ebbers, D.J. Gibson, T.L. Houck, LLNL, Livermore, California; E.N. Jongewaard, Z. Li, C. Limborg-Deprey, SLAC, Menlo Park, California; R.A. Marsh, D.P. McNabb, M. J. Messerly, LLNL, Livermore, California; T.O. Raubenheimer, SLAC, Menlo Park, California; R.D. Scarpetti, LLNL, Livermore, California; V.A. Semenov, UCB, Berkeley, California; M. Shverdin, C. Siders, LLNL, Livermore, California; S.G. Tantawi, A.E. Vlieks, F. Wang, J.W. Wang, SLAC, Menlo Park, California; S.S.Q. Wu, LLNL, Livermore, California; F. Zhou, SLAC, Menlo Park, California","LLNL's Precision Compton Scattering Light Source",58 60,
mop007,"R.A. Erickson, L.D. Bentson, D. Kharakh, A.R. Owens, P. Schuh, J. Seeman, J. Sheppard, M. Stanek, U. Wienands, W. Wittmer, G. Yocky, SLAC, Menlo Park, California","SLAC Linac Preparations for FACET",61 63,
mop008,"R. Eichhorn, A. Araz, J. Conrad, F. Hug, M. Konrad, T. Quincey, TU Darmstadt, Darmstadt","Reducing the Energy Spread of Recirculating Linac by Non-isochronous Beam Dynamics",64 66,
mop009,"T. Kubota, N. Abe, J. Hori, T. Takahashi, KURRI, Osaka","Generation of Low-energy Electron Beam Using KURRI-LINAC",67 69,
mop011,"T. Kamitani, M. Akemoto, D.A. Arakawa, A. Enomoto, S. Fukuda, K. Furukawa, T. Higo, H. Honma, K. Hosoyama, N. Iida, M. Ikeda, E. Kadokura, K. Kakihara, H. Katagiri, M. Kikuchi, Y. Kojima, M. Kurashina, S. Matsumoto, T. Matsumoto, H. Matsushita, S. Michizono, K. Mikawa, T. Mimashi, T. Miura, H. Nakajima, K. Nakanishi, K. Nakao, Y. Ogawa, S. Ohsawa, T. Sanami, M. Satoh, T. Shidara, A. Shirakawa, T. Sugimura, T. Suwada, T. Takenaka, M. Tawada, Y. Yano, K. Yokoyama, M. Yoshida, KEK, Ibaraki","Injector Linac Upgrade for SuperKEKB",70 72,
mop012,"S. Matsumoto, M. Akemoto, T. Higo, H. Honma, M. Ikeda, K. Kakihara, T. Kamitani, H. Nakajima, K. Nakao, Y. Ogawa, S. Ohsawa, Y. Yano, K. Yokoyama, M. Yoshida, KEK, Ibaraki","Development of L-Band Positron Capture Accelerator System in KEKB Injector Linac",73 75,
mop014,"Y. Shoji, LASTI, Hyogo","Observation of Sub-THz Coherent Radiation from the Linac Beam Injected in the NewSUBARU Storage Ring",76 78,
mop015,"S. Okuda, T. Kojima, R. Taniguchi, Osaka Prefecture University, Sakai","New Pump-Probe System Using the Coherent Radiation from a Linac Electron Beam at OPU",79 81,
mop017,"C. Christou, Diamond, Oxfordshire","A Rescue Mode for the Diamond Light Source Pre-Injector Linac",82 84,
mop018,"S. Döbert, E. Adli, CERN, Geneva; D. Carrillo, CIEMAT, Madrid; A. Faus-Golfe, J.J. García-Garrigós, IFIC, Valencia; Yu.A. Kubyshin, UPC, Barcelona; R.L. Lillestol, CERN, Geneva; G. Montoro, EPSC, CASTELLDEFELS; M. Olvegård, I. Syratchev, CERN, Geneva; F. Toral, CIEMAT, Madrid","Commissioning Status of the Decelerator Test Beam Line in CTF3",85 87,
mop019,"F. Stulle, CERN, Geneva; A. Latina, Fermilab, Batavia; S. Molloy, Royal Holloway, University of London, Surrey; D. Schulte, J. Snuverink, CERN, Geneva","CLIC Ring to Main Linac",88 90,
mop020,"A. Samoshkin, D. Gudkov, G. Riddone, CERN, Geneva","CLIC Two-beam Module Design and Integration",91 93,
mop021,"A. Grudiev, A. Cappelletti, O. Kononenko, CERN, Geneva","Compensation of Transient Beam-Loading in the CLIC Main Linac",94 96,
mop022,"A. Grudiev, A. Olyunin, J. Shi, W. Wuensch, CERN, Geneva","Tuning of CLIC Accelerating Structure Prototypes at CERN",97 99,
mop023,"A. Grudiev, D. Schulte, CERN, Geneva","The Accelerating Structure for a 500 GeV CLIC",100 102,
mop024,"D. Schulte, CERN, Geneva; A. Aksoy, Ankara University, Faculty of Engineering, Tandogan, Ankara; A. Andersson, CERN, Geneva; V.R. Arsov, PSI, Villigen; S. Bettoni, CERN, Geneva; P. Burrows, JAI, Oxford; R. Corsini, CERN, Geneva; M.M. Dehler, PSI, Villigen; A. Dubrovskiy, A. Gerbershagen, J.B. Jeanneret, CERN, Geneva; F. Marcellini, INFN/LNF, Frascati (Roma); G. Morpurgo, CERN, Geneva; C. Perry, JAI, Oxford; G. Sterbini, F. Stulle, R. Tomás, CERN, Geneva","Status of the CLIC Phase and Amplitude Stabilisation Concept",103 105,
mop025,"A.E. Candel, SLAC, Menlo Park, California; A. Grudiev, CERN, Geneva; K. Ko, Z. Li, C.-K. Ng, V. Rawat, G.L. Schussman, SLAC, Menlo Park, California; I. Syratchev, W. Wuensch, CERN, Geneva","ACE3P Computations of Wakefield Coupling in the CLIC Two-beam Accelerator",106 108,
mop026,"A. Latina, Fermilab, Batavia; P. Raimondi, INFN/LNF, Frascati (Roma)","A Novel Alignment Procedure for the Final Focus of Future Linear Colliders",109 111,
mop027,"S. Fukuda, KEK, Ibaraki","Distributed RF Scheme (DRFS) - Newly Proposed HLRF Scheme for ILC",112 114,
mop028,"A. Enomoto, S. Fukuda, K. Hosoyama, S. Imamura, H. Itoh, M. Miyahara, Y. Sugimoto, T. Tauchi, KEK, Ibaraki","The Asian Regional Proposal for A Single-Tunnel Configuration for The Conventional Facility",115 117,
mop029,"F. Furuta, KEK, Ibaraki; G.V. Eremeev, R.L. Geng, JLAB, Newport News, Virginia; T. Konomi, Sokendai, Ibaraki; K. Saito, KEK, Ibaraki","S0-studies on ICHIRO 9-cell Cavities in Collaboration with KEK and Jlab",118 120,
mop030,"H. Hitomi, H. Hara, K. Kanaoka, K. Sennyu, T. Yanagisawa, MHI, Kobe","Status of Superconducting Cavity Development for ILC at MHI",121 123,
mop032,"K. Lee, The University of Tokyo, Nuclear Professional School, Ibaraki-ken; E. Hashimoto, JAEA, Ibaraki-ken; S. Hirai, The University of Tokyo, Nuclear Professional School, Ibaraki-ken; T. Natsui, UTNL, Ibaraki; M. Uesaka, The University of Tokyo, Nuclear Professional School, Ibaraki-ken","Application of X-band Linac for Material Recognition with Two Fold Scintillator Detector",124 126,
mop033,"P.K. Ambattu, G. Burt, Cockcroft Institute, Lancaster University, Lancaster; P.A. Corlett, P.A. McIntosh, A.J. Moss, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; M.I. Tahir, Cockcroft Institute, Lancaster University, Lancaster","Low Energy RF Accelerator for Various Applications",127 129,
mop034,"R. Taniguchi, N. Ito, T. Kojima, S. Okuda, Osaka Prefecture University, Sakai","Observation of Ozone Explosion of Liquid Nitrogen Induced by Irradiation with Electron Linear Accelerator",130 132,
mop035,"S.H. Kim, M.-H. Cho, POSTECH, Pohang, Kyungbuk; K.H. Chung, KAPRA, Cheorwon; S.D. Jang, POSTECH, Pohang, Kyungbuk; K. Lee, KAPRA, Cheorwon; W. Namkung, POSTECH, Pohang, Kyungbuk; J.-S. Oh, NFRI, Daejon; S.J. Park, POSTECH, Pohang, Kyungbuk; Y.G. Son, PAL, Pohang, Kyungbuk; H.R. Yang, POSTECH, Pohang, Kyungbuk","Transient Beam Loading Compensation in L-band Traveling-wave Accelerating Structure with Intense Electron Beam",133 135,
mop036,"H.R. Yang, M.-H. Cho, POSTECH, Pohang, Kyungbuk; K.H. Chung, KAPRA, Cheorwon; S.D. Jang, S.H. Kim, POSTECH, Pohang, Kyungbuk; K. Lee, KAPRA, Cheorwon; W. Namkung, POSTECH, Pohang, Kyungbuk; J.-S. Oh, NFRI, Daejon; S.J. Park, POSTECH, Pohang, Kyungbuk","Beam Commissioning of C-band Standing-wave Accelerator for X-ray Source",136 138,
mop039,"J.-L. Biarrotte, IPN, Orsay; P. Bertrand, GANIL, Caen; C. Peaucelle, IN2P3 IPNL, Villeurbanne; T. Thuillier, LPSC, Grenoble; O. Tuske, D. Uriot, CEA, Gif-sur-Yvette","First Beams Produced by the Spiral-2 Injectors",139 141,
mop040,"H. Vormann, W.A. Barth, L.A. Dahl, GSI, Darmstadt; A. Kolomiets, S. Minaev, ITEP, Moscow; U. Ratzinger, R. Tiede, IAP, Frankfurt am Main; W. Vinzenz, S.G. Yaramyshev, GSI, Darmstadt","Advanced Unilac Upgrade for Fair",142 144,
mop041,"S. Mickat, GSI, Darmstadt; K. Aulenbacher, IKP, Mainz; W.A. Barth, GSI, Darmstadt; M. Busch, IAP, Frankfurt am Main; L.A. Dahl, GSI, Darmstadt; F.D. Dziuba, IAP, Frankfurt am Main; M. Kaiser, GSI, Darmstadt; H. Podlech, U. Ratzinger, IAP, Frankfurt am Main; T. Weilbach, HIM, Mainz","The Superconducting Cw-Linac-Demonstrator at Gsi",145 147,
mop042,"L.A. Dahl, W.A. Barth, P. Gerhard, S. Mickat, GSI, Darmstadt; A. Schempp, IAP, Frankfurt am Main; W. Vinzenz, H. Vormann, GSI, Darmstadt; M. Vossberg, IAP, Frankfurt am Main","UNILAC Upgrades for Coulomb Barrier Energy Experiments",148 150,
mop043,"F. Herfurth, W.A. Barth, G. Clemente, L.A. Dahl, P. Gerhard, M. Kaiser, GSI, Darmstadt; O.K. Kester, NSCL, East Lansing, Michigan; H.J. Kluge, N. Kotovski, C. Kozhuharov, M.T. Maier, GSI, Darmstadt; J. Pfister, IAP, Frankfurt am Main; W. Quint, GSI, Darmstadt; U. Ratzinger, A.C. Sauer, A. Schempp, IAP, Frankfurt am Main; A. Sokolov, T. Stöhlker, H. Vormann, G. Vorobjev, GSI, Darmstadt","HITRAP - A Decelerator for Heavy Highly-charged Ions",151 153,
mop044,"W.A. Barth, G. Clemente, L.A. Dahl, P. Gerhard, L. Groening, M. Kaiser, B. Lommel, M.T. Maier, S. Mickat, W. Vinzenz, H. Vormann, GSI, Darmstadt","High Current U40+-operation in the GSI-UNILAC",154 156,
mop045,"P.N. Ostroumov, R.V.F. Janssens, M.P. Kelly, S.A. Kondrashev, B. Mustapha, R.C. Pardo, G. Savard, ANL, Argonne","Efficiency and Intensity Upgrade of the ATLAS Facility",157 159,
mop046,"R.C. York, NSCL, East Lansing, Michigan; S. Assadi, FRIB, East Lansing, Michigan; G. Bollen, M. Doleans, NSCL, East Lansing, Michigan; T . Glasmacher, FRIB, East Lansing, Michigan; W. Hartung, M.J. Johnson, G. Machicoane, F. Marti, NSCL, East Lansing, Michigan; E. Pozdeyev, E. Tanke, FRIB, East Lansing, Michigan; X. Wu, Q. Zhao, NSCL, East Lansing, Michigan","Status and Plans for the Facility for Rare Isotope Beams at Michigan State University",160 162,
mop047,"X. Wu, M. Doleans, W. Hartung, M.J. Johnson, F. Marti, NSCL, East Lansing, Michigan; E. Pozdeyev, E. Tanke, FRIB, East Lansing, Michigan; R.C. York, Q. Zhao, NSCL, East Lansing, Michigan","The Overview of the Accelerator System for the Facility for Rare Isotope Beams at Michigan State University*",163 165,
mop048,"D. Longuevergne, UBC & TRIUMF, Vancouver, British Columbia; C.D. Beard, A. Grassellino, P. Kolb, R.E. Laxdal, V. Zvyagintsev, TRIUMF, Vancouver","Experimental Study of the Surface Resistance of the 141 Mhz Quarter-Wave Resonator at Triumf",166 168,
mop049,"B. Mustapha, P.N. Ostroumov, ANL, Argonne","Electro-Magnetic Optimization of a Quarter-Wave Resonator",169 171,
mop051,"M. Lechartier, D. Besnier, R. Beunard, J.F. Leyge, M. Michel, P. Robillard, P. Toussaint, GANIL, Caen","RF Power Tests and Results of the First Rebuncher for the SPIRAL 2 Driver",172 174,
mop053,"W. Höfle, CERN, Geneva; S. Chel, M. Desmons, G. Devanz, CEA, Gif-sur-Yvette; M. Hernandez Flano, J. Lollierou, CERN, Geneva; R. Paparella, P. Pierini, INFN/LASA, Segrate (MI); O. Piquet, CEA, Gif-sur-Yvette; D. Valuch, CERN, Geneva","Testing of Super Conducting Low-beta 704 MHz Cavities at 50 Hz Pulse Repetition Rate in View of SPL - First Results*",175 177,
mop055,"M. Popovic, Fermilab, Batavia; C.M. Ankenbrandt, R.P. Johnson, Muons, Inc, Batavia","A CW SRF Linac to Drive Subcritical Nuclear Reactors",178 180,
mop056,"A. Facco, INFN/LNL, Legnaro (PD); Y. Ma, CIAE, Beijing; P. Modanese, F. Scarpa, INFN/LNL, Legnaro (PD)","Status of the ALPI Low-beta Section Upgrade",181 183,
mop057,"H. Podlech, M. Amberg, IAP, Frankfurt am Main; W.A. Barth, GSI, Darmstadt; M. Busch, F.D. Dziuba, IAP, Frankfurt am Main; S. Mickat, GSI, Darmstadt; U. Ratzinger, R. Tiede, IAP, Frankfurt am Main","A CW Operated Superconducting Heavy Ion CH-Type Linac for Super-Heavy Element Research at GSI",184 186,
mop058,"R. Cee, E. Feldmeier, M. Galonska, Th. Haberer, J.M. Mosthaf, A. Peters, S. Scheloske, T.W. Winkelmann, HIT, Heidelberg","A Test Bench for the Heidelberg Ion Beam Therapy Centre",187 189,
mop060,"Y. Iwata, T. Fujisawa, NIRS, Chiba-shi; Y.K. Kageyama, I. Kobayashi, AEC, Chiba; T.M. Murakami, M. Muramatsu, K. Noda, NIRS, Chiba-shi; T. Sasano, T. Takeuchi, AEC, Chiba","The Compact Injector as the Second Injector of the HIMAC",190 192,
mop061,"M.S. Gulley, H. T. Bach, L.J. Bitteker, K.D. John, F.M. Nortier, C. Pillai, LANL, Los Alamos, New Mexico; A. Seifter, EPO, Rijswijk; F.O. Valdez, LANL, Los Alamos, New Mexico","Exploring the Energy/Beam Current Parameter Space for the Isotope Production Facility (IPF) at LANSCE",193 195,
mop062,"A. Noda, Kyoto ICR, Uji, Kyoto; T. Fujimoto, S.I. Iwata, AEC, Chiba; K. Noda, NIRS, Chiba-shi; S. Shibuya, AEC, Chiba; T. Shirai, NIRS, Chiba-shi; H. Souda, H. Tongu, Kyoto ICR, Uji, Kyoto","Linac followed by an Electron Cooler to Provide a Short Bunch Proton Beam",196 198,
mop064,"W. Fang, Q. Gu, SINAP, Shanghai; D.C. Tong, TUB, Beijing; Z.T. Zhao, SINAP, Shanghai","R&D of C Band Accelerating Structure at SINAP",199 201,
mop065,"S.V. Kutsaev, R.O. Bolgov, M. Gusarova, D.S. Kamenshikov, K.I. Nikolskiy, A.Yu. Smirnov, N.P. Sobenin, S.E. Toporkov, MEPhI, Moscow","C-Band Magnetic Coupled Accelerating Structure Optimization",202 204,
mop066,"J. Norem, Z. Insepov, ANL, Argonne; S. Mahalingam, Tech-X, Boulder, Colorado; Th. Proslier, ANL, Argonne; S.A. Veitzer, Tech-X, Boulder, Colorado","Numerical Modeling of Arcs in Accelerators",205 207,
mop067,"S. Döbert, CERN, Geneva; C. Adolphsen, SLAC, Menlo Park, California; A. Grudiev, CERN, Geneva; T. Higo, S. Matsumoto, KEK, Ibaraki; G. Riddone, CERN, Geneva; F. Wang, J.W. Wang, SLAC, Menlo Park, California; W. Wuensch, CERN, Geneva; K. Yokoyama, KEK, Ibaraki; R. Zennaro, CERN, Geneva","First High Power Tests of CLIC Prototype Accelerating Structures with HOM Waveguide Damping",208 210,
mop068,"A. Grudiev, W. Wuensch, CERN, Geneva","Design of the CLIC Main Linac Accelerating Structure for CLIC Conceptual Design Report",211 213,
mop069,"M. Aicheler, CERN, Geneva","Thermal Fatigue of Polycrystalline Copper in CLIC Accelerating Structures: Surface Roughening and Hardening as a Function of Grain Orientation",214 216,
mop070,"S. Calatroni, CERN, Geneva; A. Descoeudres, EPFL, Lausanne; F. Djurabekova, HIP, University of Helsinki; J.W. Kovermann, CERN, Geneva; A. Kuronen, K. Nordlund, A.S. Pohjonen, HIP, University of Helsinki; M. Taborelli, H. Timko, W. Wuensch, CERN, Geneva","Breakdown Studies for the CLIC Accelerating Structures",217 219,
mop071,"F. Gerigk, P. Bourquin, A. Dallocchio, G. Favre, J.-M. Geisser, L. Gentini, J.-M. Giguet, S.J. Mathot, M. Polini, D. Pugnat, B. Riffaud, S. Sgobba, T. Tardy, P. Ugena Tirado, M. Vretenar, R. Wegner, CERN, Geneva","The Hot Prototype of the PI-Mode Structure for Linac4",220 222,
mop073,"M.M. Dehler, PSI, Villigen; A.E. Candel, L. Lee, SLAC, Menlo Park, California","Numerical Validation of the CLIC/SwissFEL/FERMI Multi Purpose X Band Structure",223 225,
mop074,"S. Matsumoto, T. Higo, KEK, Ibaraki; G. Riddone, I. Syratchev, W. Wuensch, CERN, Geneva","High Power Evaluation of X-band High Power Loads",226 228,
mop075,"K. Yokoyama, KEK, Ibaraki; S. Calatroni, CERN, Geneva; S. Fukuda, Y. Higashi, T. Higo, S. Matsumoto, KEK, Ibaraki; C. Pasquino, Politecnico/Milano, Milano; R. Santiago Kern, W. Wuensch, CERN, Geneva","Breakdown Characteristics in DC Spark Experiments of Copper Focusing on Purity and Hardness",229 231,
mop076,"L. Laurent, SLAC, Menlo Park, California; M. Aicheler, CERN, Geneva; V.A. Dolgashev, SLAC, Menlo Park, California; S.T. Heikkinen, CERN, Geneva; Y. Higashi, KEK, Ibaraki; C.D. Nantista, S.G. Tantawi, SLAC, Menlo Park, California; W. Wuensch, CERN, Geneva","An Experimental Investigation on Cavity Pulsed Heating",232 234,
mop077,"J. Neilson, V.A. Dolgashev, S.G. Tantawi, SLAC, Menlo Park, California","Design of RF Feed System for Standing-wave Accelerator Structures",235 237,
mop080,"D.C. Plostinar, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; R. Enparantza, M. Larrañaga, Fundación TEKNIKER, Eibar (Gipuzkoa)","Design Optimisation of the Re-bunching Cavities for the Front End Test Stand at RAL",238 240,
mop081,"V.V. Paramonov, RAS/INR, Moscow; A. Donat, DESY Zeuthen, Zeuthen; K. Flöttmann, DESY, Hamburg; L. Jachmann, W. Köhler, M. Krasilnikov, J. Meissner, D. Melkumyan, DESY Zeuthen, Zeuthen; A. Naboka, RAS/INR, Moscow; M. Otevrel, B. Petrosyan, DESY Zeuthen, Zeuthen; D. Richter, HZB, Berlin; J. Schultze, F. Stephan, G. Trowitzsch, R.W. Wenndorff, DESY Zeuthen, Zeuthen","The PITZ CDS Booster Cavity RF Tuning and Start of Conditioning",241 243,
mop082,"F.B. Bouly, J.-L. Biarrotte, C. Joly, IPN, Orsay","Low Level Radio-frequency Developments toward a Fault-tolerant Linac Scheme for an Accelerator Driven System",244 246,
mop083,"J. Branlard, B. Chase, E. Cullerton, P.W. Joireman, V. Tupikov, Fermilab, Batavia","LLRF Design for the HINS-SRF Test Facility at Fermilab",247 249,
mop084,"P. Varghese, B. Barnes, J. Branlard, B. Chase, E. Cullerton, P.W. Joireman, V. Tupikov, Fermilab, Batavia","A Vector Control and Data Acquisition System for the Multicavity LLRF System for Cryomodule1 at Fermilab",250 252,
mop086,"T. Kobayashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Stability Evaluation for Long FB Loop Delay in the ACS Cavity Field Control for the J-PARC Linac 400-MeV Upgrade",253 255,
mop087,"T. Kobayashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Ikegami, KEK, Ibaraki","Beam Test of Chopped Beam Loading Compensation for the J-PARC Linac 400-MeV Upgrade",256 258,
mop088,"M.T. Crofford, ORNL, Oak Ridge, Tennessee; J.A. Ball, T.L. Davidson, ORNL RAD, Oak Ridge, Tennessee; T.W. Hardek, S.W. Lee, M.F. Piller, ORNL, Oak Ridge, Tennessee","Spallation Neutron Source LLRF Temperature Dependence and Solution",259 261,
mop089,"S.W. Lee, J.A. Ball, ORNL RAD, Oak Ridge, Tennessee; M.T. Crofford, ORNL, Oak Ridge, Tennessee; T.L. Davidson, ORNL RAD, Oak Ridge, Tennessee; T.W. Hardek, ORNL, Oak Ridge, Tennessee; S.L. Jones, ORNL RAD, Oak Ridge, Tennessee","Spallation Neutron Source High-Power Protection Module Test Stand",262 264,
mop090,"M.P. Laverty, TRIUMF, Vancouver; G. Dennison, UBC & TRIUMF, Vancouver, British Columbia; K. Fong, R.E. Laxdal, Q. Zheng, TRIUMF, Vancouver","Design and Testing of the TRIUMF ISACII High-B RF Control System",265 267,
mop091,"M. Konrad, U. Bonnes, C. Burandt, R. Eichhorn, N. Pietralla, TU Darmstadt, Darmstadt","A Digital Low Level RF Control System for the S-DALINAC",268 270,
mop092,"G. Jug, C.J. Bocchetta, A. Kosicek, I-Tech, Solkan","LINAC Subsystems for Better Beam Control",271 273,
mop093,"Y.S. Lee, J.-S. Chai, SKKU, Suwon; K.R. Kim, K.-H. Park, PAL, Pohang, Kyungbuk","Design of Low Level RF Control System for Accelerator",274 276,
mop094,"T. E. Plawski, C. Hovater, JLAB, Newport News, Virginia","Cavity Control Algorithms",277 279,
mop095,"C. Hovater, T.L. Allison, R. Bachimanchi, G.E. Lahti, J. Musson, T. E. Plawski, C. Seaton, D.J. Seidman, JLAB, Newport News, Virginia","Status of the CEBAF Energy Upgrade RF Control System",280 282,
mop096,"D. Jeon, ORNL, Oak Ridge, Tennessee; J. Tang, X. Zhang, IHEP Beijing, Beijing","Collimation in the SNS Linac and HEBT",283 285,
mop097,"E. Schibler, J.-C. Ianigro, IN2P3 IPNL, Villeurbanne; J. Morales, UCBL, Villeurbanne; L. Perrot, IPN, Orsay; N. Redon, UCBL, Villeurbanne","Design of a High Energy Beam Stop for Spiral2",283 285,
mop098,"P. Balleyguier, CEA, Bruyères-le-Châtel; P. Bertrand, M. Di Giacomo, G. Fremont, M. Michel, GANIL, Caen","Electrode Design Improvements in the SPIRAL2 Single Bunch Selector",286 288,
mop099,"S. Barbanotti, M.H. Foley, I.G. Gonin, J. Grimm, T.N. Khabiboulline, L. Ristori, N. Solyak, V.P. Yakovlev, Fermilab, Batavia","Status of the Design of 650 MHz Elliptical Cavities for Project X",289 291,
mop100,"L.P. Chau, M. Droba, O. Meusel, D. Noll, U. Ratzinger, C. Wiesner, IAP, Frankfurt am Main","Bunch Compressor for Intense Proton Beams",292 294,
