fr1-1,"P.B. Wilson, SLAC, Stanford, California, USA","Future e+e- Linear Colliders and Beam-Beam Effects",585 590,
th1-2,"P. Chen, SLAC, Stanford, California, USA","Progress on Plasma Accelerators",391 397,
th1-3,"W. Bialowons, H.D. Bremer, F.-J. Decker, M.v. Hartrott, H.C. Lewin, T. Weiland, P. Wilhelm, G.-A. Voss, DESY, Hamburg, Germany; K. Yokoya, KEK, Ibaraki, Japan; C. Xiao, Tsinghua University, Beijing, China","Wake Field Acceleration",398 404,
th2-1,"K. Halbach, LBL, Berkeley, California, USA","Magnet Innovations for Linacs",407 410,
th2-2,"J.S. Fraser, LANL, Los Alamos, New Mexico, USA","Electron Linac Injector Developments",411 415,
th2-3,"S. Penner, National Bureau of Standards, Gaithersburg, Maryland, USA","Linacs for Microtrons and Pulse Stretchers",416 420,
th2-4,"T.I. Smith, Stanford University, Stanford, California, USA","Intense Low Emittance Linac Beams for Free Electron Lasers",421 426,
th3-1,"G. Mavrogenes, J. Norem, J. Simpson, ANL, Argonne, Illinois, USA","A Pulse Compression System for the ANL 20 MeV Linac",429 430,
th3-10,"E. Tanabe, M. Bayer, S.D. Ireton, G. Kalkanis, Varian Associates Inc., Palo Alto, California, USA","An X-Band Coaxial Standing-Wave Linear Accelerator Structure",455 457,
th3-11,"E. Tanabe, Varian Associates Inc., Palo Alto, California, USA; G.A. Loew, J.W. Wang, SLAC, Stanford, California, USA","Voltage Breakdown at X-Band and C-Band Frequencies",458 460,
th3-12,"J.W. Wang, G.A. Loew, V. Nguyen-Tuong, SLAC, Stanford, California, USA","RF Breakdown Studies in a SLAC Disk-Loaded Structure",461 464,
th3-13,"D.J. Warner, CERN, Geneva, Switzerland","First Electron Beams from the LEP Injector Linacs",465 468,
th3-14,"R. Chehab, Y. Thiery, LAL, Orsay, France; K. Hübner, CERN, Geneva, Switzerland","Simulation of Trajectory Control in LIL",469 471,
th3-15,"D. Tronc, C. Bourat, J.P. Georges, A. Setty, Thomson-CGR MeV, Buc, France; B. Spataro, INFN/LNF, Frascati (Roma), Italy","Design of a High Intensity Electron Buncher",472 474,
th3-16,"P. Bambade, R. Erickson, SLAC, Stanford, California, USA","Beam-Beam Deflections as an Interaction Point Diagnostic for the SLC",475 477,
th3-17,"G. Bonvicini, University of Michigan, Ann Arbor, Michigan, USA; A. Minten, CERN, Geneva, Switzerland; C. Field, SLAC, Stanford, California, USA","Beamstrahlung Monitor for SLC Final Focus Using Gamma Ray Energies",478 479,
th3-18,"G. Bonvicini, University of Michigan, Ann Arbor, Michigan, USA; A. Minten, CERN, Geneva, Switzerland; J. Ferrie, C. Field, SLAC, Stanford, California, USA","Beamstrahlung Monitor for SLC Final Focus Using Visible Wavelengths",480 480,
th3-19,"H. Hanaki, S. Anami, S. Ohsawa, Y. Otake, Y. Saito, J. Tanaka, KEK, Ibaraki, Japan","Phase Control System of the KEK 2.5 GeV Electron Linac",481 483,
th3-2,"G. Mavrogenes, Y. Cho, T. Khoe, ANL, Argonne, Illinois, USA","Positron Injection Linac System for the Argonne Light Source",431 433,
th3-20,"D.-K. Liu, IHEP Beijing, Beijing, China; I. Abe, A. Enomoto, K. Nakahara, J. Tanaka, T. Urano, KEK, Ibaraki, Japan","Image Processing System for Electron Linac Beam Diagnosis",484 486,
th3-21,"S. Fukuda, S. Anami, A. Asami, N. Kaneko, Y. Ogawa, S. Ohsawa, Y. Otake, Y. Saito, T. Shidara, J. Tanaka, KEK, Ibaraki, Japan","Electron Gun for the Positron Generator",487 489,
th3-22,"K.L.F. Bane, P.L. Morton, SLAC, Stanford, California, USA","Deflection by the Image Current and Charges of a Beam Scraper",490 492,
th3-24,"S.A. Kheifets, SLAC, Stanford, California, USA; S.A. Heifets, University of Houston, Houston, Texas, USA","Radiation of a Charge in a Perfectly Conducting Cylindrical Pipe with a Jump in its Cross Section",493 495,
th3-25,"A. Asami, I. Abe, S. Anami, A. Enomoto, S. Fukuda, N. Kaneko, Y. Ogawa, S. Ohsawa, Y. Otake, Y. Saito, I. Sato, T. Shidara, J. Tanaka, KEK, Ibaraki, Japan","Injector of the Positron Generator",496 498,
th3-26,"I. Sato, A. Enomoto, K. Kakihara, H. Matsumoto, T. Oogoe, J. Tanaka, KEK, Ibaraki, Japan; K. Inoue, Y. Iino, K. Taki, N. Yamaguchi, Mitsubishi Heavy Industries Ltd., Nagoya-shi, Japan","Accelerator Guide of Positron Generator Linac",499 501,
th3-27,"I. Sato, I. Abe, S. Anami, A. Asami, A. Enomoto, T. Fukuda, H. Hanaki, H. Honma, K. Kakihara, N. Matsuda, H. Matsumoto, K. Nakahara, K. Nakao, Y. Ogawa, S. Ohsawa, Y. Ohtake, T. Oogoe, Y. Saito, T. Shidara, J. Tanaka, T. Urano, KEK, Ibaraki, Japan; K. Miyata, Hitachi Ltd., Tokyo, Japan; N. Kaneko, Ishikawajima Harima Heavy Industries Co. Ltd., Tokyo, Japan; H. Tanaka, Fujitsu, Yokohama, Japan; N. Terabayashi, Mitsubishi Heavy Industries Ltd., Nagoya-shi, Japan","Acceleration Characteristics of Positron Generator Linac",502 504,
th3-28,"S. Zhou, IHEP Beijing, Beijing, China","A 90 MeV Electron Linac of IHEP",505 507,
th3-29,"H. Euteneuer, H. Schöler, Johannes Gutenberg-Universität, Mainz, Germany","Experiences in Fabricating and Testing the RF-Sections of the Mainz Microtron",508 511,
th3-3,"R. Konecny, J. MacLachlan, J. Norem, A.G. Ruggiero, P. Schoessow, J. Simpson, ANL, Argonne, Illinois, USA","Progress Report on ANL Advanced Accelerator Test Facility",434 436,
th3-30,"K. Alrutz-Ziemssen, H.-D. Gräf, V. Huck, K.D. Hummel, G. Kaster, M. Knirsch, A. Richter, M. Schanz, S. Simrock, E. Spamer, O. Titze, TH-Darmstadt, Darmstadt, Germany; Th. Grundey, H. Heinrichs, H. Piel, University of Wuppertal, Wuppertal, Germany","The Superconducting 130 MeV Recyclotron for Electrons at Darmstadt",512 514,
th3-31,"D.-F. Wang, T.-H. Ho, Y.-J. Pei, University of Science and Technology of China, Hefei Anhui, China","The 200 MeV Linac at HESYRL",515 517,
th3-32,"B. Aune, C. Bourat, K. Djidi, M. Jablonka, M. Juillard, F. Netter, CEN-Saclay, Gif-sur-Yvette, France","A New Electron Linac for the Saclay Stretcher Ring Project",518 519,
th3-33,"B. Aune, P. Corveller, Ph. Damsin, M. Jablonka, J.M. Joly, M. Juillard, CEN-Saclay, Gif-sur-Yvette, France","Improvement of the Electron Injection for the ALS Electron Linac",520 522,
th3-34,"F. Tazzioli, B. Spataro, INFN/LNF, Frascati (Roma), Italy; P. Fernandes, IMA-CNR, Genova, Italy; R. Parodi, INFN-Genova, Genova, Italy; D. Tronc, Thomson-CGR MeV, Buc, France","Field Computations and Measurements on a Biperiodic Buncher Structure",523 525,
th3-35,"J.E. Spencer, SLAC, Stanford, California, USA","Present Optics Options for TeV Colliders",526 530,
th3-36,"A. Mondelli, D. Chernin, A. Drobot, Science Applications International Corp., McLean, Virginia, USA; V.L. Granatstein, M. Reiser, University of Maryland, College Park, Maryland, USA","Frequency Scaling of Linear Super-Colliders",531 533,
th3-38,"M.G. Mazarakis, C.A. Ekdahl, J.R. Freeman, C.A. Frost, D.E. Hasti, D.L. Johnson, G.T. Leifeste, R.B. Miller, J.W. Poukey, K.R. Prestwich, S.L. Shope, D.L. Smith, W.A. Stygar, Sandia National Laboratories, Albuquerque, New Mexico, USA","Experimental Investigation of Beam Generation, Acceleration, Transport, and Extraction in the RADLAC-II Pulsed Transmission Line Linear Accelerator",534 536,
th3-39,"C.A. Frost, C.A. Ekdahl, J.R. Freeman, G.T. Leifeste, M.G. Mazarakis, R.B. Miller, J.W. Poukey, S.L. Shope, W.K. Tucker, Sandia National Laboratories, Albuquerque, New Mexico, USA; B.B. Godfrey, Mission Research Corporation, Albuquerque, New Mexico, USA","Ion Focused Transport Experiments",537 539,
th3-4,"H.A. Hoag, H. Deruyter, J. Kramer, C.G. Yao, SLAC, Stanford, California, USA","High-Field Capture Section for SLC Positron Source",437 440,
th3-40,"R.L. Gluckstern, F. Neri, University of Maryland, College Park, Maryland, USA; R.K. Cooper, LANL, Los Alamos, New Mexico, USA","Cumulative Beam Breakup with a Distribution of Deflecting Mode Frequencies",540 542,
th3-41,"R.L. Gluckstern, University of Maryland, College Park, Maryland, USA","Beam Breakup in a Multi-Section Recirculating Linac",543 545,
th3-42,"N.J. Norris, J.L. Detch, C.L. Hudson, S.M. Kocimski, C.R. Sawyer, EGG Energy Measurements Inc., Goleta, California, USA","EGG Electron Linac Modifications",546 548,
th3-43,"A.G. Ruggiero, ANL, Argonne, Illinois, USA","Acceleration of Electrons by the Wake Field of Proton Bunches",549 552,
th3-44,"N.A. Ebrahim, Atomic Energy of Canada, Chalk River, Ontario, Canada; P. Bordeur, E.A. Heighway, P. Lavigne, F. Martin, J.P. Matte, H. Pepin, INRS-Energie, Varennes, Quebec, Canada","First Observations of Acceleration of Injected Electrons in a Laser Plasma Beatwave Experiment",553 556,
th3-45,"W.A. Gillespie, Dundee College of Technology, Dundee, Scotland; E.A. Hughes, N. Marks, SERC Daresbury Laboratory, Warrington, Cheshire, UK; G. Saxon, Private Address, Stockport, UK","A Recirculating Linac as an Injector for Small Storage Rings or Free Electron Lasers",557 559,
th3-48,"R.C. Block, Rensselaer Polytechnic Institute, Troy, New York, USA","Modifying a Research Linac Laboratory into an Applied Radiation Facility",560 562,
th3-49,"V.A. Azhippo, N.I. Ajzatskij, V.G. Batij, V.P. Bozhko, S.N. Dyukov, V.Ya. Golovnya, G.M. Ivanov, L.A. Makhnenko, S.N. Olejnik, P.M. Ryabka, G.F. Timoshevskij, Kharkov Institute of Physics and Technology, Kharkov, USSR","Operation of a 300 MeV Electron Linac in the Short-Beam Mode",563 565,
th3-50,"V.A. Azhippo, N.I. Ajzatskij, L.A. Makhnenko, Kharkov Institute of Physics and Technology, Kharkov, USSR","Self-Oscillatory Mode of Acceleration in Electron Linac with Feedback",566 569,
th3-51,"A. Mosnier, B. Aune, CEN-Saclay, Gif-sur-Yvette, France","Feedback System Analysis for Beam Breakup in a Multipass Multisection Electron Linac",570 572,
th3-52,"G.L. Fursov, V.A. Kushnir, V.P. Romas'ko, A.M. Shenderovich, V.A. Vishnyakov, V.V. Zakutin, Kharkov Institute of Physics and Technology, Kharkov, USSR","Studies of Electron Linac Beam Postacceleration in a Chain of Passive Cavity Structures",573 575,
th3-53,"V.A. Vishnyakov, G.K. Demyanenko, A.N. Dovbnya, V.M. Kobezsky, V.B. Mufel, G.D. Pugachev, V.A. Shendrik, Kharkov Institute of Physics and Technology, Kharkov, USSR","Kharkov Electron Linac as Injector for Stretcher Ring",576 577,
th3-54,"E.M. Laziev, V.M. Tsakanov, Yerevan Physics Institute, Yerevan, Armenia, USSR","A Few Aspects of Excitation of Wake Waves in Accelerating Structures",578 579,
th3-55,"N. Liu, L. Fu, W. Gao, Z. Guo, Tsinghua University, Beijing, China","Beam Emittance Measurement on Electron Gun",580 581,
th3-6,"J.T. Seeman, W. Brunk, R. Early, M. Ross, E. Tillmann, D. Walz, SLAC, Stanford, California, USA","SLC Energy Spectrum Monitor Using Synchrotron Radiation",441 443,
th3-7,"W. Bensiek, G. Garner, J. Hager, Babcock  Wilcox, Lynchburg, Virginia, USA; G. Biallas, A. Chargin, B. Moss, J. Parkinson, CEBAF, Newport News, Virginia, USA; J. Amato, J. Brawley, D. Coulombe, A. Heidt, S. Herb, J. Kirchgessner, D. Morse, K. Nakajima, H. Padamsee, F. Palmer, H.L. Phillips, C. Reece, R. Sundelin, M. Tigner, Cornell University, Ithaca, New York, USA; K. Schulz, Dornier System GmbH, Friedrichshafen, Germany; U. Klein, A. Palussek, H.P. Vogel, Interatom GmbH, Bergisch Gladbach, Germany; E. Conner, S. Loer, P. Weller, TRW, Redondo Beach, California, USA; R. Fleck, Th. Grundey, H. Heinrichs, D. Huppelsberg, A. Matheisen, M. Peiniger, H. Piel, R. Roeth, University of Wuppertal, Wuppertal, Germany","Industrial Development of Cornell Superconducting Cavities for CEBAF",444 448,
th3-8,"D.R. Douglas, CEBAF, Newport News, Virginia, USA","Optics of Beam Recirculation in the CEBAF CW Linac",449 451,
th3-9,"J.J. Bisognano, G.A. Krafft, CEBAF, Newport News, Virginia, USA","Multipass Beam Breakup in the CEBAF Superconducting Linac",452 454,
tu1-1,"D. Keefe, LBL, Berkeley, California, USA","Highlights of the Heavy Ion Fusion Symposium",171 175,
tu1-2,"M. Reiser, University of Maryland, College Park, Maryland, USA","High-Current Beam Dynamics and Transport, Theory and Experiment",176 180,
tu2-1,"I. Hofmann, GSI, Darmstadt, Germany","Emittance Growth",183 187,
tu2-2,"H. Lengeler, CERN, Geneva, Switzerland","Recent Developments in RF Superconductivity for Linac Structures",188 193,
tu2-3,"C.W. Leemann, CEBAF, Newport News, Virginia, USA","The CEBAF Superconducting Accelerator - An Overview",194 199,
TU2-4,"R.H. Miller, SLAC, Stanford, California, USA","Comparison of Standing-Wave and Traveling-Wave Structures",200 205,
we1-1,"J. Rees, SLAC, Stanford, California, USA","A Progress Report on the SLAC Linear Collider",209 213,
we1-2,"J.T. Seeman, J.C. Sheppard, SLAC, Stanford, California, USA","Special SLC Linac Developments",214 219,
we1-3,"J. Tanaka, KEK, Ibaraki, Japan","Advanced Technology Recently Developed at KEK for Future Linear Colliders",220 224,
we2-1,"J. Staples, LBL, Berkeley, California, USA","RFQ's in Research and Industry",227 231,
we2-2,"R. Keller, GSI, Darmstadt, Germany","Innovations in Ion Sources and Injectors",232 236,
we2-3,"K. Prelec, BNL, Upton, New York, USA","Progress in the Development of H- Ion Sources",237 242,
we2-4,"T. Weiland, DESY, Hamburg, Germany","RF Cavity Design and Codes",243 248,
we3-10,"L.M. Bollinger, R.C. Pardo, K.W. Shepard, ANL, Argonne, Illinois, USA","Status of the Positive-Ion Injector for ATLAS",266 268,
we3-11,"K.W. Shepard, ANL, Argonne, Illinois, USA","Development of a Heavy-Ion Linac Based on Superconducting Interdigital Accelerating Structures",269 271,
we3-12,"K. Batchelor, BNL, Upton, New York, USA","Microwave Undulator",272 275,
we3-13,"R. Klatt, F. Krawczyk, W.-R. Novender, C. Palm, T. Weiland, DESY, Hamburg, Germany; B. Steffen, KFA-Jülich, Jülich, Germany; T. Barts, M.J. Browman, R.K. Cooper, C.T. Mottershead, G. Rodenz, S.G. Wipf, LANL, Los Alamos, New Mexico, USA","MAFIA - A Three-Dimensional Electromagnetic CAD System for Magnets, RF Structures, and Transient Wake-Field Calculations",276 278,
we3-14,"M.J. Browman, R.K. Cooper, LANL, Los Alamos, New Mexico, USA; T. Weiland, DESY, Hamburg, Germany","Three-Dimensional Cavity Calculations",279 281,
we3-15,"R. Klatt, T. Weiland, DESY, Hamburg, Germany","Wake Field Calculations with Three-Dimensional BCI Code",282 285,
we3-16,"U. van Rienen, T. Weiland, DESY, Hamburg, Germany","Cavity and Waveguide Design by Triangular Mesh Code URMEL-T",286 288,
we3-17,"U. van Rienen, T. Weiland, DESY, Hamburg, Germany","Impedance of Cavities with Beam Ports Above Cut-Off",289 291,
we3-18,"T. Weiland, DESY, Hamburg, Germany","Modes in Infinitely Repeating Structures of Cylindrical Symmetry",292 295,
we3-19,"J. Klabunde, GSI, Darmstadt, Germany; A. Schönlein, Universität Frankfurt, Frankfurt-am-Main, Germany","Beam Transport with Space Charge Compensation",296 298,
we3-20,"J. Klabunde, N. Angert, L. Dahl, R. Keller, M. Müller, R.W. Müller, P. Spädtke, GSI, Darmstadt, Germany; J. Häuser, H. Klein, A. Schempp, A. Schönlein, T. Weis, Universität Frankfurt, Frankfurt-am-Main, Germany","The Project of a High-Current Injector at the UNILAC",299 301,
we3-21,"J. Glatz, GSI, Darmstadt, Germany","The UNILAC as a Fast Switching, Variable Ion and Energy Accelerator",302 304,
we3-22,"P.W. van Amersfoort, F. Siebenlist, R.W. Thomae, R. Wojke, F.G. Schonewille, S.T. Ivanov, FOM, Amsterdam, The Netherlands; H. Klein, A. Schempp, T. Weis, Universität Frankfurt, Frankfurt-am-Main, Germany","Low- Ion Acceleration with a MEQALAC",305 307,
we3-23,"P. Junior, H. Deitinghoff, A. Harth, Universität Frankfurt, Frankfurt-am-Main, Germany","RFQ Linacs with Constant Inner Aperture and Modulation",308 310,
we3-24,"P. Leipe, H. Deitinghoff, H. Klein, K. Langbein, A. Schempp, Universität Frankfurt, Frankfurt-am-Main, Germany","High Current RFQ Accelerator Using a Split Coaxial Resonator with a Four Rod Structure",311 314,
we3-26,"P.M. Lapostolle, S. Valero, CEN-Saclay, Gif-sur-Yvette, France","Beam Dynamics in Long Transit Time Linac Cavities for Heavy Ion Boosters",315 317,
we3-29,"I.M. Kapchinskiy, V.S. Artemov, V.A. Batalin, E.N. Daniltzev, A.Ju. Djadin, D.D. Iosseliani, A.M. Kozodaev, V.V. Kushin, A.R. Kurs, N.V. Lazarev, I.M. Lipkin, I.O. Parschin, S.V. Plotnikov, V.G. Shevchenko, V.S. Skachkov, S.B. Ugarov, A.B. Zarubin, ITEP, Moscow, USSR","RF Linac for Heavy Ion Fusion Driver",318 322,
we3-30,"A.V. Feschenko, P.N. Ostroumov, INR Moscow, Moscow, USSR","Bunch Shape Measuring Technique and its Application for an Ion Linac Tuning",323 327,
we3-31,"R.W. Müller, J. Bolle, R. Keller, U. Kopf, H. Liesem, P. Spädtke, GSI, Darmstadt, Germany; A. Schönlein, Universität Frankfurt, Frankfurt-am-Main, Germany","Heavy-Ion RFQ Accelerator MAXILAC Achieves 45 keV / AMU",328 329,
we3-33,"P. Fernandes, IMA-CNR, Genova, Italy; R. Parodi, INFN-Genova, Genova, Italy","OSCAR2D, A Computer Code for the Design of RF Cavities and Structures",330 332,
we3-34,"J. Colman, BNL, Upton, New York, USA","The Use of the IBM-PC Computer in Accelerator Design Calculations",333 335,
we3-35,"F.W. Guy, T.P. Wangler, LANL, Los Alamos, New Mexico, USA","Numerical Studies of Emittance Exchange in 2-D Charged Particle Beams",336 339,
we3-36,"T.P. Wangler, F.W. Guy, LANL, Los Alamos, New Mexico, USA; I. Hofmann, GSI, Darmstadt, Germany","The Influence of Equipartitioning on the Emittance of Intense Charged-Particle Beams",340 345,
we3-37,"E.A. Wadlinger, LANL, Los Alamos, New Mexico, USA","RFQ Scaling-Law Implications and Examples",346 348,
we3-39,"W.P. Lysenko, LANL, Los Alamos, New Mexico, USA","Understanding Scaling Laws",349 351,
we3-4,"A. Schempp, Universität Frankfurt, Frankfurt-am-Main, Germany","Field Stabilisation with Resonant Line Couplers",251 253,
we3-40,"R. Baartman, K.R. Kendall, M. McDonald, D.R. Mosscrop, P.W. Schmor, D. Yuan, TRIUMF, Vancouver, Canada","A New High Intensity DC H- Ion Source for TRIUMF",352 354,
we3-41,"H. Haseroth, C.E. Hill, P. Têtu, M. Weiss, CERN, Geneva, Switzerland; N. Angert, J. Klabunde, B. Langenbeck, K. Leible, P. Spädtke, B.H. Wolf, GSI, Darmstadt, Germany; R. Caylor, R.A. Gough, D. Howard, R. MacGill, J. Staples, J. Tanabe, LBL, Berkeley, California, USA","Ion Acceleration in the CERN Linac 1",355 357,
we3-42,"C.E. Hill, CERN, Geneva, Switzerland","Operation of a Short Pulse Negative Ion Source",358 360,
