moap02,"M. Gasior [CERN, Geneva, Switzerland] ","Faraday Cup Award: High Sensitivity Tune Measurement using Direct Diode Detection",99 98,
mopg034,"R. Pan, T. Lefevre (T. Lefèvre) [CERN, Geneva, Switzerland] W.A. Gillespie [University of Dundee, Nethergate, Dundee, Scotland, United Kingdom] S.P. Jamison [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","Synchronization Scheme a Bunch Profile Monitor Based on Electro-Optic Spectral Decoding",104 106,
mopg035,"A.V. Aleksandrov, R. Dickson [ORNL, Oak Ridge, Tennessee, USA] ","A Quest for Measuring Ion Bunch Longitudinal Profiles with One Picosecond Accuracy in the SNS Linac",107 109,
mopg036,"R. Dickson [ORNL RAD, Oak Ridge, Tennessee, USA] A.V. Aleksandrov [ORNL, Oak Ridge, Tennessee, USA] ","A Quest for System User Friendliness with the SNS Ion Beam Bunch Shape Monitor",110 112,
mopg038,"G. Perdikakis, D. Bazin, J. Browne, D. Leitner [NSCL, East Lansing, Michigan, USA] L.Y. Lin, W. Wittmer [FRIB, East Lansing, Michigan, USA] ","Instrumentation at the Low Intensity Frontier: Diagnostics for the Stopped and Reaccelerated Beams of NSCL and FRIB",113 115,
thap01,"S. Wesch, C. Behrens, B. Schmidt [DESY, Hamburg, Germany] E. Hass [Uni HH, Hamburg, Germany] ","Fast Bunch Profile Monitoring with THz Spectroscopy of Coherent Radiation at FLASH",256 258,
thap02,"M. Veronese, A. Abrami, E. Allaria, R. Appio, L. Badano, P. Craievich, S. Di Mitri, M. Ferianis, L. Froehlich (L. Fröhlich), S. Grulja, G. Penco, M. Predonzani, F. Rossi, C. Spezzani, C. Svetina, M. Trovo (M. Trovò), M. Tudor [ELETTRA, Basovizza, Italy] A.O. Borga [NIKHEF, Amsterdam, The Netherlands] F. Cianciosi [ESRF, Grenoble, France] L. Pavlovic (L. Pavlovič) [University of Ljubljana, Faculty of Electrical Engineering, Ljubljana, Slovenia] M. Petronio [DEEI, Trieste, Italy] ","Longitudinal Electron Beam Diagnostics for the FERMI@Elettra FEL",259 263,
thbp01,"P. Krejcik, Y.T. Ding, J.C. Frisch, Z. Huang, H. Loos, J.W. Wang, M.-H. Wang [SLAC, Menlo Park, California, USA] C. Behrens [DESY, Hamburg, Germany] P. Emma [LBNL, Berkeley, California, USA] ","Ultra-short Electron Bunch and X-ray Temporal Diagnostics with an X-band Transverse Deflecting Cavity",264 266,
thbp02,"M. Panniello [MPI-K, Heidelberg, Germany] L.J. Devlin [The University of Liverpool, Liverpool, United Kingdom] P. Finocchiaro, A. Pappalardo [INFN/LNS, Catania, Italy] C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Spectroscopic Characterization of Novel Silicon Photomultipliers",267 271,
thbp03,"S.L. Kramer [BNL, Upton, Long Island, New York, USA] ","Cherenkov Radiation for Beam Loss Monitor Systems",272 276,
tuap01,"C.A. Thomas, G. Rehm [Diamond, Oxfordshire, United Kingdom] R. Bartolini [JAI, Oxford, United Kingdom] ","An X-Ray Pinhole Camera with a Range of Defined Apertures",116 118,
tubp02,"A.H. Lumpkin [Fermilab, Batavia, USA] ","Imaging Techniques for Transverse Beam-Profile/Size Monitors",119 124,
tucp02,"Y. Liu [ORNL, Oak Ridge, Tennessee, USA] ","Laser Applications: H- Beam Photo-Detachment and "Push Button" Diagnostics",125 129,
tucp03,"B. Walasek-Hoehne (B. Walasek-Höhne), C.A. Andre, F. Becker, P. Forck, A. Reiter, M. Schwickert [GSI, Darmstadt, Germany] A.H. Lumpkin [Fermilab, Batavia, USA] ","Pilot Studies on Optical Transition Radiation Imaging of Non-relativistic Ions at GSI",130 132,
tucp04,"A. Laxdal, F. Ames, R.A. Baartman, D. Brennan, S.R. Koscielniak, D.B. Morris, W.R. Rawnsley, P. Vincent, G. Waters, D. Yosifov [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","High Power Allison Scanner for Electrons",133 135,
tupg001,"A. Drago, D. Alesini, T. Demma, A. Gallo, S. Guiducci, C. Milardi, P. Raimondi, M. Zobov [INFN/LNF, Frascati (Roma), Italy] ","Mitigation and Control of Instabilities in DANE Positron Ring",136 138,
tupg005,"Y. Hao, V. Litvinenko, V. Ptitsyn [BNL, Upton, Long Island, New York, USA] ","Feedback Systems for Suppressing the Kink Instability in an ERL-based Electron Ion Collider",139 141,
tupg006,"B. Cadilhon, B. Bicrel, T. Desanlis, A. Galtié, L. Voisin [CEA, Le Barp, France] ","PDV Investigations on the CESAR Facility: 700 keV, 350 kA Pulsed Electron Beam",142 145,
tupg007,"F. Stulle, J.F. Bergoz [BERGOZ Instrumentation, Saint Genis Pouilly, France] ","The Goubau Line - Surface Waves for Bench Testing of Beam Instrumentation at High Frequencies",146 148,
tupg008,"M. Hansli, A. Angelovski, R. Jakoby, A. Penirschke [TU Darmstadt, Darmstadt, Germany] W. Ackermann, T. Weiland [TEMF, TU Darmstadt, Darmstadt, Germany] P. Hülsmann, W. Kaufmann [GSI, Darmstadt, Germany] ","Coupling Methods for the Highly Sensitive Cavity Sensor for Longitudinal and Transverse Schottky Measurements",149 151,
tupg011,"T. Cybulski, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] T. Cybulski [The University of Liverpool, Liverpool, United Kingdom] T.J. Jones [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] ","Non-Invasive Beam Diagnostics for a 60 MeV Proton Beam",152 154,
tupg012,"C.P. Welsch, J. Harasimowicz [Cockcroft Institute, Warrington, Cheshire, United Kingdom] M. Putignano, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Beam Diagnostics for the Future Ultra-Low Energy Antiproton Storage Ring at FLAIR",155 157,
tupg013,"C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Beam Diagnostics Developments within LA3NET",158 160,
tupg014,"C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Beam Diagnostics Research within oPAC",161 163,
tupg015,"C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Research Results from the DITANET Project",164 166,
tupg016,"G. Huang, J.M. Byrd, L.R. Doolittle, C. Serrano [LBNL, Berkeley, California, USA] ","APEX LLRF Control Software and Firmware Design",167 169,
tupg017,"J.P. Sikora, M.G. Billing, J.A. Crittenden, M.A. Palmer, D. L. Rubin [CLASSE, Ithaca, New York, USA] S. De Santis [LBNL, Berkeley, California, USA] ","A Comparison of Electron Cloud Density Measurements Using Shielded Pickups and TE Waves at CesrTA",170 172,
tupg019,"D. Padrazo, R.P. Fliller, Y. Hu, B.N. Kosciuk, I. Pinayev, S. Seletskiy, T.V. Shaftan, O. Singh [BNL, Upton, Long Island, New York, USA] ","NSLS-II Injector System Diagnostics Update for LINAC Commissioning",173 176,
tupg020,"C.M. Mateo [CEA/IRFU, Gif-sur-Yvette, France] G. Adroit, J. Egberts, R. Gobin, Y. Sauce, F. Senee (F. Senée), O. Tuske [CEA/DSM/IRFU, France] ","Non-Intercepting Tomographic Reconstruction of the Transverse Spatial Distribution of SILHI Ion Source Beam",177 179,
tupg021,"J. Egberts, F. Jeanneau, T. Papaevangelou [CEA, Gif-sur-Yvette, France] P. Abbon, G. Adroit, R. Gobin, J.-F. Gournay, J. Marroncle, C.M. Mateo, J.-Ph. Mols, F. Senee (F. Senée) [CEA/DSM/IRFU, France] ","Design and Test of the LIPAc IPM",180 182,
tupg022,"K. Renuka, W. Ensinger [TU Darmstadt, Darmstadt, Germany] C.A. Andre, F. Becker, P. Forck, R. Haseitl, A. Reiter, B. Walasek-Hoehne (B. Walasek-Höhne) [GSI, Darmstadt, Germany] ","Transverse Beam Profile Monitoring using Scintillation Screens for High Energy Ion Beams",183 185,
tupg023,"C. Eckardt, U. Bonnes, J. Enders, Y. Fritzsche, M. Wagner [TU Darmstadt, Darmstadt, Germany] ","Wire Scanners for Emittance Measurements at the 100 keV Spin Polarized Electron Beam Line at the S-DALINAC",186 188,
tupg027,"A. Stirin, Y.A. Fomin, V. Korchuganov [NRC, Moscow, Russia] A.D. Khilchenko, O.I. Meshkov, L.M. Schegolev, A.N. Zhuravlev, E.I. Zinin [BINP SB RAS, Novosibirsk, Russia] G.A. Kovachev, V.P. Moryakov, D.G. Odintsov, Yu.F. Tarasov, A.V. Zabelin [RRC, Moscow, Russia] ","New Station for Optical Observation of Electron Beam Parameters at the Electron Storage Ring SIBERIA-2",189 191,
tupg028,"J.M. Carmona, I. Podadera [CIEMAT, Madrid, Spain] J. García López, M.C. Jiménez-Ramos [CNA, Sevilla, Spain] ","New Tests of Fluorescence Beam Profilers for the Linear IFMIF Prototype Accelerator (LIPAC) using 9 MeV Deuteron Beams",192 194,
tupg029,"J. Emery, B. Dehning, J.F. Herranz Alvarez, M. Koujili, J.L. Sirvent Blasco [CERN, Geneva, Switzerland] ","Vacuum Actuator and Controller Design for a Fast Wire Scanner",195 197,
tupg030,"M. Putignano, C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] D. Borrows, M. Putignano [The University of Liverpool, Liverpool, United Kingdom] ","Experimental Characterizaton of a Flexible Ionization Monitor for Transverse Profile Measurement in the USR",198 200,
tupg031,"R.B. Fiorito, A.G. Shkvarunets, H.D. Zhang [UMD, College Park, Maryland, USA] W.J. Corbett, A.S. Fisher, W.Y. Mok, K. Tian [SLAC, Menlo Park, California, USA] D. Douglas, F.G. Wilson, S. Zhang [JLAB, Newport News, Virginia, USA] T.M. Mitsuhashi [KEK, Ibaraki, Japan] ","Optical Synchrotron Radiation Beam Imaging with a Digital Mask",201 203,
tupg032,"L.Y. Lin [FRIB, East Lansing, Michigan, USA] C. Benatti, S.W. Krause, D. Leitner, G. Perdikakis [NSCL, East Lansing, Michigan, USA] ","Scintillation Degradation of YAG: CE Under Low-Energy Ion Beam Bombardment",204 206,
tupg033,"J.D. Sedillo, J.D. Gilpatrick, S. Rodriguez Esparza [LANL, Los Alamos, New Mexico, USA] M.E. Gruchalla [URS, Albuquerque, New Mexico, USA] ","LANSCE Wire Scanner System Prototype: Switchyard Test",207 209,
tupg035,"P. Krejcik, M.L. Campell, N.W. Fong, J.C. Frisch, H. Loos [SLAC, Menlo Park, California, USA] ","Evaluation of New, Fast Wire Scanner Designs for the LCLS",210 212,
tupg039,"T.A. Miller, J.N. Aronson, D.M. Gassner, A.I. Pikin [BNL, Upton, Long Island, New York, USA] ","RHIC Electron-Lens Beam Profile Monitoring",213 215,
tupg041,"F. Falkenstern, F. Hoffmann, P. Kuske, J. Kuszynski [HZB, Berlin, Germany] ","Beam Motion Monitor",216 218,
tupg042,"R. Singh, O. Chorniy, P. Forck, R. Haseitl, W. Kaufmann, P. Kowina, K. Lang [GSI, Darmstadt, Germany] T. Weiland [TEMF, TU Darmstadt, Darmstadt, Germany] ","High Intensity Effects on Betatron Tune at GSI SIS-18",219 221,
tupg044,"M. Gasior [CERN, Geneva, Switzerland] ","First Results from the LHC Schottky Monitor Operated with Direct Diode Detection",222 224,
tupg045,"C. Yao, H. Shang [ANL, Argonne, USA] ","Chromaticity Measurement of the APS Booster",225 227,
tupg046,"C. Yao, Y.-C. Chae, S.H. Kim, L.H. Morrison, H. Shang [ANL, Argonne, USA] ","Development of a Horizontal Drive Stripline for the APS Transverse Feedback System",228 230,
weap01,"D.M. Gassner, V. Litvinenko, R.J. Michnoff, T.A. Miller, M.G. Minty, I. Pinayev [BNL, Upton, Long Island, New York, USA] ","Coherent Electron Cooling Proof of Principle Instrumentation Design",231 234,
wecp01,"B.X. Yang, J.T. Collins, G. Decker, P.K. Den Hartog, T.L. Kruy, N.G. Kujala, S.-H. Lee, M. Ramanathan [ANL, Argonne, USA] ","High-Power Beam Test of the APS Grazing-Incidence Insertion Device X-ray Beam Position Monitor",235 237,
wecp02,"K. Vetter, J.H. De Long, A.J. Della Penna, K. Ha, B.N. Kosciuk, J. Mead, I. Pinayev, O. Singh, Y. Tian [BNL, Upton, Long Island, New York, USA] G.J. Portmann [LBNL, Berkeley, California, USA] J.J. Sebek [SLAC, Menlo Park, California, USA] ","NSLS-II RF Beam Position Monitor Update",238 241,
wecp03,"N. Sereno, G. Decker, R.M. Lill, X. Sun, B.X. Yang [ANL, Argonne, USA] ","Impact of Longitudinally Tilted Beams on BPM Performance at the Advanced Photon Source",242 244,
wecp04,"M. Sapinski [CERN, Geneva, Switzerland] ","Beam Interaction with Thin Materials:Heat Deposition, Cooling Phenomena and Damage Limits",245 249,
wedp01,"R.J. Steinhagen, S. Bart Pedersen, J.M. Belleman, T. Bohl, H. Damerau [CERN, Geneva, Switzerland] ","Wall-Current-Monitor based Ghost and Satellite Bunch Detection in the CERN PS and LHC accelerators",250 252,
wedp02,"K. Wittenburg [DESY, Hamburg, Germany] ","Highlights from DIPAC2011",253 255,
