FRX01A,"D.M. Lewis","Accelerators in Industry",
MOP015L,"A. Bourdier, J. Valat, M. Valentini","Study of the Dynamics of a Particle in a Constant Homogeneous Magnetic Field and a Transverse Homogeneous Rotating Electric Field in the Development of an X-Ray Source",
MOP016G,"A. Ijspeert, J. Salminen","Superconducting Coil Compression by Scissor Laminations",
MOP016L,"P.Y. Beauvais, R. Ferdinand, G. Haouat, N. Pichoff","Measurements of Initial Beam Conditions for Halo Formation Studies",
MOP017G,"L. Coull, D. Hagedorn, G. Krainz, F. Rodriguez-Mateos, R. Schmidt","Electrodynamic Behaviour of the LHC Superconducting Magnet String during a Discharge",
MOP017L,"P.Y. Beauvais, G. Haouat, N. Pichoff","Halo Formation from Beam Coulomb Scattering on Residual Gas",
MOP018G,"R. Ostojic, T.M. Taylor","Amplitude Dependent Tune Spread and Field Errors of Superconducting Low-Beta Quadrupoles",
MOP019G,"S. Peraire, M. Ross, J.M. Zazula","The SPS Target Station for CHORUS and NOMAD Neutrino Experiments",
MOP020G,"I. Barnett, G. Fernqvist, D. Hundzinger, J-C. Perreard, J.G. Pett","A Strategy for Controlling the LHC Magnet Currents",
MOP021G,"P. Proudlock","Electrical Powering Strategy of LHC. First Design Study",
MOP021L,"A. Piquemal","About Self-Similarity or Routes to Reversibility in the Space Charge Dominated Beams",
MOP022G,"L. Bottura, P. Legrand, L. Madaro, A. Rijllart, R. Saban, L. Walckiers","A VME-based LabView System for the Magnetic Measurements of the LHC Prototype Dipoles",
MOP022L,"H. Burkhardt, K. Cornelis, I. Reichel, H. Schmickler, G. von Holtey","Beam Tails in LEP",
MOP023G,"L. Coull, D. Hagedorn, G. Krainz, F. Rodriguez-Mateos, R. Schmidt","Quench Propagation Tests on the LHC Superconducting Magnet String",
MOP023L,"A. Faus-Golfe, A. Verdier","Dynamic Aperture Limitations of the LHC in Physics Conditions due to Low-Beta Insertions",
MOP024G,"A. Ijspeert, A. Puntambekar, J. Salminen","Superconducting Sextupole Corrector Magnet for the LHC Main Dipoles",
MOP025G,"D. Hagedorn, F. Rodriguez-Mateos, R. Schmidt","Protection of LHC Superconducting Corrector Magnets",
MOP026G,"C.R. Prior, H. Schoenauer","Multiturn Injection into Accumulators for Heavy Ion Inertial Fusion",
MOP027G,"N. Andreev, K. Artoos, L. Bottura, G. Kirby, D. Leroy, L. Oberli, J. Ostler, D. Perini, A. Poncet, F. Rodriguez-Mateos, S. Russenschuck, T. Siambanis, N. Siegel, A. Siemko, D. Tommasini, G. Trinquart, I. Vanenkov, R. Veness, L. Walckiers, W. Weterings","The 1 m Long Single Aperture Dipole Coil Test Program for LHC",
MOP028G,"J.P. Perrine, M. Thivent, F. Voelker","The Pulsed Power Converter and Septum Magnet System for Injection into the Electron Storage Ring at ESRF",
MOP028L,"Y. Alexahim, J.M. Jowett, F. Ruggiero, S. Tredwell","The Dynamic Aperture of LEP at High Energy",
MOP029G,"T. Katayama, T. Kawaguchi, M. Okamura, T. Tominaka","Three Dimensional Field Analysis of Helical Snake Magnets for RHIC",
MOP029L,"J.P. Koutchouk","Decoupling of a Strongly Coupled Lattice with an Application to LHC",
MOP030G,"S. Fujishima, A. Goto, K. Ikegami, T. Kawaguchi, J.W. Kim, T. Kubo, T. Mitsumoto, H. Okuno, Y. Tanaka, T. Tominaka, Y. Yamo","Design Study of the Injection System of the RIKEN Superconducting Ring Cyclotron",
MOP030L,"A. Faus-Golfe, J.P. Koutchouk, A. Verdier, S. Weisz","Modular Optical Design of the LHC Experimental Insertions",
MOP031G,"V. Amoskov, A. Belov, V. Kashikhin, V. Kukhtin, E. Lamzin, Yu. Severgin, N. Shatil, S. Sytchevsky","Numerical Simulation of 3-D Field of Systems using Permanent Magnets",
MOP031L,"I. Kirsten, D. Manglunki, M. Martini","Trajectory and Optical Parameters in a Non-linear Stray Field",
MOP032G,"S.A. Griffiths, D.E. Poole","An Uninterruptible Power Supply for the SRS",
MOP032L,"R. Bartolini, J. Corbett, M. Cornacchia, M. Giovannozzi, C. Pellegrini, W. Scandale, E. Todesco, P. Tran, A. Verdier","Measurements of the Tune Variations induced by Non-linearities in Lepton Machines",
MOP033G,"N. Bliss, J.A. Clarke, M.R. Harold, N. Marks","Dipole and Quadrupole Magnet Designs for DIAMOND",
MOP033L,"M. Boege, H. Grote, Q. Qin, F. Schmidt","Dynamic Aperture Studies for the LHC Version 4",
MOP034G,"J.A. Clarke, N. Marks","Sextupole Magnets for DIAMOND",
MOP034L,"F. Schmidt, E. Todesco","Evaluating High Order Resonances using Resonant Normal Forms",
MOP035G,"L.M. Ford, S.A. Griffiths, M.T. Heron, C.W. Horrabin, D.E. Poole","A Crowbarless High Voltage Power Converter for RF Klystrons",
MOP035L,"P. Lepeule, C. Menot, R. Veness","Design and Implementation of Synchrotron Radiation Masks for LEP2",
MOP036G,"S.A. Griffiths, M.T. Heron, D.E. Poole","Commissioning of the New Magnet Power Converters on the SRS, and Operational Experience",
MOP036L,"N. Inabe, T. Katayama","Design of Double Storage Rings at MUSES",
MOP037G,"N. Marks, D.E. Poole","The Choice of Power Converter Systems for a 3 GeV Booster Synchrotron",
MOP037L,"T. Katayama, T. Ohkawa","Design of Booster Synchrotron for MUSES",
MOP038G,"H.L. Owen, S.L. Smith","Optimising the Injection Scheme for DIAMOND from a 3 GeV Booster Synchrotron",
MOP038L,"T. Katayama, J. Xia","Lattice for Accumulator Cooler Ring for MUSES",
MOP039G,"R. Bacher, J. Bengtsson, G. Bialek, P. Duval, K.H. Mess, V. Nedic, M. Staack, L. Steffen, H.G. Wu","The HERA Quench Protection System - A Status Report",
MOP039L,"Yu. Zuev","New Scaling Laws for Beam Envelope in Optics Design",
MOP040G,"M. Marx, B. Parker, H. Wuempelmann","Concept for a New Magnetic Septum Quadrupole",
MOP040L,"J.A. Clarke, H.L. Owen, S.L. Smith","A Racetrack Lattice for Diamond",
MOP041G,"J.I.M. Botman, A.T.A.M. Derksen, L.W.A.M. Gossens, B.C. Goudswaard, H.L. Hagedoorn, C.J. Timmermans, Y.J.E. Wintraecken","Design and Performance of a Permanent Magnetic Quadrupole for a Low Energy Linear Accelerator Beam Line",
MOP041L,"J.D. Herbert, R.J. Reid, T.M. Weston","Preliminary Design of the Vacuum System for DIAMOND",
MOP042G,"J.F. Bouteille","High Quality Power Supply HQPS at the ESRF",
MOP042L,"M. Munoz","Assessment of the Achievable Emittance Ratio in DIAMOND",
MOP043G,"L. Zhang","Vibration of Magnet-Girder Assembly",
MOP043L,"M. Munoz, H.L. Owen, S.L. Smith","Optimisation of the Dynamic Aperture of DIAMOND",
MOP044G,"D. Einfeld, A. Kruessel, D. Tommasini","Magnet Design for the Synchrotron Light Source ANKA",
MOP045G,"R. Bossert, S. Feher, S.A. Gourlay, T. Heger, J. Kerby, M.J. Lamm, A. Lietzke, P.J. Limon, P.O. Mazur, A.D. McInturff, T. Nicol, F. Nobrega, D. Orris, J. Ozelis, T. Peterson, R. Scanlan, P. Schlabach, J. Strait, J. Tompkins, A.V. Zlobin","Low Temperature Quench Performance of Fermilab Low Beta Insertion Quadrupoles",
MOP045L,"J.I.M. Botman, H.L. Hagedoorn, R.J.W. Stas, R.W. de Leeuw","Orbit Dynamics in a Low Energy Electron Linear Accelerator",
MOP046G,"R. Bossert, S. Caspi, D. Dell'orco, S.A. Gourlay, R. Gupta, T. Heger, Y. Huang, J. Kerby, M.J. Lamm, P.J. Limon, P.O. Mazur, A.D. McInturff, F. Nobrega, J. Ozelis, G. Sabbi, R. Scanlan, J. Strait, J.M. Van Oort, A.V. Zlobin","Design of a High Gradient Quadrupole for the LHC Interaction Regions",
MOP046L,"J.I.M. Botman, H.L. Hagedoorn, H. Heller, C.J. Timmermans, J. van Laar","Vacuum Aspects of the Euterpe Storage Ring",
MOP047L,"N. Rouviere","Undulator Vessels Devoid of Distributed Pumps",
MOP048G,"L. Bartelson, K. Bourkland, C. Jensen, H. Pfeffer, P. Prieto, G. Saewert, D. Wolff","A Second Long Pulse Modulator for TESLA Using IGBTs",
MOP048L,"P. Bagley","Beam Beam Tune Shifts for 36 Bunch Operation in the Tevatron",
MOP049G,"D. Wolff","Experience in Maintaining and Operating Power Supplies Used in Accelerators",
MOP050G,"J.L. Baelde, E. Baron, C. Berthe, J. Gillet, C. Grunberg, C. Jamet, M. Lemaitre, M.H. Moscatello, M. Ozille, A. Savalle","The SISSI Facility at GANIL",
MOP050L,"M. Bai, C.M. Chu, X. Kang, S.Y. Lee, A. Riabko, X. Zhao","Particle Dynamics of QI Storage Rings",
MOP051G,"J. Glatz, B. Langenbeck","A High Duty Foil Stripper System in the Injection Line to the Heavy Ion Synchrotron SIS at GSI",
MOP052L,"M. Bassetti, C. Biscari","Fringing Fields in Low-Beta Magnetic Elements",
MOP053G,"A.A. Asseev, M.Yu. Gorin","Non-resonant Slow Extraction of Protons to the Tagged Neutrino Facility",
MOP053L,"V. Chimenti, A. Clozza, C. Vaccarezza","An UHV Vacuum System for DAFNE",
MOP054G,"A.A. Asseev, M.Yu. Gorin, P.T. Pashkov","The Efficiency Analysis of the Proton Beam Extraction from the IHEP Accelerator by a Bent Silicon Crystal",
MOP054L,"K. Hirata, M. Zobov","Beam-beam Interaction Study for DAFNE",
MOP055L,"H. Deitinghoff, D. Li, M. Sauer","Beam Dynamics Calculations for the Simultaneous Acceleration of Ions with Different Charge to Mass Ratios in a RFQ",
MOP057G,"A. Maksimov","Some Aspects of Phase Displacement Method",
MOP057L,"H. Deitinghoff, R. Jameson, H. Klein, D. Li","Particle Dynamics Design Aspects for an IFMIF D RFQ",
MOP058G,"A. Alexandrov, A. Andriishchin, A. Erochin, V. Gridasov, E. Kashtanov, N. Kukin, K. Myznikov, V. Pleskatch, V. Sytchev, L. Vassiliev, O. Vesolov, S. Zintchenko","Study of Quench Development in the String of UNK Superconducting Magnets",
MOP058L,"H. Heydari, H. Schulte","Calculation of the Luminosity Spectrum and the Differential Luminosity",
MOP059G,"H. Hsieh, M. Modena, M. Preger, C. Sanelli, S. Vescovi","Magnetic Measurements of the Dipole, Quadrupole and Sextupole Prototypes for the Accumulator of DAFNE, the Frascati PHI-Factory",
MOP060G,"M. Preger, C. Sanelli","The DAFNE Main Ring Magnet Prototypes",
MOP060L,"P. Beloshitsky","TBA and DBA Magnet Lattices for Tau-Charm Factory",
MOP061L,"H. Fukuma, Y. Funakoshi, S. Kamada, H. Koiso, S. Matsumoto, K. Oide, N. Yamamoto","Beam-based Measurement of Strength Errors in Quadrupole Magnets with Orbit Bumps",
MOP062G,"V. Anguelov, D. Dinev","Simulations of the Multiturn Injection into Nuclotron Booster",
MOP062L,"K. Hirata, K. Ohmi, N. Toge","Quasi-strong-strong Simulations for Beam-beam Interactions in KEKB",
MOP063G,"M. Carrera, J. Fontcuberta, X. Forne, V. Gomis, X. Granados, B. Martinez, X. Obradors, S. Pinol, F. Sandiumenge","YBCO HTSC Bars for kA Range Current Leads",
MOP063L,"K. Hirata, S. Petracca","A Geometrical Horizontal-Vertical Coupling",
MOP064G,"R. Doelling, P. Gross, H. Klein, J. Pozimski, K. Reidelbach","Diagnostic of the Compensation Process of Pulsed Ion Beams with a Time-Resolving Ion Energy Spectrometer",
MOP064L,"S. Kamada, Y. Koboyashi, H. Koiso, S. Matsumoto, N. Yamamoto","Beam-based Alignment of Sextupole Magnets with Pi-bump Orbit",
MOP065G,"N. Inabe, T. Katayama, T. Ohkawa, M. Takanaka, S. Watanabe","Study of a Magnet Power Supply for a MUSES Booster Synchrotron",
MOP065L,"K. Bongardt, A.P. Letchford, M. Pabst, V.G. Vaccaro, L. Verolino","Filamentation Effects and Image Charges in High Beta Proton Transfer Lines",
MOP066G,"S. Axinescu, R. Minea, I. Panaitescu","A Scanning Magnet for a Microtron Beam Line",
MOP066L,"S. Efimov","Fringing Field Effects of Magnets in Cyclic Accelerators",
MOP067G,"S. Fujishima, A. Goto, K. Ikegami, T. Kawaguchi, J.W. Kim, T. Kubo, T. Mitsumoto, H. Okuno, Y. Tanaka, T. Tominaka, Y. Yano","Design of Model Sector Magnet for the RIKEN Superconducting Ring Cyclotron",
MOP067L,"J. Gao","Analytical Formulae for the Loss Factors and Wakefields of a Rectangular Accelerating Structures",
MOP068G,"A. Fontenille, M. Laamyem, V. Nibart, J.M. de Conto","The PIAFE Project at Grenoble: Beam Transport of a Very Low Energy Radioactive Beam",
MOP068L,"O.A. Anderson","Emittance Growth in Non-Symmetric Beam Configurations",
MOP069L,"H. Nishiumura, G. Portmann, D. Robin, J. Safranek","Model Calibration and Symmetry Restoration of the Advanced Light Source",
MOP070G,"G. Hall, S. Kondrashev, H. Kugler, R. Scrivens, B. Sharkov, R. Sherwood, J. Tambini","Highly Charged Ion Beam Transport by Space Charge Compensation Conditions",
MOP070L,"A.V. Agafonov, A.N. Lebedev, V.S. Voronin","Hysteresis Effects in Drift Spaces and E-Guns",
MOP071G,"V.S. Skachkov","Split-Pole PM Dipoles and Quadrupoles with Variable Field",
MOP073G,"A. Artiomov, J. Kliman","Status of the Internal Target Technique at the Nuclotron",
MOP073L,"O.R. Bagnato, R.O. Ferraz, M.J. Ferreira, F.A. Minuzzi, R. Picoli, M.B. Silva","LNLS Vacuum System",
MOP074G,"O. Borisov, J. Ristic-Durovic","Beam Extraction Systems of the VINCY Cyclotron",
MOP074L,"T. Aniel, F. Meot","Non-linear Tuning and Halo Transport in Beam Expanders",
MOP075G,"S.A. Averichev, V.I. Chernikov, O.A. Golubitsky, I.B. Issinsky, O.S. Kozlov, E. Matyushevsky, V.A. Mikhailov, S.A. Novikov, A.Y. Starikov","Progress in Manufactoring Main Nuclotron Extraction Elements",
MOP075L,"A. Andersson, L.J. Lindgren","Performance of the MAX-II Injector",
MOP077G,"A.M. Donyagin, A. Kovalenko, O.S. Kozlov, V.A. Mikhailov, V.A. Shchepunov, A. Smirnov","Preliminary Analysis of the Nuclotron Magnetic Field",
MOP078G,"O. Borisov, N. Neskovic, L. Onischenko","Calculation of Orbit Expansion Effect for the VINCY Cyclotron",
MOP078L,"C.K. Kim, C.D. Park","Vacuum Performance of PLS Electron Storage Ring",
MOP079G,"T. Akita, T. Kobayashi, U. Nishiike, K. Nohara","Cryogenic Structural Steels for Accelerator Superconducting Magnets and their Application",
MOP079L,"T. Katayama, H. Wu","Spin Dynamics Study for RHIC",
MOP080G,"K. Endo, K. Irie, F.Q. Zhang","Feedback Control of 50 Hz Power Supply",
MOP080L,"M. Giovannozzi, W. Scandale, E. Todesco","Evaluation of Dynamic Aperture in the Presence of Phase Space Distortions",
MOP081G,"K. Egawa, K. Endo, T. Michikawa, Y. Ohsawa","Estimation of Radiation Dose to Epoxy Resin by IR Spectrophotometry",
MOP081L,"F. Giacuzzo, J. Miertusova","Pumping and Pressure Measuring System for the Linac of the ELETTRA Synchrotron Light Source",
MOP082G,"T. Kawakubo, S. Murasugi, S. Tazawa","The Kicker Magnet System used to Generate a High Magnetic Field with a Fast Rise and a Long Flat Top",
MOP082L,"F. Giacuzzo, J. Miertusova","How to Save Money Designing a Vacuum System for a Third Generation Synchrotron Light Source",
MOP083G,"K. Furuya, K. Kitagawa, S. Machida, Y. Mori, I. Sakai, H. Sato, M. Shirakata, Y. Shoji, A. Takagi, T. Toyama, M. Yoshii","Positive-ion Multi-turn Injection with Bi-Waveform Fast Orbit-Bump Magnets",
MOP083L,"R. Nagaoka","Coupling and Dispersion Correction in ELETTRA",
MOP084G,"Y. Ajima, S. Kurokawa, T. Ogitsu, R. Ohkubo, N. Ohuchi, N. Toge, K. Tsuchiya","The Superconducting Magnet System for KEKB B-Factory",
MOP084L,"R. Nagaoka","Machine Stability and Orbit Correction in ELETTRA",
MOP085G,"U. Bechstedt, J. Dietrich, R. Maier, S. Martin, D. Prasuhn, A. Schnase, H. Schneider, H. Stockhorst, R. Toelle","Beam Extraction at the Cooler Synchrotron COSY",
MOP085L,"R. Nagaoka","Operation of ELETTRA with a Lower Emittance Optics",
MOP086G,"P. Gladkikh, I. Karnaukhov, A. Mytsykov, A. Shcherbakov","The Injection System for the ISI-800 Storage Ring",
MOP086L,"C.J. Bocchetta, A. Fabris, F. Iazzourene, E. Karantzoulis, R. Nagaoka, M. Svandrlik, L. Tosi, R.P. Walker, A. Wrulich","Dynamic Aperture Comparison of Measurements on ELETTRA with Simulations",
MOP087L,"T. Chen, J. Irwin, R.H. Siemann","New Physics and Improvements in Beam-beam Tail Simulations",
MOP088G,"G. Ambrosio, G. Bellomo, L. Rossi","A 300 T/m NbSn Quadrupole for the Low-beta Insertions of the LHC",
MOP088L,"T. Chen","Correct Chromaticities of Circular Accelerators without Sextupoles",
MOP089G,"G. Ambrosio, F.M. Ametrano, F. Broggi, A. Ferrari, L. Rossi","Stability of NbSn Low-beta Quadrupole in the LHC Radiation Environment",
MOP090G,"P. Bellomo, L Genova, T. Jackson, D. Shimer","Progress on PEP-II Magnet Power Conversion System",
MOP091G,"J. Apfelbaum, S. Araujo, R.H. Farias, F. Leite, L. Lin, A.L. Mesa, R.T. Neuenschwander, M. Potye, A.R.D. Rodrigues, E.W. Siqueira, G. Tosin","LNLS Synchrotron Light Source Magnets",
MOP092G,"F.C. Arrayo, A.C. Lira, L.H. Oliveira, D. Wisnivesky, A.R. da Silva","Power Supply System for the LNLS Magnets",
MOP092L,"Y. Cai, M.H.R. Donald, J. Irwin, Y. Nosochkov, Y.T. Yan","Dynamic Aperture Improvement of PEP-II Lattices using Resonance Basis Lie Generators",
MOP093G,"D. Bernard, A.E. Specka","On Triple Focusing Dipole Magnets",
MOP093L,"S.N. Andrianov","The Explicit Form of Lie Transformations",
MOP094G,"G. LeBlanc, L.J. Lindgren","The Injection Scheme for the New 1.5 GeV Storage Ring, Max-II",
MOP094L,"Y. Batygin, A. Goto, Y. Yano","Nonlinear Beam Dynamics Effects in Heavy Ion Transport Line",
MOP095G,"G. LeBlanc","Simulations of the MAX-II Storage Ring using the Computer Code, DIMAD",
MOP095L,"Y. Batygin, T. Katayama","Beam-Beam Interaction of Electrons and Ions at RIKEN RI Beam Factory",
MOP096G,"M. Eriksson, L.J. Lindgren","The Max-II Lattice Magnets Measurements and Conclusions",
MOP096L,"Y. Batygin, A. Goto, Y. Yano","Suppression of Space Charge Induced Beam Emittance Growth in Transport Line",
MOP097G,"F. Albrecht, M. Beutelspacher, M. Grieser, L. Knoll, R. Repnow, D. Schwalm, K. Tetzlaff, R. Wester, R. von Hahn","Slow Extraction at the Heidelberg Heavy Ion Storage Ring TSR",
MOP097L,"Y. Batygin, T. Katayama","Merging Beam-Beam Collisions at RIKEN RI Beam Factory",
MOP098G,"T. Aoki, N. Araki, M. Kanazawa, H. Kubo, M. Kumada, S. Matumoto, K. Noda, K. Sato, S. Sato, E. Takada","The HIMAC Very Low Ripple Synchrotron - PART II",
MOP098L,"M.J. Vicente","Conceptual Design of the Vacuum System for the LSB Storage Ring",
MOP099G,"T. Aoki, N. Araki, M. Kanazawa, M. Kumada, S. Matumoto, K. Noda, K. Sato, S. Sato, E. Takada","Evaluation of Ripple of the Power Supply to a Beam Spill during a Third Order Resonant Extraction in HIMAC",
MOP099L,"J.R. Cary, S.G. Shasharina, W. Wan","A Method for Finding 4D Symplectic Maps with Reduced Chaos",
MOP100G,"T. Kanayawa, S. Koseki, H. Kubo, M. Kumada","High Performance Active Filter for the Power Supply of the HIMAC Synchrotron Magnet",
MOP101G,"M. Kanazawa, T. Kohno, K. Noda, H. Ogawa, Y. Sato, E. Takada, M. Torikoshi, S. Yamada","Performance of High Energy Beam Transport System of Heavy Ion Medical Accelerator, HIMAC",
MOP102G,"A. Ballarino, S.M. Harrison, A. Ijspeert, D.M. Jenkins, K.D. Smith, M. Teng, M. Townsend","Preparation and Testing of Prototype 12.5 kA High Temperature Superconducting Current Leads for the LHC at CERN",
MOP103G,"G.A. Kirby, S.R. Milward, S. Nobes, R. Ostojic, K.D. Smith, J. Strait, A.J. Street, T.M. Taylor, M. Townsend, J.R. Treadgold, J.M. Wiatrzyk","Progress in the Development of the 1-m Model of the 70 mm Aperture Quadrupole for the LHC Low-beta Insertions",
MOP104G,"Ki M. Ha, S.H. Han, Seong H. Jeong, S.H. Nam, Jae H. Suh, M. Yoon","Magnet Power Supplies of PLS 2 GeV Storage Ring",
MOP105G,"J.P. Duke","Stripping Foil Temperatures in the European Spallation Source",
MOP106G,"V.C. Cloke, M. Perkins","Stabilising the Voltage of the DC Accelerating Column of the ISIS Pre-injector using a Beam Current Controlled 'Bouncer'",
MOP107G,"S. Fujishima, A. Goto, T. Kawaguchi, J.W. Kim, T. Kubo, T. Mitsumoto, H. Okuno, Y. Tanaka, T. Tominaka, Y. Yano","Design Study of Sector Magnet for the RIKEN Superconducting Ring Cyclotron I",
MOP108G,"H. Le Gal, J. Miscopein","Printed Boards and Water Jet Cutting for Manufacturing Magnets",
MOP109G,"R. Bracco, F. Daclon, B. Diviacco, J. Miertusova, D. Millo, R.P. Walker, D. Zangrando, O. Zoldan","Design, Construction and Testing of Small, Intense Permanent Magnet Sextupoles",
MOP110G,"S. Anderson, A. Baker, S. DeBarger, R. Erickson, T.K. Inman, R. Iverson, H. Smith, M. Stanek, J. Truher","First Operation of the Upgraded SLAC A-Line",
MOP111G,"T. Fieguth","The Optical Design of the PEP-II Injection Beamlines",
MOP113G,"J.P. Chiou, C.S. Fann, K.T. Hsu, S.Y. Hsu, J.I. Hwang, K.H. Hwu, K.K. Lin, T.S. Ueng","The Orbit Study on the SRRC 1.3 GeV Booster Synchrotron during Ramping",
MOP114G,"Y.M. Chang, J.P. Chiou, C.S. Fann, C.H. Ho, S.Y. Hsu, J.I. Hwang, K.K. Lin, T.S. Ueng","Test Results of SRRC Pulsed Magnets for 1.5 GeV Injection",
MOP115G,"J. Chen, K.T. Hsu, K.K. Lin, T.S. Ueng, W.T. Weng","Topping Up Experiments at SRRC",
MOP116G,"S. Fujishima, A. Goto, K. Ikegami, T. Kawaguchi, J.W. Kim, T. Kubo, T. Mitsumoto, H. Okuno, Y. Tanaka, T. Tominaka, Y. Yano","Design Study of Sector Magnet for the RIKEN Superconducting Ring Cyclotron 2",
MOP117G,"V. Ziemann","Modeling and Tuning the Beam Lines of the Svedberg Laboratory",
MOP118G,"M.J. Barnes, G.D. Wait","Comparison of Measured and Predicted Inductance per Cell for a Travelling Wave Kicker Magnet",
MOP119G,"M.J. Barnes, L. Ducimetiere, U. Jansson, G. Schroeder, E.G. Vossenberg, G.D. Wait","Kick Stability Analysis of the LHC Inflectors",
MOP120G,"R. Baartman, J. Doornbos","Mass Separator for The ISAC Project at TRIUMPH",
MOP121G,"G.M. Stinson","A Transport Line to the TRIUMF ISAC Facility",
MOP122G,"J.M. Benavent, J.A. Carrasco, E.J. Dede, J.B. Ejea, V. Esteve, G. Garcera","A ZVT Converter for Superconducting Corrector Magnet Applications",
MOP123G,"J. Campmany, M. Traveria","Injection and Extraction Schemes of the LSB Booster and Storage Ring",
MOP124G,"M. Pont","Magnet System Design for the Storage Ring of the LSB",
MOP125G,"J. Campmany, M. Traveria","Pulsed Magnets for Injection and Extraction at LSB",
MOP126G,"D.V. Altiparmakov, M. Lazovic, N. Morozov, N. Neskovic, S. Vorozhtsov","Operating Range of the VINCY Cyclotron",
MOP127G,"D. Altiparmakov, S. Cirkovic, A. Dobrosavljevic, J. Franko, G. Gulbekyan, S. Pashchenko","Simulation of the VINCY Cyclotron Magnetic Field using a Model Magnet",
MOX02A,"W. Bialowons","Status of HERA",
MOX03A,"D. Boussard","Operational Experience with LEP2 SC Cavity System",
MOY02A,"R.D. Kohaupt","Feedback Systems at DESY",
MOY03A,"J. Bordas","The Spanish Project for a Synchrotron Laboratory at Barcelona LSB",
