MOA1MP01,"R. Schuhmann, UPB, Paderborn","EM Field Simulation Based on Volume Discretization: Finite Integration and Related Approaches",41 41,
THM1MP01,"A. Adelmann, PSI, Villigen; E. W. Bethel, LBNL, Berkeley, California; A. Gsell, B. S.C. Oswald, PSI, Villigen; J. M. Shalf, C. Siegerist, LBNL, Berkeley, California","H5Part: A Portable High Performance Parallel Data Interface for Electromagnetics Simulations",289 289,
THM1MP02,"F. Wolfheimer, E. Gjonaj, T. Weiland, TEMF, Darmstadt","Parallel Particle-In-Cell (OIC) Codes",290 295,
THM1MP03,"M. Berz, K. Makino, MSU, East Lansing, Michigan","A Differential Algebraic High-Order 3-D Vlasov Solver",296 296,
THM2IS01,"N. Malitsky, BNL, Upton, Long Island, New York; R. M. Talman, CLASSE, Ithaca, New York","Accelerator Description Formats",297 302,
THM2IS02,"D. Sagan, Cornell University, Department of Physics, Ithaca, New York; D. A. Bates, LBNL, Berkeley, California; A. Wolski, Liverpool University, Science Faculty, Liverpool","The Universal Accelerator Parser",303 307,
THM2IS03,"U. Becker, CST, Darmstadt","CST's Commercial Beam-Physics Codes",308 308,
THMPMP01,"L. Robertson, CERN, Geneva","The grid for LHC Data Analysis",309 309,
THMPMP02,"E. Sonnendrucker, M. Gutnic, O. Hoenen, G. Latu, M. Mehrenberger, E. Violard, IRMA, Strasbourg","Adaptive 2-D Vlasov Simulation of Particle Beams",310 314,
THMPMP03,"P. Spentzouris, Fermilab, Batavia, Illinois","Accelerator Modeling under SciDAC: Meeting the Challenges of Next-Generation Accelerator Design, Analysis, and Optimization.",315 320,
TUAPMP01,"K. Makino, M. Berz, MSU, East Lansing, Michigan","Rigorous Global Optimization for Parameter Estimates and Long-Term Stability Bounds",152 152,
TUAPMP02,"J.-F. Ostiguy, L. Michelotti, Fermilab, Batavia, Illinois","CHEF: A Framework for Accelerator Optics and Simulation",153 156,
TUAPMP03,"R. D. Ryne, LBNL, Berkeley, California; D. T. Abell, Tech-X, Boulder, Colorado; A. Adelmann, PSI, Villigen; J. F. Amundson, Fermilab, Batavia, Illinois; E. W. Bethel, LBNL, Berkeley, California; A. Dragt, University of Maryland, College Park, Maryland; C. Mottershead, N. Neri, LANL, Los Alamos, New Mexico; I. V. Pogorelov, J. Qiang, LBNL, Berkeley, California; V. Samulyak, BNL, Upton, Long Island, New York; J. M. Shalf, C. Siegerist, LBNL, Berkeley, California; P. Spentzouris, Fermilab, Batavia, Illinois; M. Venturini, LBNL, Berkeley, California; P. L. Walstrom, LANL, Los Alamos, New Mexico","Recent Progress on the MaryLie/IMPACT Beam Dynamics Code",157 159,
TUAPMP04,"F. Hamme, U. Becker, P. Hammes, CST, Darmstadt","Simulation of Secondary Electron Emission with CST Particle Studio(TM)",160 163,
TUMPMP01,"S. Peggs, U. Iriso, BNL, Upton, Long Island, New York","Simple Maps in Accelerator Simulations",81 89,
TUMPMP02,"H. De Gersem, S. Koch, T. Weiland, TEMF, Darmstadt","Magnetodynamic Formulation Resolving Eddy-Current Effects in the Yoke and the Superconductive Cable of the FAIR Dipole Magnets",90 95,
TUMPMP03,"A. Lehrach, FZJ, Jülich; O. Boine-Frankenheim, R. W. Hasse, GSI, Darmstadt; F. Hinterberger, Universität Bonn, Helmholtz-Institut für Strahlen- und Kernphysik, Bonn; B. Lorentz, R. Maier, D. Prasuhn, FZJ, Jülich; S. Sorge, GSI, Darmstadt; H. Stockhorst, R. Tölle, D. M. Welsch, FZJ, Jülich","BEAM DYNAMICS STUDIES FOR THE HIGH-ENERGY STORAGE RING",96 101,
TUPPP01,"J. H. Timmer, P. A. Komorowski, H. Röcken, ACCEL, Bergisch Gladbach","DEE Voltage Calibration for the ACCEL Proton Therapy Cyclotron",102 105,
TUPPP05,"A. Orzhekhovskaya, G. Franchetti, GSI, Darmstadt","A Space Charge Algorithm for the Bunches of Elliptical Cross Section with Arbitrary Beam Size and Particle Distribution",106 109,
TUPPP09,"M. Migliorati, Rome University La Sapienza, Roma; G. Dattoli, ENEA C. R. Frascati, Frascati (Roma); A. Schiavi, Rome University La Sapienza, Roma","Modeling High-Current Instabilities in Particle Accelerators",110 113,
TUPPP10,"M. Dehler, PSI, Villigen","Design and Modeling of Field-Emitter Arrays for a High Brilliance Electron Source",114 117,
TUPPP14,"J. Pina, LIP, Lisboa; C. Alexa, G. Arabidze, CERN, Geneva; A. Gomes, C. N. Marques, LIP, Lisboa; M. Ouchrif, Université Blaise Pascal, Clermont-Ferrand; A. Zenin, IHEP Protvino, Protvino, Moscow Region","The TileCal DCS Detector Control System",118 121,
TUPPP16,"B. S.C. Oswald, A. Adelmann, M. Bopp, R. Geus, PSI, Villigen","Integration of a Large-Scale Eigenmode Solver into the ANSYS(c) Workflow Environment",122 123,
TUPPP23,"S. Lange, M. Clemens, Helmut-Schmidt-University, Hamburg; M. Dohlus, DESY, Hamburg; L. O. Fichte, Helmut-Schmidt-University, Hamburg; T. Limberg, DESY, Hamburg","Numerical Minimization of Longitudinal Emittance in Linac Structures",124 127,
TUPPP24,"E. Arevalo, B. Doliwa, T. Weiland, TEMF, Darmstadt","Transverse Coupling Impedance of a Ferrite Kicker Magnet: Comparison between Simulations and Measurements",128 131,
TUPPP26,"S. Schnepp, E. Gjonaj, T. Weiland, TEMF, Darmstadt","A Time-Adaptive Mesh Approach for the Self-Consistent Simulation of Particle Beams",132 135,
TUPPP28,"G. Pöplau, Rostock University, Faculty of Engineering, Rostock; K. Floettmann, DESY, Hamburg; U. van Rienen, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","New 3D Space Charge Routines in the Tracking Code ASTRA",136 139,
TUPPP29,"T. Lau, E. Gjonaj, T. Weiland, TEMF, Darmstadt","Charge Conservation for Split-Operator Methods in Beam Dynamics Simulations",140 143,
TUPPP30,"R. Hampel, W. F.O. Müller, T. Weiland, TEMF, Darmstadt","ROCOCO - A Zero Dispersion Algorithm for Calculating Wake Potentials",144 147,
TUPPP31,"X. Dong, E. Gjonaj, W. F.O. Müller, T. Weiland, TEMF, Darmstadt","Eigenmode Expansion Method in the Indirect Calculation of Wake Potential in 3D Structures",148 151,
WEA1MP01,"D. L. Bruhwiler, Tech-X, Boulder, Colorado","Parallel Simulation of Coulomb Collisions for High-Energy Electron Cooling Systems",233 233,
WEA1MP02,"S. Sorge, O. Boine-Frankenheim, GSI, Darmstadt; W. Fischer, BNL, Upton, Long Island, New York","Analysis of Measured Transverse Beam Echoes in RHIC",234 237,
WEA1MP03,"F. Meot, CEA, Gif-sur-Yvette","Computing Methods in FFAG Accelerators Design",238 238,
WEA2IS01,"K. S. White, Jefferson Lab, Newport News, Virginia","Status and Future Developments in Large Accelerator Control Systems",239 244,
WEA2IS02,"N. E. Eddy, Fermilab, Batavia, Illinois","Beam Control and Monitoring with FPGA-Based Electronics: Status and Perspectives",245 245,
WEA2IS03,"J. F. Patrick, Fermilab, Batavia, Illinois","The Fermilab Accelerator Control System",246 249,
WEA3MP01,"T. Pieloni, CERN, Geneva","Strong-Strong Beam-Beam Simulations",250 255,
WEA3MP02,"J.-L. Vay, LBNL, Berkeley, California; A. Friedman, D. P. Grote, LLNL, Livermore, California","Self-Consistent Simulations of High-Intensity Beams and E-Clouds with WARP POSINST",256 262,
WEA3MP03,"R. A. Kishek, G. Bai, B. L. Beaudoin, S. Bernal, D. W. Feldman, R. B. Fiorito, T. F. Godlove, I. Haber, P. G. O'Shea, C. Papadopoulos, B. Quinn, M. Reiser, D. Stratakis, D. F. Sutter, J. C.T. Thangaraj, K. Tian, M. Walter, C. Wu, IREAP, College Park, Maryland","Benchmarking of Space Charge Codes Against UMER Experiments",263 266,
WEA3MP04,"O. Boine-Frankenheim, V. Kornilov, GSI, Darmstadt","Implementation and validation of space charge and impedance kicks in the code PATRIC for studies of transverse coherent instabilities in the FAIR rings",267 270,
WEA4IS01,"A. C. Kabel, V. Akcelik, A. E. Candel, L. Ge, K. Ko, L. Lee, Z. Li, C.-K. Ng, E. E. Prudencio, G. L. Schussman, R. Uplenchwar, L. Xiao, SLAC, Menlo Park, California","Superconducting Cavity Design for the International Linear Collider",271 276,
WEA4IS02,"B. Doliwa, T. Weiland, TEMF, Darmstadt","Numerical Computation of Kicker Impedances: Towards a Complete Database for the GSI SIS100/300 Kickers",277 282,
WEA4IS03,"B. Auchmann, CERN, Geneva; S. Kurz, Robert Bosch GmbH, Frankfurt; S. Russenschuck, R. de Maria, CERN, Geneva","2-D Electromagnetic Model of Fast-Ramping Superconducting Magnets",283 287,
WEA4IS04,"A. Adelmann, PSI, Villigen; P. Arbenz, ETH, Zürich; C. Kraus, M. Wittberger, PSI, Villigen","Comparison of h- and p- Refinement in a Finite Element Maxwell Time Domain Solver",288 288,
WEMPMP01,"M. Dohlus, DESY, Hamburg","Computational Needs for XFELS",164 169,
WEMPMP02,"J. A. Nolen, ANL, Argonne, Illinois","Wish-List for Large-Scale Simulations for Future Radioactive Beam Facilities",170 175,
WEMPMP03,"A. E. Candel, A. C. Kabel, K. Ko, L. Lee, Z. Li, C.-K. Ng, E. E. Prudencio, G. L. Schussman, R. Uplenchwar, SLAC, Menlo Park, California","Parallel Higher-Order Finite Element Method for Accurate Field Computations in Wakefield and PIC Simulations",176 181,
WEPPP01,"I. V. Pogorelov, J. Qiang, R. D. Ryne, M. Venturini, LBNL, Berkeley, California; R. L. Warnock, SLAC, Menlo Park, California; A. Zholents, LBNL, Berkeley, California","Recent Developments in IMPACT and Application to Future Light Sources",182 184,
WEPPP02,"J. Qiang, I. V. Pogorelov, R. D. Ryne, LBNL, Berkeley, California","Recent Improvements to the IMPACT-T Parallel Particle Tracking Code",185 187,
WEPPP03,"A. Latina, CERN, Geneva; P. Eliasson, Uppsala University, Uppsala; L. Neukermans, G. Rumolo, D. Schulte, CERN, Geneva","Recent Improvements of PLACET",188 190,
WEPPP04,"E. Forest, Y. Nogiwa, KEK, Ibaraki; F. Schmidt, CERN, Geneva","The FPP Documentation",191 193,
WEPPP07,"G. Asova, DESY Zeuthen, Zeuthen; P. Castro, DESY, Hamburg; S. Khodyachykh, M. Krasilnikov, DESY Zeuthen, Zeuthen; F. Loehl, DESY, Hamburg; F. Stephan, DESY Zeuthen, Zeuthen","Phase Space Tomography Diagnostics at the PITZ Facility",194 197,
WEPPP08,"C. E. Mitchell, A. Dragt, University of Maryland, College Park, Maryland","Computation of transfer maps from magnetic field data in large aspect-ratio apertures",198 200,
WEPPP10,"S. Yaramyshev, W. Barth, L. A. Dahl, L. Groening, B. Schlitt, GSI, Darmstadt","Implementation of the DYNAMION Code to the End-To-End Beam Dynamics Simulations for the GSI Proton and Heavy Ion Linear Accelerators",201 204,
WEPPP11,"S. Yaramyshev, W. Barth, L. A. Dahl, GSI, Darmstadt; A. P. Durkin, MRTI RAS, Moscow; L. Groening, GSI, Darmstadt; S. Minaev, ITEP, Moscow; A. Schempp, IAP, Frankfurt-am-Main","Comparison of the Beam Dynamics Designs for the FAIR High Current Proton LINAC-RFQ",205 208,
WEPPP12,"P. K. Skowronski, CERN, Geneva; E. Forest, KEK, Ibaraki; F. Schmidt, R. de Maria, CERN, Geneva","New Developments of MAD-X UsingPTC",209 212,
WEPPP14,"R. de Maria, F. Schmidt, P. K. Skowronski, CERN, Geneva","Advances in Matching with MAD-X.",213 215,
WEPPP15,"A. Dolinskii, GSI, Darmstadt; O. A. Bezshyyko, National Taras Shevchenko University of Kyiv, The Faculty of Physics, Kyiv; V. Gostishchev, M. Steck, GSI, Darmstadt","Simulations of Pellet Target Effects with Program PETAG01",216 219,
WEPPP17,"A. Markovik, G. Pöplau, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock; R. Wanzenberg, DESY, Hamburg; U. van Rienen, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","Tracking Code with 3D Space Charge Calculations Taking into Account the Elliptical Shape of the Beam Pipe",220 223,
WEPPP21,"W. Ackermann, T. Weiland, TEMF, Darmstadt","Efficient Time Integration for Beam Dynamics Simulations Based on the Moment Method",224 227,
WESEPP01,"U. Becker, CST, Darmstadt","CST's Commercial Beam-Physics Codes",228 228,
WESEPP02,"M. Berz, K. Makino, MSU, East Lansing, Michigan","COSY INFINITY",229 229,
WESEPP03,"D. L. Bruhwiler, J. R. Cary, D. A. Dimitrov, Tech-X, Boulder, Colorado; E. Esarey, C. G.R. Geddes, LBNL, Berkeley, California; E. Kashdan, Brown University, Providence, Rhode Island; P. Messmer, Tech-X, Boulder, Colorado","High-Order Algorithms for Simulation of Laser Wakefield Accelerators",230 230,
WESEPP04,"J. A. Holmes, S. M. Cousineau, V. V. Danilov, J. Galambos, S. Henderson, M. A. Plum, A. P. Shishlo, ORNL, Oak Ridge, Tennessee","The ORBIT Simulation Code: Benchmarking and Applications",231 231,
WESEPP06,"F. Schmidt, CERN, Geneva; E. Forest, KEK, Ibaraki; P. K. Skowronski, CERN, Geneva","MAD-X - An Accelerator Design Code",232 232,
