frca02,"J. Antony, T.S. Datta, D.S. Mathuria [IUAC, New Delhi, India] ","Status Report, Future Plans and Maintenance Issues of VME Based Cryogenic Control System at IUAC",245 247,
thca06,"D. Haas, A. Cecilia, A. Kopmann, W. Mexner, H. Pasic, T. Spangenberg, P. Vagovic, M. Vogelgesang [KIT, Eggenstein-Leopoldshafen, Germany] B.M. Balzer, S. Cilingaryan [Karlsruhe Institute of Technology, Eggenstein-Leopoldshafen, Germany] ","Status of the Ultra Fast Tomography Experiments Control at ANKA",103 105,
thcb01,"M. del Campo, I. Arredondo [ESS Bilbao, Zamudio, Spain] M.G. Giacchini, L.G. Giovannini [INFN/LNL, Legnaro (PD), Italy] J. Jugo [University of the Basque Country, Faculty of Science and Technology, Bilbao, Spain] ","HyperArchiver: an Evolution of EPICS Channel Archiver",106 108,
thcb02,"A. Roy, R.B. Bhole, S. Pal, D. Sarkar [VECC, Kolkata, India] ","EPICS MySQLArchiver - Integration Between EPICS and MySQL",109 111,
thcb03,"E. Pace, G. Di Pirro [INFN/LNF, Frascati (Roma), Italy] ","Using Memcached as Real-time Database in the SPARC Control System",112 114,
thcc02,"O. Hensler [DESY, Hamburg, Germany] ","Controls Architecture for the Diagnostic Devices at the European XFEL",121 123,
thcc03,"R.P. Gupta, H.D. Dave [IPR, Bhat, Gandhinagar, India] ","PC Based Real Time Data Exchange on 10GbE Optical Network Using RTOS",124 127,
thcd04,"H.S. Vora, S.K. Deb, V.K. Dubey, T. Ganguli, C.P. Navathe, P. Saxena, I. Singh, M.N. Singh, A.K. Sinha, A. Upadhyay [RRCAT, Indore (M.P.), India] C. Narayana [JNCASR, Bangalore, India] ","Master Slave Topology Based, Remotely Operated, Precision X-ray Beam Profiler and Placement System for High Pressure Physics Experiment at Indus-2 Beam Line",128 130,
thcd05,"A. Beckmann, S. Karabekyan, J. Pflueger (J. Pflüger) [XFEL.EU, Hamburg, Germany] ","A Flexible and Testable Software Architecture: Applying Presenter First to a Device Server for the DOOCS Accelerator Control System of the European XFEL",131 133,
thcd06,"S.S. Tomar, S.N. Chaudhari, H.S. Chouhan, V.K. Maurya, A. Rawat [RRCAT, Indore (M.P.), India] ","Design Development and Analysis of a Comprehensive Open Source System for Proactive Management of Security Aspects of a Control Network",134 138,
thia02,"T. Sugimoto, A. Amselem, Y. Furukawa, T. Hirono, Y. Joti, T.K. Kameshima, A. Kiyomichi, T. Ohata, M. Yamaga [JASRI/SPring-8, Hyogo-ken, Japan] T. Abe, R. Tanaka [RIKEN SPring-8 Center, Innovative Light Sources Division, Hyogo, Japan] T. Hatsui, A. Tokuhisa [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] ","Current Status and Upgrade Plan of the Data-Acquisition System at SACLA",90 93,
thia03,"A. Kumar, B.K. Sahu, K. Singh [IUAC, New Delhi, India] ","The IUAC Tandem-LINAC Control System",94 96,
thib04,"P. Duval, A. Aghababyan, O. Hensler, K. Rehlich [DESY, Hamburg, Germany] ","Control System Interoperability, an Extreme Case: Merging DOOCS and TINE",115 117,
thic01,"J.M. Meyer, L. Claustre, A. Gotz (A. Götz), S. Petitdemange, O. Svensson [ESRF, Grenoble, France] A. Buteau, M. Ounsy [SOLEIL, Gif-sur-Yvette, France] T.M. Coutinho [CELLS-ALBA Synchrotron, Cerdanyola del Vallès, Spain] ","Tango for Experiment Control",118 120,
thpd02,"M.R. Clausen, M. Moeller (M. Möller), S. Rettig-Labusga, B. Schoeneburg [DESY, Hamburg, Germany] ","What it Takes to Make a System Reliable",139 141,
thpd03,"V. Sharma, S. Acharya, S. Gond, K.C. Mittal, R.N. Rajan [BARC, Mumbai, India] ","PLC Controlled Search & Secure Safety Interlock System for Accelerator",142 143,
thpd04,"V. Sharma, S. Acharya, K.C. Mittal [BARC, Mumbai, India] ","Machine Throughput Improvement Achieved Using Innovative Control Technique",144 144,
thpd05,"K.D. Joshi, K. Reju [BARC, Mumbai, India] ","Design and Analysis of Second Harmonics Modulator for DC Current Transformer",145 147,
thpd06,"B.S.K. Srivastava, R.K. Agrawal, K.G. Barpande, P. Fatnani, C.P. Navathe [RRCAT, Indore (M.P.), India] ","FLogbook: From Concept to Realization",148 150,
thpd09,"M. Ishii, T. Masuda, S. Ueda [JASRI/SPring-8, Hyogo-ken, Japan] T. Fukui [RIKEN/SPring-8, Hyogo, Japan] ","Development of a Monitoring System for the FL-net Protocol",151 153,
thpd10,"N. Chaddha, R.B. Bhole, P.P. Nandy, S. Pal, S. Sahoo [VECC, Kolkata, India] ","Modular Beam Diagnostics Instrument Design for Cyclotrons",154 156,
thpd11,"T. Bhattacharjee, R.B. Bhole, K. Datta, S. Pal, A. Roy, T. Samanta, D. Sarkar, Mr. Saxena [VECC, Kolkata, India] ","Facility Monitoring System using Storage Area Network for VEC and SCC",157 159,
thpd12,"S. Guha, T.K. Bhaumik, C. Mallik, P.Y. Nabhiraj [VECC, Kolkata, India] ","Design and Implementation of an IEEE 802.15.4/ZigBee based Star Network for Data Acquisition and Monitoring",160 162,
thpd13,"C. Burandt, U. Bonnes, J. Enders, M. Konrad, N. Pietralla [TU Darmstadt, Darmstadt, Germany] ","SocketCAN Device Support for EPICS IOCs",163 165,
thpd14,"C. Burandt, U. Bonnes, J. Enders, F. Hug, M. Konrad, N. Pietralla [TU Darmstadt, Darmstadt, Germany] ","Status of the Migration of the S-DALINAC Accelerator Control System to EPICS",166 168,
thpd15,"J. Antony, R. Kumar [IUAC, New Delhi, India] ","Multichannel High Voltage Power Supply Controls Solution Using Compact Distributed Ethernet Based Boards and Qt Based GUI",169 171,
thpd16,"P.S. Bagduwal, P.R. Hannurkar, M. Lad, D. Sharma, N. Tiwari [RRCAT, Indore (M.P.), India] ","Fast Digital Feedback Control Systems for Accelerator RF System using FPGA",172 174,
thpd17,"B.N. Merh, R.K. Agrawal, K.G. Barpande, P. Fatnani, C.P. Navathe [RRCAT, Indore (M.P.), India] ","API Manager Implementation and its Use for Indus Accelerator Control",175 177,
thpd18,"S. Berlik [University of Siegen, Siegen, Germany] H. Ehrlichmann [DESY, Hamburg, Germany] ","Adaptive Fuzzy Control for Transfer Channels in Particle Accelerators",178 180,
thpd19,"T. Bhattacharyya, S. Bhattacharya, T. Das, C. Nandi, G.P. Pal [VECC, Kolkata, India] ","Drive System Control for Kolkata Superconducting Cyclotron Extraction System",181 183,
thpd20,"H.K. Pandey, S. Basak, D.P. Dutta, T.K. Mandi [VECC, Kolkata, India] A. Kumar, K. P. Ray [SAMEER, Kolkata, India] ","RF Distribution and Control System for Accelerators of the VEC-RIB Facility",184 186,
thpd21,"S. Ghosh, A. Mandal, U. Panda, S. Seth, S.S. Som [VECC, Kolkata, India] ","Testing of Inductive Output Tube based RF Amplifier for 650 MHz SRF Cavities",187 189,
thpd22,"D.A. Pepler [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","Controls for a 10 Petawatt Class Laser Facility",190 191,
thpd26,"S.K. Bharade, T. Ananthkrishnan, A. Basu, G. Joshi, P.D. Motiwala, C.K. Pithawa, P. Singh, S. Singh [BARC, Trombay, Mumbai, India] ","Integrated Control System for LEHIPA",192 194,
thpd27,"L. Jain, M.A. Ansari, V.P. Bhanage, C.P. Navathe [RRCAT, Indore (M.P.), India] ","Control Scheme for Remote Operation of Magnet Power Supplies for Infrared Free Electron Laser",195 196,
thpd28,"A. Kasliwal, T.G. Pandit [RRCAT, Indore (M.P.), India] ","A Distributed CAN Bus Based Embedded Control System for 750 keV DC Accelerator",197 199,
thpd30,"H.D. Mandaliya, P.V. Edappala, R. Jha, R. Rajpal, M. Shah [IPR, Bhat, Gandhinagar, India] ","High Voltage Controller System for Spectroscopy Diagnostics of SST-1",200 202,
thpd32,"M.A. Nozdrin, N. Balalykin, V. Minashkin, V.Y. Schegolev, G. Shirkov, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] ","Progress of the JINR e-Linac Accelerator Test-Bench Control Systems",203 205,
thpd33,"A. Basu, S.K. Gupta, S.B.V. Nagraju, P. Singh, S. Singh [BARC, Mumbai, India] ","Qt Based Control System Software for Low Energy Accelerator Facility",206 207,
thpd35,"D. Sharma, P.S. Bagduwal, P.R. Hannurkar, M. Lad, N. Tiwari [RRCAT, Indore (M.P.), India] ","Modeling and Simulation of Indus-2 RF Feedback Control System",208 210,
thpd36,"A. De, P. Bhaskar, A. Dutta Roy, M. Garai, V.K. Khare, S. Kumari, S.S. Pal, S. Saha, S.K. Thakur [VECC, Kolkata, India] L. Barua, S. Chattopadhyay, M.K. Das, U. Kumar, S. Saha Das [BRIT, Bidhan Nagar, India] ","An Embedded System Based Computer Controlled Process Automation for Recovery and Purification of 99mTc from (n, )99Mo",211 213,
thpd40,"A.M. Thakar, U.K. Baruah, R. Dave, H.A. Dhola, S. Gajjar, V. Gupta, D.C. Parmar, A.M. Patel, B.M. Raval, N.P. Singh [IPR, Bhat, Gandhinagar, India] J.Y. Journeaux, D. Lathi, B. Schunke, S. Svensson [ITER Organization, St. Paul lez Durance, France] ","Instrumentation Architecture for ITER Diagnostic Neutral Beam Power Supply System",214 216,
thpd43,"H.M. Kewlani, D.P. Chakravarthy, S. Gharat, L. Mishra, K.C. Mittal, P. Roychowdhury [BARC, Mumbai, India] ","Electron Cyclotron Resonance Ion Source Control System",217 218,
thpd44,"D. Neidherr, D.H. Beck, H. Brand, F. Herfurth [GSI, Darmstadt, Germany] ","The CS framework as a Control System for the HITRAP Facility at GSI",219 221,
thpd45,"R.B. Chavan, S. Chandan, K. Dixit, K.C. Mittal, A.R. Tillu, V. Yadav [BARC, Mumbai, India] ","Overview of Control System for 30MeV RF Source",222 224,
thpd46,"S. Basak, A. Chakrabarti, H.K. Pandey [VECC, Kolkata, India] ","Simulation Analysis of Analog IQ based LLRF Control of RF Cavity",225 226,
thpd47,"I. Badillo, I. Arredondo, M. Eguiraun, D. Piso, M. del Campo [ESS Bilbao, Zamudio, Spain] J. Jugo [University of the Basque Country, Faculty of Science and Technology, Bilbao, Spain] ","Introduction of Non-Standard EPICS Controllers",227 229,
thpd48,"T. Samanta, S. Mukherjee [VECC, Kolkata, India] D. Sarkar [IITKGP, West Bengal, India] ","Reachability in a Finite Distributed System Protocol Model by Backward Traversal",230 233,
thpd49,"K. Mourougayane, A. Balasubramanian, G. Karna, P.S.P. Penilop [SAMEER, Chennai, India] D.P. Dutta, T.K.M. Mandi, H.K. Pandey [VECC, Kolkata, India] ","Design Considerations for Development of Distributed Data Acquisition and Control System (DDACS) for Radio-active Ion Beam (RIB) Facility",234 238,
thpd50,"M.S. Dey, S. Ghosh, A. Mandal, S. Seth, A. Singh, S.S. Som [VECC, Kolkata, India] ","FPGA Based Amplitude Control System for Accelerating Cavities",239 241,
wecc02,"A. Uchiyama [Sokendai, Ibaraki, Japan] K. Furukawa [KEK, Ibaraki, Japan] Y. Higurashi [RIKEN Nishina Center, Wako, Japan] ","EPICS Channel Access Using WebSocket",7 9,
wecc03,"A. Rhyder, R.N. Fernandes, A. C. Starritt [ASCo, Clayton, Victoria, Australia] ","Qt Based GUI System for EPICS Control Systems",10 11,
weic01,"R. Bacher [DESY, Hamburg, Germany] ","Web2cToGo: Bringing the Web2cToolkit to Mobile Devices",4 6,
weka01,"M.R. Clausen, J. Hatje, J. Penning [DESY, Hamburg, Germany] ","The CSS Story",99 98,
wepd01,"R. Mishra, R.K. Agrawal, P. Fatnani, B.N. Merh, C.P. Navathe [RRCAT, Indore (M.P.), India] S. Pal [VECC, Kolkata, India] ","Data Logging System Upgrade for Indus Accelerator",12 14,
wepd03,"M. Konrad, C. Burandt, J. Enders, N. Pietralla [TU Darmstadt, Darmstadt, Germany] ","Control System Studio Archiver with PostgreSQL Backend: Optimizing Performance and Reliability for a Production Environment",15 17,
wepd09,"K. Saifee, A. Chauhan, P. Fatnani, P. Gothwal, C.P. Navathe [RRCAT, Indore (M.P.), India] ","Fast Data Acquisition System for Booster Supplies Readback",18 19,
wepd10,"P.M. Nair, A. Behere, M.P. Diwakar, K. Jha, C.K. Pithawa, P. Sridharan [BARC, Trombay, Mumbai, India] ","Embedded CAMAC Controller: Hardware/Software Co-optimization for High Throughput",20 22,
wepd11,"J.J. Patel, P.K. Chattopadhyay, R. Jha, P. Kumari, R. Rajpal [IPR, Bhat, Gandhinagar, India] ","Client Server Architecture Based Embedded Data Acquisition System on PC104",23 25,
wepd12,"K.J. Doshi, J.A. Dhongde, Y.S. Khristi, H.A. Masand, B.A. Parghi, D.A. Patel, S. Pradhan, U.A. Prasad, A.N. Sharma, P.A. Varmora [IPR, Bhat, Gandhinagar, India] ","A Large Channel Count Multi Client Data Acquisition System for Superconducting Magnet System of SST-1",26 28,
wepd13,"N.C. Patel, C.K. Chavda, K.G. Patel [IPR, Bhat, Gandhinagar, India] ","Serial Multiplexed Based Data Acquisition and Control System",29 31,
wepd14,"A.I. Senchenko, D.E. Berkaev [BINP SB RAS, Novosibirsk, Russia] ","VEPP-2000 Logging System",32 34,
wepd16,"A. Kumar, A. Chatterjee, K. Mahata, K. Ramachandran [BARC, Mumbai, India] ","Development of Data Acquisition Software for VME Based System",35 36,
wepd18,"M.S. Khan, S.M. Belsare, K.D. Galodiya, S.S. Khirwadkar, T.H. Patel [IPR, Bhat, Gandhinagar, India] ","Microcontroller Based DAQ System for IR Thermography by Hot and Cold Water Flow",37 39,
wepd19,"T. Spangenberg, D. Haas, W. Mexner [KIT, Karlsruhe, Germany] ","Smart Structured Measurement Process for Versatile Synchrotron Beamline Data at ANKA",40 42,
wepd22,"G.K. Sahoo, K. Balewski, A. Kling [DESY, Hamburg, Germany] ","Post-Mortem Analysis of BPM-Interlock Triggered Beam Dumps at PETRA-III",43 45,
wepd23,"K.K. Kizhupadath, R.A.V. Kumar, K. Mahavar [IPR, Bhat, Gandhinagar, India] S. Joshi, A. Sharma [Nirma University, Ahmedabad, India] ","Design & Implementation Of LabVIEWTM Based GUI for Remote Operation and Control of Excimer Laser for Plasma Wakefield Accelerator Experiment",46 50,
wepd24,"T. Kosuge [KEK, Ibaraki, Japan] ","STARS on Android",51 53,
wepd25,"A. Roy, R.B. Bhole, S. Pal [VECC, Kolkata, India] ","Development of EPICS Channel Access Embedded ActiveX Components for GUI Development",54 56,
wepd26,"A. Roy [VECC, Kolkata, India] K. Furukawa, N. Iida [KEK, Ibaraki, Japan] T. Okazaki [EJIT, Hitachi, Ibaraki, Japan] ","Development of Fast Controls for Beam Wire Scanner for SuperKEKB",57 59,
wepd27,"S. Kulkarni, P. V. Bhagwat, J.A. Gore, A.K. Gupta, S. Kailas [BARC, Mumbai, India] ","Graphical User Interface (GUI) for Testing CAMAC modules",60 61,
wepd28,"S. Gaur, M.P. Diwakar, P.M. Nair, C.K. Pithawa, P. Sridharan [BARC, Trombay, Mumbai, India] N.C. Gohel [Bhabha Atomic Research Centre, Mumbai, India] ","Re-envisioning the Operator Consoles for Dhruva Control Room",62 64,
wepd33,"G. Verma, B.B. Biswas, S.K. Jain, M. Kalra, D.A. Roy [BARC, Mumbai, India] ","Embedded PC Based Controller for Use in VME Bus Based Data Acquisition System",65 67,
wepd34,"S. Cleva, A.I. Bogani, L. Pivetta [ELETTRA, Basovizza, Italy] ","A Low-Cost High-Performance Embedded Platform for Accelerator Controls",68 70,
wepd38,"R.N. Dutt, D. Kanjilal, P.S. Lakshmy, Y. Mathur, U.K. Rao, G.O. Rodrigues [IUAC, New Delhi, India] ","A wireless control system for the HTS-ECRIS, PKDELIS and low energy beam transport",71 72,
wepd39,"M. Chatterjee, D. Koley, P.Y. Nabhiraj [VECC, Kolkata, India] ","Development of an Ethernet Enabled Microcontroller Based Module for Superconducting Cyclotron ECR Beamline Control",73 75,
wepd43,"S. Srivastava, V.S. Pandit [VECC, Kolkata, India] ","A New Scheme for Direct Estimation of PID Controller Parameters",76 78,
wepd44,"J.Z. Xu, R.I. Farnsworth, I. Vasserman [ANL, Argonne, USA] ","FPGA Data Block FIFO for the APS ID Measurement System",79 80,
wepd47,"N. Kamikubota [KEK, Ibaraki, Japan] N. Yamamoto [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] S.Y. Yoshida [Kanto Information Service (KIS), Accelerator Group, Ibaraki, Japan] ","Low-cost EPICS Control Using Serial-LAN Module XPort",81 83,
wepd48,"S. Rauch, R. Baer (R. Bär), D.H. Beck, M. Kreider, W. Panschow, C. Prados, W.W. Terpstra, M. Thieme, M. Zweig [GSI, Darmstadt, Germany] ","Facility-Wide Synchronization of Standard FAIR Equipment Controllers",84 86,
wepd52,"K. Vijayan, M.T. Heron, S.J. Singleton [Diamond, Oxfordshire, United Kingdom] ","Diamond Light Source Control Systems Relational RDB",87 89,
