mocnb01,"G. Rehm, M.G. Abbott, A.F.D. Morgan, J. Rowland, I. Uzun, Diamond, Oxfordshire","Measurement of Lattice Parameters Without Visible Disturbance to User Beam at Diamond Light Source",44 48,
thtnb01,"A.P. Zhukov, ORNL, Oak Ridge, Tennessee","Beam Loss Monitors (BLMs): Physics, Simulations and Applications in Accelerators",553 565,
tucnb01,"H. Schmickler, CERN, Geneva; M.G. Billing, CLASSE, Ithaca, New York; M. Böge, M.M. Dehler, PSI, Villigen; M. Gasior, M. Guinchard, A.M. Kuzmin, J. Pfingstner, M.V. Sylte, CERN, Geneva","Sub-nm Beam Motion Analysis Using a Standard BPM with High Resolution Electronics",69 73,
tucnb02,"G. Decker, H. Bui, R.M. Lill, B.X. Yang, ANL, Argonne","APS Beam Stability Studies at the 100-Nanoradian Level",74 78,
tucnb03,"H. Hama, F. Hinode, M. Kawai, F. Miyahara, T. Muto, K. Nanbu, H. Oohara, Y. Tanaka, Tohoku University, School of Scinece, Sendai","Cherenkov Ring to Observe Longitudinal Phase Space of a Low Energy Electron Beam Extracted from RF Gun",79 83,
tupsm001,"A.H. Lumpkin, A.S. Johnson, J. Ruan, J.K. Santucci, R. Thurman-Keup, Fermilab, Batavia","OTR Polarization Effects in Beam-Profile Monitors at the Fermilab A0 Photoinjector",88 92,
tupsm003,"W. Blokland, T.J. McManamy, T.J. Shea, ORNL, Oak Ridge, Tennessee","SNS Target Imaging System Software and Analysis",93 97,
tupsm005,"C. Böhme, UniDo/IBS, Dortmund; J.L. Conradie, iThemba LABS, Somerset West; J. Dietrich, V. Kamerdzhiev, FZJ, Jülich; T. Weis, DELTA, Dortmund","Gas Scintillation Beam Profile Monitor at COSY Jülich",98 100,
tupsm006,"C. Gabor, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; G.A. Blair, G.E. Boorman, A. Bosco, Royal Holloway, University of London, Surrey; A.P. Letchford, STFC/RAL/ISIS, Chilton, Didcot, Oxon","A Non Destructive Laser Wire for H- Ion Beams",101 105,
tupsm007,"S.A. Whitehead, P.G. Barnes, G.M. Cross, S.J. Payne, A. Pertica, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Multi-Channeltron Based Profile Monitor at the ISIS Proton Synchrotron",106 110,
tupsm009,"J.R. Zagel, A. Jansson, T. Meyer, D.K. Morris, D. Slimmer, T. Todd, M.-J. Yang, Fermilab, Batavia","Operational Use of Ionization Profile Monitors at Fermilab",111 115,
tupsm010,"R. Connolly, J.M. Fite, S. Jao, S. Tepikian, C. Trabocchi, BNL, Upton, Long Island, New York","Residual-Gas-Ionization Beam Profile Monitors in RHIC",116 118,
tupsm011,"R. Connolly, B. Briscoe, C. Degen, W. Meng, R.J. Michnoff, M.G. Minty, S. Nayak, D. Raparia, T. Russo, BNL, Upton, Long Island, New York","Beam-Energy and Laser Beam-Profile Monitor at the BNL Linac",119 121,
tupsm012,"D. Frayer, NSTec, Los Alamos, New Mexico; C. Ekdahl, LANL, Los Alamos, New Mexico; D. Johnson, NSTec, Los Alamos, New Mexico","Data and Analysis from a Time-Resolved Tomographic Optical Beam Diagnostic",122 126,
tupsm013,"S. Rodriguez Esparza, LANL, Los Alamos, New Mexico","LANSCE Wire Scanning Diagnostics Device Mechanical Design",127 131,
tupsm014,"J.D. Gilpatrick, P. Chacon, M.E. Gruchalla, D. Martinez, J.F. Power, B.G. Smith, M.A. Taylor, LANL, Los Alamos, New Mexico","LANSCE Harp Upgrade: Analysis, Design, Fabrication, and Installation",132 136,
tupsm015,"J.D. Sedillo, LANL, Los Alamos, New Mexico","Resolver-Based, Closed-Loop Position and Velocity Control for the LANSCE-R Wire Scanner",137 140,
tupsm016,"M.E. Gruchalla, P. Chacon, J.D. Gilpatrick, D. Martinez, J.F. Power, B.G. Smith, LANL, Los Alamos, New Mexico","LANSCE Wire Scanner AFE: Analysis, Design, and Fabrication",141 145,
tupsm018,"J.S. Kolski, R.J. Macek, R.C. McCrady, LANL, Los Alamos, New Mexico","A Statistical Analysis of the Beam Position Measurement in the Los Alamos Proton Storage Ring",146 150,
tupsm019,"B. Walasek-Höhne, GSI, Darmstadt; W. Ensinger, Technical University Darmstadt, Darmstadt; P. Forck, GSI, Darmstadt; E. Guetlich, TU Darmstadt, Darmstadt; R. Haseitl, GSI, Darmstadt","Light Yield, Imaging Properties and Spectral Response of Inorganic Scintillators Under Intense Ion Irradiation",151 155,
tupsm020,"F. Becker, GSI, Darmstadt; F.M. Bieniosek, LBNL, Berkeley, California; P. Forck, T. Giacomini, R. Haseitl, GSI, Darmstadt; D.H.H. Hoffmann, TU Darmstadt, Darmstadt; P.N. Ni, LBNL, Berkeley, California; B. Walasek-Höhne, GSI, Darmstadt","Beam Induced Fluorescence Monitor–Spectroscopy in Nitrogen, Helium, Argon, Krypton, and Xenon Gas",156 159,
tupsm023,"P. Leban, I-Tech, Solkan; J.-C. Denard, N. Hubert, SOLEIL, Gif-sur-Yvette; D.T. Tinta, I-Tech, Solkan","Photon Beam Position Measurements by Libera Photon Using Copper Blade Sensors at Soleil Synchrotron",160 162,
tupsm025,"A.O. Borga, R. De Monte, M. Ferianis, L. Pavlovic, M. Predonzani, ELETTRA, Basovizza","The Diagnostics' Back-End Platform Based on the In House Developed A|D|A And A|D|O Boards",163 167,
tupsm026,"A.F.D. Morgan, Diamond, Oxfordshire; S.T. Boogert, N.Y. Joshi, JAI, Egham, Surrey; A. Lyapin, UCL, London; S. Molloy, Royal Holloway, University of London, Surrey; G. Rehm, Diamond, Oxfordshire","Simulation of a Cavity BPM for High Resolution Single-Pass Beam Position Measurements",168 172,
tupsm027,"E. A. Medvedko, R.G. Johnson, S.R. Smith, G.R. White, SLAC, Menlo Park, California","New Beam Monitoring Instrumentation at ATF2, KEK",173 176,
tupsm028,"A. Young, R.G. Johnson, SLAC, Menlo Park, California; R.M. Lill, ANL, Argonne; S.R. Smith, CERN, Geneva","LCLS Resonant Cavity Beam Position Monitors",177 181,
tupsm029,"J.J. Sebek, D.J. Martin, T. Straumann, J.V. Wachter, SLAC, Menlo Park, California","Design and Performance of SSRL Beam Position Electronics",182 186,
tupsm031,"D.H. Zhang, N. Eddy, B.J. Fellenz, J. Fitzgerald, P.S. Prieto, A. Saewert, A. Semenov, D.C. Voy, M. Wendt, Fermilab, Batavia","A Wire Position Monitor System for Superconducting Cryomodules at Fermilab",187 188,
tupsm032,"M. Wendt, Fermilab, Batavia; N.C. Chritin, CERN, Geneva; A. Lunin, Fermilab, Batavia; H. Schmickler, L. Søby, CERN, Geneva; N. Solyak, V.P. Yakovlev, Fermilab, Batavia","High Resolution Cavity BPM for the CLIC Test Facility",189 193,
tupsm033,"A. Blednykh, B. Bacha, A. Borrelli, M.J. Ferreira, H.-C. Hseuh, B.N. Kosciuk, S. Krinsky, O. Singh, K. Vetter, BNL, Upton, Long Island, New York","Rogue Mode Shielding in NSLS-II Multipole Vacuum Chambers",194 198,
tupsm034,"I. Pinayev, A. Blednykh, B.N. Kosciuk, O. Singh, BNL, Upton, Long Island, New York","Optimization of Small Aperture Beam Position Monitors for NSLS-II Project",199 200,
tupsm035,"I. Pinayev, P. Cameron, BNL, Upton, Long Island, New York","Concept of Beam Position Monitor with Frequency Multiplexing",201 204,
tupsm037,"K. Vetter, J.H. DeLong, A.J. Della Penna, K.M. Ha, B.N. Kosciuk, J. Mead, I. Pinayev, O. Singh, Y. Tian, BNL, Upton, Long Island, New York","NSLS-II RF Beam Position Monitor",205 209,
tupsm038,"C.S. Simon, O. Napoly, CEA, Gif-sur-Yvette; J.-P. Prestel, N. Rouvière, IPN, Orsay","Status of the Re-Entrant Cavity Beam Position Monitor for the European XFEL Project",210 213,
tupsm039,"D. Lipka, N. Baboi, A. Brenger, J. Lund-Nielsen, K. Wittenburg, DESY, Hamburg","Magnetic Coupled Beam Position Monitor for the FLASH Dump Line",214 217,
tupsm040,"T. Lensch, R. Susen, M. Werner, DESY, Hamburg","Commissioning Results and Improvements of the Machine Protection System for PETRA III",218 222,
tupsm041,"M. Tobiyama, H. Fukuma, S. Hiramatsu, H. Ishii, K. Mori, T. Obina, K. Shibata, M. Tejima, KEK, Ibaraki","Development of Button Electrodes for SuperKEKB Rings",223 227,
tupsm042,"B.X. Yang, W. Berg, A.R. Brill, J.C. Dooling, L. Erwin, A.F. Pietryla, ANL, Argonne","Beam Measurements of a Large Solid-Angle Beam Loss Monitor in the APS",228 232,
tupsm043,"B.X. Yang, G. Decker, P.K. Den Hartog, S.-H. Lee, ANL, Argonne","High-Power Hard X-ray Beam Position Monitor Development at the APS",233 237,
tupsm044,"B.X. Yang, ANL, Argonne; W.E. Norum, LBNL, Berkeley, California; S.E. Shoaf, J.B. Stevens, ANL, Argonne","Bunch-by-Bunch Diagnostics at the APS Using Time-Correlated Single-Photon Counting Techniques",238 242,
tupsm045,"M. Putignano, Cockcroft Institute, Warrington, Cheshire; M. Putignano, The University of Liverpool, Liverpool; C.P. Welsch, Cockcroft Institute, Warrington, Cheshire","Numerical Studies of Curtain Gas Jet Generation for Beam Profile Monitoring Applications in the Ultra Low Energy Storage Ring",243 246,
tupsm046,"A. Intermite, Cockcroft Institute, Warrington, Cheshire; A. Intermite, M. Putignano, The University of Liverpool, Liverpool; C.P. Welsch, Cockcroft Institute, Warrington, Cheshire","Influence of Dark Count on the Performance of Silicon Photomultipliers",247 251,
tupsm047,"J. Harasimowicz, Cockcroft Institute, Warrington, Cheshire; J. Harasimowicz, The University of Liverpool, Liverpool; C.P. Welsch, Cockcroft Institute, Warrington, Cheshire","Beam Position Monitor Development for the USR",252 256,
tupsm048,"J. Harasimowicz, Cockcroft Institute, Warrington, Cheshire; J. Harasimowicz, The University of Liverpool, Liverpool; C.P. Welsch, Cockcroft Institute, Warrington, Cheshire","Faraday Cup for Low-Energy, Low-Intensity Beam Measurements at the USR",257 259,
tupsm049,"R.M. Lill, G. Decker, J.E. Hoyt, X. Sun, ANL, Argonne","Measurement, Simulation, and Suppression of APS Storage Ring Vacuum Chamber TE Modes Impacting Vertical BPM Readings",260 264,
tupsm050,"R.M. Lill, J.T. Collins, G. Decker, L. Erwin, J.Z. Xu, B.X. Yang, ANL, Argonne","Studies of APS Storage Ring Vacuum Chamber Thermal Mechanical Effects and their Impact on Beam Stability",265 268,
tupsm051,"D. B. Belohrad, L.K. Jensen, O.R. Jones, M. Ludwig, J.-J. Savioz, CERN, Geneva","The LHC Fast BCT System: A Comparison of Design Parameters with Initial Performance",269 273,
tupsm053,"M.J. Hagmann, NewPath, Salt Lake City, Utah","Analytical Method for Determining Errors in Current Measurements with a Rogowski Coil",274 277,
tupsm054,"M.J. Hagmann, NewPath, Salt Lake City, Utah","Monitoring Transverse Beam Profile with Nonuniformly-Wound Toroidal Coils",278 281,
tupsm057,"A. Shapovalov, MEPhI, Moscow; L. Staykov, DESY Zeuthen, Zeuthen","Emittance Measurement Wizard at PITZ",282 286,
tupsm058,"D. Winklehner, J.Y. Benitez, LBNL, Berkeley, California; D.P. Grote, LLNL, Livermore, California; D. Leitner, M.M. Strohmeier, D.S. Todd, LBNL, Berkeley, California","Comparison of Extraction and Beam Transport Simulations with Emittance Measurements from the ECR Ion Source VENUS",287 291,
tupsm059,"H. Reichau, O. Meusel, U. Ratzinger, C. Wagner, IAP, Frankfurt am Main","Estimation of Profile Length in Hybrid Ion Beam Tomography",292 296,
tupsm060,"M.B. Ripert, A. Buechel, HIT, Heidelberg; C. Dorn, GSI, Darmstadt; A. Peters, J. Schreiner, T.W. Winkelmann, HIT, Heidelberg","A Low Energy Ion Beam Pepper Pot Emittance Device",297 301,
tupsm061,"M.M. Strohmeier, LBNL, Berkeley, California; M. Bantel, University of Applied Sciences Karlsruhe, Karlsruhe; J.Y. Benitez, D. Leitner, C.M. Lyneis, D.S. Todd, D. Winklehner, LBNL, Berkeley, California","Emittance Measurements at the LBNL ECR and AECR-U Ion Sources Using a Pepper-Pot Emittance Scanner",302 306,
tupsm062,"Y. Otake, RIKEN/SPring-8, Hyogo; M. Goto, Hamamatsu Photonics K.K., Hamamatsu-city; H. Maesaka, RIKEN/SPring-8, Hyogo; S. Matsubara, JASRI/SPring-8, Hyogo-ken; K. Tamasaku, H. Tanaka, RIKEN/SPring-8, Hyogo; T. Togashi, JASRI/SPring-8, Hyogo-ken; K. Togawa, RIKEN/SPring-8, Hyogo","Bunch Length Measurements at the SCSS Test Accelerator toward XFEL/SPring-8",307 310,
tupsm063,"A. Kosicek, P. Leban, I-Tech, Solkan; K.B. Scheidt, ESRF, Grenoble","Beam Lifetime Measurements with Libera Brilliance",311 314,
tupsm064,"C. Yao, Y.-C. Chae, ANL, Argonne; W.E. Norum, LBNL, Berkeley, California","An FPGA-based Bunch-by-Bunch Tune Measurement System for the APS Storage Ring",315 317,
tupsm065,"W.J. Corbett, SLAC, Menlo Park, California; W.X. Cheng, BNL, Upton, Long Island, New York; A.S. Fisher, SLAC, Menlo Park, California; W.Y. Mok, Life Imaging Technology, Palo Alto, California","Injection Beam Dynamics in SPEAR3",318 322,
tupsm066,"R.J. Steinhagen, A. Boccardi, M. Gasior, S. Jackson, O.R. Jones, CERN, Geneva","LHC Beam Stability and Performance of the Q/Q' Diagnostic Instrumentation",323 327,
tupsm067,"M. Gasior, R.J. Steinhagen, CERN, Geneva","High Resolution Beam Orbit Measurement Electronics Based on Compensated Diode Detectors",328 332,
tupsm068,"M. Wilinski, W.C. Dawson, C. Degen, A. Marusic, K. Mernick, M.G. Minty, T. Russo, BNL, Upton, Long Island, New York","Improvements for Operational Baseband Tune and Coupling Measurements and Feedback at RHIC",333 337,
tupsm070,"P. Oddo, M. Bai, W.C. Dawson, W. Meng, K. Mernick, C. Pai, T. Roser, T. Russo, BNL, Upton, Long Island, New York","Dynamically Tuned High-Q AC-Dipole Implementation",338 340,
tupsm071,"U. Springer, P. Forck, P. Hülsmann, P. Kowina, P. Moritz, GSI, Darmstadt","Digital Base-Band Tune Determination",341 344,
tupsm072,"S. De Santis, LBNL, Berkeley, California; Y. Li, CLASSE, Ithaca, New York; D.V. Munson, LBNL, Berkeley, California; M.A. Palmer, J.P. Sikora, CLASSE, Ithaca, New York","A Shielded Pick-Up Detector for Electron Cloud Measurements in the CESR-TA Ring",345 349,
tupsm073,"U. Iriso, F. Peréz, A. Salom, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Tune Measurement System at the ALBA Booster",350 352,
tupsm074,"U. Iriso, M. Alvarez, R. Muñoz, A. Olmos, F. Peréz, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Diagnostics During the ALBA Booster Commissioning",353 355,
tupsm075,"A. Olmos, M. Alvarez, F. Peréz, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Beam Position Monitors Characterization for ALBA",356 358,
tupsm076,"V.E. Scarpine, S. Chaurize, B.M. Hanna, J. Steimel, R.C. Webber, D. Wildman, D.H. Zhang, Fermilab, Batavia","First Beam Measurements of the FNAL HINS RFQ",359 363,
tupsm077,"G. Stancari, A. Semenov, A. Valishev, Fermilab, Batavia","Bunch-by-Bunch Detection of Coherent Transverse Modes from Digitized Single-BPM Signals in the Tevatron",363 366,
tupsm080,"D. Van Winkle, J.D. Fox, A. Young, SLAC, Menlo Park, California","11.424 GHz Stripline Transversal Filter for Sub-Picosecond Bunch Timing Measurements",367 371,
tupsm081,"G. Huang, J.M. Byrd, L.R. Doolittle, J.W. Staples, R.B. Wilcox, LBNL, Berkeley, California","Stable Transmission of Radio Frequency Signals on Fiber Links Using Interferometric Delay Sensing",372 374,
tupsm082,"G. Huang, J.M. Byrd, L.R. Doolittle, J.W. Staples, R.B. Wilcox, LBNL, Berkeley, California","Signal Processing for High Precision Phase Measurements",375 378,
tupsm083,"J.E. Dusatko, S. Allison, J. Browne, P. Krejcik, SLAC, Menlo Park, California","The LCLS Timing Event System",379 383,
tupsm084,"J.E. Dusatko, J. Browne, A.S. Fisher, K.D. Kotturi, S.R. Norum, J.J. Olsen, SLAC, Menlo Park, California","The LCLS Undulator Beam Loss Monitor Readout System",384 388,
tupsm085,"K. Mernick, M. Blaskiewicz, J.M. Brennan, B.R. Johnson, F. Severino, BNL, Upton, Long Island, New York","Microwave Link Phase Compensation for Longitudinal Stochastic Cooling in RHIC",389 393,
tupsm086,"L. Pavlovic, A.O. Borga, M. Ferianis, M. Predonzani, F. Rossi, ELETTRA, Basovizza","Bunch Arrival Monitor at FERMI@Elettra",394 397,
tupsm087,"M. Ferianis, A. Bucconi, G. Gaio, G. Mian, M. Predonzani, F. Rossi, ELETTRA, Basovizza","The Copper Free FERMI Timing System: Implementation And Results",398 402,
tupsm088,"M. Bousonville, GSI, Darmstadt; J. Rausch, TUD, Darmstadt","Signal Delay Measurement Method for Timing Systems",403 407,
tupsm089,"C. Zamantzas, B. Dehning, C.F. Hajdu, S. Jackson, CERN, Geneva","Reliability Tests of the LHC Beam Loss Monitoring FPGA Firmware",408 411,
tupsm090,"J. Pogge, A.P. Zhukov, ORNL, Oak Ridge, Tennessee","Results of Background Subtraction Techniques on the Spallation Neutron Source Beam Loss Monitors",412 414,
tupsm091,"J.C. Dooling, W. Berg, ANL, Argonne; A.S. Fisher, H.-D. Nuhn, M. Santana-Leitner, SLAC, Menlo Park, California; B.X. Yang, ANL, Argonne","Modeling the Optical Coupling Efficiency of the Linac Coherent Light Source Beam Loss Monitor Radiator",415 419,
tupsm093,"N. Baboi, O. Hensler, DESY, Hamburg; A. Ignatenko, DESY Zeuthen, Zeuthen; D. Lipka, Re. Neumann, M. Schmitz, P.A. Smirnov, H. Tiessen, K. Wittenburg, DESY, Hamburg","New Electron Beam Diagnostics in the FLASH Dump Line",420 424,
tupsm095,"S. Cohen, Bira, Albuquerque, New Mexico; G.W. East, R.W. Ellis, IUCMB, Bloomington, Indiana","Multi-Channel Magnet Power-Supply Ramp Controller for the IUCEEM ALPHA Synchrotron/Storage Ring with Channel Access",425 428,
tupsm096,"S.M. Lidia, F.M. Bieniosek, E. Henestroza, P.N. Ni, P.A. Seidl, LBNL, Berkeley, California","Final Focus Ion Beam Intensity from Tungsten Foil Calorimeter and Scintillator in NDCX-I",429 433,
tupsm097,"A.J. Della Penna, BNL, Upton, Long Island, New York","ADC Considerations and Analysis for Band Pass Sampling Systems",434 436,
tupsm098,"D. Padrazo, R.P. Fliller, Y. Hu, B.N. Kosciuk, R. Meier, I. Pinayev, T.V. Shaftan, O. Singh, BNL, Upton, Long Island, New York","NSLS-II Injector System Diagnostics",437 441,
tupsm099,"J. Steimel, V.E. Scarpine, R.C. Webber, M. Wendt, Fermilab, Batavia","Beam Instrumentation Requirements for the HINS Program at Fermilab",442 445,
tupsm100,"J. Brossard, F. Blot, S. Cavalier, A. Gonnin, M. Joré, P. Lepercq, S.B. Letourneur, B.M. Mercier, H. Monard, C. Prevost, R. Roux, A. Variola, LAL, Orsay","PHIL Accelerator at LAL - Diagnostics Status",446 448,
tupsm101,"K.T. Hsu, J. Chen, P.C. Chiu, S.Y. Hsu, K.H. Hu, C.H. Kuo, D. Lee, NSRRC, Hsinchu","Design Status of the Diagnostic System for the Taiwan Photon Source Project",449 453,
tupsm102,"K.T. Hsu, J. Chen, K.H. Hu, C.H. Kuo, NSRRC, Hsinchu","Diagnostics Update of the Taiwan Light Source",454 458,
tupsm103,"J.W. Bähr, DESY, Hamburg; W. Ackermann, TEMF, TU Darmstadt, Darmstadt; H.M. Al-Juboori, DESY Zeuthen, Zeuthen; G. Asova, A. Bonev, INRNE, Sofia; A. Brinkmann, DESY, Hamburg; A. Donat, DESY Zeuthen, Zeuthen; K. Flöttmann, DESY, Hamburg; U. Gensch, H.-J. Grabosch, L. Hakobyan, R. Heller, DESY Zeuthen, Zeuthen; D.J. Holder, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; M. Hänel, Ye. Ivanisenko, L. Jachmann, M.A. Khojoyan, G. Klemz, W. Köhler, G. Koss, M. Krasilnikov, A. Kretzschmann, DESY Zeuthen, Zeuthen; S. Lederer, DESY, Hamburg; H. Leich, M. Mahgoub, J. Meissner, D. Melkumyan, DESY Zeuthen, Zeuthen; P.M. Michelato, INFN/LASA, Segrate (MI); B.L. Militsyn, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; L. Monaco, INFN/LASA, Segrate (MI); B.D. Muratori, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; W.F.O. Müller, TEMF, TU Darmstadt, Darmstadt; F. Obier, DESY, Hamburg; M. Otevrel, DESY Zeuthen, Zeuthen; C. Pagani, INFN/LASA, Segrate (MI); V.V. Paramonov, RAS/INR, Moscow; M. Penno, B. Petrosyan, M. Pohl, DESY Zeuthen, Zeuthen; D. Reschke, DESY, Hamburg; D. Richter, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Berlin; S. Rimjaem, DESY Zeuthen, Zeuthen; J. Roßbach, Uni HH, Hamburg; C. Rueger, DESY Zeuthen, Zeuthen; J. Rönsch-Schulenburg, Uni HH, Hamburg; M. Sachwitz, DESY Zeuthen, Zeuthen; J. Saisut, FNRF, Chiang Mai; W. Sandner, MBI, Berlin; S. Schnepp, TEMF, TU Darmstadt, Darmstadt; B. Schoeneich, DESY Zeuthen, Zeuthen; S. Schreiber, DESY, Hamburg; J. Schultze, DESY Zeuthen, Zeuthen; D. Sertore, INFN/LASA, Segrate (MI); A. Shapovalov, F. Stephan, M. Tanha, G. Trowitzsch, DESY Zeuthen, Zeuthen; I.I. Tsakov, INRNE, Sofia; G. Vashchenko, L.V. Vu, T. Walther, X.H. Wang, DESY Zeuthen, Zeuthen; T. Weiland, TEMF, TU Darmstadt, Darmstadt; S. Weisse, R.W. Wenndorff, DESY Zeuthen, Zeuthen; I. Will, MBI, Berlin; M. Winde, DESY Zeuthen, Zeuthen","Recent Upgrade of the PITZ Facility",459 463,
tupsm104,"M. Krasilnikov, DESY, Hamburg; F. Stephan, DESY Zeuthen, Zeuthen","Beam Based Monitoring of the RF Photo Gun Stability at PITZ",464 468,
tupsm108,"V. Ptitsyn, A. Marusic, R.J. Michnoff, M.G. Minty, G. Robert-Demolaize, T. Satogata, BNL, Upton, Long Island, New York","Slow Orbit Feedback at RHIC",469 472,
tupsm109,"W.X. Cheng, BNL, Upton, Long Island, New York","NSLS2 Transverse Feedback System Design",473 477,
tupsm110,"W.X. Cheng, BNL, Upton, Long Island, New York","Synchrotron Light Monitor System for NSLS-II",478 482,
tupsm112,"J.M. Weber, M.J. Chin, LBNL, Berkeley, California","Continuous Bunch-by-Bunch 16-bit Data Acquisition using DDR2 SDRAM Connected to an FPGA",483 486,
tupsm113,"R.A.J. Soden, Agilent Technologies SA, Plan-les-Ouates; G. Hill, Agilent Technologies Inc., Loveland; P.-F. Maistre, Y.A. Maumary, Agilent Technologies SA, Plan-les-Ouates; S.J. Narciso, Agilent Technologies Inc., Loveland","Achieving High-Speed Data Acquisition for Real-Time Beam Control and Measurement",487 490,
tutnb01,"B. Gilbert, ADI, Beaverton, Oregon","Fundamentals Of Logarithmic Amplifiers And Recent Advances",68 68,
tuvnb01,"M.M. Ravindran, J.T. Truchard, National Instruments, Austin","COTS Technology for High Energy Physics Instrumentation",84 87,
wecnb01,"D. Nölle, DESY, Hamburg","Overview of E-XFEL Standard Electron Beam Diagnostics",533 537,
wecnb02,"B. Steffen, PSI, Villigen; P. Chevtsov, JLAB, Newport News, Virginia; F. Müller, V. Schlott, PSI, Villigen","Electro Optical Sampling of Coherent Synchrotron Radiation for Picosecond Electron Bunches With Few pC Charge",538 542,
wecnb03,"R.B. Fiorito, UMD, College Park, Maryland; S.T. Artikova, MPI-K, Heidelberg; S. Bernal, I. Haber, R.A. Kishek, P.G. O'Shea, A.G. Shkvarunets, UMD, College Park, Maryland; C.P. Welsch, Cockcroft Institute, Warrington, Cheshire; H.D. Zhang, UMD, College Park, Maryland","Beam Halo Imaging Using an Adaptive Optical Mask",543 547,
wednb01,"C.P. Welsch, Cockcroft Institute, Warrington, Cheshire; C.P. Welsch, The University of Liverpool, Liverpool","DITANET Contributing to State-of-the-Art Diagnostics Developments",548 552,
weianb01,"R.C. McCrady, LANL, Los Alamos, New Mexico","LANSCE Beam Instrumentation and the LANSCE Refurbishment Project",516 522,
weianb02,"T. Watanabe, N. Fukunishi, A. Goto, O. Kamigaito, M. Kase, Y. Sasaki, RIKEN Nishina Center, Wako","Development of Beam Current Monitor with High Tc SQUID at RIBF",523 532,
weimnb01,"D. Leitner, LBNL, Berkeley, California","Ion Beam Properties and their Diagnostics for ECR Ion Source Injector Systems",498 505,
weimnb02,"D. Douglas, JLAB, Newport News, Virginia","An Instrumentation Wish List for High Power/High Brightness ERLs",506 515,
wetnb01,"M.S. Gulley, LANL, Los Alamos, New Mexico","Tuning the Beam: a Physics Perspective on Beam Diagnostic Instrumentation",491 497,
