froaa2,"M. Blaskiewicz, V.H. Ranjbar [BNL, Upton, Long Island, New York, USA] ","Transverse Beam Transfer Functions via the Vlasov Equation",1427 1429,
mopac12,"P. Schoessow, S.P. Antipov, C.-J. Jing, A. Kanareykin, S.S. Zuo [Euclid TechLabs, LLC, Solon, Ohio, USA] J.G. Power, A. Zholents [ANL, Argonne, USA] ","Analysis of High Repetition Rate Effects in Dielectric Wakefield Accelerators",93 95,
mopac15,"V.D. Shiltsev [Fermilab, Batavia, USA] P. Piot [Northern Illinois University, DeKalb, Illinois, USA] ","ASTA at Fermilab: Accelerator Physics and Accelerator Education Programs at the Modern Accelerator R&D Users Facility for HEP and Accelerator Applications",96 98,
mopac16,"V.D. Shiltsev, S. Henderson, P. Hurh, I. Kourbanis, V.A. Lebedev, S. Nagaitsev [Fermilab, Batavia, USA] ","Issues and R&D Required for the Intensity Frontier Accelerators",99 101,
mopac17,"Y.-M. Shin [Fermilab, Batavia, USA] D. Boyden, S. Robak [Northern Illinois University, DeKalb, Illinois, USA] ","RF-Components Embedded with Photonic-Band-Gap (PBG) and Fishnet-Metamaterial Structures for High Frequency Accelerator Application",102 104,
mopac18,"Y.-M. Shin, T. Xu [Northern Illinois University, DeKalb, Illinois, USA] V.D. Shiltsev, D.A. Still [Fermilab, Batavia, USA] ","Feasibility Study of Channeling Acceleration Experiment at the Fermilab ASTA Facility",105 107,
mopac19,"T. Schenkel, W.G. Greenway, S.M. Lidia, K. Murphy, W.L. Waldron, C.D. Weis [LBNL, Berkeley, California, USA] ","Commissioning and Initial Experiments on NDCX-II",108 110,
mopac21,"F. Albert, A.E. Pak, B.B. Pollock, J.E. Ralph [LLNL, Livermore, California, USA] C.E. Clayton, C. Joshi, K.A. Marsh, J.L. Shaw [UCLA, Los Angeles, California, USA] ","Tomographic Reconstruction of Electron Trajectories in a Laser-Plasma Accelerator Using Betatron X-Ray Radiation",111 113,
mopac23,"C. Huang, T.J. Kwan, D.Y. Shchegolkov, E.I. Simakov [LANL, Los Alamos, New Mexico, USA] ","Particle-In-Cell Modeling of Dielectric Wakefield Accelerator",114 116,
mopac24,"D.Y. Shchegolkov, E.I. Simakov [LANL, Los Alamos, New Mexico, USA] S.P. Antipov [Euclid TechLabs, LLC, Solon, Ohio, USA] S.P. Antipov [ANL, Argonne, USA] M.G. Fedurin, C. Swinson [BNL, Upton, Long Island, New York, USA] ","Beam Pulse Shaping Experiments for Uniform High Gradient Dielectric Wakefield Acceleration",117 119,
mopac25,"E.I. Simakov, S. Arsenyev, R.L. Edwards, S. Elson, C.E. Heath, D. C. Lizon, W.P. Romero [LANL, Los Alamos, New Mexico, USA] S. Arsenyev [MIT/PSFC, Cambridge, Massachusetts, USA] ","Update on Fabrication and Tuning of the Photonic Band Gap Accelerating Structure for the Wakefield Experiment",120 122,
mopac26,"V.G. Dudnikov, C.M. Ankenbrandt, R.P. Johnson, L.G. Vorobiev [Muons, Inc, Illinois, USA] ","Beam Brightness Booster with Ionization Cooling of Superintense Circulating Beams",123 125,
mopac27,"D.B. Cesar, P. Musumeci [UCLA, Los Angeles, USA] ","Transverse Beam Dynamics in Plasma Guided Laser Driven Acceleration",126 128,
mopac28,"R.J. England, Z. Huang, C. Lee, R.J. Noble, J.E. Spencer, Z. Wu [SLAC, Menlo Park, California, USA] B. Montazeri, E.A. Peralta, K. Soong [Stanford University, Stanford, California, USA] M. Qi [Purdue University, West Lafayette, Indiana, USA] L. Schächter [Technion, Haifa, Israel] ","Applications for Optical-Scale Dielectric Laser Accelerators",129 131,
mopac30,"S.J. Gessner, E. Adli, K.L.F. Bane, F.-J. Decker, Z.D. Farkas, R.K. Jobe, M.D. Litos, M.C. Ross [SLAC, Menlo Park, California, USA] T.C. Katsouleas, A. A. Sahai [Duke ECE, Durham, North Carolina, USA] ","Multibunch Beam Physics at FACET",132 134,
mopac31,"C.-K. Ng, R.J. England, R.J. Noble, J.E. Spencer [SLAC, Menlo Park, California, USA] ","Simulation of Power Coupling and Wakefield in Photonic Bandgap Fibers for Dielectric Laser Acceleration",135 137,
mopac32,"K. Soong, R.J. England, Z. Wu [SLAC, Menlo Park, California, USA] R.L. Byer, E.A. Peralta [Stanford University, Stanford, California, USA] ","Beam Position Monitor for Micro-Accelerators",138 140,
mopac33,"Z. Wu, R.J. England, R.J. Noble [SLAC, Menlo Park, California, USA] E.A. Peralta, K. Soong [Stanford University, Stanford, California, USA] M. Qi [Purdue University, West Lafayette, Indiana, USA] ","Silica Rod Array for Laser Driven Particle Acceleration",141 143,
mopac34,"N.M. Cook, P. Shkolnikov [Stony Brook University, Stony Brook, USA] N. Dover, Z. Najmudin [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] C. Maharjan [SBU, Stony Brook, New York, USA] I. Pogorelsky, M.N. Polyanskiy, O. Tresca [BNL, Upton, Long Island, New York, USA] ","Spectral Broadening of Ions Accelerated by a Radiation Pressure Driven Shock",144 146,
mopac38,"C.E. Clayton, W. An, C. Joshi, K.A. Marsh, W.B. Mori, N. Vafaei-Najafabadi [UCLA, Los Angeles, California, USA] E. Adli, C.I. Clarke, S. Corde, J.-P. Delahaye, R.J. England, A.S. Fisher, J.T. Frederico, S.J. Gessner, M.J. Hogan, S.Z. Li, M.D. Litos, D.R. Walz, Z. Wu [SLAC, Menlo Park, California, USA] W. Lu [TUB, Beijing, People's Republic of China] P. Muggli [MPI, Muenchen, Germany] ","A Betatron-Analysis Technique for Identifying Narrowband Trapped Charge within a Broadband Energy Tail in PWFA Experiments at FACET",147 149,
mopac39,"A.W. Davidson, C. Joshi, W. Lu, W.B. Mori [UCLA, Los Angeles, California, USA] R.A. Fonseca, J.L. Martins, L.O. Silva [Instituto Superior Tecnico, Lisbon, Portugal] M. Zeng [Tsinghua University, Beijing, People's Republic of China] ","Self and Ionization-Injection in LWFA for Near Term Lasers",150 152,
mopac41,"C. Gong, C. Joshi, J.J. Pigeon, S. Tochitsky [UCLA, Los Angeles, California, USA] ","Laser-Plasma Interaction Studies using Above Critical Density Gas Jet Plasmas and a Multi-TW CO2 Laser",153 155,
mopac43,"J.T. Moody, P. Musumeci [UCLA, Los Angeles, California, USA] G.G. Anderson, S.G. Anderson, S.M. Betts, S.E. Fisher, D.J. Gibson, A.M. Tremaine, S.S.Q. Wu [LLNL, Livermore, California, USA] ","Results of Short Pulse Driven LLNL/UCLA IFEL Experiment",156 158,
mopac44,"J.J. Pigeon, C. Joshi, S. Tochitsky [UCLA, Los Angeles, California, USA] ","Development of a High-repetition Rate TW CO2 Laser Driver for a Compact, Variable Species Ion Source",159 161,
mopac45,"J.L. Shaw, C. Joshi, K.A. Marsh, N. Vafaei-Najafabadi [UCLA, Los Angeles, California, USA] ","Technique for Determining the Maximum Energy of a Dispersed Electron Beam from Laser Wakefield Accelerators",162 164,
mopac46,"N. Vafaei-Najafabadi, W. An, C.E. Clayton, C. Joshi, W. Lu, K.A. Marsh, W.B. Mori [UCLA, Los Angeles, California, USA] E. Adli [University of Oslo, Oslo, Norway] E. Adli, C.I. Clarke, S. Corde, J.-P. Delahaye, R.J. England, A.S. Fisher, J.T. Frederico, S.J. Gessner, M.J. Hogan, S.Z. Li, M.D. Litos, D.R. Walz, Z. Wu [SLAC, Menlo Park, California, USA] W. Lu [TUB, Beijing, People's Republic of China] P. Muggli [MPI, Muenchen, Germany] ","Suppression of the Transformer Ratio Due to Distributed Injection of Electrons in a Plasma Wakefield Accelerator",165 167,
mopac47,"P. Yu, W. An, V.K. Decyk, W.B. Mori, F.S. Tsung [UCLA, Los Angeles, California, USA] R.A. Fonseca, L.O. Silva, J. Vieira [Instituto Superior Tecnico, Lisbon, Portugal] W. Lu, X.L. Xu [TUB, Beijing, People's Republic of China] ","Simulation of Laser Wakefield Acceleration in the Lorentz Boosted Frame with UPIC-EMMA",168 170,
mopac49,"Y. Fang, P. Muggli [USC, Los Angeles, California, USA] W.B. Mori [UCLA, Los Angeles, California, USA] P. Muggli [MPI, Muenchen, Germany] ","Possibility of Confirming SMI through Energy Spectrum with the 1nC ATF Electron Bunch",171 173,
mopba01,"S.M. Gurov, V.A. Kiselev, S.V. Sinyatkin [BINP SB RAS, Novosibirsk, Russia] ","Current Induced In Vacuum Chamber During NSLS-II Booster Ramp",174 176,
mopba03,"G. Bassi, A. Blednykh, S. Krinsky, J. Rose [BNL, Upton, Long Island, New York, USA] ","Self-Consistent Simulations of Passive Landau Cavity Effects",177 179,
mopba04,"Y. Dutheil, L. Ahrens, H. Huang, F. Meot (F. Méot), V. Schoefer [BNL, Upton, Long Island, New York, USA] ","Polarization Profile and Spin Dynamics Simulations in the AGS Using the Zgoubi Code",180 182,
mopba05,"M. Haj Tahar, Y. Dutheil, F. Meot (F. Méot), N. Tsoupas [BNL, Upton, Long Island, New York, USA] L. Calabretta [INFN/LNS, Catania, Italy] A. Calanna [CSFNSM, Catania, Italy] ","Design of the Injection into the 800 MeV/amu High Power Cyclotron",183 185,
mopba06,"V. Samulyak [BNL, Upton, Long Island, New York, USA] M. Chung, A.V. Tollestrup, K. Yonehara [Fermilab, Batavia, USA] R.D. Ryne [LBNL, Berkeley, California, USA] K. Yu [SBU, Stony Brook, USA] ","Algorithms and Self-consistent Simulations of Beam-induced Plasma in Muon Cooling Devices",186 188,
mopba09,"P. Snopok [Illinois Institute of Technology, Chicago, IL, USA] J.S. Ellison [IIT, Chicago, USA] T.J. Roberts [Muons, Inc, Illinois, USA] ","Multiple Scattering Effects in a Strong Magnetic Field",189 191,
mopba10,"P. Snopok, J.D. Kunz [IIT, Chicago, Illinois, USA] ","Progress of the Matter-dominated Muon Accelerator Lattice Simulation Tools Development for COSY Infinity",192 194,
mopba11,"P. Snopok [Illinois Institute of Technology, Chicago, IL, USA] M. Berz, B.T. Loseth, K. Makino [MSU, East Lansing, Michigan, USA] H. Zhang [JLAB, Newport News, Virginia, USA] ","Space Charge Simulation in COSY Using Fast Multipole Method",195 197,
mopba12,"L.G. Vorobiev, C.M. Ankenbrandt, T.J. Roberts [Muons, Inc, Illinois, USA] F. Schmidt [CERN, Geneva, Switzerland] ","Mitigation of Numerical Noise for Space Charge Calculations in Tracking Codes",198 200,
mopba13,"S. Abeyratne, B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] B. Erdelyi [ANL, Argonne, USA] ","Optimization of the Multipole to Local Translation Operator in the Adaptive Fast Multipole Method",201 203,
mopba14,"A.A. Al Marzouk, B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] ","Numerical Integrator for Coulomb Collisions",204 206,
mopba15,"A.J. Gee, B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] B. Erdelyi [ANL, Argonne, USA] ","Study and Comparison of the Method of Moments and the Single Level Fast Multipole Method for 2D Space Charge Tracking",207 209,
mopba16,"H.D. Schaumburg, B. Erdelyi [Northern Illinois University, DeKalb, Illinois, USA] ","A Picard Iteration Based Integrator",210 212,
mopba17,"S. Seung, G. Andonian, M.A. Harrison, S. Wu [RadiaBeam, Santa Monica, USA] D.L. Bruhwiler [CIPS, Boulder, Colorado, USA] T.V. Shaftan [BNL, Upton, Long Island, New York, USA] ","A User Friendly, Modular Simulation Tool for Laser-Electron Beam Interactions",213 215,
mopba18,"C.-K. Ng, L. Ge, C. Ko, Z. Li, L. Xiao [SLAC, Menlo Park, California, USA] ","Multipacting Simulation of Accelerator Cavities using ACE3P",216 218,
mopba19,"R.L. Warnock [SLAC, Menlo Park, California, USA] J.C. Bergstrom [CLS, Saskatoon, Saskatchewan, Canada] M. Klein [SOLEIL, Gif-sur-Yvette, France] ","Inter-bunch Communication through CSR in Whispering Gallery Modes",219 221,
mopba20,"R.L. Warnock [SLAC, Menlo Park, California, USA] ","Revised View of Basic FEL Equations and a Nonlinear Vlasov Description",222 224,
mopba21,"D.A. Dimitrov, Y. Choi, C. Nieter [Tech-X, Boulder, Colorado, USA] I.V. Bazarov, S.S. Karkare, W.J. Schaff [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] I. Ben-Zvi, T. Rao, J. Smedley [BNL, Upton, Long Island, New York, USA] ","Modeling Localized States and Band Bending Effects on Electron Emission Ion from GaAs",225 227,
mopba24,"S.A. Veitzer, P. Stoltz [Tech-X, Boulder, Colorado, USA] P. Lebrun [Fermilab, Batavia, USA] ","Integrated Kinetic and Plasma Dielectric Models of Electron Cloud Buildup and TE Wave Transmission",228 230,
mopho01,"K.B. Oganesyan [ANSL, Yerevan, Armenia] ","Creation of Gamma Radiation Using Anihilation of Channeled Positrons in Crystals",231 233,
mopho02,"K.B. Oganesyan [ANSL, Yerevan, Armenia] ","How Acts Plane Wiggler Magnetic Field Inhomogeneity on the Spontaneous Radiation and the Gain",234 236,
mopho03,"K.B. Oganesyan [ANSL, Yerevan, Armenia] ","Generation of Intensive Transition Radiation in Modulated Medium",237 239,
mopho04,"A. Miyamoto, S. Sasaki [HSRC, Higashi-Hiroshima, Japan] ","Ultra-Low Emittance Light Source with a Torus-knot Type Accumulator Ring",240 242,
mopho05,"S.C. Leemann, M. Eriksson [MAX-lab, Lund, Sweden] ","Coupling and Brightness Considerations for the MAX IV 3 GeV Storage Ring",243 245,
mopho06,"M. Borland, V. Sajaev [ANL, Argonne, USA] ","Simulation of Using Orbit Bumps to Test Sextupole Compensation for the Short Pulse X-ray System at the Advanced Photon Source",246 248,
mopho07,"M. Borland, V. Sajaev, Y. Sun [ANL, Argonne, USA] ","A Seven-bend-achromat Lattice as a Potential Upgrade for the Advanced Photon Source",249 251,
mopho08,"V. Sajaev, G. Decker, L. Emery [ANL, Argonne, USA] ","Various Canting Schemes for Utilizing More Than One Insertion Device in an Insertion Device Straight Section",252 254,
mopho09,"L. Emery, V. Sajaev, A. Xiao [ANL, Argonne, USA] ","New Consideration for Insertion-Device Dipole-Error Perturbation Requirements When Including the Effects of Orbit Feedback",255 257,
mopho10,"Y. Sun, M. Borland [ANL, Argonne, USA] ","Optics Design and Beam Dynamics Optimization of a Five-bend Achromat Lattice for the Advanced Photon Source Upgrade",258 260,
mopho11,"Y. Sun [ANL, Argonne, USA] ","Linear Scaling on Choosing a Bunch Compression Ratio for an FEL Driver",261 263,
mopho12,"Y. Sun [ANL, Argonne, USA] P. Emma [LBNL, Berkeley, California, USA] T.O. Raubenheimer [SLAC, Menlo Park, California, USA] ","Simulation of an X-band Hard X-ray FEL with LCLS Injector",264 266,
mopho13,"Y. Sun, M. Borland [ANL, Argonne, USA] ","Achieving A Quasi Third Order Achromat in APS Upgrade Lattice",267 269,
mopho14,"Y. Sun [ANL, Argonne, USA] ","Analytical Evaluation of Correlated Timing Jitter Cancellation in a Staged Bunch Compression System",270 272,
mopho15,"Y. Sun [ANL, Argonne, USA] P. Emma [LBNL, Berkeley, California, USA] T.O. Raubenheimer, J. Wu [SLAC, Menlo Park, California, USA] ","X-band FEL Driver Linac Design with Optics Linearization",273 275,
mopho17,"G.M. Wang, B. Bacha, A. Blednykh, E.B. Blum, W.X. Cheng, J. Choi, L.R. Dalesio, M.A. Davidsaver, J.H. De Long, R.P. Fliller, G. George, W. Guo, K. Ha, H.-C. Hseuh, Y. Hu, W. Louie, M.A. Maggipinto, J. Mead, D. Padrazo, T.V. Shaftan, G. Shen, K. Shroff, O. Singh, Y. Tian, K. Vetter, F.J. Willeke, H. Xu, L. Yang, X. Yang [BNL, Upton, Long Island, New York, USA] P.B. Cheblakov, A.A. Derbenev, A.I. Erokhin, S.M. Gurov, R.A. Kadyrov, S.E. Karnaev, E.A. Simonov, S.V. Sinyatkin, V.V. Smaluk [BINP SB RAS, Novosibirsk, Russia] ","NSLS II Commissioning Tools",276 278,
mopho19,"S.P. Antipov, C.-J. Jing, A. Kanareykin, P. Schoessow [Euclid TechLabs, LLC, Solon, Ohio, USA] S. Baturin [LETI, Saint-Petersburg, Russia] M.G. Fedurin, C. Swinson [BNL, Upton, Long Island, New York, USA] W. Gai, A. Zholents [ANL, Argonne, USA] ","A Tunable Energy Chirp Correction",279 281,
mopho20,"Y. Kim, B.L. Berls, K. Folkman, C. O'Neill, J. Ralph [IAC, Pocatello, IDAHO, USA] A. Andrews, P. Buaphad, C.F. Eckman [ISU, Pocatello, Idaho, USA] A.V. Smirnov [RadiaBeam, Santa Monica, USA] ","Demonstration of a Compact High Average Power THz Light Source at the IAC",282 284,
mopho22,"C. Sun, M.P. Hertlein, J. Kirz, M. Marcus, G.J. Portmann, D. Robin, C. Steier [LBNL, Berkeley, California, USA] ","Pseudo Single Bunch with Adjustable Frequency",285 287,
mopho23,"H. Tarawneh, H. Nishimura, D. Robin, C. Steier, C. Sun, W. Wan [LBNL, Berkeley, California, USA] ","Initial Lattice Design Studies for a Diffraction Limited Upgrade of the Advanced Light Source",288 290,
mopho25,"M.A. Harrison, G. Andonian, T.J. Campese, P. Frigola, A.Y. Murokh, F.H. O'Shea, M. Ruelas [RadiaBeam, Santa Monica, USA] M.G. Fedurin [BNL, Upton, Long Island, New York, USA] ","Removal of Residual Chirp in Compressed Beams Using a Passive Wakefield Technique",291 293,
mopho26,"R.A. Bosch, J. Bisognano, M.A. Green, K. Jacobs, R. Wehlitz [UW-Madison/SRC, Madison, Wisconsin, USA] T.-C. Chiang, T.J. Miller [University of Illinois, Urbana, USA] J.E. Lawler, D. Yavuz [UW-Madison/PD, Madison, Wisconsin, USA] R.C. York [FRIB, East Lansing, Michigan, USA] ","Laser-undulator FEL with Nearly Copropagating Laser Pulse",294 296,
mopma03,"Y. Zou, J.F. Chen, J.Y. Tang [IHEP, Beijing, People's Republic of China] ","Studies on Short-Bunch Extraction at CSNS RCS",297 299,
mopma04,"T.J. Shea, K.H. Andersen, P. Bentley, P.F. Henry, E.J. Pitcher, P. Sabbagh, A. Takibayev [ESS, Lund, Sweden] A.I.S. Holm, S.P. Møller, H.D. Thomsen [ISA, Aarhus, Denmark] ","Design Considerations for the ESS Accelerator-to-Target Region",300 302,
mopma05,"P. Savage, M. Aslaninejad, P.A. Posocco, J.K. Pozimski [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] A.P. Letchford, J.K. Pozimski [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] S. Mishra [Imperial College of Science and Technology, London, United Kingdom] ","Thermal Design of the FETS Chopper Beam Dump",303 305,
mopma06,"A. Perry [IIT, Chicago, Illinois, USA] B. Mustapha, P.N. Ostroumov, A. Perry [ANL, Argonne, USA] A. Perry [Soreq NRC, Yavne, Israel] ","Proposal for Simultaneous Acceleration of Stable and Unstable Ions in ATLAS",306 308,
mopma07,"J.A. Rodriguez, S. Chouhan, W. Wittmer [FRIB, East Lansing, USA] S. Chouhan, A. Lapierre, D. Leitner, G. Perdikakis, M. Portillo, S. Schwarz, M. Steiner, C. Sumithrarachchi, S.J. Williams, X. Wu [NSCL, East Lansing, Michigan, USA] ","The D-Line Project at Michigan State University",309 311,
mopma08,"D. Stout, T. Borden, N.K. Bultman, R. Frazee, M. Leitner, P. Nguyen, T. Russo, E. Tanke, C. Thronson [FRIB, East Lansing, Michigan, USA] ","Systems Engineering and Integration on the FRIB Project",312 314,
mopma09,"S.D. Holmes, M. Kaducak, R.D. Kephart, I. Kourbanis, V.A. Lebedev, C.S. Mishra, S. Nagaitsev, N. Solyak, R.S. Tschirhart [Fermilab, Batavia, USA] ","Status and Opportunities at Project X: A Multi-MW Facility for Intensity Frontier Research",315 317,
mopma10,"A. Saini, J.-F. Ostiguy, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, USA] ","Studies of Fault Scenarios in SC CW Project-X Linac",318 320,
mopma12,"A. Saini, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, USA] ","Design Issues of High Intensity SC CW Ion Linac for Project-X facility",321 323,
mopma13,"A. Saini, J.-P. Carneiro, D.E. Johnson, J.-F. Ostiguy, N. Solyak, V.P. Yakovlev [Fermilab, Batavia, USA] ","Layout of Project-X Facility: A Reference Design",324 326,
mopma14,"R.W. Garnett, Y.K. Batygin, I.N. Draganic (I. Draganić), C.M. Fortgang, S.S. Kurennoy, R.C. McCrady, J.F. O'Hara, R.J. Roybal, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] J. Haeuser [Kress GmbH, Biebergemuend, Germany] A. Schempp [IAP, Frankfurt am Main, Germany] ","Status of the LANSCE Front-End Upgrade",327 329,
mopma15,"J.S. Kolski, E. Bjorklund (E. Björklund), M.J. Hall, M.P. Martinez, F.E. Shelley [LANL, Los Alamos, New Mexico, USA] ","Experimental Results from a "Diagnostic" Pulse for Single-Particle-Like Beam Position Measurements during Accumulation/Production Mode in the Los Alamos Proton Storage Ring",330 332,
