FA001,"P. Ylä-Oijala, Rolf-Nevanlinna Institute, Helsinki; D. Proch, DESY, Hamburg","MultiPac - Maltipacting Simulation Package with 2D FEM Field Solver",
PT016,"G. Ciovati, P. Kneisel, J. Brawley, R. Bundy, I.E. Campisi, K. Davis, K. Macha, D. Machie, J. Mammosser, S. Morgan, R. Sundelin, L. Turlington, H. Wang, K.M. Wilson, TJNAF, Newport News, Virginia; M. Doleans, S.H. Kim, D. Mangra, ORNL, Oak Ridge, Tennessee; D. Barni, C. Pagani, P. Pierini, INFN/LASA, Segrate, Milano; K. Matsumoto, R. Mitchell, D.L. Schrage, LANL, Los Alamos; R. Parodi, INFN/Genova, Genoa; J. Sekutowicz, DESY, Hamburg; P. Ylä-Oijala, Rolf-Nevanlinna Institute, Helsinki","Superconducting Prototype Cavities for the Spallation Neutron Source (SNS) Project",
PT017,"M.P. Kelly, K.W. Shepard, M. Kedzie, ANL, Argonne, Illinois","High-pressure Rinse and Chemical Polish of a Spoke Cavity",
PT018,"K.W. Shepard, M. Kedzie, ANL, Argonne, Illinois","Low and Medium Velocity Cavity Development for the RIA Driver Linac",
PT019,"K. Saito, T. Fujino, N. Hitomi, H. Inoue, Y. Yamazaki, KEK, Ibaraki; V. Palmieri, INFN/LNL, Legnaro, Padova; W. Singer, DESY, Hamburg; P. Kneisel, TJNAF, Newport News, Virginia; K. Ohara, Toshiba Co. Ltd., Tokyo; S. Tsukada, Hitachi Cable Co. Ltd., Tsuchiura-shi","R  D of Nb/Cu Clad Seamless cavities at KEK",
PT020,"K. Saito, H. Inoue, H. Ao, N. Satoh, KEK, Ibaraki","Stainless Flange Bonded to Niobium Tube and Simple Aluminum Sealing",
PT021,"K.M. Wilson, I.E. Campisi, E.F. Daly, G.K. Davis, M. Drury, J.E. Henry, P. Kneisel, G. Myneni, T. Powers, W.J. Schneider, M. Stirbet, TJNAF, Newport News, Virginia; Y. Kang, ORNL, Oak Ridge, Tennessee; K. Cummings, T. Hardek, LANL, Los Alamos","The Prototype Fundamental Power Coupler for the Spallation Neutron Source Superconducting Cavities: Design and Initial Test Results",
PT022,"H. Saugnac, S. Rousselot, C. Commeaux, H. Gassot, T. Junquera, IPN, Orsay; P. Bosland, H. Safa, CEA, Gif-sur-Yvette","Preliminary Design of a Stainless Steel Helium Tank and its Associated Cold Tuning System for 700 MHz SCRF Cavities for Proton",
PT023,"B. Dwersteg, DESY, Hamburg; Z. Yu, IHEP Beijing, Beijing","Measuring Complex Dielectricity Constant of Aluminum Oxide Window Ceramics for TTF-Power Couplers at DESY",
PT024,"S. Bousson, M. Fouaidy, H. Gassot, T. Junquera, J.C. Lescornet, J. Lesrel, IPN, Orsay; J.P. Charrier, H. Safa, CEA, Gif-sur-Yvette","Inert Gas Plasma Spraying for Cavity Stiffening Using Copper Coating",
PT025,"R.C. Gentzlinger, K.C.D. Chan, W.B. Haynes, J.P. Kelley, F. Krawczyk, R. Mitchell, D.I. Montoya, D.L. Schrage, B.G. Smith, T. Tajima, LANL, Los Alamos; J. Kuzminski, General Atomics, San Diego, California; B. Rusnak, LLNL, Livermore, California; H. Safa, CEA, Gif-sur-Yvette","Design and Fabrication of SCRF Cavities for the APT Continuous-Wave Proton Linac",
PT027,"Y. Kijima, Grad. Univ. Advanced Studies and Nomura Plating Co. Ltd., Okazaki; S. Mitsunobu, T. Furuya, KEK, Ibaraki; R. Noer, Carleton College, Northfield, Minnesota","The Secondary Electron Yield of the Material for the KEKB Superconducting Cavity Input Coupler",
PT028,"Y. Kijima, Grad. Univ. Advanced Studies and Nomura Plating Co. Ltd., Okazaki; G. Katano, T. Furuya, S. Mitsunobu, KEK, Ibaraki","Conditioning of Input Coupler for KEKB Superconducting Cavities",
PT029,"N. Ouchi, H. Asano, N. Akaoka, E. Chishiro, K. Hasegawa, H. Suzuki, O. Takeda, H. Yoshikawa, JAEA, Tokai-Mura, Ibaraki; E. Kako, S. Noguchi, K. Saito, KEK, Ibaraki; Y. Kijima, K. Mukugi, T. Murai, MELCO, Kobe; M. Matsuoka, Mitsubishi Heavy Industries, Yokohama","600 MHz Prototype Cryomodule for High Intensity Proton Linac at JAERI",
PZ001,"Ph. Bernard, CERN, Geneva; A. Chincarini, G. Gemme, R. Parodi, INFN/Genova, Genoa; E. Picasso, Scuola Normale Superiore, Pisa","RFSC Cavities for the Detection of Gravitational Waves: Recent Updates and Future Trends",
PZ002,"B.C. Zhang, K. Zhao, J.K. Hao, S.W. Quan, L.F. Wang, D.L. Xie, X.Y. Lu, F. Zhu, R. Xiang, S.L. Huang, A.J. Gu, J.J. Zhuang, J.E. Chen, IHIP Beijing, Peking University","Proposal of Peking University Superconducting Accelerator Facility (PKU-SCAF)",
PZ003,"N. Steinhau-Kühl, R. Bandelmann, K. Escherich, D. Keese, M. Leenen, L. Lilje, A. Matheisen, H. Morales, P. Schmüser, E. Schulz, M. Seidel, J. Tiessen, DESY, Hamburg","Basic Studies for the Electro Polishing Facility at DESY",
PZ004,"M. Matsuoka, N. Akaoka, H. Asano, E. Chishiro, N. Ouchi, H. Suzuki, O. Takeda, H. Yoshikawa, JAEA, Tokai-Mura, Ibaraki; E. Kako, S. Noguchi, KEK, Ibaraki; H. Hattori, K. Ohkubo, K. Sennyu, Mitsubishi Heavy Industries, Yokohama","RF Power Coupler for Prototype Cryomodule at JAERI",
PZ006,"W. Hartung, MSU, East Lansing, Michigan; F. Krawczyk, LANL, Los Alamos; H. Padamsee, Cornell University, Ithaca, New York","Studies of Multipacting in Axisymmetric Cavities for Medium-velocity Beams",
PZ007,"H. Saugnac, S. Bousson, P. Blache, C. Commeaux, N. Hammoudi, T. Junquera, IPN, Orsay; D. Braud, H. Safa, P. Sahuquet, D. Loiseau, D. Arranger, J. Belorgey, CEA, Gif-sur-Yvette","Cryogenic Installation Status of the ``CRYHOLAB'' Test Facility",
PZ008,"E.J. Minehara, JAEA, Tokai-Mura, Ibaraki","The JAERI Superconducting RF Linac-based FELs and their Cryogenics",
SA001,"E. Ciapala, P. Brown, O. Brunner, A. Butterworth, H. Frischholz, G. Geschonke, E. Peschardt, J.P.H. Sladen, CERN, Geneva","Operating Experience with the LEP2 Superconducting RF System",
SA002,"S. Mitsunobu, KEK, Ibaraki","Operation Experience of Superconducting Cavities for KEKB",
SA003,"S. Belomestnykh, H. Padamsee, Cornell University, Ithaca, New York","Performance of the CESR Superconducting RF System and Future Plans",
SA004,"L. Merminga, TJNAF, Newport News, Virginia","Recent Developments in Superconducting RF Free Electron Lasers",
SA005,"W.-D. Möller, DESY, Hamburg","Operating Experience with Superconducting Cavities at the TESLA Test Facility",
SA006,"A.M. Porcellato, G. Bassato, G. Bisoffi, S. Canella, A. Dainelli, A. Facco, V. Palmieri, M. Poggi, V. Zviagintsev, INFN/LNL, Legnaro, Padova; S.Y. Stark, Strumenti Scientifici Cinel, Vigonza, Padova; S. Kar, Nuclear Science Centre, New Delhi","Operation Experience with ALPI Resonators",
SA007,"J. Tückmantel, CERN, Geneva","SPLinac: Computer Simulations of SC Linac RF Systems with Beam",
SA009,"S.N. Simrock, DESY, Hamburg","Achieving Phase and Amplitude Stability in Pulsed Superconducting Cavities",
SA010,"R. Mitchell, K. Matsumoto, LANL, Los Alamos; G. Ciovati, K. Davis, K. Macha, R. Sundelin, TJNAF, Newport News, Virginia","Lorentz Force Detuning Analysis of the Spallation Neutron Source (SNS) Accelerating Cavities",
SA011,"M. Liepe, W.-D. Möller, S.N. Simrock, DESY, Hamburg","Dynamic Lorentz Force Compensation with a Fast Piezoelectric Tuner",
TA001,"S. Noguchi, KEK, Ibaraki","SRF System in the JAERI-KEK Joint Project",
TA002,"D. Trines, DESY, Hamburg","TESLA",
TA003,"K.W. Shepard, ANL, Argonne, Illinois","The U. S. RIA Project SRF Linac",
TA004,"R.L. Sheffield, LANL, Los Alamos","Superconducting Technologies for the Advanced Accelerator Applications Program",
TA005,"E. Chiaveri, CERN, Geneva","A High-Power Superconducting H- Linac (SPL) at CERN",
TA007,"H. Padamsee, Cornell University, Ithaca, New York","SRF for Neutrino Factories",
TA008,"L. Harwood, C. Reece, TJNAF, Newport News, Virginia","CEBAF at 12  25 GeV",
TA009,"D. Barni, INFN/LASA, Segrate, Milano","Status of the TRASCO Project",
TL001,"M.P. Kelly, ANL, Argonne, Illinois","Superconducting RF Activities at Argonne National Laboratory",
TL002,"N.R. Lobanov, D.C. Weisser, T. Kibédi, D. Anderson, A.K. Cooper, D. Gibson, J. Heighway, A.G. Muirhead, R.B. Turkentine, Australian National University, Canberra","Superconducting RF Activities at ANU",
TL004,"R. Losito, CERN, Geneva","Report on Superconducting RF Activities at CERN",
TL005,"H. Padamsee, S. Belomestnykh, R. Geng, J. Knobloch, V. Shemelin, G.R. Werner, Z. Yang, Cornell University, Ithaca, New York","Cornell Status Report",
TL006,"R. Eichhorn, GSI, Darmstadt; U. Ratzinger, C. Peschke, Institut für Angewandte Physik, Fankfurt am Main","Superconducting CH-Cavities for Low- and Medium Beta Ion and Proton Accelerators",
TL007,"A. Matheisen, DESY, Hamburg","Status of the RF Superconductivity Activities at DESY",
TL009,"W. Bräutigam, O. Felden, M. Glende, H. Jungwirth, A. Lehrach, R. Maier, S. Martin, A. Schnase, Y. Senichev, R. Stassen, R. Tölle, E. Zaplatin, FZJ, Jülich; A. Facco, V. Zviagintsev, INFN/LNL, Legnaro, Padova","SC Accelerator Components for Light Ion Linacs",
TL010,"Ch. Wang, L.H. Chang, S.S. Chang, F.Z. Hsiao, M.C. Lin, G.H. Luo, T.T. Yang, M.S. Yeh, C.C. Kuo, R. Sah, C.T. Chen, NSRRC, Hsinchu","Superconducting RF Project at the Synchrotron Radiation Research Center",
TL011,"L.M. Sevryukova, IHEP Protvino, Moscow Region","Status on RF Superconductivity at the Institute for High Energy Physics",
TL012,"R. Russo, L. Catani, S. Tazzari, INFN-Roma II, Roma; M. Cirillo, V. Merlo, Università di Roma Tor Vergata, Roma; J. Langner, The Andrzej Soltan Institute for Nuclear Studies, Otwock-Swierk; F. Tazzioli, INFN/LNF, Frascati (Roma)","ARCO Project Status Report",
TL013,"R. Ballantini, A. Chincarini, G. Gemme, R. Parodi, A. Podesta, INFN/Genova, Genoa","RF Superconductivity at INFN-Genoa",
TL014,"A. Facco, V. Andreev, G. Bassato, G. Bezzon, G. Bisoffi, S. Canella, F. Chiurlotto, M. Comunian, A. Lombardi, A. Pisent, V. Palmieri, A.M. Porcellato, F. Scarpa, S.Y. Stark, F. Stivanello, V. Zviagintsev, INFN/LNL, Legnaro, Padova","Superconducting RF Activities at LNL",
TL015,"C. Pagani, INFN/LASA, Segrate, Milano","SRF Activities at INFN Milano-LASA",
TL016,"S. Bousson, IPN, Orsay","Overview of Superconducting RF Activities at IPN Orsay",
TL018,"C. Reece, TJNAF, Newport News, Virginia","Overview of SRF-related Activities at Jefferson Lab",
TL019,"H. Nakai, K. Akai, E. Ezura, T. Fujino, T. Furuya, K. Hara, K. Hosoyama, H. Inoue, A. Kabe, E. Kako, Y. Kojima, S. Mitsunobu, Y. Morita, S. Noguchi, K. Saito, T. Shishido, KEK, Ibaraki; T. Higuchi, Graduate University for Advanced Studies, Ibaraki","Status Report of Superconducting RF Activities in KEK",
TL020,"T. Tajima, K.C.D. Chan, R.L. Edwards, R.C. Gentzlinger, W.B. Haynes, J.P. Kelley, F.L. Krawczyk, J.E. Ledford, M.A. Madrid, D.I. Montoya, P.L. Roybal, E.N. Schmierer, D.L. Schrage, A.H. Shapiro, LANL, Los Alamos","Status of the LANL Activities in the Field of RF Superconductivity",
TL021,"T. Grimm, W. Hartung, H. Podlech, R.C. York, MSU, East Lansing, Michigan","Superconducting RF Activities at NSCL",
TL022,"J.K. Hao, K. Zhao, B.C. Zhang, S.W. Quan, L.F. Wang, X.Y. Lu, D.T. Xie, D.L. Xie, F. Zhu, R. Xiang, T.J. Meng, S.L. Huang, A.J. Gu, J.J. Zhuang, J.E. Chen, IHIP Beijing, Peking University","Recent Researches on RF Superconductivity in Peking University",
TL023,"Y. Cho, ANL, Argonne, Illinois","Evolution of the SNS Superconducting Proton Linac",
TL025,"R.E. Laxdal, TRIUMF, Vancouver","Superconducting RF at TRIUMF/ISAC: Present Status and Future Plans",
