mooa01,"B.J. Holzer, CERN, Geneva","Instrumentation Requirements for Different Accelerator Types",99 98,
mopd29,"E. Adli, University of Oslo, Oslo; R. Corsini, S. Döbert, A. Dubrovsky, G. Riddone, CERN, Geneva; R.J.M.Y. Ruber, Uppsala University, Uppsala; D. Schulte, I. Syratchev, CERN, Geneva; S. Vilalte, IN2P3-LAPP, Annecy-le-Vieux; V.G. Ziemann, Uppsala University, Uppsala","First Beam Tests of the CLIC Power Extraction Structure with the Two-Beam Test Stand",113 115,
mopd30,"P. Anger, T.A. André, A. Delannoy, GANIL, Caen; J.-M. Fontbonne, LPC, Caen; E. Gueroult, B. Jacquot, C. Jamet, G. Ledu, GANIL, Caen; N. Orr, LPC, Caen; A. Savalle, F. Varenne, J.L. Vignet, GANIL, Caen","Beam Diagnostics for SPIRAL2 RNB Facility",116 118,
mopd31,"G. Balbinot, CNAO Foundation, Milan; C. Biscari, INFN/LNF, Frascati (Roma); J. Bosser, CERN, Geneva; E. Bressi, M. Caldara, A. Parravicini, M. Pullia, M. Spairani, CNAO Foundation, Milan","Beam Diagnostics in the CNAO Injection Lines commissioning",119 121,
mopd32,"U. Iriso, A. Olmos, F. Peréz, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Beam Diagnostics at the ALBA Linac",122 124,
mopd33,"K.T. Hsu, K.H. Hu, C.H. Kuo, C.Y. Wang, NSRRC, Hsinchu","Diagnostics Overview of the Taiwan Photon Source",125 127,
mopd40,"F. Falkenstern, F. Hoffmann, BESSY GmbH, Berlin; P. Kuske, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Berlin; J. Kuszynski, BESSY GmbH, Berlin","BunchView - A Fast and Accurate Bunch-by-Bunch Current Monitor",128 130,
mopd41,"S.G. Arutunian, YerPhI, Yerevan; J.F. Bergoz, BERGOZ Instrumentation, Saint Genis Pouilly; M.M. Davtyan, YerPhI, Yerevan; G. Decker, ANL, Argonne, Illinois; G.S. Harutyunyan, YSU, Yerevan; I.E. Vasiniuk, YerPhI, Yerevan","Impact of Environmental Variability on Vibrating Wire Monitor Operation",131 133,
mopd42,"R. Haseitl, C.A. Andre, F. Becker, P. Forck, GSI, Darmstadt","ProfileView - A Data Acquisition System for Beam Induced Fluorescence Monitors",134 136,
mopd43,"D. B. Belohrad, O.R. Jones, M. Ludwig, J.-J. Savioz, S. Thoulet, CERN, Geneva","Implementation of the Electronics Chain for the Bunch by Bunch Intensity Measurement Devices for the LHC",137 139,
mopd44,"L. Cultrera, F. A. Anelli, M. Bellaveglia, G. Di Pirro, D. Filippetto, E. Pace, C. Vicario, INFN/LNF, Frascati (Roma)","Charge and Laser Beam Energy Monitor for Sparc LINAC",140 142,
mopd45,"OP. Odier, M. Ludwig, S. Thoulet, CERN, Geneva","The DCCT for the LHC Beam Intensity Measurement",143 145,
tuoa01,"D. Alesini, M. Castellano, E. Chiadroni, INFN/LNF, Frascati (Roma); A. Cianchi, INFN-Roma II, Roma; L. Cultrera, G. Di Pirro, M. Ferrario, L. Ficcadenti, D. Filippetto, G. Gatti, INFN/LNF, Frascati (Roma); B. Marchetti, INFN-Roma II, Roma; A. Mostacci, Rome University La Sapienza, Roma; E. Pace, INFN/LNF, Frascati (Roma); C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); C. Vaccarezza, C. Vicario, INFN/LNF, Frascati (Roma)","Sliced Beam Parameter Measurements",146 150,
tuoa02,"E. Chiadroni, M. Castellano, INFN/LNF, Frascati (Roma); A. Cianchi, Università di Roma II Tor Vergata, Roma; K. Honkavaara, G. Kube, DESY, Hamburg","Optical Diffraction Radiation Interferometry as Electron Transverse Diagnostics",151 154,
tuoa03,"W. Blokland, A.V. Aleksandrov, S.M. Cousineau, ORNL, Oak Ridge, Tennessee; D.A. Malyutin, A.A. Starostenko, BINP SB RAS, Novosibirsk","Electron Scanner for SNS Ring Profile Measurements",155 157,
tuoa04,"D. Nölle, DESY, Hamburg","Electron Beam Diagnostics for the European XFEL",158 160,
tuoc01,"B. Keil, PSI, Villigen","Beam Position Measurement with Sub-Micron Resolution",275 279,
tuoc02,"D. Lipka, DESY, Hamburg","Cavity BPM Designs, Related Electronics and Measured Performances",280 284,
tuoc03,"S.R. Smith, S. Hoobler, R.G. Johnson, SLAC, Menlo Park, California; R.M. Lill, L.H. Morrison, W.E. Norum, N. Sereno, ANL, Argonne, Illinois; T. Straumann, SLAC, Menlo Park, California; G.J. Waldschmidt, D.R. Walters, ANL, Argonne, Illinois; A. Young, SLAC, Menlo Park, California","LCLS Cavity Beam Position Monitors",285 287,
tupb02,"F. Becker, C.A. Andre, GSI, Darmstadt; F.M. Bieniosek, LBNL, Berkeley, California; P. Forck, R. Haseitl, GSI, Darmstadt; D.H.H. Hoffmann, TU Darmstadt, Darmstadt; A. Hug, GSI, Darmstadt; P.N. Ni, LBNL, Berkeley, California; B. Walasek-Höhne, GSI, Darmstadt","Beam Induced Fluoresence Monitor and Imaging Spectrography of Different Working Gases",161 163,
tupb03,"A.S. Fisher, SLAC, Menlo Park, California; A. Goldblatt, T. Lefèvre, CERN, Geneva","The LHC Synchrotron-Light Monitors",164 166,
tupb04,"E. Guetlich, GSI, Darmstadt; W. Ensinger, Technical University Darmstadt, Darmstadt; P. Forck, B. Walasek-Höhne, GSI, Darmstadt","High Current Ion Beam Investigations on Inorganic Scintillation Screens",167 169,
tupb05,"A.E. Lokhovitskiy, A. Guerrero, J. Koopman, CERN, Geneva","Fast Wire Scanner Calibration System",170 172,
tupb06,"J.M. Carmona, B. Brañas, A. Ibarra, I. Podadera Aliseda, CIEMAT, Madrid","Transverse Profile Monitors based on Fluorescence for IFMIF-EVEDA Accelerator",173 175,
tupb07,"J.L. Vignet, M. Blaizot, S.C. Cuzon, A. Delannoy, J.-C. Foy, P. Gangnant, E. Gueroult, C. Houarner, GANIL, Caen","The Beam Profile Monitor for SPIRAL2",176 178,
tupb08,"M. Putignano, K.-U. Kühnel, MPI-K, Heidelberg; M. Putignano, C.P. Welsch, The University of Liverpool, Liverpool","Design of a Nozzle-Skimmer System for a Low Perturbation Ionization Beam Profile Monitor",179 181,
tupb09,"F. Ewald, ESRF, Grenoble","Emittance Measurement using Undulator Radiation at the ESRF Storage Ring",182 184,
tupb10,"C. Böhme, UniDo/IBS, Dortmund; J.L. Conradie, iThemba LABS, Somerset West; J. Dietrich, V. Kamerdzhiev, FZJ, Jülich; T. Weis, DELTA, Dortmund","Beam Profile Monitoring at COSY via Light Emitted by Residual Gas",185 187,
tupb11,"M. Koujili, CERN, Geneva; Y. Ait Amira, UFC, Besançon; J. De Freitas, B. Dehning, CERN, Geneva; A. Djerdir, UTBM, Belfort; J. Koopman, D. Ramos, M. Sapinski, CERN, Geneva","Fast and High Accuracy Wire Scanner",188 190,
tupb12,"V. Kamerdzhiev, FZJ, Jülich; C. Böhme, UniDo/IBS, Dortmund; J. Dietrich, FZJ, Jülich; P. Forck, T. Giacomini, GSI, Darmstadt; D.A. Liakin, ITEP, Moscow","Beam Test of the FAIR IPM Prototype in COSY",191 193,
tupb13,"A. Bocci, M. Cestelli Guidi, A. Clozza, INFN/LNF, Frascati (Roma); A. De Sio, Università degli Studi di Firenze, Firenze; A. Drago, INFN/LNF, Frascati (Roma); E.P. Emanuele, Università degli Studi di Firenze, Firenze; L. Gambicorti, INOA, Firenze; A.G. Grilli, A. Marcelli, INFN/LNF, Frascati (Roma); E. Pace, Università degli Studi di Firenze, Firenze; J.P. Piotrowski, VIGO System S.A., Ozarow Maz.; A.R. Raco, R.S. Sorchetti, INFN/LNF, Frascati (Roma)","IR Photon Array Detector for Bunch by Bunch Transverse Beam Diagnostics",194 196,
tupb14,"F. Senée, G. Adroit, R. Gobin, B. Pottin, O. Tuske, CEA, Gif-sur-Yvette","Diagnostics for High Power Ion Beams with Coherent Fiber for IFMIF-EVEDA Injector",197 199,
tupb15,"U. Iriso, G. Benedetti, F. Peréz, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Experience with YAG and OTR Screens at ALBA",200 202,
tupb16,"J. Bödewadt, Uni HH, Hamburg; R. Ischebeck, PSI, Villigen; B. Polzin, DESY, Hamburg; J. Roßbach, Uni HH, Hamburg; H. Schlarb, A. Wagner, DESY, Hamburg","A Compact Electron Photon Diagnostic Unit for a Seeded FEL",203 205,
tupb18,"K. Thomsen, PSI, Villigen","VIMOS, Beam Monitoring for SINQ",206 207,
tupb20,"L. Weissman, D. Berkovits, Soreq NRC, Yavne; K. Dunkel, ACCEL, Bergisch Gladbach; Y. Eisen, S. Halfon, I. Mardor, A. Perry, Soreq NRC, Yavne; C. Piel, RI Research Instruments GmbH, Bergisch Gladbach; J. Rodnizki, Soreq NRC, Yavne; D. Trompetter, P. vom Stein, ACCEL, Bergisch Gladbach","First Experience at SARAF with Proton Beams using the Rutherford Scattering Monitor",208 210,
tupb21,"R.S. Mao, Z.G. Hu, B. Tang, J.X. Wu, J.W. Xia, G.Q. Xiao, H.S. Xu, Z.G. Xu, Y.J. Yuan, T.C. Zhao, J.H. Zheng, IMP, Lanzhou","Detectors for Slowly Extracted Ions in HIRFL-CSR",211 212,
tupb22,"C. Gabor, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; A.P. Letchford, STFC/RAL, Chilton, Didcot, Oxon; J.K. Pozimski, Imperial College of Science and Technology, Department of Physics, London","Design Report of a Non-Destructive Emittance Instrument for RAL's Front End Test Stand FETS",213 215,
tupb23,"J.L. Crisp, Fermilab, Batavia, Illinois; S. De Santis, LBNL, Berkeley, California; N. Eddy, I. Kourbanis, K. Seiya, R.M. Zwaska, Fermilab, Batavia","Measurement of Electron Cloud Density With Microwaves in the Fermilab Main Injector",216 218,
tupb24,"H. Aoyagi, JASRI/SPring-8, Hyogo-ken; Y. Asano, RIKEN/SPring-8, Hyogo; T. Bizen, K. Fukami, JASRI/SPring-8, Hyogo-ken; T. Itoga, H. Kitamura, RIKEN/SPring-8, Hyogo; N. Nariyama, JASRI/SPring-8, Hyogo-ken; T. Tanaka, RIKEN/SPring-8, Hyogo","Beam Halo Monitor using Diamond Detector for Interlock Sensor at XFEL/SPring-8",219 221,
tupb25,"A. Warner, K. Carlson, L.R. Carmichael, J.L. Crisp, R.W. Goodwin, L.R. Prost, G.W. Saewert, A.V. Shemyakin, Fermilab, Batavia","The Design and Implementation of the Machine Protection System for the FERMILAB Electron Cooling Facility",222 224,
tupb26,"M. Werner, DESY, Hamburg","A Concept to Improve the Availability of PETRA III by Correlation of Alarms, Timestamps and Post-Mortem-Analysis",225 227,
tupb27,"A. Intermite, M. Putignano, MPI-K, Heidelberg; C.P. Welsch, The University of Liverpool, Liverpool","Feasibility Study of an Optical Fibre Sensor for Beam Loss Detection Based on a SPAD Array",228 230,
tupb28,"S.G. Arutunian, Zh.S. Gevorkian, K.B. Oganesyan, YerPhI, Yerevan","Loss Monitor on Basis of Diffusive Radiation from Rough Surfaces",231 233,
tupb29,"X.-M. Maréchal, JASRI/SPring-8, Hyogo-ken; Y. Asano, T. Itoga, RIKEN/SPring-8, Hyogo","Beam Based Development of a Fiber Beam Loss Monitor for the SPring-8 X-FEL",234 236,
tupb30,"J. Egberts, S.T. Artikova, MPI-K, Heidelberg; C.P. Welsch, The University of Liverpool, Liverpool","Flexible Core Masking Technique for Beam Halo Measurements with High Dynamic Range",237 239,
tupb31,"S. Jackson, B. Dehning, J. Emery, J. Fitzek, F. Follin, V. Kain, G. Kruk, M. Misiowiec, C. Roderick, M. Sapinski, C. Zamantzas, CERN, Geneva","Configuration and Validation of the LHC Beam Loss Monitoring System",240 242,
tupb32,"G.G. Venturini, B. Dehning, E. Effinger, C. Zamantzas, CERN, Geneva","Design Specifications for a Radiation Tolerant Beam Loss Measurement ASIC",243 244,
tupb33,"G.G. Venturini, B. Dehning, E. Effinger, J. Emery, C. Zamantzas, CERN, Geneva","Systematic Study of Acquisition Electronics with a High Dynamic Range for a Beam Loss Measurement System",245 247,
tupb35,"M. Bousonville, GSI, Darmstadt; J. Rausch, TUD, Darmstadt","Velocity of Signal Delay Changes in Fibre Optic Cables",248 250,
tupb37,"G. Geloni, P. Ilinski, E. Saldin, E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","Coherent Optical Transition Radiation as a Tool for Ultra-Short Electron Bunch Diagnostics",251 253,
tupb38,"C. Kaya, U. Lehnert, FZD, Dresden","Bunch Length Measurements at the Radiation Source ELBE",254 256,
tupb40,"M. Olvegård, CERN, Geneva; E. Adli, University of Oslo, Oslo; A.E. Dabrowski, S. Döbert, T. Lefèvre, CERN, Geneva","Time Resolved Spectrometry on the Test Beam Line at CTF3",257 259,
tupb41,"C.A. Thomas, I.P.S. Martin, G. Rehm, Diamond, Oxfordshire","Investigation of Extremely Short Beam Longitudinal Measurement with a Streak Camera",260 262,
tupb42,"B. Steffen, PSI, Villigen; F. Müller, IAP Univ. Bern, Bern; V. Schlott, PSI, Villigen","A Compact Single Shot Electro-Optical Bunch Length Monitor for the SwissFEL",263 265,
tupb43,"S. Hunziker, V. Schlott, PSI, Villigen","Towards an Ultra-Stable Reference Distribution for the New PSI 250 MeV Injector",266 268,
tupb44,"C. Behrens, C. Gerth, DESY, Hamburg","On the Limitations of Longitudinal Phase Space Measurements using a Transverse Deflecting Structure",269 271,
tupb46,"V. R. Arsov, M.K. Bock, M. Felber, P. Gessler, K.E. Hacker, F. Löhl, F. Ludwig, K.-H. Matthiesen, H. Schlarb, DESY, Hamburg; S. Schulz, Uni HH, Hamburg; A. Winter, DESY, Hamburg; L.-G. Wißmann, J. Zemella, Uni HH, Hamburg","Temporal Profiles of the Coherent Transition Radiation Measured at FLASH with Electro-Optical Spectral Decoding",272 274,
tupd02,"F. Laux, K. Blaum, M. Grieser, T. Sieber, A. Wolf, R. von Hahn, MPI-K, Heidelberg","Position Pickups for the Cryogenic Storage Ring",288 290,
tupd03,"I. Krouptchenkov, A. Brenger, G. Kube, F. Schmidt-Föhre, K. Wittenburg, DESY, Hamburg","Experience with the Commissioning of the Libera Brilliance BPM Electronics at PETRA III",291 293,
tupd04,"C. Bloomer, J.R. Brandao-neto, G. Rehm, C.A. Thomas, Diamond, Oxfordshire","Dual Beam X-ray Beam Position Monitor",294 296,
tupd05,"E. Plouviez, L. Farvacque, J.M. Koch, J.L. Pons, F. Uberto, ESRF, Grenoble","Improvement of the Fast Orbit Correction on the ESRF Storage Ring",297 299,
tupd06,"J. Harasimowicz, Cockcroft Institute, Warrington, Cheshire; J. Harasimowicz, C.P. Welsch, The University of Liverpool, Liverpool","Optimisation Studies of a Resonant Capacitive Pick-Up for Beam Position Monitoring of Low Intensity, Low Velocity Antiproton Beams at FLAIR",300 302,
tupd08,"G. Schünemann, P. Hartmann, DELTA, Dortmund; P. Marwedel, TU Dortmund University, Dortmund; D. Schirmer, P. Towalski, T. Weis, K. Wille, DELTA, Dortmund","An FPGA Based Data Acquisition System for a Fast Orbit Feedback at DELTA",303 305,
tupd10,"A. Stella, INFN/LNF, Frascati (Roma); S. Bassanese, R. De Monte, M. Ferianis, ELETTRA, Basovizza; M. Serio, INFN/LNF, Frascati (Roma)","Beam Tests with Libera in Single Pass Mode",306 308,
tupd11,"J.X. Wu, R.S. Mao, J.W. Xia, G.Q. Xiao, Y.J. Yuan, T.C. Zhao, J.H. Zheng, IMP, Lanzhou","The BPM Measurement System in HIRFL-CSR",309 311,
tupd12,"C.H. Kuo, P.C. Chiu, K.T. Hsu, NSRRC, Hsinchu","BPM System and Fast Orbit Feedback Upgrade for the Taiwan Light Source",312 314,
tupd13,"P.S. Yoon, D.P. Siddons, BNL, Upton, Long Island, New York","Photodiode-based X-ray Beam-Position Monitor with High-Spatial Resolution for the NSLS-II Beamlines",315 317,
tupd14,"J.J. García-Garrigós, C. Blanch Gutierrez, J.V. Civera-Navarrete, A. Faus-Golfe, IFIC, Valencia","Characterization Tests of the Beam Position Monitor Series Production for the TBL line of the CTF3 at CERN",318 320,
tupd15,"V.Z. Verguilov, DPNC, Genève; V.C. Palladino, INFN-Napoli, Napoli","Particle Identification Devices in MICE",321 323,
tupd16,"U. Rauch, P. Forck, P. Hülsmann, P. Kowina, P. Moritz, GSI, Darmstadt","Baseband Tune Measurements at GSI SIs-18 using Direct Digitized BPM Signals",324 326,
tupd17,"C. Jamet, T.A. André, C. Doutresssoulles, W. Le Coz, E. Swartvagher, GANIL, Caen","Phase and Amplitude Measurements for the SPIRAL2 Accelerator",327 329,
tupd18,"T. Milosic, P. Forck, GSI, Darmstadt; D.A. Liakin, ITEP, Moscow","Longitudinal Emittance Measurement Using Particle Detectors",330 332,
tupd19,"O.F. Toader, F.U. Naab, NERS-UM, Ann Arbor, Michigan","Beam Profiling and Measurement at MIBL",333 335,
tupd20,"P.-A. Duperrex, P. Baumann, S. Joray, D.C. Kiselev, Y. Lee, U. Müller, PSI, Villigen","Design and Operation of a Current Monitor under Heavy Heat Load",336 338,
tupd21,"G. Balbinot, CNAO Foundation, Milan; J. Bosser, CERN, Geneva; M. Caldara, L. Lanzavecchia, A. Parravicini, M. Pullia, CNAO Foundation, Milan","A ``Not-Interceptive'' Faraday Cup in the CNAO Low Energy Injection Lines",339 341,
tupd22,"C. Gerth, F. Ludwig, Ch. Schmidt, DESY, Hamburg","Beam Based Measurements of the RF Amplitude Stability at FLASH using a Synchrotron Radiation Monitor",342 344,
tupd23,"P. Valente, INFN-Roma, Roma; N. Arnaud, LAL, Orsay; M. Boscolo, F. Bossi, INFN/LNF, Frascati (Roma); P. Branchini, roma3, Rome; D. Breton, LAL, Orsay; B. Buonomo, INFN/LNF, Frascati (Roma); L. Burmistrov, LAL, Orsay; G. Mazzitelli, F. Murtas, P. Raimondi, INFN/LNF, Frascati (Roma); M. Schioppa, INFN Gruppo di Cosenza, Arcavacata di Rende (Cosenza); G. Sensolini, INFN/LNF, Frascati (Roma); A. Stocchi, A. Variola, B.F. Viaud, LAL, Orsay","Detectors for Absolute Luminosity Measurement at DAFNE",345 347,
tupd24,"M. Gasior, A. Boccardi, CERN, Geneva","High Dynamic Range Spectral Analysis in the kHz Band",348 350,
tupd25,"T. Lensch, M. Werner, DESY, Hamburg","Machine Protection System for PETRA III",351 353,
tupd26,"J. Emery, B. Dehning, E. Effinger, G. Ferioli, CERN, Geneva; H. Ikeda, KEK, Ibaraki; E. Verhagen, UW-Madison/PD, Madison, Wisconsin; C. Zamantzas, CERN, Geneva","LHC BLM Single Channel Connectivity Test using the Standard Installation",354 356,
tupd27,"E.D. van Garderen, G. LeBlanc, A. C. Starritt, K. Zingre, M.L.M. ten Have, ASCo, Clayton, Victoria","Upgrade of the Timing System at the Australian Synchrotron",357 359,
tupd29,"J. Rönsch, G. Asova, J.W. Bähr, C.H. Boulware, H.-J. Grabosch, L. Hakobyan, M. Hänel, Ye. Ivanisenko, M.K. Khojoyan, M. Krasilnikov, DESY Zeuthen, Zeuthen; S. Lederer, DESY, Hamburg; B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Berlin; S. Rimjaem, DESY Zeuthen, Zeuthen; J. Roßbach, Uni HH, Hamburg; A. Shapovalov, R. Spesyvtsev, L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","First Measurements of the Longitudinal Phase Space Distribution using the New High Energy Dispersive Section at PITZ",360 362,
tupd30,"M. Bellaveglia, D. Alesini, A. Gallo, C. Vicario, INFN/LNF, Frascati (Roma)","Measurement Devices for the SPARC Synchronization System",363 365,
