a-01,"K. Ziegler, HMI, Berlin, Germany","Invited Paper: Running in of VICKSI and First Operating Experience",1872 1878,
e-09,"V.W. Steward, University of Chicago, Chicago, Illinois, USA","Proton (Heavy Ion) Radiography in Medical Diagnosis",2257 2261,
e-10,"M.S. Al-Ghazi, J. Birchall, J.S.C. McKee, W.D. Ramsay, W. Teoh, University of Manitoba, Winnipeg, Manitoba, Canada","Analysis of Medium and Heavy Elements be Means of K X-Ray Fluorescence Induced by 20-50 MeV Protons",2262 2264,
e-11,"K.H. Assmus, K. Jäger, F. Schulz, R. Schütz, H. Schweickert, FZK, Karlsruhe, Germany","Routine Production of Iodine-123 at the Karlsruhe Isochronous Cyclotron",2265 2268,
e-12,"M.I. Gusdal, J.S.C. McKee, University of Manitoba, Winnipeg, Manitoba, Canada; M. Billinghurst, J.B. Sutherland, Winnipeg Health Sciences Centre, Winnipeg, Manitoba, Canada; G.P. Sharma, St Boniface General Hospital, Winnipeg, Manitoba, Canada","The Production of 123I and 84Rb at the University of Manitoba Cyclotron Laboratory",2269 2270,
e-13,"H.D. Beerling-Van der Molen, E.J. de Graaf, A.M.J. Paans, S. Reiffers, A. Rijskamp, W. Vaalburg, T. Wiegman, M.G. Woldring, University Hospital, Groningen, The Netherlands","The Production of Radionuclides for Medical Application with the 280 cm AVF Cyclotron in Groningen",2271 2273,
e-14,"J.C. Baron, G. Berger, D. Comar, C. Crouzel, H. Guenard, M. Maziere, A.T. Pokropek, F. Soussaline, M. Verhas, CEA, Orsay, France","First Clinical Results Using Short-Lived Radioisotopes Produced by a Medical Cyclotron",2274 2276,
e-15,"P. Aeschimann, L. Besse, I. Jirousek, SIN, Villigen , Switzerland","Therapy Controller Designed for Patient Irradiation at the SIN --Applicator",2277 2280,
e-16,"M.A. Chaudhri, University of Melbourne, Victoria, Australia","Yields of Cyclotron Produced Medical Isotopes: A Comparison of Theoretical Potential and Experimental Results",2281 2286,
e-17,"M.A. Chaudhri, J.L. Rouse, J. Templer, University of Melbourne, Victoria, Australia","The 7Li (p,n)7Be Reaction as a Source of Past Neutrons for Smaller Compact Cyclotrons",2287 2289,
e-18,"E.A. Henry, H.G. Hicks, O.G. Lien, R.A. Meyer, P.C. Stevenson, LLL, Livermore, California, USA","Rapid Automated Nuclear Chemistry Facility for the Study of Short Lived Fission Products",2290 2293,
e-19,"J.L. Tom, The Cyclotron Corporation, Berkeley, California, USA","The Use of Compact Cyclotrons for Producing Fast Neutrons for Therapy in a Rotatable Isocentric Gantry",2294 2298,
f-01,"W. Busse, HMI, Berlin, Germany","Invited Paper: The Computer Aided Control System of the VICKSI Accelerator",2300 2305,
f-02,"A. Chabert, G. Gendreau, P. Lapostolle, GANIL, Caen, France","Invited Paper: Limited Energy Spread in an SSC",2306 2311,
f-03,"G.H. Mackenzie, TRIUMF, Vancouver, B.C., Canada","Invited Paper: Beam Diagnostic Techniques for Cyclotrons and Beam Lines",2312 2319,
f-04,"E.W. Blackmore, P. Bosman, R. Burge, G. Dutto, D. Gill, G.H. Mackenzie, P.W. Schmor, TRIUMF, Vancouver, B.C., Canada","Achievement and Control of the 100 uA Beam at TRIUMF",2320 2324,
f-05,"J. Liedorp, W.A. van Kampen, Delft University of Technology, Delft, The Netherlands","High Quality Beams with Precession Injection",2325 2328,
f-06,"H.L. Hagedoorn, W.M. Schulte, Eindhoven University of Technology, Eindhoven, The Netherlands","Accelerated Particles in an AVF Cyclotron with a One or a Two Dee System",2329 2333,
f-07,"E. Kashy, P.S. Miller, J.A. Nolen, Jr., NSCL, East Lansing, Michigan, USA","Beam Emittance Measurements with a Dispersion-Matched Magnetic Spectrograph",2334 2336,
f-08,"J.C. Collins, Indiana University, Bloomington, Indiana, USA; S. Adam, F. Blumer, D.A. Dohan, U. Rohrer, E. Steiner, P. Ziegler, SIN, Villigen , Switzerland","Computer Control Strategies at SIN",2337 2340,
f-09,"T. Bertuccio, J.C. Collins, B. Manwaring, G. Mower, J. Tyson, Indiana University, Bloomington, Indiana, USA; S. Lewis, LBL, Berkeley, California, USA","Growth of the IUCF Control System",2341 2344,
f-10,"G.O. Hendry, K.D. Jenkins, T.H. Knight, The Cyclotron Corporation, Berkeley, California, USA","The Cyclotron Corporation Bus-Oriented Computer Control System",2345 2347,
f-11,"J.F.P. Marchand, NSCL, East Lansing, Michigan, USA","Computer Control of the M.S.U. 50 MeV Cyclotron",2348 2350,
f-12,"K. Euler, P.D. Eversheim, F. Hinterberger, P. von Rossen, B. Schüller, University of Bonn, Bonn, Germany","Beam Stabilization and Automatic Energy Variation at the Bonn Isochronous Cyclotron",2351 2354,
f-13,"G. Hinderer, HMI, Berlin, Germany","Automatic Isochronisation and Computer Aided Centering in the VICKSI Cyclotron",2355 2357,
f-14,"S. Adam, W. Joho, SIN, Villigen , Switzerland","Setting Up the SIN 590 MeV Ring Cyclotron for Single Turn Extraction",2358 2361,
f-15,"S. Adam, SIN, Villigen , Switzerland; J.C. Collins, Indiana University, Bloomington, Indiana, USA","Automatic Centering and Matching of Cyclotron Beams",2362 2365,
f-16,"W. Kappel, W. Kneis, B. Kögel, J. Möllenbeck, H. Schweickert, W. Segnitz, FZK, Karlsruhe, Germany; Ch. Lehmann, Fachhochschule für Informatik, Karlsruhe, Germany; G. Leinweber, Universität Karlsruhe, Karlsruhe, Germany","Diagnostics, Control and External Beam Optimization by Computer at the Karlsruhe Cyclotron",2366 2370,
f-17,"E.W. Blackmore, M.K. Craddock, G. Dutto, C.J. Kost, G.H. Mackenzie, P.W. Schmor, TRIUMF, Vancouver, B.C., Canada","Measurements and Corrections to the Beam Properties in the TRIUMF Cyclotron",2371 2374,
f-18,"W. Bräutigam, J. Reich, M. Herschbach, K. Kennepohl, KFA, Jülich, West Germany","Beam Phase Detection with a Fixed Intermediate Frequency System at JULIC",2375 2378,
f-19,"R. Anne, M. van den Bossche, GANIL, Caen, France","A Secondary Emission-Multiwire Chamber for GANIL Heavy Ion Beams Tuning",2379 2380,
f-20,"H.H. Bissem, H. Brechtel, H. Brückmann, U. Holm, W. Vogel, University of Hamburg, Hamburg, Germany","A Fast Cyclotron Beam Emittance Measuring Device",2381 2383,
f-21,"R.A. Gough, LBL, Berkeley, California, USA; M.L. Mallory, NSCL, East Lansing, Michigan, USA","Charge Exchange Losses During Cyclotron Acceleration: Experiment and Theory",2384 2387,
f-22,"H.L. Hagedoorn, W.M. Schulte, Eindhoven University of Technology, Eindhoven, The Netherlands","The Definition and the Use of the Central Position Phase in Cyclotrons",2388 2391,
f-23,"C.J.A. Corsten, H.L. Hagedoorn, W.M. Schulte, Eindhoven University of Technology, Eindhoven, The Netherlands","A Method to Obtain Single Turn Extraction for a Large Phase Width in Cyclotrons",2392 2395,
f-24,"Yu.G. Basargin, R.N. Litunovsky, V.I. Vasil'ev, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, Leningrad, USSR","The Beam Bunch Effects in the Circular Isochronous Cyclotron",2396 2398,
f-25,"V.A. Belyakov, L.E. Korolev, R.N. Litunovsky, O.A. Minyaev, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, Leningrad, USSR","Study of Beam Parameters of 240 cm Isochronous Cyclotron",2399 2400,
f-26,"V.I. Gordin, R.N. Litunovsky, A.K. Vaganov, V.S. Vasil'ev, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, Leningrad, USSR","The Diagnostics of the Beam Phase Characteristics of the 240 cm Isochronous Cyclotron",2401 2402,
f-27,"J.A. Jungerman, E. Russell, G. Stadel, W.G. Wyckoff, Crocker Nuclear Laboratory, University of California, Davis, California, USA","Extraction Efficiency Improvement Through Central Region Studies",2403 2407,
f-28,"D.L. Friesel, W.P. Jones, E.A. Kowalski, Indiana University, Bloomington, Indiana, USA","Isochronism Studies at IUCF",2408 2410,
f-29,"E. Baron, GANIL, Caen, France","The Beam-Stripper Interaction Studies for GANIL",2411 2413,
g-01,"D.L. Hendrie, University of Maryland, College Park, Maryland, USA","Invited Paper: Heavy Ion Research with Cyclotrons",2416 2417,
g-02,"J.P. Blaser, SIN, Villigen , Switzerland","Invited Paper: What Accelerators for Future Nuclear and Meson Physics?",2418 2419,
g-03,"H.A. Enge, MIT, Cambridge, Massachusetts, USA","Invited Paper: Particle Detection Systems",2420 2426,
g-04,"M.P. Reiser, University of Maryland, College Park, Maryland, USA","A Collective Accelerator as Ion Source and Injector for a Heavy-Ion Cyclotron",2427 2431,
g-05,"T.A. Cahill, J.A. Jungerman, Crocker Nuclear Laboratory, University of California, Davis, California, USA","The Economic Aspects of Cyclotron Applications: A Case Study at Crocker Nuclear Laboratory",2432 2435,
g-06,"J.R. Richardson, TRIUMF, Vancouver, B.C., Canada","Future Directions for Isochronous Cyclotrons",2436 2441,
H-01,"J.A. Martin, ORNL, Oak Ridge, Tennessee, USA","Conference Summary",1863 1863,
